,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
EIX UN Equity,12/1/06,46.2
FE UN Equity,12/1/06,60.53
HD UN Equity,12/1/06,38.97
WMT UN Equity,12/1/06,45.87
AVY UN Equity,12/1/06,66.96
EMR UN Equity,12/1/06,42.605
M UN Equity,12/1/06,40.6
HAR UN Equity,12/1/06,104.68
KSS UN Equity,12/1/06,69.09
LB UN Equity,12/1/06,30.58
LOW UN Equity,12/1/06,30.89
JCP UN Equity,12/1/06,76.33
TJX UN Equity,12/1/06,13.47
AES UN Equity,12/1/06,23.37
ADSK UW Equity,12/1/06,41.11
PLL UN Equity,12/1/06,31.14
SBUX UW Equity,12/1/06,17.6
JBL UN Equity,12/1/06,28.68
MCK UN Equity,12/1/06,49.23
ANF UN Equity,12/1/06,68.05
AMT UN Equity,12/1/06,37.65
RL UN Equity,12/1/06,79.47
NVDA UW Equity,12/1/06,23.6933
NYX UN Equity,12/1/06,96.6
SHLD UW Equity,12/1/06,109.2402
MU UN Equity,12/1/06,14.47
KATE UN Equity,12/1/06,42.62
DDS UN Equity,12/1/06,35.7
AA UN Equity,12/1/06,69.1351
AXP UN Equity,12/1/06,58.55
VZ UN Equity,12/1/06,32.2229
BA UN Equity,12/1/06,89.55
CAT UN Equity,12/1/06,61.19
JPM UN Equity,12/1/06,46.01
CVX UN Equity,12/1/06,73.11
KO UN Equity,12/1/06,23.285
DIS UN Equity,12/1/06,32.6501
DD UN Equity,12/1/06,44.1257
XOM UN Equity,12/1/06,77.2
GE UN Equity,12/1/06,35.28
HPQ UN Equity,12/1/06,17.906
IBM UN Equity,12/1/06,91.25
JNJ UN Equity,12/1/06,65.97
MCD UN Equity,12/1/06,42.08
MRK UN Equity,12/1/06,45.06
MMM UN Equity,12/1/06,79.98
BAC UN Equity,12/1/06,53.5
PFE UN Equity,12/1/06,27.86
PG UN Equity,12/1/06,62.69
T UN Equity,12/1/06,34
TRV UN Equity,12/1/06,51.25
UTX UN Equity,12/1/06,63.86
CSCO UW Equity,12/1/06,26.69
INTC UW Equity,12/1/06,20.93
MSFT UW Equity,12/1/06,29.12
MDLZ UN Equity,12/1/06,22.9587
MTLQQ UN Equity,12/1/06,29.69
C UN Equity,12/1/06,493.8
AIG UN Equity,12/1/06,1168.9415
HON UN Equity,12/1/06,42.5663
MO UN Equity,12/1/06,19.4426
EKDKQ UN Equity,12/1/06,25.5
IP UN Equity,12/1/06,32.7007
ABT UN Equity,12/1/06,22.2825
AMD UN Equity,12/1/06,20.69
AFL UN Equity,12/1/06,43.75
APD UN Equity,12/1/06,64.0682
1284849D UN Equity,12/1/06,58.185
BEAM UN Equity,12/1/06,62.3939
AEP UN Equity,12/1/06,42.03
HES UN Equity,12/1/06,50.3
APC UN Equity,12/1/06,48.9
ADI UN Equity,12/1/06,32.62
AON UN Equity,12/1/06,35.64
APA UN Equity,12/1/06,69.55
ADM UN Equity,12/1/06,34.83
AZO UN Equity,12/1/06,113.38
AVP UN Equity,12/1/06,32.27
BHI UN Equity,12/1/06,73.05
BLL UN Equity,12/1/06,10.705
CEG UN Equity,12/1/06,69
BK UN Equity,12/1/06,37.6086
BCR UN Equity,12/1/06,82.49
BAX UN Equity,12/1/06,24.3542
BDX UN Equity,12/1/06,71.7
BMS UN Equity,12/1/06,34.08
BBY UN Equity,12/1/06,53.7
HRB UN Equity,12/1/06,23.75
BSX UN Equity,12/1/06,15.76
BMY UN Equity,12/1/06,24.84
BF/B UN Equity,12/1/06,17.976
CPB UN Equity,12/1/06,38
CCL UN Equity,12/1/06,47.09
CTL UN Equity,12/1/06,42.38
9876566D UN Equity,12/1/06,51.35
CI UN Equity,12/1/06,41.797
CLX UN Equity,12/1/06,63.76
CMS UN Equity,12/1/06,16.16
CCE UN Equity,12/1/06,20.52
CL UN Equity,12/1/06,32.68
CMA UN Equity,12/1/06,57.98
CSC UN Equity,12/1/06,29.8762
CAG UN Equity,12/1/06,20.0451
ED UN Equity,12/1/06,48.22
BIG UN Equity,12/1/06,21.81
CBE UN Equity,12/1/06,45.575
GLW UN Equity,12/1/06,21.02
CSX UN Equity,12/1/06,12.02
CMI UN Equity,12/1/06,29.658
DHR UN Equity,12/1/06,27.357
TGT UN Equity,12/1/06,57.31
DE UN Equity,12/1/06,47.24
D UN Equity,12/1/06,40.44
DOV UN Equity,12/1/06,40.7633
DOW UN Equity,12/1/06,39.7
DUK UN Equity,12/1/06,55.3502
ETN UN Equity,12/1/06,38.42
ECL UN Equity,12/1/06,44.21
PKI UN Equity,12/1/06,21.37
EP UN Equity,12/1/06,14.67
EMC UN Equity,12/1/06,13.18
EOG UN Equity,12/1/06,35.315
ETR UN Equity,12/1/06,90.83
EFX UN Equity,12/1/06,37.96
XL UN Equity,12/1/06,70.55
FDO UN Equity,12/1/06,28
FDX UN Equity,12/1/06,114.87
F UN Equity,12/1/06,8.04
NEE UN Equity,12/1/06,53.16
