,Average price of S&P 1-Jan,
BEN UN Equity,12/1/06,35.5967
FCX UN Equity,12/1/06,30.75
TGNA UN Equity,12/1/06,30.6526
GPS UN Equity,12/1/06,18.68
GD UN Equity,12/1/06,74.81
GIS UN Equity,12/1/06,28
GPC UN Equity,12/1/06,46.61
GR UN Equity,12/1/06,44.62
GT UN Equity,12/1/06,16.8
GWW UN Equity,12/1/06,71.9
HAL UN Equity,12/1/06,33.53
HOG UN Equity,12/1/06,73.23
HNZ UN Equity,12/1/06,44.53
HSY UN Equity,12/1/06,50.89
HOT UN Equity,12/1/06,59.0704
CNP UN Equity,12/1/06,16.26
HUM UN Equity,12/1/06,53.41
ITW UN Equity,12/1/06,46.83
IR UN Equity,12/1/06,30.5707
IPG UN Equity,12/1/06,11.95
IFF UN Equity,12/1/06,47.4
9876544D UN Equity,12/1/06,43.75
JEC UN Equity,12/1/06,41.88
1436513D UN Equity,12/1/06,27.2833
K UN Equity,12/1/06,49.6
KMB UN Equity,12/1/06,63.5824
KIM UN Equity,12/1/06,46.19
KR UN Equity,12/1/06,10.825
LM UN Equity,12/1/06,94.97
LEG UN Equity,12/1/06,23.69
LEN UN Equity,12/1/06,52.4255
LUK UN Equity,12/1/06,26.7539
LLY UN Equity,12/1/06,53.4
0202445Q UN Equity,12/1/06,68.52
LNC UN Equity,12/1/06,63.05
XTO UN Equity,12/1/06,40.352
L UN Equity,12/1/06,40.3
1524867D UN Equity,12/1/06,33.87
BDK UN Equity,12/1/06,85.09
1431816D UN Equity,12/1/06,10.56
RX UN Equity,12/1/06,27.37
HST UN Equity,12/1/06,24.3968
PBG UN Equity,12/1/06,31.38
MMC UN Equity,12/1/06,31.17
BNI UN Equity,12/1/06,74.92
MAS UN Equity,12/1/06,25.2769
8277831Q UN Equity,12/1/06,50.37
JAVA UW Equity,12/1/06,21.56
SPGI UN Equity,12/1/06,66.41
MDT UN Equity,12/1/06,52.16
SGP UN Equity,12/1/06,21.93
CVS UN Equity,12/1/06,28.67
WYE UN Equity,12/1/06,48.5
0226226D UN Equity,12/1/06,55.89
MSI UN Equity,12/1/06,89.5276
CITGQ UN Equity,12/1/06,51.79
MUR UN Equity,12/1/06,46.1266
EQ UN Equity,12/1/06,51.03
ROH UN Equity,12/1/06,52
LH UN Equity,12/1/06,70.84
SOV UN Equity,12/1/06,25.06
THC UN Equity,12/1/06,27.92
3517233Q UN Equity,12/1/06,55.48
NWL UN Equity,12/1/06,28.82
1255173D UN Equity,12/1/06,54.1
NEM UN Equity,12/1/06,46.84
MER UN Equity,12/1/06,86.78
NCC UN Equity,12/1/06,35.77
NKE UN Equity,12/1/06,12.2
BRL UN Equity,12/1/06,50.77
NI UN Equity,12/1/06,9.6
AW UN Equity,12/1/06,12.52
NBL UN Equity,12/1/06,26.495
3286728Q UN Equity,12/1/06,36.61
NSC UN Equity,12/1/06,48.94
3393199Q UN Equity,12/1/06,47.63
WWY UN Equity,12/1/06,52.45
NOC UN Equity,12/1/06,60.98
3022239Q UN Equity,12/1/06,32.6
WFC UN Equity,12/1/06,35.23
SAF UN Equity,12/1/06,61.2
NUE UN Equity,12/1/06,58.64
3423152Q UN Equity,12/1/06,26.74
OXY UN Equity,12/1/06,48.3556
2968900Q UN Equity,12/1/06,35.37
OMC UN Equity,12/1/06,51.605
CFC UN Equity,12/1/06,39.97
TT UN Equity,12/1/06,31.855
2942331Q UN Equity,12/1/06,151.49
PCG UN Equity,12/1/06,46.38
1520415D UN Equity,12/1/06,34.51
PH UN Equity,12/1/06,54.6867
HET UN Equity,12/1/06,78.85
PPL UN Equity,12/1/06,34.2502
PEP UN Equity,12/1/06,61.96
EXC UN Equity,12/1/06,61.39
COP UN Equity,12/1/06,51.3575
PHM UN Equity,12/1/06,33.8
PNW UN Equity,12/1/06,49.39
PBI UN Equity,12/1/06,46.25
PCL UN Equity,12/1/06,36.93
PNC UN Equity,12/1/06,70.98
PPG UN Equity,12/1/06,32.195
PX UN Equity,12/1/06,62.4
PCP UN Equity,12/1/06,74.89
PGR UN Equity,12/1/06,22.49
PEG UN Equity,12/1/06,33.6
RTN UN Equity,12/1/06,51.3
RHI UN Equity,12/1/06,37.71
RDC UN Equity,12/1/06,36.44
R UN Equity,12/1/06,51.7
SWY UN Equity,12/1/06,27.5524
HSH UN Equity,12/1/06,38.1164
SLB UN Equity,12/1/06,68.34
SHW UN Equity,12/1/06,62.2
SNA UN Equity,12/1/06,47.32
SO UN Equity,12/1/06,36.34
BBT UN Equity,12/1/06,43.18
LUV UN Equity,12/1/06,15.45
0848680D UN Equity,12/1/06,19.4
SWK UN Equity,12/1/06,50.49
PSA UN Equity,12/1/06,95.42
1086832D UN Equity,12/1/06,57.3904
STI UN Equity,12/1/06,82
SVU UN Equity,12/1/06,238.8401
SYY UN Equity,12/1/06,35.78
1500785D UN Equity,12/1/06,17.03
TER UN Equity,12/1/06,14.65
ANDV UN Equity,12/1/06,35.745
TXT UN Equity,12/1/06,48.15
TMO UN Equity,12/1/06,43.9
TIF UN Equity,12/1/06,38.43
TMK UN Equity,12/1/06,27.9244
JCI UN Equity,12/1/06,21.8028
UNP UN Equity,12/1/06,22.62
UNH UN Equity,12/1/06,48.83
UNM UN Equity,12/1/06,20.16
MRO UN Equity,12/1/06,29.0327
X UN Equity,12/1/06,73
VAR UN Equity,12/1/06,44.0202
VFC UN Equity,12/1/06,19.4675
VNO UN Equity,12/1/06,88.58
VMC UN Equity,12/1/06,87.86
WBA UN Equity,12/1/06,40.27
GHC UN Equity,12/1/06,444.966
WY UN Equity,12/1/06,26.5244
WHR UN Equity,12/1/06,84.65
WMB UN Equity,12/1/06,22.8233
TEG UN Equity,12/1/06,52.37
XRX UN Equity,12/1/06,43.181
ADBE UW Equity,12/1/06,39.35
AMGN UW Equity,12/1/06,69.38
AAPL UW Equity,12/1/06,13.0457
CTAS UW Equity,12/1/06,42.26
CMCSA UW Equity,12/1/06,13.5367
TAP UN Equity,12/1/06,35.545
DELL UW Equity,12/1/06,27.27
KLAC UW Equity,12/1/06,50.65
MKC UN Equity,12/1/06,38.85
MOLX UW Equity,12/1/06,32.06
JWN UN Equity,12/1/06,47.81
ORCL UW Equity,12/1/06,18.81
PCAR UW Equity,12/1/06,42.9467
COST UW Equity,12/1/06,52.2
SIAL UW Equity,12/1/06,38.115
STJ UN Equity,12/1/06,36.86
SYK UN Equity,12/1/06,52.43
TSN UN Equity,12/1/06,15.8
AMAT UW Equity,12/1/06,17.73
TWX UN Equity,12/1/06,40.0359
BBBY UW Equity,12/1/06,38.95
CAH UN Equity,12/1/06,47.0248
CELG UW Equity,12/1/06,28.135
CINF UW Equity,12/1/06,44.25
CVH UN Equity,12/1/06,49.28
DHI UN Equity,12/1/06,26.59
EA UW Equity,12/1/06,55.23
ESRX UW Equity,12/1/06,17.12
EXPD UW Equity,12/1/06,45.01
MTB UN Equity,12/1/06,118.66
FISV UW Equity,12/1/06,25.455
FITB UW Equity,12/1/06,39.33
FRX UN Equity,12/1/06,49.11
FHN UN Equity,12/1/06,33.3395
GILD UW Equity,12/1/06,16.305
HBAN UW Equity,12/1/06,24.25
BIIB UW Equity,12/1/06,48.045
LLTC UW Equity,12/1/06,31.54
RRC UN Equity,12/1/06,31.23
NBR UN Equity,12/1/06,34.57
NE UN Equity,12/1/06,35.0119
NTRS UW Equity,12/1/06,56.47
1280712D UW Equity,12/1/06,32.34
PAYX UW Equity,12/1/06,39.24
PDCO UW Equity,12/1/06,37.29
QCOM UW Equity,12/1/06,36.35
AN UN Equity,12/1/06,20.55
KEY UN Equity,12/1/06,36.13
SPLS UW Equity,12/1/06,25.34
STT UN Equity,12/1/06,61.5
USB UN Equity,12/1/06,33.66
SYMC UW Equity,12/1/06,20.64
TROW UW Equity,12/1/06,43.35
WM UN Equity,12/1/06,36.45
CBS UN Equity,12/1/06,29.75
AGN UN Equity,12/1/06,25.69
WFM UW Equity,12/1/06,24.14
STZ UN Equity,12/1/06,28.16
XLNX UW Equity,12/1/06,26.58
ZION UW Equity,12/1/06,77.99
INTU UW Equity,12/1/06,30.82
MS UN Equity,12/1/06,62.4828
MCHP UW Equity,12/1/06,34.14
CB UN Equity,12/1/06,56.38
CHK UN Equity,12/1/06,32.2449
ALL UN Equity,12/1/06,63.29
EQR UN Equity,12/1/06,52.84
VIAV UW Equity,12/1/06,10.2621
SPG UN Equity,12/1/06,91.345
EMN UN Equity,12/1/06,28.945
AVB UN Equity,12/1/06,127.545
PRU UN Equity,12/1/06,81.86
UPS UN Equity,12/1/06,77.31
AIV UN Equity,12/1/06,40.4615
APOL UW Equity,12/1/06,39.2
DF UN Equity,12/1/06,39.7608
LMT UN Equity,12/1/06,90.35
ABC UN Equity,12/1/06,22.1868
COF UN Equity,12/1/06,77.64
WAT UN Equity,12/1/06,49.39
DRI UN Equity,12/1/06,35.8708
SNDK UW Equity,12/1/06,44.5
LXK UN Equity,12/1/06,70.51
NTAP UW Equity,12/1/06,38.52
CTXS UW Equity,12/1/06,23.0924
FII UN Equity,12/1/06,32.68
HIG UN Equity,12/1/06,84.73
EL UN Equity,12/1/06,20.425
1518855D US Equity,12/1/06,26.49
PFG UN Equity,12/1/06,57.42
TIE UN Equity,12/1/06,31.45
ATI UN Equity,12/1/06,88.06
ETFC UW Equity,#N/A N/A,
NOV UN Equity,12/1/06,30.3484
DGX UN Equity,12/1/06,52.79
ROK UN Equity,12/1/06,64.07
AMZN UW Equity,12/1/06,39.41
BXP UN Equity,12/1/06,116.85
VLO UN Equity,12/1/06,51.0266
LLL UN Equity,12/1/06,77.6096
WU UN Equity,12/1/06,22.85
CHRW UW Equity,12/1/06,43.47
YUM UN Equity,12/1/06,21.9132
VRSN UW Equity,12/1/06,25.24
AEE UN Equity,12/1/06,54.79
BRCM UW Equity,12/1/06,32.34
MAR UN Equity,12/1/06,42.1537
SEE UN Equity,12/1/06,29.575
CTSH UW Equity,12/1/06,20.105
CNX UN Equity,12/1/06,30.7109
AET UN Equity,12/1/06,41.34
BTUUQ UN Equity,12/1/06,659.9039
EBAY UW Equity,12/1/06,13.2577
GS UN Equity,12/1/06,194.5
SRE UN Equity,12/1/06,55.05
MCO UN Equity,12/1/06,69.3
AKAM UW Equity,12/1/06,47.71
RAI UN Equity,12/1/06,15.9625
DVN UN Equity,12/1/06,73.57
GOOGL UW Equity,12/1/06,240.633
HCBK UW Equity,12/1/06,13.21
A UN Equity,12/1/06,22.8613
ANTM UN Equity,12/1/06,75.95
DTE UN Equity,12/1/06,47.31
TXN UN Equity,12/1/06,29.13
1519128D UW Equity,12/1/06,8.1241
COV UN Equity,#N/A N/A,
TLAB UW Equity,12/1/06,10.03
SUNEQ UN Equity,12/1/06,40.16
MET UN Equity,12/1/06,51.7393
MON UN Equity,12/1/06,47.72
FTR UN Equity,12/1/06,210.6
TPR UN Equity,12/1/06,42.63
0111145D UN Equity,12/1/06,49.35
FLR UN Equity,12/1/06,43.15
0961514D UN Equity,12/1/06,47.94
SLM UN Equity,12/1/06,16.2921
VIAB UN Equity,12/1/06,38.11
AMP UN Equity,12/1/06,53.67
JNS UN Equity,12/1/06,20.15
XEL UN Equity,12/1/06,22.85
ITT UN Equity,12/1/06,17.6831
COL UN Equity,12/1/06,60.33
0203524D UN Equity,12/1/06,24.17
ZBH UN Equity,12/1/06,73.84
MI UN Equity,12/1/06,36.4991
CBG UN Equity,12/1/06,32.81
RSHCQ UN Equity,12/1/06,17.07
8394653Q UN Equity,12/1/06,64.98
GME UN Equity,12/1/06,27.79
NOVL UW Equity,12/1/06,6.29
ICE UN Equity,12/1/06,19.016
GENZ UW Equity,12/1/06,62.77
FIS UN Equity,12/1/06,22.137
0772031D UN Equity,12/1/06,7.65
MWV UN Equity,12/1/06,26.2826
AYE UN Equity,12/1/06,44.68
POM UN Equity,12/1/06,26.42
QLGC UW Equity,12/1/06,22.27
MHS UN Equity,12/1/06,24.95
MDP UN Equity,12/1/06,54.06
HAS US Equity,12/1/06,26.45
1448062D UW Equity,#N/A N/A,
ODP UN Equity,12/1/06,37.32
NYT UN Equity,12/1/06,24.09
HSP UN Equity,12/1/06,32.94
KG UN Equity,12/1/06,16.43
AIZ UN Equity,12/1/06,54.81
PTV UN Equity,12/1/06,33.81
SII UN Equity,12/1/06,42.9
GNW UN Equity,12/1/06,32.36
STR UN Equity,12/1/06,14.0155
RF UN Equity,12/1/06,36.77
TDC UN Equity,#N/A N/A,
EXPE UW Equity,12/1/06,17.229
SCHW UW Equity,12/1/06,18.02
WYN UN Equity,12/1/06,31.16
1539941D UN Equity,#N/A N/A,
ESV UN Equity,12/1/06,54.2
KBH UN Equity,12/1/06,52.04
TEL UN Equity,#N/A N/A,
MBI UN Equity,12/1/06,69.34
DFS UN Equity,#N/A N/A,
DYNIQ UN Equity,12/1/06,34
CIEN UW Equity,12/1/06,24.87
CVG UN Equity,12/1/06,23.97
WIN UN Equity,12/1/06,22.2156
JNPR UW Equity,12/1/06,20.78
BMC UN Equity,12/1/06,32.18
MAT UN Equity,12/1/06,21.75
MTW UN Equity,12/1/06,24.8656
RRD UN Equity,12/1/06,57.6052
DDR UN Equity,12/1/06,59.1895
JNY UN Equity,12/1/06,33.42
ACAS UW Equity,12/1/06,33.851
WFT UN Equity,12/1/06,22.43
MYL UN Equity,12/1/06,20.34
FOXA UN Equity,12/1/06,18.0834
RIG UN Equity,12/1/06,112.693
ASH UN Equity,12/1/06,33.2652
HPC US Equity,12/1/06,18.38
GGP UN Equity,12/1/06,40.848
UIS UN Equity,12/1/06,71.7
MWW UW Equity,12/1/06,42.28
TEX UN Equity,12/1/06,55.98
MTG UN Equity,12/1/06,57.86
ADP UN Equity,12/1/06,37.7215
WAMUQ UN Equity,12/1/06,44
LEHMQ UN Equity,12/1/06,73.35
FMCC UN Equity,12/1/06,66.93
FNMA UN Equity,12/1/06,56.83
IAC UW Equity,12/1/06,31.3604
CME UN Equity,12/1/06,106.28
SSP UN Equity,12/1/06,10.4121
OMX UN Equity,12/1/06,46.83
BC UN Equity,12/1/06,31.65
ABKFQ UN Equity,12/1/06,84.7
CA UN Equity,12/1/06,21.5
CCTYQ UN Equity,12/1/06,24.95
1541931D UQ Equity,12/1/06,19.57
SNV UN Equity,12/1/06,91.6802
DPS UN Equity,#N/A N/A,
XRX UN Equity,12/1/06,43.181
HBI UN Equity,12/1/06,6.1775
ALB UN Equity,12/1/06,35.485
EL UN Equity,12/1/06,20.425
