,Average price of S&P 1-Jan,
BMS UN Equity,12/1/95,12.875
HRB UN Equity,12/1/95,11.125
GAPTQ UN Equity,12/1/95,21.75
BSX UN Equity,12/1/95,9.9375
BMY UN Equity,12/1/95,19.1843
RAD UN Equity,12/1/95,16.3125
CPB UN Equity,12/1/95,26.6783
9876566D UN Equity,12/1/95,24.6875
CI UN Equity,12/1/95,12.167
MZIAQ UN Equity,12/1/95,226.2637
CLX UN Equity,12/1/95,19
CL UN Equity,12/1/95,9.0938
CMA UN Equity,12/1/95,25
2731112Q US Equity,12/1/95,44.125
NC UN Equity,12/1/95,4.1934
CSC UN Equity,12/1/95,20.6038
CAG UN Equity,12/1/95,15.6116
JOSEA US Equity,12/1/95,24.75
ED UN Equity,12/1/95,28.875
CBE UN Equity,12/1/95,18.4375
WOR UQ Equity,12/1/95,20.875
GLW UN Equity,12/1/95,8.505
CSX UN Equity,12/1/95,7.4063
PBY UN Equity,12/1/95,26.625
CMI UN Equity,12/1/95,9.656
SCI UN Equity,12/1/95,20.3125
TGT UN Equity,12/1/95,5.9896
DE UN Equity,12/1/95,16.5625
FLTWQ UN Equity,12/1/95,24.5
D UN Equity,12/1/95,19.9375
FWLT US Equity,12/1/95,412.5
DOV UN Equity,12/1/95,15.9167
RNB US Equity,12/1/95,31.375
DOW UN Equity,12/1/95,23.7917
DUK UN Equity,12/1/95,39.6263
ETN UN Equity,12/1/95,11.7953
ECL UN Equity,12/1/95,7.375
PPW US Equity,12/1/95,19.75
PKI UN Equity,12/1/95,9.6875
EMC UN Equity,12/1/95,2.1396
EMR UN Equity,12/1/95,19.4063
ETR UN Equity,12/1/95,28
FDX UN Equity,12/1/95,19.0313
FTLAQ US Equity,12/1/95,20.25
M UN Equity,12/1/95,14.3125
FMC UN Equity,12/1/95,9.9542
F UN Equity,12/1/95,18.3419
NEE UN Equity,12/1/95,21.625
FCX UN Equity,12/1/95,13.75
TGNA UN Equity,12/1/95,15.7515
GPS UN Equity,12/1/95,6.3704
GD UN Equity,12/1/95,15
GIS UN Equity,12/1/95,14
GPC UN Equity,12/1/95,27.1667
GR UN Equity,12/1/95,33.2901
GT UN Equity,12/1/95,42.875
JWN UQ Equity,12/1/95,9.5938
GWW UN Equity,12/1/95,33.5
HRZIQ US Equity,12/1/95,33.25
HAL UN Equity,12/1/95,10.6618
HRS UN Equity,12/1/95,11.576
CBS UA Equity,12/1/95,17.7055
HNZ UN Equity,12/1/95,29.0553
HP UN Equity,12/1/95,5.0108
HSY UN Equity,12/1/95,15.75
TAP UQ Equity,12/1/95,10.125
CNP UN Equity,12/1/95,18.7884
HUM UN Equity,12/1/95,27.125
ITW UN Equity,12/1/95,15.7813
IR UN Equity,12/1/95,10.1104
FL UN Equity,12/1/95,15
IPG UN Equity,12/1/95,12.8333
IFF UN Equity,12/1/95,51.75
1436513D UN Equity,12/1/95,5.7083
K UN Equity,12/1/95,38.5
KMB UN Equity,12/1/95,35.2776
2200Q US Equity,12/1/95,71.375
KR UN Equity,12/1/95,4.1719
LLY UN Equity,12/1/95,24.5625
653707Q UN Equity,12/1/95,48.5239
CAR UN Equity,12/1/95,30.2354
LB UN Equity,12/1/95,8.0531
3277Q UN Equity,12/1/95,79.875
LNC UN Equity,12/1/95,23.25
0202445Q UN Equity,12/1/95,32.6068
L UN Equity,12/1/95,12.8333
LOW UN Equity,12/1/95,3.8281
1431816D UN Equity,12/1/95,20.25
BDK UN Equity,12/1/95,37.875
MMC UN Equity,12/1/95,14.4583
MAS UN Equity,12/1/95,13.0735
BNI UN Equity,12/1/95,26.9583
SPGI UN Equity,12/1/95,10.438
MDT UN Equity,12/1/95,13.125
CVS UN Equity,12/1/95,6.8659
SGP UN Equity,12/1/95,14.3438
WYE UN Equity,12/1/95,22.9375
MSI UN Equity,12/1/95,73.7703
0226226D UN Equity,12/1/95,7.3253
ROH UN Equity,12/1/95,20.4167
THC UN Equity,12/1/95,48.6667
NWL UN Equity,12/1/95,26.125
3517233Q UN Equity,12/1/95,32.5
NEM UN Equity,12/1/95,43.125
1073675D UQ Equity,12/1/95,2.6875
1255173D UN Equity,12/1/95,27.875
MER UN Equity,12/1/95,13.8125
NKE UN Equity,12/1/95,3.6563
NCC UN Equity,12/1/95,16.375
0948669D US Equity,12/1/95,27.125
NSC UN Equity,12/1/95,26.5833
3286728Q UN Equity,12/1/95,9.0625
3393199Q UN Equity,12/1/95,16.2693
NOC UN Equity,12/1/95,28.123
WWY UN Equity,12/1/95,18.9
WFC UN Equity,12/1/95,8.3125
3022239Q UN Equity,12/1/95,9.6021
NUE UN Equity,12/1/95,12.7188
OXY UN Equity,12/1/95,10.6716
OKE UN Equity,12/1/95,5.1433
PCG UN Equity,12/1/95,27.625
PH UN Equity,12/1/95,16.5
PPL UN Equity,12/1/95,11.5412
HET UN Equity,12/1/95,24.125
JCP UN Equity,12/1/95,47.375
TRB UN Equity,12/1/95,16.2188
PEP UN Equity,12/1/95,25.47
DJ UN Equity,12/1/95,38.125
EXC UN Equity,12/1/95,14.5625
NYT US Equity,12/1/95,14.5625
3692470Q UN Equity,12/1/95,24.149
COP UN Equity,12/1/95,13.0547
TEK UN Equity,12/1/95,17.875
PHM UN Equity,12/1/95,4.0156
BOL UN Equity,12/1/95,37
PBI UN Equity,12/1/95,22.0796
PNC UN Equity,12/1/95,29.875
126784Q US Equity,12/1/95,11.2182
1317355D UN Equity,12/1/95,9.4781
PPG UN Equity,12/1/95,23.25
PX UN Equity,12/1/95,14.375
0376152D US Equity,12/1/95,17.625
PEG UN Equity,12/1/95,14.8125
MEL UN Equity,12/1/95,13.5625
RTN UN Equity,12/1/95,44.375
RDC UN Equity,12/1/95,7.75
R UN Equity,12/1/95,24.375
HSH UN Equity,12/1/95,31.9562
PD UN Equity,12/1/95,33.25
PGL UN Equity,12/1/95,30.5
EIX UN Equity,12/1/95,15.375
LUB UN Equity,12/1/95,22.375
SLB UN Equity,12/1/95,14.5145
SHOY US Equity,12/1/95,11.25
1958Q US Equity,12/1/95,39.375
SHW UN Equity,12/1/95,20
BLS UN Equity,12/1/95,20
SNA UN Equity,12/1/95,29.333
SO UN Equity,12/1/95,14.0839
CNW UN Equity,12/1/95,21.7826
LU UN Equity,#N/A N/A,
LUV UN Equity,12/1/95,4.9136
STJ US Equity,12/1/95,9.6875
3605818Q UN Equity,12/1/95,32.8971
0848680D UN Equity,12/1/95,13.5189
SWK UN Equity,12/1/95,25.063
GDW UN Equity,12/1/95,8.7083
1086832D UN Equity,12/1/95,11.5958
0544749D UN Equity,12/1/95,27.7779
STI UN Equity,12/1/95,34.3125
SVU UN Equity,12/1/95,112.4375
ANDW UQ Equity,12/1/95,20
SYY UN Equity,12/1/95,7.7188
0964591D UQ Equity,12/1/95,8.5556
JAVA UQ Equity,12/1/95,10.5469
TXT UN Equity,12/1/95,18.9688
SAF UQ Equity,12/1/95,35.5313
KRI UN Equity,12/1/95,32.5
2999130Q UN Equity,12/1/95,23
TJX UN Equity,12/1/95,1.0234
1312089D UN Equity,12/1/95,31.375
TMK UN Equity,12/1/95,8.1769
JCI UN Equity,12/1/95,5.7549
929530Q UN Equity,12/1/95,19.375
UNP UN Equity,12/1/95,11.6248
UNH UN Equity,12/1/95,7.594
3080867Q UN Equity,12/1/95,20.5
UNM UN Equity,12/1/95,27.125
DCNAQ UN Equity,12/1/95,28.875
MRO UN Equity,12/1/95,5.6533
3026360Q UN Equity,12/1/95,8
X UN Equity,12/1/95,33.125
RBK UN Equity,12/1/95,26.125
VFC UN Equity,12/1/95,6.5
KRB UN Equity,12/1/95,5.2016
GP UN Equity,12/1/95,26.9605
WBA UN Equity,12/1/95,7.5
1028411Q UN Equity,12/1/95,25.875
WY UN Equity,12/1/95,18.4681
987200Q UN Equity,12/1/95,26.4584
WHR UN Equity,12/1/95,55.625
DALRQ UN Equity,12/1/95,38.8125
WMB UN Equity,12/1/95,10.6508
UCL UN Equity,12/1/95,27.375
XRX UN Equity,12/1/95,60.5408
TOY UN Equity,12/1/95,23.375
723588Q UN Equity,12/1/95,61.7681
605555Q UN Equity,12/1/95,38.375
WNDXQ UN Equity,12/1/95,32.5
3621240Q UN Equity,12/1/95,32.1281
FBF UN Equity,12/1/95,20.875
748957Q UN Equity,12/1/95,21.7595
2727195Q UN Equity,12/1/95,20.5
297504Q UN Equity,12/1/95,37.6875
8214761Q UN Equity,12/1/95,29.5142
INCLF UN Equity,12/1/95,35.25
PDG UN Equity,12/1/95,24.375
RDPL UN Equity,12/1/95,32.4063
UAWGQ UN Equity,12/1/95,13.375
WCOEQ UQ Equity,12/1/95,10.3719
680884Q UN Equity,12/1/95,9.55
NMK UN Equity,12/1/95,10
544791Q UN Equity,12/1/95,28.6875
1051665D UN Equity,12/1/95,27.5
KMRTQ UN Equity,12/1/95,8.125
HM UN Equity,12/1/95,16.25
RAL UN Equity,12/1/95,15.8603
329556Q UN Equity,12/1/95,19.5835
ENRNQ UN Equity,12/1/95,18.6875
GPUI UN Equity,12/1/95,31.875
677004Q UN Equity,12/1/95,37.4375
950967Q UN Equity,12/1/95,17
ETS UN Equity,12/1/95,214.7148
OAT UN Equity,12/1/95,35.5
LDG UN Equity,12/1/95,20.125
739306Q UN Equity,12/1/95,35.0586
AZA UN Equity,12/1/95,11.007
PLL UN Equity,12/1/95,27.125
3346Q UN Equity,12/1/95,17.25
1255177D UN Equity,12/1/95,39.75
CGP UN Equity,12/1/95,16.9375
253647Q UN Equity,12/1/95,20.125
KEY UN Equity,12/1/95,18.3125
3253Q UN Equity,12/1/95,72.75
PRDCQ UN Equity,12/1/95,46.625
RML UN Equity,12/1/95,26.75
304024Q UN Equity,12/1/95,41.875
BHMSQ UN Equity,12/1/95,14.25
291784Q UN Equity,12/1/95,36.375
FJ UN Equity,12/1/95,30.75
0872237D UN Equity,12/1/95,25.8125
ACKH UN Equity,12/1/95,60.375
68335Q UN Equity,12/1/95,28.75
2269312Q UN Equity,12/1/95,32.5
UCM UN Equity,12/1/95,31.75
MKG UN Equity,12/1/95,34.375
MS UN Equity,12/1/95,10.5061
236555Q UN Equity,12/1/95,32.2788
OWENQ UN Equity,12/1/95,45
COMS UQ Equity,12/1/95,8.9861
2953349Q UN Equity,12/1/95,24.375
ALL UN Equity,12/1/95,20.5625
USW UN Equity,12/1/95,31.375
571300Q UN Equity,12/1/95,42.75
IKN UN Equity,12/1/95,35.2185
SGID UN Equity,12/1/95,12.6157
WLA UN Equity,12/1/95,15
140402Q UN Equity,12/1/95,46.5
45200Q UN Equity,12/1/95,27.25
UMGI UN Equity,12/1/95,18.25
EMN UN Equity,12/1/95,32.4375
TMC UN Equity,12/1/95,32.5
RLM UN Equity,12/1/95,56.75
667517Q UN Equity,12/1/95,17
300583Q UN Equity,12/1/95,55.4375
285939Q UN Equity,12/1/95,35.625
CNRG UN Equity,12/1/95,44.25
LMT UN Equity,12/1/95,36.938
LDWIF UN Equity,12/1/95,9.375
2755Q UN Equity,12/1/95,47.5
3891289Q UN Equity,12/1/95,53.1875
2770014Q UN Equity,12/1/95,19.4375
222435Q UN Equity,12/1/95,42.25
DRI UN Equity,12/1/95,7.0142
0820143D UN Equity,12/1/95,35.125
93916Q UN Equity,12/1/95,32.625
363096Q UN Equity,12/1/95,27.875
183291Q UN Equity,12/1/95,12.25
3054Q UN Equity,12/1/95,27.5
2288005Q UN Equity,12/1/95,18.6667
BKB UN Equity,12/1/95,23.5625
HIG UN Equity,#N/A N/A,
RYC UN Equity,12/1/95,27.625
BMG UN Equity,12/1/95,8.75
3459Q UN Equity,12/1/95,30.5
375573Q UN Equity,12/1/95,30.5
2972Q UN Equity,12/1/95,38.375
2745Q UN Equity,12/1/95,29
ATI UN Equity,#N/A N/A,
2691Q UN Equity,12/1/95,13.125
399463Q UN Equity,12/1/95,67.125
MWI UN Equity,12/1/95,17.625
ROK UN Equity,#N/A N/A,
896661Q UN Equity,12/1/95,49
968734Q UN Equity,12/1/95,31.25
611647Q UN Equity,12/1/95,39.75
RBD UN Equity,12/1/95,27.5
TCOMA UQ Equity,12/1/95,17.0046
ORX UN Equity,12/1/95,13.25
2500Q UN Equity,12/1/95,34.0625
231079Q UN Equity,12/1/95,19.6381
134618Q UN Equity,12/1/95,151.125
AS UN Equity,12/1/95,5.875
1567Q UN Equity,12/1/95,15.5
2251Q UN Equity,12/1/95,26.0625
2223Q UN Equity,12/1/95,213
504369Q UN Equity,12/1/95,32.875
2428Q UN Equity,12/1/95,39.5
370506Q UN Equity,12/1/95,24.875
45861Q UN Equity,12/1/95,27.125
2196Q UN Equity,12/1/95,32.6875
0943554D UN Equity,12/1/95,23.875
3619382Q UN Equity,12/1/95,20.8088
0598884D UQ Equity,12/1/95,26.5
69895Q UN Equity,#N/A N/A,
2206Q UQ Equity,12/1/95,39.875
WAI UN Equity,12/1/95,37.5576
WMX UN Equity,12/1/95,29.875
GFS/A UA Equity,12/1/95,33.25
2282655Q UN Equity,12/1/95,37.25
2218Q UN Equity,12/1/95,50.75
2964Q UN Equity,12/1/95,27.25
3520842Q UN Equity,12/1/95,26.625
62553Q UN Equity,#N/A N/A,
RHDCQ UN Equity,12/1/95,10.3997
DEC UN Equity,12/1/95,57.875
PET UN Equity,12/1/95,26.875
SDH UN Equity,12/1/95,12.7604
JH UN Equity,12/1/95,20.875
2106Q UN Equity,12/1/95,14.25
1558530D UN Equity,12/1/95,17.375
263179Q UN Equity,12/1/95,39.125
2009Q UN Equity,#N/A N/A,
3147Q UN Equity,#N/A N/A,
2638Q UN Equity,12/1/95,30.125
PAS UN Equity,12/1/95,14.0605
204923Q UN Equity,12/1/95,42.7777
ECO UA Equity,12/1/95,10.25
1802Q UN Equity,12/1/95,11.375
DTE UN Equity,12/1/95,32.875
FLMIQ UN Equity,12/1/95,23.875
HFS UN Equity,12/1/95,35.5625
TXN UN Equity,12/1/95,6.875
2822069Q UN Equity,12/1/95,35.625
LLX UN Equity,12/1/95,39.5
SRR UN Equity,12/1/95,8.625
TDM UN Equity,12/1/95,12
1974Q UA Equity,12/1/95,9.625
NAE UN Equity,12/1/95,8.375
334702Q UN Equity,12/1/95,15.625
0111145D UN Equity,12/1/95,25.125
3147596Q UN Equity,12/1/95,44.9375
210967Q UN Equity,12/1/95,49.875
0961514D UN Equity,12/1/95,33
2168Q UQ Equity,12/1/95,33.875
231330Q UN Equity,12/1/95,26.125
1013207D UN Equity,12/1/95,5.1479
GIDL UQ Equity,12/1/95,15.4375
XEL UN Equity,12/1/95,23.5
ITT UN Equity,12/1/95,3.8175
1618Q UN Equity,12/1/95,40.375
2036Q UN Equity,12/1/95,43.4375
0203524D UN Equity,12/1/95,10.5
316419Q UN Equity,12/1/95,27.875
90457Q UN Equity,12/1/95,29.25
RSHCQ UN Equity,12/1/95,11.8438
1680Q UN Equity,12/1/95,70.375
1581Q UN Equity,12/1/95,35
MEE UN Equity,12/1/95,16.1886
202550Q UN Equity,12/1/95,12
693365Q UN Equity,12/1/95,30.75
RYAN UQ Equity,12/1/95,4.75
AALEA UN Equity,12/1/95,21.5
BLY UN Equity,12/1/95,11.1582
1511Q UN Equity,12/1/95,47.875
MDP UN Equity,12/1/95,19.6875
MU UN Equity,12/1/95,25.9375
KBH UN Equity,12/1/95,6.6875
MAT UN Equity,12/1/95,22.5
RRD UN Equity,12/1/95,63.4517
KATE UN Equity,12/1/95,15
ASH UN Equity,12/1/95,11.2894
HPC US Equity,12/1/95,55.75
UIS UN Equity,12/1/95,63.75
MTG UN Equity,12/1/95,27.875
DDS UN Equity,12/1/95,29.125
ADP UN Equity,12/1/95,15.7354
FMCC UN Equity,12/1/95,19.375
FNMA UN Equity,12/1/95,28.0313
OMX UN Equity,12/1/95,35.875
BC UN Equity,12/1/95,21.25
CA UN Equity,12/1/95,28.0556
CCTYQ UN Equity,12/1/95,9.2195
TIN UN Equity,12/1/95,13.179
HAS UN Equity,12/1/95,13.7222
0910150D US Equity,12/1/95,10.8333
TXU US Equity,12/1/95,19.375
NAV UN Equity,12/1/95,10.75
1281683D UN Equity,12/1/95,9.1462
LPX UN Equity,12/1/95,27
CTB UN Equity,12/1/95,24.875
AMGN UQ Equity,12/1/95,12.375
AAPL UQ Equity,12/1/95,1.3438
ADSK UQ Equity,12/1/95,8.875
CSCO UQ Equity,12/1/95,4.5556
DELL UQ Equity,12/1/95,1.2734
NOVL UQ Equity,12/1/95,16.375
ORCL UQ Equity,12/1/95,3.3056
PCAR UQ Equity,12/1/95,4.2963
COST UQ Equity,12/1/95,8.375
SIAL UQ Equity,12/1/95,12.375
AMAT UQ Equity,12/1/95,5.875
FITB UQ Equity,12/1/95,14.3704
TLAB UQ Equity,12/1/95,9.8125
1288652D US Equity,12/1/95,21.2222
CR UN Equity,12/1/95,14.4497
DLX UN Equity,12/1/95,21.7871
TNB UN Equity,12/1/95,36.0625
TUP UN Equity,#N/A N/A,
MDR UN Equity,12/1/95,3.1615
AAMRQ UN Equity,12/1/95,16.9377
CMCSK UQ Equity,12/1/95,6.4583
DPS UN Equity,#N/A N/A,
XRX UN Equity,12/1/95,60.5408
HBI UN Equity,#N/A N/A,
ALB UN Equity,12/1/95,9.5625
EL UN Equity,12/1/95,8.9375
