,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
BF/B UN Equity,12/1/95,5.0667
CIN UN Equity,12/1/95,29.5
UN UN Equity,12/1/95,12.5767
1005945D US Equity,12/1/95,22.875
162007Q UN Equity,12/1/95,46.25
UEP UN Equity,12/1/95,40.5
AA UN Equity,12/1/95,32.1236
ABX UN Equity,12/1/95,26.125
AXP UN Equity,12/1/95,12.3643
VZ UN Equity,12/1/95,28.8511
NRTLQ UN Equity,12/1/95,50.3125
BA UN Equity,12/1/95,36.75
CAT UN Equity,12/1/95,15.2813
JPM UN Equity,12/1/95,19.9167
CVX UN Equity,12/1/95,24.6875
KO UN Equity,12/1/95,18.9375
DIS UN Equity,12/1/95,20.1041
DD UN Equity,12/1/95,32.1206
XOM UN Equity,12/1/95,19.4375
GE UN Equity,12/1/95,11.4167
HPQ UN Equity,12/1/95,7.2411
228510Q US Equity,12/1/95,29.875
HD UN Equity,12/1/95,9.75
IBM UN Equity,12/1/95,23.7188
JNJ UN Equity,12/1/95,21.469
MCD UN Equity,12/1/95,22.438
MRK UN Equity,12/1/95,29.1036
MMM UN Equity,12/1/95,31.395
BAC UN Equity,12/1/95,17.9375
PFE UN Equity,12/1/95,9.75
PG UN Equity,12/1/95,21.1875
T UN Equity,12/1/95,27.375
TRV UN Equity,12/1/95,28.625
UTX UN Equity,12/1/95,11.891
WMT UN Equity,12/1/95,12.125
41018Q US Equity,12/1/95,46.38
TKR UN Equity,12/1/95,14.407
MTLQQ UN Equity,12/1/95,39.0083
C UN Equity,12/1/95,92.0427
AIG UN Equity,12/1/95,360.4018
PCH UN Equity,12/1/95,33.5085
HON UN Equity,12/1/95,23.7391
MO UN Equity,12/1/95,6.8184
INTC UQ Equity,12/1/95,7.625
MSFT UQ Equity,12/1/95,5.3906
EKDKQ UN Equity,12/1/95,67.5
IP UN Equity,12/1/95,36.9695
BGG UN Equity,12/1/95,20.9375
ARB UN Equity,12/1/95,25.1759
ABT UN Equity,12/1/95,8.8389
AMD UN Equity,12/1/95,9.6875
APD UN Equity,12/1/95,25.3661
1284849D UN Equity,12/1/95,7.3071
BEAM UN Equity,12/1/95,19.771
AEP UN Equity,12/1/95,37.875
HES UN Equity,12/1/95,16.125
AON UN Equity,12/1/95,21.333
ADM UN Equity,12/1/95,13.0588
CCK UN Equity,12/1/95,41.625
AVY UN Equity,12/1/95,24.3125
AVP UN Equity,12/1/95,9.0938
BHI UN Equity,12/1/95,21
BLL UN Equity,12/1/95,1.8125
CEG UN Equity,12/1/95,26.75
BK UN Equity,12/1/95,12.5212
BCR UN Equity,12/1/95,14.4375
BAX UN Equity,12/1/95,10.1456
BDX UN Equity,12/1/95,17.281
