,Average price of S&P 1-Jan,
SLB UN Equity,12/4/09,61.37
SCHW UN Equity,#N/A N/A,
SHW UN Equity,12/4/09,61.85
SJM UN Equity,12/4/09,59.73
SNA UN Equity,12/4/09,38.55
SO UN Equity,12/4/09,32.83
BBT UN Equity,12/4/09,26.61
LUV UN Equity,12/4/09,10.23
SWN UN Equity,12/4/09,42.95
0848680D UN Equity,12/4/09,3.69
SWK UN Equity,12/4/09,49.47
PSA UN Equity,12/4/09,79.81
1086832D UN Equity,12/4/09,21.5567
STI UN Equity,12/4/09,22.8
SVU UN Equity,12/4/09,101.5
SYY UN Equity,12/4/09,28.28
1500785D UN Equity,12/4/09,15.34
TER UN Equity,12/4/09,9.81
ANDV UN Equity,12/4/09,12.69
TXT UN Equity,12/4/09,20.23
TMO UN Equity,12/4/09,48.38
TMK UN Equity,12/4/09,19.4
TSS UN Equity,12/4/09,17.55
JCI UN Equity,12/4/09,16.4189
UNP UN Equity,12/4/09,32.61
UNH UN Equity,12/4/09,27.46
UNM UN Equity,12/4/09,19.09
MRO UN Equity,12/4/09,19.2014
X UN Equity,12/4/09,44.39
VAR UN Equity,12/4/09,40.7614
VTR UN Equity,12/4/09,39.1555
VFC UN Equity,12/4/09,18.15
VNO UN Equity,12/4/09,51.3759
VMC UN Equity,12/4/09,49.03
WBA UN Equity,12/4/09,37.86
GHC UN Equity,12/4/09,248.781
WDC UN Equity,12/4/09,39.48
WY UN Equity,12/4/09,17.4101
WHR UN Equity,12/4/09,78.59
WMB UN Equity,12/4/09,16.1274
TEG UN Equity,12/4/09,41.04
WEC UN Equity,12/4/09,23.155
XRX UN Equity,12/4/09,20.8396
ADBE UW Equity,12/4/09,36.5
AES UN Equity,12/4/09,13.36
AMGN UW Equity,12/4/09,56.88
AAPL UW Equity,12/4/09,27.6171
ADSK UW Equity,12/4/09,24.95
BMC UW Equity,12/4/09,38.59
CTAS UW Equity,12/4/09,29.41
CMCSA UW Equity,12/4/09,8.065
TAP UN Equity,12/4/09,45.72
KLAC UW Equity,12/4/09,35.69
MKC UN Equity,12/4/09,36.51
MOLX UW Equity,12/4/09,20.07
JWN UN Equity,12/4/09,35.24
ORCL UW Equity,12/4/09,22.83
PCAR UW Equity,12/4/09,36.4
COST UW Equity,12/4/09,59.19
SIAL UW Equity,12/4/09,52.88
STJ UN Equity,12/4/09,36.8
SYK UN Equity,12/4/09,51.81
TSN UN Equity,12/4/09,12.6
1541931D UW Equity,12/4/09,22.11
AMAT UW Equity,12/4/09,13.32
TWX UN Equity,12/4/09,28.0564
BBBY UW Equity,12/4/09,39.15
CAH UN Equity,12/4/09,32.14
CELG UW Equity,12/4/09,27.985
CERN UW Equity,12/4/09,19.305
CINF UW Equity,12/4/09,25.49
CVC UN Equity,12/4/09,14.4113
CVH UN Equity,12/4/09,22.75
DHI UN Equity,12/4/09,10.1
FLS UN Equity,12/4/09,33.11
ATGE UN Equity,12/4/09,52.47
EA UW Equity,12/4/09,16.2
ESRX UW Equity,12/4/09,43.51
EXPD UW Equity,12/4/09,33.07
FAST UW Equity,12/4/09,19.47
MTB UN Equity,12/4/09,63.44
FISV UW Equity,12/4/09,23.54
FITB UW Equity,12/4/09,10.44
FRX UN Equity,12/4/09,31.2
FHN UN Equity,12/4/09,13.1447
GILD UW Equity,12/4/09,23.295
HAS UW Equity,#N/A N/A,
HBAN UW Equity,12/4/09,3.69
HCN UN Equity,12/4/09,46.09
BIIB UW Equity,12/4/09,44.379
LLTC UW Equity,12/4/09,27.99
RRC UN Equity,12/4/09,45.18
NBR UN Equity,12/4/09,20.23
NTRS UW Equity,12/4/09,48.69
1280712D UW Equity,12/4/09,23.36
PAYX UW Equity,12/4/09,32.35
PBCT UW Equity,12/4/09,16.23
PDCO UW Equity,12/4/09,26.36
PLL UN Equity,12/4/09,32.23
QCOM UW Equity,12/4/09,45.16
ROP UN Equity,12/4/09,53.73
ROST UW Equity,12/4/09,10.9075
AN UN Equity,12/4/09,18.06
SBUX UW Equity,12/4/09,10.8
KEY UN Equity,12/4/09,6.16
SPLS UW Equity,12/4/09,24.36
STT UN Equity,12/4/09,41.68
USB UN Equity,12/4/09,23.5
SYMC UW Equity,12/4/09,17.88
TROW UW Equity,12/4/09,49.73
WM UN Equity,12/4/09,33.56
CBS UN Equity,12/4/09,13.46
AGN UN Equity,12/4/09,37.9
WFM UW Equity,12/4/09,13.1
STZ UN Equity,12/4/09,16.74
XLNX UW Equity,12/4/09,23.37
XRAY UW Equity,12/4/09,34.26
ZION UW Equity,12/4/09,13.06
DNR UN Equity,12/4/09,13.79
IVZ UN Equity,12/4/09,21.63
INTU UW Equity,12/4/09,29.75
MS UN Equity,12/4/09,30.97
MCHP UW Equity,12/4/09,27.77
CB UN Equity,12/4/09,48.81
CHK UN Equity,12/4/09,21.3484
JBL UN Equity,12/4/09,12.94
ORLY UW Equity,12/4/09,38.49
ALL UN Equity,12/4/09,28.6
FLIR UW Equity,12/4/09,29.8
EQR UN Equity,12/4/09,33.04
NFX UN Equity,12/4/09,41.07
VIAV UW Equity,12/4/09,4.4744
URBN UW Equity,12/4/09,33.1
SPG UN Equity,12/4/09,71.27
EMN UN Equity,12/4/09,29.865
AVB UN Equity,12/4/09,76.94
PRU UN Equity,12/4/09,48.59
UPS UN Equity,12/4/09,57.87
AIV UN Equity,12/4/09,14.78
APOL UW Equity,12/4/09,54.76
MCK UN Equity,12/4/09,60.94
DF UN Equity,12/4/09,15.6253
LMT UN Equity,12/4/09,78.21
ABC UN Equity,12/4/09,24.67
CAM UN Equity,12/4/09,37.35
COF UN Equity,12/4/09,37.92
WAT UN Equity,12/4/09,59.43
DRI UN Equity,12/4/09,28.8417
SNDK UW Equity,12/4/09,21.94
LXK UN Equity,12/4/09,25.45
NTAP UW Equity,12/4/09,32.72
CTXS UW Equity,12/4/09,31.4295
DVA UN Equity,12/4/09,30.065
FII UN Equity,12/4/09,25.78
HIG UN Equity,12/4/09,24.67
IRM UN Equity,12/4/09,20.555
EL UN Equity,12/4/09,24.405
LO UN Equity,12/4/09,26.16
1518855D US Equity,12/4/09,15.19
PFG UN Equity,12/4/09,24.09
ATI UN Equity,12/4/09,35.18
SRCL UW Equity,12/4/09,56.91
ETFC UW Equity,12/4/09,17
ANF UN Equity,12/4/09,36.13
NOV UN Equity,12/4/09,38.1034
DGX UN Equity,12/4/09,58.24
ROK UN Equity,12/4/09,45.66
AMT UN Equity,12/4/09,41
AMZN UW Equity,12/4/09,137.58
RL UN Equity,12/4/09,81.56
BXP UN Equity,12/4/09,69.98
APH UN Equity,12/4/09,22.245
PXD UN Equity,12/4/09,40.79
VLO UN Equity,12/4/09,14.9901
LLL UN Equity,12/4/09,77.4466
WU UN Equity,12/4/09,18.14
CHRW UW Equity,12/4/09,57.83
YUM UN Equity,12/4/09,24.4694
FE UN Equity,12/4/09,44.6
VRSN UW Equity,12/4/09,22.37
AEE UN Equity,12/4/09,27.01
BRCM UW Equity,12/4/09,30.77
MAR UN Equity,12/4/09,25.6101
SEE UN Equity,12/4/09,22.62
CTSH UW Equity,12/4/09,22.21
ISRG UW Equity,12/4/09,97.333
CNX UN Equity,12/4/09,36.4994
AET UN Equity,12/4/09,28.98
BTUUQ UN Equity,12/4/09,642.75
RSG UN Equity,12/4/09,28.78
EBAY UW Equity,12/4/09,9.9622
GS UN Equity,12/4/09,167.24
SRE UN Equity,12/4/09,54.83
MCO UN Equity,12/4/09,25.36
1255459D UW Equity,12/4/09,50.64
PCLN UW Equity,12/4/09,220.72
FFIV UW Equity,12/4/09,50.64
AKAM UW Equity,12/4/09,24.98
QEP UN Equity,#N/A N/A,
RAI UN Equity,12/4/09,13.26
DVN UN Equity,12/4/09,66.16
GOOGL UW Equity,12/4/09,292.788
RHT UN Equity,12/4/09,27.91
HCBK UW Equity,12/4/09,13.27
NFLX UW Equity,12/4/09,8.033
A UN Equity,12/4/09,21.3525
ANTM UN Equity,12/4/09,53.88
JNPR UN Equity,12/4/09,27.33
NYX UN Equity,12/4/09,24.85
DTE UN Equity,12/4/09,42.17
NDAQ UW Equity,12/4/09,20.02
PM UN Equity,12/4/09,49.82
TXN UN Equity,12/4/09,26.85
TWC UN Equity,12/4/09,42.74
1519128D UW Equity,12/4/09,6.895
TLAB UW Equity,12/4/09,5.68
AKS UN Equity,12/4/09,19.38
WIN UW Equity,#N/A N/A,
SUNEQ UN Equity,12/4/09,12.75
MET UN Equity,12/4/09,31.4838
MWW UN Equity,12/4/09,16.83
MON UN Equity,12/4/09,83.44
FTR UN Equity,12/4/09,126.9
TPR UN Equity,12/4/09,36.53
0111145D UN Equity,12/4/09,40.42
FLR UN Equity,12/4/09,42.57
0961514D UN Equity,12/4/09,40.51
SLM UN Equity,12/4/09,4.0802
DNB UN Equity,12/4/09,79.93
VIAB UN Equity,12/4/09,29.71
AMP UN Equity,12/4/09,38.39
JNS UN Equity,12/4/09,12.97
XEL UN Equity,12/4/09,20.63
ITT UN Equity,12/4/09,17.3681
COL UN Equity,12/4/09,54.7
CEPH UW Equity,12/4/09,55.38
FTI UN Equity,12/4/09,27.45
0203524D UN Equity,12/4/09,15.45
ZBH UN Equity,12/4/09,58.91
MI UN Equity,12/4/09,5.77
CBG UN Equity,12/4/09,12.39
RSHCQ UN Equity,12/4/09,19.52
MA UN Equity,12/4/09,24.133
8394653Q UN Equity,12/4/09,13.9
GME UN Equity,12/4/09,21.33
MEE UN Equity,12/4/09,36.21
KMX UN Equity,12/4/09,19.97
NOVL UW Equity,12/4/09,4.06
ICE UN Equity,12/4/09,21.02
GENZ UW Equity,12/4/09,49.98
FIS UN Equity,12/4/09,23.46
0772031D UN Equity,12/4/09,3.91
MFE UN Equity,12/4/09,39.3
MWV UN Equity,12/4/09,24.9199
AYE UN Equity,12/4/09,22.65
POM UN Equity,12/4/09,16.92
QLGC UW Equity,12/4/09,18.79
MHS UN Equity,12/4/09,63.7
MDP UN Equity,12/4/09,28.44
WYNN UW Equity,12/4/09,66.8
1448062D UW Equity,12/4/09,32.66
SHLD UW Equity,12/4/09,46.687
HSP UN Equity,12/4/09,48.12
AIZ UN Equity,12/4/09,30.56
NRG UN Equity,12/4/09,24.34
GNW UN Equity,12/4/09,11.59
TMUS UN Equity,12/4/09,13.2
RF UN Equity,12/4/09,5.71
TDC UN Equity,12/4/09,30.56
EXPE UW Equity,12/4/09,24.311
DISCA UW Equity,12/4/09,16.0302
CF UN Equity,12/4/09,17.71
LDOS UN Equity,12/4/09,49.1351
WYN UN Equity,12/4/09,20.55
1539941D UN Equity,12/4/09,19.62
FSLR UW Equity,12/4/09,129.62
MJN UN Equity,12/4/09,43.9
DFS UN Equity,12/4/09,15.18
DPS UN Equity,12/4/09,26.8
SNI UN Equity,12/4/09,39.68
V UN Equity,12/4/09,20.0675
CFN UN Equity,12/4/09,24.51
DPS UN Equity,12/4/09,26.8
XRX UN Equity,12/4/09,20.8396
HBI UN Equity,12/4/09,5.9925
ALB UN Equity,12/4/09,34.09
EL UN Equity,12/4/09,24.405
