,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
EIX UN Equity,12/4/09,34.84
DO UN Equity,12/4/09,97.2
HD UN Equity,12/4/09,28.08
WMT UN Equity,12/4/09,54.24
TGT UN Equity,12/4/09,45.64
KSS UN Equity,12/4/09,53.7
LB UN Equity,12/4/09,18.32
LOW UN Equity,12/4/09,22.88
TIF UN Equity,12/4/09,41.51
TJX UN Equity,12/4/09,18.215
DELL UW Equity,12/4/09,13.46
TIE UN Equity,12/4/09,10.04
PWR UN Equity,12/4/09,18.34
NVDA UW Equity,12/4/09,14.26
CME UW Equity,12/4/09,66.126
CRM UN Equity,12/4/09,16.4875
AA UN Equity,12/4/09,29.0918
AXP UN Equity,12/4/09,39.3
VZ UN Equity,12/4/09,30.5546
BA UN Equity,12/4/09,54.68
CAT UN Equity,12/4/09,58.3
JPM UN Equity,12/4/09,41.74
CVX UN Equity,12/4/09,78.07
KO UN Equity,12/4/09,28.745
DIS UN Equity,12/4/09,30.84
DD UN Equity,12/4/09,30.7217
XOM UN Equity,12/4/09,74.25
GE UN Equity,12/4/09,16.2
HPQ UN Equity,12/4/09,22.605
IBM UN Equity,12/4/09,127.25
JNJ UN Equity,12/4/09,64.36
MCD UN Equity,12/4/09,61.59
MRK UN Equity,12/4/09,36.7
MMM UN Equity,12/4/09,78.24
BAC UN Equity,12/4/09,16.28
PFE UN Equity,12/4/09,18.49
PG UN Equity,12/4/09,62.6
T UN Equity,12/4/09,27.6
TRV UN Equity,12/4/09,51.04
UTX UN Equity,12/4/09,68.32
CSCO UW Equity,12/4/09,24.16
INTC UW Equity,12/4/09,20.46
MSFT UW Equity,12/4/09,29.98
MDLZ UN Equity,12/4/09,17.3842
C UN Equity,12/4/09,41.2
AIG UN Equity,12/4/09,25.2318
HON UN Equity,12/4/09,39.9115
MO UN Equity,12/4/09,19.32
IP UN Equity,12/4/09,25.4941
ABT UN Equity,12/4/09,25.7323
AMD UN Equity,12/4/09,7.86
AFL UN Equity,12/4/09,45.83
APD UN Equity,12/4/09,75.8926
ARG UN Equity,12/4/09,46.81
1284849D UN Equity,12/4/09,59.16
BEAM UN Equity,12/4/09,31.1776
AEP UN Equity,12/4/09,33.79
HES UN Equity,12/4/09,57.1
APC UN Equity,12/4/09,60.25
ADI UN Equity,12/4/09,30.6
AON UN Equity,12/4/09,38.6
APA UN Equity,12/4/09,94.2
ADM UN Equity,12/4/09,31.59
ADP UW Equity,12/4/09,38.3278
AZO UN Equity,12/4/09,152.08
AVY UN Equity,12/4/09,38.95
AVP UN Equity,12/4/09,35.36
BHI UN Equity,12/4/09,39.09
BLL UN Equity,12/4/09,12.3
CEG UN Equity,12/4/09,33.56
BK UN Equity,12/4/09,26.93
BCR UN Equity,12/4/09,83.04
BAX UN Equity,12/4/09,30.7973
BDX UN Equity,12/4/09,78.05
BMS UN Equity,12/4/09,30.81
BRK/B UN Equity,12/4/09,66.4
BBY UN Equity,12/4/09,43.79
HRB UN Equity,12/4/09,20.22
BSX UN Equity,12/4/09,8.52
BMY UN Equity,12/4/09,25.14
BF/B UN Equity,12/4/09,17.3567
COG UN Equity,12/4/09,9.51
CPB UN Equity,12/4/09,35.47
CCL UN Equity,12/4/09,32.86
CTL UN Equity,12/4/09,36.34
9876566D UN Equity,12/4/09,48.69
CI UN Equity,12/4/09,32.16
CLF UN Equity,12/4/09,42.2
CLX UN Equity,12/4/09,61.4
CMS UN Equity,12/4/09,14.86
CCE UN Equity,12/4/09,19.91
CL UN Equity,12/4/09,42.605
CMA UN Equity,12/4/09,28.28
CA UW Equity,12/4/09,22.65
CSC UN Equity,12/4/09,31.9898
CAG UN Equity,12/4/09,17.5862
ED UN Equity,12/4/09,44.05
BIG UN Equity,12/4/09,28.08
GLW UN Equity,12/4/09,18.33
CSX UN Equity,12/4/09,16.71
CMI UN Equity,12/4/09,43.7
DHR UN Equity,12/4/09,27.4479
DE UN Equity,12/4/09,54.24
D UN Equity,12/4/09,37.75
RRD UW Equity,12/4/09,35.1113
DOV UN Equity,12/4/09,34.5086
DOW UN Equity,12/4/09,27.48
DUK UN Equity,12/4/09,51.42
ETN UN Equity,12/4/09,33.105
ECL UN Equity,12/4/09,45.21
PKI UN Equity,12/4/09,19.69
EP UN Equity,12/4/09,9.5
EMC UN Equity,12/4/09,17.13
EMR UN Equity,12/4/09,42.14
EOG UN Equity,12/4/09,43.535
ETR UN Equity,12/4/09,80.46
EFX UN Equity,12/4/09,29.98
EQT UN Equity,12/4/09,41.45
XL UN Equity,12/4/09,18.21
FDO UN Equity,12/4/09,28.28
FDX UN Equity,12/4/09,87.93
M UN Equity,12/4/09,15.98
FMC UN Equity,12/4/09,28.215
F UN Equity,12/4/09,8.94
NEE UN Equity,12/4/09,52.75
BEN UN Equity,12/4/09,36.29
FCX UN Equity,12/4/09,39.935
TGNA UN Equity,12/4/09,5.271
GPS UN Equity,12/4/09,21.77
GD UN Equity,12/4/09,67.54
GIS UN Equity,12/4/09,34.465
GPC UN Equity,12/4/09,37.33
GR UN Equity,12/4/09,61.36
GT UN Equity,12/4/09,14.56
GWW UN Equity,12/4/09,98.99
HAL UN Equity,12/4/09,27.81
HOG UN Equity,12/4/09,28.52
HAR UN Equity,12/4/09,36.35
HRS UN Equity,12/4/09,45.75
HCP UN Equity,12/4/09,29.8964
HNZ UN Equity,12/4/09,43.36
HP UN Equity,12/4/09,36.8
HSY UN Equity,12/4/09,35.99
HRL UN Equity,12/4/09,9.6025
HOT UN Equity,12/4/09,30.9513
CNP UN Equity,12/4/09,13.77
HUM UN Equity,12/4/09,40.31
ITW UN Equity,12/4/09,48.49
IR UN Equity,12/4/09,28.5592
IPG UN Equity,12/4/09,6.36
IFF UN Equity,12/4/09,41.15
9876544D UN Equity,12/4/09,18.44
JEC UN Equity,12/4/09,34.94
1436513D UN Equity,12/4/09,27.01
K UN Equity,12/4/09,52.96
KMB UN Equity,12/4/09,63.1319
KIM UN Equity,12/4/09,13.59
KR UN Equity,12/4/09,11.25
LM UN Equity,12/4/09,28.99
LEG UN Equity,12/4/09,20.03
LEN UN Equity,12/4/09,12.4076
LUK UN Equity,12/4/09,22.7749
LLY UN Equity,12/4/09,37.39
LNC UN Equity,12/4/09,23.08
L UN Equity,12/4/09,35.45
1431816D UN Equity,12/4/09,5.76
HST UN Equity,12/4/09,10.95
MMC UN Equity,12/4/09,22.21
MAS UN Equity,12/4/09,12.8318
MAT UW Equity,12/4/09,19.89
SPGI UN Equity,12/4/09,31.93
MDT UN Equity,12/4/09,43.06
CVS UN Equity,12/4/09,30.76
MU UW Equity,#N/A N/A,
MSI UN Equity,12/4/09,33.5012
MUR UN Equity,12/4/09,47.5419
MYL UW Equity,12/4/09,17.99
LH UN Equity,12/4/09,73.05
THC UN Equity,12/4/09,19
NWL UN Equity,12/4/09,15.14
NEM UN Equity,12/4/09,52.05
FOXA UW Equity,12/4/09,10.6223
NKE UN Equity,12/4/09,16.075
NI UN Equity,12/4/09,5.8826
NBL UN Equity,12/4/09,32.52
NSC UN Equity,12/4/09,52.84
ES UN Equity,12/4/09,24.6
NOC UN Equity,12/4/09,50.702
WFC UN Equity,12/4/09,26.96
NUE UN Equity,12/4/09,43.14
OXY UN Equity,12/4/09,75.4447
OMC UN Equity,12/4/09,36.77
OKE UN Equity,12/4/09,17.8549
OI UN Equity,12/4/09,30.81
PCG UN Equity,12/4/09,43.44
PH UN Equity,12/4/09,55.31
PPL UN Equity,12/4/09,29.3507
JCP UN Equity,12/4/09,27.9
PEP UN Equity,12/4/09,63.85
EXC UN Equity,12/4/09,49.3
COP UN Equity,12/4/09,38.6191
PHM UN Equity,12/4/09,9.07
PNW UN Equity,12/4/09,36.23
PBI UN Equity,12/4/09,23.01
PCL UN Equity,12/4/09,35.34
PNC UN Equity,12/4/09,53.47
PPG UN Equity,12/4/09,30.19
PX UN Equity,12/4/09,82.48
PCP UN Equity,12/4/09,110.9
PGR UN Equity,12/4/09,16.89
PEG UN Equity,12/4/09,32.19
RTN UN Equity,12/4/09,52.65
RHI UN Equity,12/4/09,25.74
RDC UN Equity,12/4/09,24.01
R UN Equity,12/4/09,42.53
SWY UN Equity,12/4/09,19.9616
HSH UN Equity,12/4/09,28.11
SCG UN Equity,12/4/09,36.38
