,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
EIX UN Equity,12/3/07,55.99
1284849D UN Equity,12/3/07,66.44
FE UN Equity,12/3/07,69.43
HD UN Equity,12/3/07,28.49
WMT UN Equity,12/3/07,47.87
INTC UW Equity,12/3/07,26.25
BF/B UN Equity,12/3/07,19.3893
BIG UN Equity,12/3/07,17.57
TGT UN Equity,12/3/07,59.52
M UN Equity,12/3/07,29.74
GPS UN Equity,12/3/07,20.52
KSS UN Equity,12/3/07,49.22
LB UN Equity,12/3/07,19.94
LOW UN Equity,12/3/07,24.13
MDT UN Equity,12/3/07,50.58
NWL UN Equity,12/3/07,26.44
JCP UN Equity,12/3/07,43.71
RDC UN Equity,12/3/07,35.55
TIF UN Equity,12/3/07,47.61
TJX UN Equity,12/3/07,14.315
ADSK UW Equity,12/3/07,47.53
DELL UW Equity,12/3/07,23.94
JWN UN Equity,12/3/07,34.06
FAST UW Equity,12/3/07,19.995
PLL UN Equity,12/3/07,38.3
AN UN Equity,12/3/07,16.44
SPLS UW Equity,12/3/07,23.61
NVDA UW Equity,12/3/07,31.96
MON UN Equity,12/3/07,101.61
GME UN Equity,12/3/07,57.6
DPS UN Equity,#N/A N/A,
AA UN Equity,12/3/07,79.4818
AXP UN Equity,12/3/07,58.6
VZ UN Equity,12/3/07,40.0833
BA UN Equity,12/3/07,91.79
CAT UN Equity,12/3/07,72.06
JPM UN Equity,12/3/07,45.21
CVX UN Equity,12/3/07,87.84
KO UN Equity,12/3/07,31.1
DIS UN Equity,12/3/07,33.04
DD UN Equity,12/3/07,44.5152
XOM UN Equity,12/3/07,88.85
GE UN Equity,12/3/07,36.93
HPQ UN Equity,12/3/07,22.9001
IBM UN Equity,12/3/07,105.83
JNJ UN Equity,12/3/07,67.71
MCD UN Equity,12/3/07,59.83
MRK UN Equity,12/3/07,58.77
MMM UN Equity,12/3/07,82.21
BAC UN Equity,12/3/07,45.47
PFE UN Equity,12/3/07,23.55
