,Average price of S&P 1-Jan,
BMY UN Equity,12/2/02,26.43
BF/B UN Equity,12/2/02,8.6213
CPB UN Equity,12/2/02,23.89
CCL UN Equity,12/2/02,27.66
CI UN Equity,12/2/02,14.417
CLX UN Equity,12/2/02,43.83
CCE UN Equity,12/2/02,21.6
CL UN Equity,12/2/02,25.7
CSC UN Equity,12/2/02,19.3317
CAG UN Equity,12/2/02,18.9246
ED UN Equity,12/2/02,39.18
BIG UN Equity,12/2/02,12.35
CBE UN Equity,12/2/02,18.76
GLW UN Equity,12/2/02,4.99
CMI UN Equity,12/2/02,7.738
DHR UN Equity,12/2/02,11.9732
DE UN Equity,12/2/02,25.285
DOV UN Equity,12/2/02,26.0225
DOW UN Equity,12/2/02,30.48
ETN UN Equity,12/2/02,19.1875
ECL UN Equity,12/2/02,24.39
EP UN Equity,12/2/02,8.26
EMC UN Equity,12/2/02,7.25
EMR UN Equity,12/2/02,26.54
FDO UN Equity,12/2/02,29.43
FDX UN Equity,12/2/02,52.88
F UN Equity,12/2/02,11.45
NEE UN Equity,12/2/02,28.8
BEN UN Equity,12/2/02,12.4833
FCX UN Equity,12/2/02,7.55
GD UN Equity,12/2/02,41.375
GIS UN Equity,12/2/02,21.925
HNZ UN Equity,12/2/02,31.1725
HOT UN Equity,12/2/02,19.108
HUM UN Equity,12/2/02,10.1
IR UN Equity,12/2/02,18.4541
IPG UN Equity,12/2/02,14.98
9876544D UN Equity,12/2/02,19.1725
1436513D UN Equity,12/2/02,13.9367
K UN Equity,12/2/02,33.07
KMB UN Equity,12/2/02,47.8408
KR UN Equity,12/2/02,8.015
LLY UN Equity,12/2/02,68.75
653707Q UN Equity,12/2/02,28
CAR UN Equity,12/2/02,15.4391
LB UN Equity,12/2/02,16.81
1524867D UN Equity,12/2/02,17.37
BDK UN Equity,12/2/02,41.81
MMC UN Equity,12/2/02,48.04
PBG UN Equity,12/2/02,29.15
MAS UN Equity,12/2/02,17.4899
BNI UN Equity,12/2/02,25.41
SPGI UN Equity,12/2/02,30.165
MDT UN Equity,12/2/02,46.2
CVS UN Equity,12/2/02,13.31
SGP UN Equity,12/2/02,21.5
MSI UN Equity,12/2/02,42.8876
0226226D UN Equity,12/2/02,22.6611
1255173D UN Equity,12/2/02,35.17
MER UN Equity,12/2/02,43.4
NKE UN Equity,12/2/02,5.8188
NCC UN Equity,12/2/02,28.03
NSC UN Equity,12/2/02,19.65
3286728Q UN Equity,12/2/02,21.65
NOC UN Equity,12/2/02,43.794
WWY UN Equity,12/2/02,42.04
OXY UN Equity,12/2/02,13.2088
CFC UN Equity,12/2/02,12.25
TT UN Equity,12/2/02,17.5408
PCG UN Equity,12/2/02,13.42
2942331Q UN Equity,12/2/02,63.29
HET UN Equity,12/2/02,40.21
TRB UN Equity,12/2/02,45.5
PEP UN Equity,12/2/02,42.21
EXC UN Equity,12/2/02,24.8
COP UN Equity,12/2/02,18.2538
TEK UN Equity,12/2/02,19.52
PHM UN Equity,12/2/02,11.595
HCR UN Equity,12/2/02,19.05
PCL UN Equity,12/2/02,23.67
2641504Q UN Equity,12/2/02,4.5
1317355D UN Equity,12/2/02,19.3851
PPG UN Equity,12/2/02,24.365
PGR UN Equity,12/2/02,13.9725
PEG UN Equity,12/2/02,14.765
RTN UN Equity,12/2/02,29.69
RDC UN Equity,12/2/02,22.2
1528159D UN Equity,12/2/02,20.82
R UN Equity,12/2/02,23.21
HSH UN Equity,12/2/02,45.3117
PD UN Equity,12/2/02,16.01
PGL UN Equity,12/2/02,35.85
SLB UN Equity,12/2/02,23.055
2987536Q UN Equity,12/2/02,10
BLS UN Equity,12/2/02,27.62
NFB UN Equity,12/2/02,23.1667
LU UN Equity,12/2/02,1.89
LUV UN Equity,12/2/02,16.25
0848680D UN Equity,12/2/02,13.5609
STI UN Equity,12/2/02,58.38
GTW UN Equity,12/2/02,4.14
SVU UN Equity,12/2/02,122.57
ANDW UQ Equity,12/2/02,12.45
SYY UN Equity,12/2/02,29
0964591D UQ Equity,12/2/02,27.25
JAVA UQ Equity,12/2/02,16.56
TXT UN Equity,12/2/02,21.255
TMO UN Equity,12/2/02,19.85
GDT UN Equity,12/2/02,29.5
CHIR UQ Equity,12/2/02,39.8
JCI UN Equity,12/2/02,12.7972
929530Q UN Equity,12/2/02,20.975
UNP UN Equity,12/2/02,14.7675
UNH UN Equity,12/2/02,19.163
3080867Q UN Equity,12/2/02,30.3
DCNAQ UN Equity,12/2/02,13.34
MRO UN Equity,12/2/02,6.1708
3026360Q UN Equity,12/2/02,13.49
X UN Equity,12/2/02,14.58
SEBL UQ Equity,12/2/02,8.6
GP UN Equity,12/2/02,18.52
WBA UN Equity,12/2/02,28.64
1028411Q UN Equity,12/2/02,30.15
WY UN Equity,12/2/02,20.9543
XRX UN Equity,12/2/02,22.6312
605555Q UN Equity,12/2/02,27.99
3029830Q UQ Equity,12/2/02,19.41
WNDXQ UN Equity,12/2/02,14.74
2676187Q UQ Equity,12/2/02,25.78
AWE UN Equity,12/2/02,8.05
3621240Q UN Equity,12/2/02,39.28
MKC UN Equity,12/2/02,23.49
JHF UN Equity,12/2/02,30.31
945852Q UN Equity,12/2/02,6.19
TAP/B UN Equity,12/2/02,15.58
FBF UN Equity,12/2/02,26.84
519239Q UN Equity,12/2/02,15.7
SYK UN Equity,12/2/02,31.18
TWX UN Equity,12/2/02,32.7927
CAH UN Equity,12/2/02,44.5116
FRX UN Equity,12/2/02,54.63
NE UN Equity,12/2/02,15.5424
PLL UN Equity,12/2/02,18.93
STT UN Equity,12/2/02,44.16
USB UN Equity,12/2/02,21.7422
WM UN Equity,12/2/02,24.98
MS UN Equity,12/2/02,37.6208
JBL UN Equity,12/2/02,21.37
EQR UN Equity,12/2/02,26.7
SPG UN Equity,12/2/02,30.508
UPS UN Equity,12/2/02,63.97
AIV UN Equity,12/2/02,26.4838
MCK UN Equity,12/2/02,26.38
ABC UN Equity,12/2/02,14.5163
DRI UN Equity,12/2/02,19.4845
HIG UN Equity,12/2/02,50.1
1518855D US Equity,12/2/02,18.04
PFG UN Equity,12/2/02,28.85
DGX UN Equity,12/2/02,28.93
ROK UN Equity,12/2/02,21
AEE UN Equity,12/2/02,41.3
MAR UN Equity,12/2/02,16.6386
AET UN Equity,12/2/02,9.388
GS UN Equity,12/2/02,78.78
SRE UN Equity,12/2/02,23.45
DTE UN Equity,12/2/02,43.95
TXN UN Equity,12/2/02,19.77
MON UN Equity,12/2/02,8.86
0111145D UN Equity,12/2/02,31.64
COL UN Equity,12/2/02,21.09
0203524D UN Equity,12/2/02,10.175
8394653Q UN Equity,12/2/02,24.7
0772031D UN Equity,12/2/02,4.66
MWV UN Equity,12/2/02,21.3752
AYE UN Equity,12/2/02,7.22
ODP UN Equity,12/2/02,17.7
NYT UN Equity,12/2/02,47.63
MU UN Equity,12/2/02,15.74
KBH UN Equity,12/2/02,22.42
DYNIQ UN Equity,12/2/02,6
CVG UN Equity,12/2/02,17.27
BMC UN Equity,12/2/02,17.79
RRD UN Equity,12/2/02,34.641
ASH UN Equity,12/2/02,11.8028
UIS UN Equity,12/2/02,110.6
DDS UN Equity,12/2/02,18.79
ADP UN Equity,12/2/02,34.475
LEHMQ UN Equity,12/2/02,30.125
FMCC UN Equity,12/2/02,58.32
OMX UN Equity,12/2/02,26.16
BC UN Equity,12/2/02,21.1
CA UN Equity,12/2/02,16.05
CCTYQ UN Equity,12/2/02,9.62
1541931D UQ Equity,12/2/02,14.72
TIN UN Equity,12/2/02,13.8618
3414924Q US Equity,12/2/02,3.03
HMA UN Equity,12/2/02,17.56
NAV UN Equity,12/2/02,29.55
1281683D UN Equity,12/2/02,27.9307
ADBE UQ Equity,12/2/02,14.375
AAPL UQ Equity,12/2/02,1.0843
ADSK UQ Equity,12/2/02,7.905
CTAS UQ Equity,12/2/02,50.39
CSCO UQ Equity,12/2/02,15.061
CMCSA UQ Equity,12/2/02,8.0367
GENZ UQ Equity,12/2/02,35.24
KLAC UQ Equity,12/2/02,44.74
MOLX UQ Equity,12/2/02,27.95
NOVL UQ Equity,12/2/02,3.74
ORCL UQ Equity,12/2/02,11.9
PCAR UQ Equity,12/2/02,14.477
COST UQ Equity,12/2/02,32.63
ADCT UQ Equity,12/2/02,15.61
AMAT UQ Equity,12/2/02,16.79
BBBY UQ Equity,12/2/02,34.71
CINF UQ Equity,12/2/02,34.8844
EA UQ Equity,12/2/02,33.79
ESRX UQ Equity,12/2/02,6.27
FISV UQ Equity,12/2/02,17.185
FITB UQ Equity,12/2/02,57.79
HBAN UQ Equity,12/2/02,19.51
LLTC UQ Equity,12/2/02,33.24
MXIM UQ Equity,12/2/02,42.81
1280712D UQ Equity,12/2/02,36.08
PAYX UQ Equity,12/2/02,29.51
PTC UQ Equity,12/2/02,8
QCOM UQ Equity,12/2/02,21.345
SBUX UQ Equity,12/2/02,5.395
SPLS UQ Equity,12/2/02,12.6867
SYMC UQ Equity,12/2/02,11.025
TLAB UQ Equity,12/2/02,8.77
TROW UQ Equity,12/2/02,15.53
XLNX UQ Equity,12/2/02,24.21
1519128D UQ Equity,12/2/02,5.4929
SANM UQ Equity,12/2/02,29.4
VIAV UQ Equity,12/2/02,15.2823
QLGC UQ Equity,12/2/02,21.61
APOL UQ Equity,12/2/02,41.27
NTAP UQ Equity,12/2/02,14.21
MWW UQ Equity,12/2/02,13.7919
CIEN UQ Equity,12/2/02,46.34
NVDA UQ Equity,12/2/02,5.6667
AMCC UQ Equity,12/2/02,19.6
WOR UN Equity,12/2/02,17.76
502466Q US Equity,12/2/02,64.47
0948669D UN Equity,12/2/02,16.21
TUP UN Equity,12/2/02,17.27
DPS UN Equity,#N/A N/A,
XRX UN Equity,12/2/02,22.6312
HBI UN Equity,#N/A N/A,
ALB UN Equity,12/2/02,15.58
EL UN Equity,12/2/02,13.935
