,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
EIX UN Equity,12/2/02,10.89
FE UN Equity,12/2/02,31.48
AXP UN Equity,12/2/02,33.8059
VZ UN Equity,12/2/02,37.0639
CAT UN Equity,12/2/02,24.61
HD UN Equity,12/2/02,26.47
WMT UN Equity,12/2/02,54.38
EKDKQ UN Equity,12/2/02,36.73
IP UN Equity,12/2/02,37.8469
AMD UN Equity,12/2/02,8.93
AFL UN Equity,12/2/02,30.75
BEAM UN Equity,12/2/02,35.2589
AEP UN Equity,12/2/02,28.17
HES UN Equity,12/2/02,18.5633
AON UN Equity,12/2/02,18.48
BHI UN Equity,12/2/02,33.87
BLL UN Equity,12/2/02,6.1388
CEG UN Equity,12/2/02,26.14
BCR UN Equity,12/2/02,27.71
BAX UN Equity,12/2/02,17.0963
HRB UN Equity,12/2/02,19.515
BSX UN Equity,12/2/02,21.395
CTL UN Equity,12/2/02,31.42
9876566D UN Equity,12/2/02,28.97
CMS UN Equity,12/2/02,9.76
CMA UN Equity,12/2/02,47.23
CSX UN Equity,12/2/02,4.56
TGT UN Equity,12/2/02,35.74
D UN Equity,12/2/02,25.1
DUK UN Equity,12/2/02,33.5874
PKI UN Equity,12/2/02,8.84
EOG UN Equity,12/2/02,9.7725
ETR UN Equity,12/2/02,44.16
EFX UN Equity,12/2/02,23.86
XL UN Equity,12/2/02,82.07
M UN Equity,12/2/02,16.5
TGNA UN Equity,12/2/02,36.0414
GPS UN Equity,12/2/02,15.99
GPC UN Equity,12/2/02,32
GR UN Equity,12/2/02,18.15
GT UN Equity,12/2/02,8.2
GWW UN Equity,12/2/02,53.59
HAL UN Equity,12/2/02,10.39
HOG UN Equity,12/2/02,47.97
HSY UN Equity,12/2/02,31.725
CNP UN Equity,12/2/02,7.1716
ITW UN Equity,12/2/02,34.43
IFF UN Equity,12/2/02,32.55
KSS UN Equity,12/2/02,66.44
LEG UN Equity,12/2/02,23.61
LNC UN Equity,12/2/02,35.05
0202445Q UN Equity,12/2/02,37.47
L UN Equity,12/2/02,13.4033
LOW UN Equity,12/2/02,20.58
1431816D UN Equity,12/2/02,8.03
RX UN Equity,12/2/02,16.39
WYE UN Equity,12/2/02,38.46
ROH UN Equity,12/2/02,35.03
THC UN Equity,12/2/02,71.04
NWL UN Equity,12/2/02,31.97
3517233Q UN Equity,12/2/02,32.07
NEM UN Equity,12/2/02,23.2
NI UN Equity,12/2/02,7.6313
AW UN Equity,12/2/02,11.22
3393199Q UN Equity,12/2/02,48.29
WFC UN Equity,12/2/02,23.125
3022239Q UN Equity,12/2/02,13.1853
NUE UN Equity,12/2/02,12.695
3423152Q UN Equity,12/2/02,17.99
OMC UN Equity,12/2/02,34.58
2968900Q UN Equity,12/2/02,41.6537
PH UN Equity,12/2/02,31.18
PPL UN Equity,12/2/02,15.0651
JCP UN Equity,12/2/02,24.57
DJ UN Equity,12/2/02,41.21
3692470Q UN Equity,12/2/02,44.7616
PNW UN Equity,12/2/02,32.25
BOL UN Equity,12/2/02,38.26
PBI UN Equity,12/2/02,34.86
PNC UN Equity,12/2/02,41.83
PX UN Equity,12/2/02,29.25
KSE UN Equity,12/2/02,35.1
3403545Q UN Equity,12/2/02,12.8
MEL UN Equity,12/2/02,29.94
RHI UN Equity,12/2/02,19.69
1293405D UN Equity,12/2/02,32.13
SWY UN Equity,12/2/02,21.4834
EOP UN Equity,12/2/02,25.99
SCHW UN Equity,12/2/02,11.64
SHW UN Equity,12/2/02,28.41
SNA UN Equity,12/2/02,29.93
SO UN Equity,12/2/02,25.5
BBT UN Equity,12/2/02,37.91
3605818Q UN Equity,12/2/02,39.46
3133754Q UN Equity,12/2/02,19.02
SWK UN Equity,12/2/02,35.71
GDW UN Equity,12/2/02,33.915
1086832D UN Equity,12/2/02,12.2302
0544749D UN Equity,12/2/02,22.1983
1500785D UN Equity,12/2/02,14.71
TER UN Equity,12/2/02,16.5
2307532Q UQ Equity,12/2/02,16.33
MEDI UQ Equity,12/2/02,25.98
SAF UQ Equity,12/2/02,36.21
KRI UN Equity,12/2/02,62.25
TIF UN Equity,12/2/02,28.7
2999130Q UN Equity,12/2/02,23.75
TJX UN Equity,12/2/02,10.05
1312089D UN Equity,12/2/02,23.57
TMK UN Equity,12/2/02,16.5867
CIN UN Equity,12/2/02,31.8
UNM UN Equity,12/2/02,16.95
RBK UN Equity,12/2/02,29.5
MERQ UQ Equity,12/2/02,32.61
VFC UN Equity,12/2/02,9.56
KRB UN Equity,12/2/02,21.65
VMC UN Equity,12/2/02,37.84
CPNLQ UN Equity,12/2/02,4.41
DPHIQ UN Equity,12/2/02,8.5
PVN UN Equity,12/2/02,6.29
987200Q UN Equity,12/2/02,24.84
WHR UN Equity,12/2/02,53.35
DALRQ UN Equity,12/2/02,13.39
WMB UN Equity,12/2/02,2.1231
NXTL UQ Equity,12/2/02,13.49
764144Q UN Equity,12/2/02,23.11
UCL UN Equity,12/2/02,29.61
TOY UN Equity,12/2/02,13.42
723588Q UN Equity,12/2/02,24.9
AES UN Equity,12/2/02,2.52
3153670Q UQ Equity,12/2/02,17.46
605018Q UN Equity,12/2/02,29.87
TAP UN Equity,12/2/02,31.8
UPC UN Equity,12/2/02,29.38
355488Q UN Equity,12/2/02,34.49
JWN UN Equity,12/2/02,10
STJ UN Equity,12/2/02,17.2
FHN UN Equity,12/2/02,30.8902
AN UN Equity,12/2/02,12.44
KEY UN Equity,12/2/02,25.84
CBS UN Equity,12/2/02,34.2307
AGN UN Equity,12/2/02,29.16
CB UN Equity,12/2/02,33.4
ALL UN Equity,12/2/02,38.8
EMN UN Equity,12/2/02,19.76
PRU UN Equity,12/2/02,30.2
LMT UN Equity,12/2/02,52.42
COF UN Equity,12/2/02,35.83
WAT UN Equity,12/2/02,26.64
LXK UN Equity,12/2/02,67.27
FII UN Equity,12/2/02,26.39
ATI UN Equity,12/2/02,7
YUM UN Equity,12/2/02,8.6107
SEE UN Equity,12/2/02,18.32
MCO UN Equity,12/2/02,22.055
RAI UN Equity,12/2/02,4.82
A UN Equity,12/2/02,13.0038
ANTM UN Equity,12/2/02,28.56
MET UN Equity,12/2/02,23.8824
FTR UN Equity,12/2/02,145.5
FLR UN Equity,12/2/02,13.82
0961514D UN Equity,12/2/02,41
SLM UN Equity,12/2/02,11.9058
XEL UN Equity,12/2/02,10.49
JNS UN Equity,12/2/02,14.9
ITT UN Equity,12/2/02,9.8877
ZBH UN Equity,12/2/02,37.46
MI UN Equity,12/2/02,22.4622
RSHCQ UN Equity,12/2/02,22.82
MHS UN Equity,#N/A N/A,
MDP UN Equity,12/2/02,43.15
HAS US Equity,12/2/02,13
KG UN Equity,12/2/02,18.72
PTV UN Equity,12/2/02,20.9
MBI UN Equity,12/2/02,44.73
MAT UN Equity,12/2/02,20.55
JNY UN Equity,12/2/02,37.04
RIG UN Equity,12/2/02,36.235
KATE UN Equity,12/2/02,32.4
HPC US Equity,12/2/02,9.07
MTG UN Equity,12/2/02,47.05
WAMUQ UN Equity,12/2/02,36.06
FNMA UN Equity,12/2/02,63.61
ABKFQ UN Equity,12/2/02,61.8
SNV UN Equity,12/2/02,62.7834
0910150D US Equity,12/2/02,13.75
TXU US Equity,12/2/02,7.59
NCR UN Equity,12/2/02,6.423
4621824Q UN Equity,12/2/02,41.23
CMVT UQ Equity,12/2/02,6.7127
LPX UN Equity,12/2/02,8.57
CTB UN Equity,12/2/02,16.02
AMGN UQ Equity,12/2/02,48.58
DELL UQ Equity,12/2/02,28.93
SIAL UQ Equity,12/2/02,24.655
BIIB UQ Equity,12/2/02,30.811
NTRS UQ Equity,12/2/02,40.03
PMCS UQ Equity,12/2/02,8.02
ZION UQ Equity,12/2/02,41.43
INTU UQ Equity,12/2/02,27.12
CTXS UQ Equity,12/2/02,9.1016
BRCM UQ Equity,12/2/02,12.9533
EBAY UQ Equity,12/2/02,7.4422
1288652D US Equity,12/2/02,37.6
VSTNQ UN Equity,12/2/02,7.94
NBR UA Equity,12/2/02,18.825
PWER UQ Equity,12/2/02,7.89
CR UN Equity,12/2/02,20.92
DLX UN Equity,12/2/02,42.84
DVN UA Equity,12/2/02,23.045
TNB UN Equity,12/2/02,18.76
AA UN Equity,12/2/02,57.2878
BA UN Equity,12/2/02,34.3
JPM UN Equity,12/2/02,25.22
CVX UN Equity,12/2/02,33.33
KO UN Equity,12/2/02,22.6
DIS UN Equity,12/2/02,19.1322
DD UN Equity,12/2/02,41.7983
XOM UN Equity,12/2/02,34.58
GE UN Equity,12/2/02,27.2
HPQ UN Equity,12/2/02,9.0029
IBM UN Equity,12/2/02,87.3
JNJ UN Equity,12/2/02,55.7
MCD UN Equity,12/2/02,18.74
MRK UN Equity,12/2/02,56.7401
MMM UN Equity,12/2/02,64.225
BAC UN Equity,12/2/02,34.555
PFE UN Equity,12/2/02,31.3
PG UN Equity,12/2/02,41.4
T UN Equity,12/2/02,28.35
TRV UN Equity,12/2/02,36
UTX UN Equity,12/2/02,31.595
MTLQQ UN Equity,12/2/02,39.95
C UN Equity,12/2/02,385.2
AIG UN Equity,12/2/02,1074.6153
HON UN Equity,12/2/02,25.683
MO UN Equity,12/2/02,8.7955
INTC UQ Equity,12/2/02,21.05
MSFT UQ Equity,12/2/02,28.845
ABT UN Equity,12/2/02,18.819
APD UN Equity,12/2/02,40.9001
1284849D UN Equity,12/2/02,29.275
APC UN Equity,12/2/02,23.875
ADI UN Equity,12/2/02,30.84
APA UN Equity,12/2/02,25.9048
ADM UN Equity,12/2/02,13.14
AZO UN Equity,12/2/02,80.06
AVY UN Equity,12/2/02,63.61
AVP UN Equity,12/2/02,25.465
BK UN Equity,12/2/02,31.9377
BDX UN Equity,12/2/02,30.01
BMS UN Equity,12/2/02,25.35
BBY UN Equity,12/2/02,18.7
