,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
BF/B UN Equity,12/2/94,3.9833
UN UN Equity,12/2/94,10.465
1005945D US Equity,12/2/94,18.25
162007Q UN Equity,12/2/94,39.375
UEP UN Equity,12/2/94,35.375
BGG UN Equity,12/2/94,15.9648
GAPTQ UN Equity,12/2/94,23
WBA UN Equity,12/2/94,5.0938
RDPL UN Equity,12/2/94,26.8125
TCOMA UQ Equity,#N/A N/A,
DTE UN Equity,12/2/94,26.875
AA UN Equity,12/2/94,22.9554
ABX UN Equity,12/2/94,20.875
AXP UN Equity,12/2/94,8.717
VZ UN Equity,12/2/94,22.5207
NRTLQ UN Equity,12/2/94,40.7813
BA UN Equity,12/2/94,22.688
CAT UN Equity,12/2/94,13.3438
JPM UN Equity,12/2/94,12.4583
CVX UN Equity,12/2/94,21.3125
KO UN Equity,12/2/94,12.9063
DIS UN Equity,12/2/94,14.3072
DD UN Equity,12/2/94,25.8271
XOM UN Equity,12/2/94,15.125
GE UN Equity,12/2/94,7.875
HPQ UN Equity,12/2/94,4.307
228510Q US Equity,12/2/94,21.5
HD UN Equity,12/2/94,10.361
IBM UN Equity,12/2/94,17.8438
JNJ UN Equity,12/2/94,13.438
MCD UN Equity,12/2/94,14.188
MRK UN Equity,12/2/94,17.8644
MMM UN Equity,12/2/94,24.839
PFE UN Equity,12/2/94,6.25
PG UN Equity,12/2/94,15.5625
T UN Equity,12/2/94,20.6875
TRV UN Equity,12/2/94,20.813
UTX UN Equity,12/2/94,7.469
WMT UN Equity,12/2/94,11.25
41018Q US Equity,12/2/94,32.38
TKR UN Equity,12/2/94,11.633
MTLQQ UN Equity,12/2/94,30.4166
C UN Equity,12/2/94,51.3481
AIG UN Equity,12/2/94,247.2177
PCH UN Equity,12/2/94,30.6037
HON UN Equity,12/2/94,16.4061
MO UN Equity,12/2/94,4.6003
INTC UQ Equity,12/2/94,3.9297
MSFT UQ Equity,12/2/94,3.9531
EKDKQ UN Equity,12/2/94,46.375
IP UN Equity,12/2/94,34.8745
ARB UN Equity,12/2/94,15.0304
ABT UN Equity,12/2/94,6.9928
APD UN Equity,12/2/94,20.3391
1284849D UN Equity,12/2/94,6.9507
BEAM UN Equity,12/2/94,16.1762
AEP UN Equity,12/2/94,32.75
HES UN Equity,12/2/94,14.9583
ADM UN Equity,12/2/94,13.2661
AVY UN Equity,12/2/94,16.3125
AVP UN Equity,12/2/94,7.625
BHI UN Equity,12/2/94,18.625
BLL UN Equity,12/2/94,1.7891
CEG UN Equity,12/2/94,23
BK UN Equity,12/2/94,7.2543
BCR UN Equity,12/2/94,13.1875
BAX UN Equity,12/2/94,6.1296
BDX UN Equity,12/2/94,11.75
BMS UN Equity,12/2/94,11
HRB UN Equity,12/2/94,8.7188
BMY UN Equity,12/2/94,13.8008
RAD UN Equity,12/2/94,11.5
CPB UN Equity,12/2/94,20.0984
9876566D UN Equity,12/2/94,17.9063
CI UN Equity,12/2/94,7.111
MZIAQ UN Equity,12/2/94,205.6943
CLX UN Equity,12/2/94,14.625
CL UN Equity,12/2/94,7.4844
CMA UN Equity,12/2/94,17.4167
2731112Q US Equity,12/2/94,30
NC UN Equity,12/2/94,3.7931
CSC UN Equity,12/2/94,13.353
CAG UN Equity,12/2/94,12.11
JOSEA US Equity,12/2/94,17.875
ED UN Equity,12/2/94,25.875
CBE UN Equity,12/2/94,17.375
WOR UQ Equity,#N/A N/A,
GLW UN Equity,12/2/94,8.4
CSX UN Equity,12/2/94,5.6979
PBY UN Equity,12/2/94,32
CMI UN Equity,12/2/94,10.969
SCI UN Equity,12/2/94,12.6875
TGT UN Equity,12/2/94,6.6667
DE UN Equity,12/2/94,10.5
FLTWQ UN Equity,12/2/94,19.625
D UN Equity,12/2/94,18.4375
FWLT US Equity,12/2/94,287.5
DOV UN Equity,12/2/94,10.5766
RNB US Equity,12/2/94,21.625
DOW UN Equity,12/2/94,21.375
DUK UN Equity,12/2/94,35.5872
ETN UN Equity,12/2/94,10.1141
ECL UN Equity,12/2/94,5.125
PPW US Equity,12/2/94,18.5
PKI UN Equity,12/2/94,7.4375
EMR UN Equity,12/2/94,15
ETR UN Equity,12/2/94,22.625
FDX UN Equity,12/2/94,13.9688
FTLAQ US Equity,12/2/94,27
M UN Equity,12/2/94,9.8125
FMC UN Equity,12/2/94,7.8692
F UN Equity,12/2/94,17.4647
NEE UN Equity,12/2/94,17.625
FCX UN Equity,#N/A N/A,
TGNA UN Equity,12/2/94,12.1017
GPS UN Equity,12/2/94,4.8704
GD UN Equity,12/2/94,10.156
GIS UN Equity,12/2/94,11.1576
GPC UN Equity,12/2/94,23.1667
GR UN Equity,12/2/94,21.4309
GT UN Equity,12/2/94,33.75
JWN UQ Equity,#N/A N/A,
GWW UN Equity,12/2/94,26
HRZIQ US Equity,12/2/94,26.375
HAL UN Equity,12/2/94,8.1601
HRS UN Equity,12/2/94,8.0044
CBS UA Equity,12/2/94,14.4318
HNZ UN Equity,12/2/94,21.998
HP UN Equity,12/2/94,4.9879
HSY UN Equity,12/2/94,11.75
TAP UQ Equity,#N/A N/A,
CNP UN Equity,12/2/94,13.9136
HUM UN Equity,12/2/94,21.625
ITW UN Equity,12/2/94,10.4375
IR UN Equity,12/2/94,8.4475
FL UN Equity,12/2/94,14.125
IPG UN Equity,12/2/94,10.3333
IFF UN Equity,12/2/94,44.625
1436513D UN Equity,12/2/94,3.9583
K UN Equity,12/2/94,29.1875
KMB UN Equity,12/2/94,23.1454
KR UN Equity,12/2/94,2.9844
LLY UN Equity,12/2/94,15.4375
653707Q UN Equity,12/2/94,35.0753
CAR UN Equity,12/2/94,17.5492
