,Average price of S&P 1-Jan,
LB UN Equity,12/2/94,9.2698
3277Q UN Equity,#N/A N/A,
LNC UN Equity,12/2/94,19.1875
0202445Q UN Equity,12/2/94,21.3878
L UN Equity,12/2/94,7.2708
LOW UN Equity,12/2/94,4.7656
1431816D UN Equity,12/2/94,10.25
BDK UN Equity,12/2/94,24
MMC UN Equity,12/2/94,12.1875
MAS UN Equity,12/2/94,9.6678
BNI UN Equity,12/2/94,16.5833
SPGI UN Equity,12/2/94,8.422
MDT UN Equity,12/2/94,6.7188
CVS UN Equity,12/2/94,6.7038
SGP UN Equity,12/2/94,9.375
WYE UN Equity,12/2/94,16.3438
MSI UN Equity,12/2/94,69.952
0226226D UN Equity,12/2/94,4.6236
ROH UN Equity,12/2/94,18.25
THC UN Equity,12/2/94,36.6667
NWL UN Equity,12/2/94,21.875
3517233Q UN Equity,12/2/94,27.75
NEM UN Equity,12/2/94,36.25
1073675D UQ Equity,12/2/94,6.625
MER UN Equity,12/2/94,9.0938
NKE UN Equity,12/2/94,2.0117
NCC UN Equity,12/2/94,12.5
0948669D US Equity,12/2/94,27.25
NSC UN Equity,12/2/94,20.75
3286728Q UN Equity,12/2/94,6.9688
3393199Q UN Equity,12/2/94,12.4322
NOC UN Equity,12/2/94,18.484
WWY UN Equity,12/2/94,18.5
WFC UN Equity,12/2/94,5.5
NUE UN Equity,12/2/94,13.5
OXY UN Equity,12/2/94,9.3526
OKE UN Equity,12/2/94,3.748
PCG UN Equity,12/2/94,24.125
PH UN Equity,12/2/94,13
PPL UN Equity,12/2/94,9.1634
HET UN Equity,12/2/94,19.4756
JCP UN Equity,12/2/94,42.875
TRB UN Equity,12/2/94,12.5
PEP UN Equity,12/2/94,16.633
DJ UN Equity,12/2/94,29
EXC UN Equity,12/2/94,12.0625
NYT US Equity,12/2/94,11.8125
3692470Q UN Equity,12/2/94,23.0234
COP UN Equity,12/2/94,12.4353
TEK UN Equity,12/2/94,12.375
PHM UN Equity,12/2/94,2.5
BOL UN Equity,12/2/94,33.5
PBI UN Equity,12/2/94,15.5533
1317355D UN Equity,12/2/94,6.3641
PPG UN Equity,12/2/94,18.438
PX UN Equity,12/2/94,10.125
0376152D US Equity,12/2/94,8.125
PEG UN Equity,12/2/94,12.875
MEL UN Equity,12/2/94,8.1875
RTN UN Equity,12/2/94,31.125
RDC UN Equity,12/2/94,6.875
R UN Equity,12/2/94,22.125
HSH UN Equity,12/2/94,23.7529
PD UN Equity,12/2/94,28.75
PGL UN Equity,12/2/94,24.5
EIX UN Equity,12/2/94,14.25
LUB UN Equity,12/2/94,23
SLB UN Equity,12/2/94,11.8297
SHOY US Equity,12/2/94,13.5
SHW UN Equity,12/2/94,15.438
BLS UN Equity,12/2/94,12.9063
SNA UN Equity,12/2/94,20.917
SO UN Equity,12/2/94,12.5613
CNW UN Equity,12/2/94,15.6793
LUV UN Equity,12/2/94,4
STJ US Equity,12/2/94,6.5417
3605818Q UN Equity,12/2/94,23.5207
0848680D UN Equity,12/2/94,9.7219
YRCW UQ Equity,12/2/94,0
SWK UN Equity,12/2/94,17.813
GDW UN Equity,12/2/94,5.7917
1086832D UN Equity,12/2/94,11.4918
0544749D UN Equity,12/2/94,22.5357
STI UN Equity,12/2/94,23.5625
SVU UN Equity,12/2/94,84
VVI UN Equity,12/2/94,10.0973
ANDW UQ Equity,12/2/94,14
SYY UN Equity,12/2/94,6.5313
CVGYQ US Equity,12/2/94,19.5
0964591D UQ Equity,12/2/94,5.5556
JAVA UQ Equity,12/2/94,4.1094
CAL UN Equity,12/2/94,14.0556
TXT UN Equity,12/2/94,12.25
SAF UQ Equity,12/2/94,24.75
KRI UN Equity,12/2/94,23.8125
2999130Q UN Equity,12/2/94,14.8333
TJX UN Equity,12/2/94,0.9609
1312089D UN Equity,12/2/94,28.75
TMK UN Equity,12/2/94,6.5463
HDLM UN Equity,12/2/94,11.625
JCI UN Equity,12/2/94,4.1526
929530Q UN Equity,12/2/94,17.625
UNP UN Equity,12/2/94,7.6446
CIN UN Equity,12/2/94,22
UNH UN Equity,12/2/94,5.906
3080867Q UN Equity,12/2/94,14.625
UNM UN Equity,12/2/94,19.1875
DCNAQ UN Equity,12/2/94,21.75
MRO UN Equity,12/2/94,5.3497
3026360Q UN Equity,12/2/94,9.8125
X UN Equity,12/2/94,34
RBK UN Equity,12/2/94,38.25
VFC UN Equity,12/2/94,6
GP UN Equity,12/2/94,24.9781
1028411Q UN Equity,12/2/94,17.9688
WY UN Equity,12/2/94,15.0916
987200Q UN Equity,12/2/94,21.1064
WHR UN Equity,12/2/94,46.625
DALRQ UN Equity,12/2/94,24.75
WMB UN Equity,12/2/94,6.9652
UCL UN Equity,12/2/94,26.625
XRX UN Equity,12/2/94,43.2512
TOY UN Equity,12/2/94,36.125
723588Q UN Equity,12/2/94,46.6523
605555Q UN Equity,12/2/94,25.1565
WNDXQ UN Equity,12/2/94,25.8125
748957Q UN Equity,12/2/94,13.629
2727195Q UN Equity,12/2/94,12.7917
297504Q UN Equity,12/2/94,32.25
8214761Q UN Equity,12/2/94,22.471
INCLF UN Equity,12/2/94,29.25
PDG UN Equity,12/2/94,18.625
UAWGQ UN Equity,12/2/94,4.625
680884Q UN Equity,12/2/94,7.975
NMK UN Equity,12/2/94,14.125
544791Q UN Equity,12/2/94,22.9375
1051665D UN Equity,12/2/94,23.0833
KMRTQ UN Equity,12/2/94,14.125
HM UN Equity,12/2/94,16.875
RAL UN Equity,12/2/94,10.746
329556Q UN Equity,12/2/94,15.2973
ENRNQ UN Equity,12/2/94,14
GPUI UN Equity,12/2/94,25.875
677004Q UN Equity,12/2/94,30.4375
950967Q UN Equity,12/2/94,13.4375
ETS UN Equity,12/2/94,125.913
OAT UN Equity,12/2/94,31.3125
LDG UN Equity,12/2/94,15.6875
739306Q UN Equity,12/2/94,28.8095
AZA UN Equity,12/2/94,9.2948
PLL UN Equity,12/2/94,18
1255177D UN Equity,12/2/94,29
CGP UN Equity,12/2/94,13.0625
253647Q UN Equity,12/2/94,16.875
KEY UN Equity,12/2/94,12.125
3253Q UN Equity,12/2/94,44.875
PRDCQ UN Equity,12/2/94,31.5
RML UN Equity,12/2/94,29.75
304024Q UN Equity,#N/A N/A,
BHMSQ UN Equity,12/2/94,17.5
291784Q UN Equity,12/2/94,29.625
FJ UN Equity,12/2/94,19.6713
ACKH UN Equity,12/2/94,39.375
68335Q UN Equity,12/2/94,16.1667
2269312Q UN Equity,12/2/94,25.625
UCM UN Equity,12/2/94,23.375
MKG UN Equity,12/2/94,29.875
MS UN Equity,12/2/94,7.2894
236555Q UN Equity,12/2/94,24.0201
OWENQ UN Equity,12/2/94,28.625
ALL UN Equity,12/2/94,11.75
USW UN Equity,12/2/94,21.3564
571300Q UN Equity,12/2/94,30.25
IKN UN Equity,12/2/94,22.9071
SGID UN Equity,12/2/94,10.6167
WLA UN Equity,12/2/94,12.6667
140402Q UN Equity,12/2/94,34.25
UMGI UN Equity,#N/A N/A,
EMN UN Equity,12/2/94,24.4375
TMC UN Equity,12/2/94,21.4909
RLM UN Equity,12/2/94,48.875
300583Q UN Equity,12/2/94,51.4375
285939Q UN Equity,#N/A N/A,
CNRG UN Equity,12/2/94,34.75
LMT UN Equity,#N/A N/A,
LDWIF UN Equity,12/2/94,7.25
2755Q UN Equity,12/2/94,29.375
3891289Q UN Equity,12/2/94,42.0625
2770014Q UN Equity,12/2/94,17
DRI UN Equity,#N/A N/A,
0820143D UN Equity,12/2/94,26.375
93916Q UN Equity,12/2/94,27.75
363096Q UN Equity,12/2/94,26.25
183291Q UN Equity,12/2/94,10.5
3054Q UN Equity,12/2/94,19.6875
2288005Q UN Equity,#N/A N/A,
BKB UN Equity,12/2/94,13.125
HIG UN Equity,#N/A N/A,
RYC UN Equity,12/2/94,16.625
3459Q UN Equity,12/2/94,28.375
375573Q UN Equity,12/2/94,32
2972Q UN Equity,12/2/94,23.5625
2745Q UN Equity,12/2/94,26.875
2691Q UN Equity,12/2/94,13.375
399463Q UN Equity,12/2/94,58.125
MWI UN Equity,12/2/94,17.25
896661Q UN Equity,12/2/94,46.25
968734Q UN Equity,12/2/94,29.75
611647Q UN Equity,12/2/94,35.4375
RBD UN Equity,12/2/94,27.25
ORX UN Equity,12/2/94,12
2500Q UN Equity,12/2/94,30.3125
231079Q UN Equity,12/2/94,23.2364
134618Q UN Equity,12/2/94,118.5
AS UN Equity,12/2/94,6.125
1567Q UN Equity,12/2/94,16
2251Q UN Equity,12/2/94,24.3125
2223Q UN Equity,12/2/94,145.375
504369Q UN Equity,12/2/94,33.5
2428Q UN Equity,12/2/94,27.75
370506Q UN Equity,12/2/94,21
45861Q UN Equity,12/2/94,16.375
2196Q UN Equity,12/2/94,20.625
0943554D UN Equity,12/2/94,19.625
3619382Q UN Equity,12/2/94,18.2077
0598884D UQ Equity,#N/A N/A,
2206Q UQ Equity,#N/A N/A,
WAI UN Equity,12/2/94,33.7432
WMX UN Equity,12/2/94,25.625
GFS/A UA Equity,12/2/94,22.375
2282655Q UN Equity,12/2/94,29.75
2218Q UN Equity,12/2/94,36
3520842Q UN Equity,12/2/94,32.625
RHDCQ UN Equity,12/2/94,8.8335
DEC UN Equity,12/2/94,33.5
PET UN Equity,12/2/94,21
SDH UN Equity,12/2/94,8.8246
JH UN Equity,12/2/94,20.25
2106Q UN Equity,12/2/94,14.5
1558530D UN Equity,12/2/94,13.625
263179Q UN Equity,12/2/94,25.125
3147Q UN Equity,#N/A N/A,
2638Q UN Equity,12/2/94,19.6875
PAS UN Equity,12/2/94,10.133
204923Q UN Equity,#N/A N/A,
ECO UA Equity,12/2/94,10.25
1802Q UN Equity,12/2/94,14.375
FLMIQ UN Equity,12/2/94,22.75
TXN UN Equity,12/2/94,4.6797
2822069Q UN Equity,12/2/94,36.125
LLX UN Equity,12/2/94,40.125
SRR UN Equity,12/2/94,11.75
TDM UN Equity,12/2/94,17
1974Q UA Equity,12/2/94,9.625
NAE UN Equity,12/2/94,5.75
334702Q UN Equity,12/2/94,12.375
0111145D UN Equity,12/2/94,23.25
3147596Q UN Equity,12/2/94,23.4583
210967Q UN Equity,12/2/94,37.5
0961514D UN Equity,12/2/94,26.5
2168Q UQ Equity,#N/A N/A,
231330Q UN Equity,12/2/94,16.875
1013207D UN Equity,12/2/94,4.6674
GIDL UQ Equity,#N/A N/A,
XEL UN Equity,12/2/94,22.6875
ITT UN Equity,12/2/94,2.4995
1618Q UN Equity,12/2/94,30.25
316419Q UN Equity,12/2/94,20.875
90457Q UN Equity,12/2/94,22.1667
RSHCQ UN Equity,12/2/94,11.3438
1680Q UN Equity,12/2/94,51.25
1581Q UN Equity,12/2/94,27.75
MEE UN Equity,12/2/94,10.6276
202550Q UN Equity,12/2/94,12.625
693365Q UN Equity,12/2/94,28.625
RYAN UQ Equity,12/2/94,4.5833
AALEA UN Equity,12/2/94,18.75
BLY UN Equity,12/2/94,5.2915
1511Q UN Equity,12/2/94,38.5
THY UN Equity,12/2/94,9.875
MDP UN Equity,12/2/94,12.2188
OM UN Equity,12/2/94,18.75
1463Q UN Equity,12/2/94,24.8021
1513Q UN Equity,12/2/94,34.5
VAT UN Equity,12/2/94,36.875
2746Q UN Equity,12/2/94,17.625
USHC UQ Equity,#N/A N/A,
2784Q UN Equity,12/2/94,11.8603
1327Q UN Equity,12/2/94,35.375
0440296D UN Equity,12/2/94,69.375
1356Q UN Equity,12/2/94,19.625
2987Q UN Equity,12/2/94,18.25
FBO UN Equity,12/2/94,26.5
MU UN Equity,12/2/94,10.5
KBH UN Equity,12/2/94,6.4375
MAT UN Equity,12/2/94,17.44
RRD UN Equity,12/2/94,46.2204
KATE UN Equity,12/2/94,11.25
ASH UN Equity,12/2/94,10.9657
HPC US Equity,12/2/94,37.9583
UIS UN Equity,12/2/94,92.5
DDS UN Equity,12/2/94,27.875
FMCC UN Equity,12/2/94,12.8438
OMX UN Equity,12/2/94,23.875
BC UN Equity,12/2/94,17.75
CA UN Equity,12/2/94,13.2593
CCTYQ UN Equity,12/2/94,7.9263
TIN UN Equity,12/2/94,12.9955
HAS UN Equity,#N/A N/A,
0910150D US Equity,12/2/94,11.7083
TXU US Equity,12/2/94,16.0625
NAV UN Equity,12/2/94,13.375
1281683D UN Equity,12/2/94,7.4963
LPX UN Equity,12/2/94,27.5
CTB UN Equity,12/2/94,23.25
AMGN UQ Equity,12/2/94,7.094
AAPL UQ Equity,12/2/94,1.3058
ADSK UQ Equity,12/2/94,9.25
NOVL UQ Equity,12/2/94,19.5
ORCL UQ Equity,12/2/94,1.9969
PCAR UQ Equity,12/2/94,4.1235
COST UQ Equity,12/2/94,7.5
SIAL UQ Equity,12/2/94,8.375
AMAT UQ Equity,12/2/94,2.9063
TLAB UQ Equity,12/2/94,5.8438
1288652D US Equity,12/2/94,15
CR UN Equity,12/2/94,11.1681
DLX UN Equity,12/2/94,21.3873
TNB UN Equity,12/2/94,33.1875
MDR UN Equity,12/2/94,4.1508
AAMRQ UN Equity,12/2/94,11.4875
CMCSK UQ Equity,12/2/94,5.25
BAC UN Equity,12/2/94,11.4063
AMD UN Equity,12/2/94,12.5
CCK UN Equity,12/2/94,37.5
BSX UN Equity,12/2/94,4
2200Q US Equity,12/2/94,41.125
1255173D UN Equity,12/2/94,20
3022239Q UN Equity,12/2/94,6.7917
PNC UN Equity,12/2/94,20.75
1958Q US Equity,12/2/94,27.75
BCO UN Equity,12/2/94,9.5562
KRB UN Equity,12/2/94,3.177
3621240Q UN Equity,12/2/94,22.1074
FBF UN Equity,12/2/94,15.6875
3346Q UN Equity,12/2/94,11.0417
45200Q UN Equity,12/2/94,21.625
667517Q UN Equity,12/2/94,12.5
2036Q UN Equity,12/2/94,29
0203524D UN Equity,12/2/94,8.875
1423Q UN Equity,12/2/94,82
FFB UN Equity,12/2/94,44.75
ADP UN Equity,12/2/94,10.835
FNMA UN Equity,12/2/94,18
CSCO UQ Equity,12/2/94,1.8194
DPS UN Equity,#N/A N/A,
XRX UN Equity,12/2/94,43.2512
HBI UN Equity,#N/A N/A,
ALB UN Equity,12/2/94,6.75
EL UN Equity,#N/A N/A,
