,Average price of S&P 1-Jan,
2755Q UN Equity,12/3/93,5.1484
0820143D UN Equity,12/3/93,8.8663
363096Q UN Equity,12/3/93,8.2188
375573Q UN Equity,12/3/93,15.875
2972Q UN Equity,12/3/93,58.7261
2745Q UN Equity,#N/A N/A,
MWI UN Equity,12/3/93,18
896661Q UN Equity,12/3/93,33.3333
968734Q UN Equity,12/3/93,20.125
ORX UN Equity,12/3/93,26.875
2500Q UN Equity,12/3/93,43.0655
AS UN Equity,12/3/93,12.625
1567Q UN Equity,12/3/93,20.25
504369Q UN Equity,12/3/93,11.625
45861Q UN Equity,12/3/93,1.5
WMX UN Equity,12/3/93,31.75
2218Q UN Equity,12/3/93,22.5833
3520842Q UN Equity,12/3/93,12.3708
RHDCQ UN Equity,12/3/93,17.18
PET UN Equity,12/3/93,17.4
SDH UN Equity,12/3/93,5.75
2106Q UN Equity,12/3/93,56.7524
2638Q UN Equity,12/3/93,7.67
PAS UN Equity,12/3/93,13.5
1802Q UN Equity,12/3/93,8.7531
FLMIQ UN Equity,12/3/93,4.4594
2822069Q UN Equity,12/3/93,34.25
LLX UN Equity,12/3/93,10.5926
SRR UN Equity,12/3/93,33.5909
1974Q UA Equity,12/3/93,55.875
NAE UN Equity,#N/A N/A,
334702Q UN Equity,12/3/93,18.481
0111145D UN Equity,12/3/93,38.875
210967Q UN Equity,12/3/93,13.875
231330Q UN Equity,12/3/93,14.0625
XEL UN Equity,12/3/93,7.75
ITT UN Equity,12/3/93,7.2917
316419Q UN Equity,12/3/93,4.4844
90457Q UN Equity,12/3/93,52.875
1680Q UN Equity,12/3/93,20.8597
693365Q UN Equity,12/3/93,29.375
RYAN UQ Equity,12/3/93,17.813
AALEA UN Equity,12/3/93,8.375
BLY UN Equity,12/3/93,10.25
1463Q UN Equity,12/3/93,26
2987Q UN Equity,12/3/93,15.75
FBO UN Equity,12/3/93,38.25
1423Q UN Equity,12/3/93,9.5625
FFB UN Equity,12/3/93,31.875
279776Q UN Equity,12/3/93,8.625
ZRN UN Equity,12/3/93,24.6243
UPJ UN Equity,12/3/93,25.467
KATE UN Equity,12/3/93,22.8125
DDS UN Equity,12/3/93,29
FMCC UN Equity,12/3/93,20.125
FNMA UN Equity,12/3/93,21.875
BC UN Equity,12/3/93,12.7806
TIN UN Equity,12/3/93,21.875
0910150D US Equity,12/3/93,29.375
LPX UN Equity,12/3/93,16.563
CTB UN Equity,12/3/93,14.4063
AMGN UQ Equity,12/3/93,25.333
ADSK UQ Equity,12/3/93,12.9039
PCAR UQ Equity,12/3/93,18.8362
SIAL UQ Equity,12/3/93,11.9375
1288652D US Equity,12/3/93,10.9737
CR UN Equity,12/3/93,0
DLX UN Equity,12/3/93,20.625
TNB UN Equity,12/3/93,6.4583
AAMRQ UN Equity,12/3/93,12.7918
AA UN Equity,12/3/93,22.4754
AXP UN Equity,12/3/93,22.125
CAT UN Equity,12/3/93,115.5
DIS UN Equity,12/3/93,9.0935
DD UN Equity,12/3/93,6.6667
XOM UN Equity,12/3/93,7.3438
HPQ UN Equity,12/3/93,23.25
HD UN Equity,12/3/93,4.8333
PFE UN Equity,12/3/93,3.4375
PG UN Equity,12/3/93,15
UTX UN Equity,12/3/93,13.75
41018Q US Equity,12/3/93,29.0625
HON UN Equity,12/3/93,30.375
MO UN Equity,12/3/93,16
MSFT UQ Equity,12/3/93,2.6797
3277Q US Equity,12/3/93,24.5
ABT UN Equity,12/3/93,8.4646
AMD UN Equity,12/3/93,12.625
APD UN Equity,12/3/93,4.3444
BEAM UN Equity,12/3/93,22.375
304024Q US Equity,12/3/93,10.4876
ADM UN Equity,12/3/93,10.5854
AVY UN Equity,12/3/93,16.625
BHI UN Equity,12/3/93,27.3125
BLL UN Equity,12/3/93,25.25
BAX UN Equity,12/3/93,8.3438
BDX UN Equity,12/3/93,36.375
BMS UN Equity,12/3/93,30.75
HRB UN Equity,12/3/93,5.5313
CPB UN Equity,12/3/93,2.7654
CLX UN Equity,12/3/93,25.1984
CSC UN Equity,12/3/93,7.5
CAG UN Equity,12/3/93,15.75
CBE UN Equity,12/3/93,18.0076
GLW UN Equity,12/3/93,25.6292
CSX UN Equity,12/3/93,62
PBY UN Equity,12/3/93,29.375
CMI UN Equity,12/3/93,6.7465
SCI UN Equity,12/3/93,2.0303
TGT UN Equity,12/3/93,51.375
DE UN Equity,12/3/93,26.75
FLTWQ UN Equity,12/3/93,36.1159
D UN Equity,12/3/93,40.375
ETN UN Equity,12/3/93,66.3355
PPW US Equity,12/3/93,6.875
EMR UN Equity,12/3/93,28.9905
2288005Q US Equity,12/3/93,27.4375
FDX UN Equity,12/3/93,28.1743
F UN Equity,12/3/93,347.5
GPS UN Equity,12/3/93,14.75
GD UN Equity,12/3/93,18
GIS UN Equity,12/3/93,3.6977
GPC UN Equity,12/3/93,8.688
GR UN Equity,12/3/93,8.625
GT UN Equity,12/3/93,5.1993
JWN UQ Equity,#N/A N/A,
HRZIQ US Equity,12/3/93,11.4583
HRS UN Equity,12/3/93,55.875
HNZ UN Equity,12/3/93,13.4356
HP UN Equity,12/3/93,33.125
HSY UN Equity,12/3/93,51.375
TAP UQ Equity,#N/A N/A,
TCOMA US Equity,12/3/93,18.4464
IR UN Equity,12/3/93,24
FL UN Equity,12/3/93,24.9212
1436513D UN Equity,12/3/93,53.947
KMB UN Equity,12/3/93,2.6331
653707Q UN Equity,12/3/93,13.25
LB UN Equity,12/3/93,4.9417
0598884D US Equity,12/3/93,20.25
0202445Q UN Equity,12/3/93,21.125
2206Q US Equity,12/3/93,22.25
LOW UN Equity,12/3/93,23
BDK UN Equity,12/3/93,20.25
BNI UN Equity,12/3/93,8.806
MDT UN Equity,12/3/93,14.1149
SGP UN Equity,12/3/93,15.125
0226226D UN Equity,12/3/93,31.5625
THC UN Equity,12/3/93,14.6875
1073675D UQ Equity,12/3/93,37.8125
MER UN Equity,12/3/93,16.375
NKE UN Equity,12/3/93,34.2113
NCC UN Equity,12/3/93,12.125
0948669D US Equity,12/3/93,19
3286728Q UN Equity,12/3/93,20.75
NOC UN Equity,12/3/93,13.5625
WWY UN Equity,12/3/93,22.1875
204923Q US Equity,12/3/93,61.25
PH UN Equity,12/3/93,35.875
HET UN Equity,12/3/93,28.25
JCP UN Equity,12/3/93,17.375
TRB UN Equity,12/3/93,27.5
EXC UN Equity,12/3/93,17.7979
3692470Q UN Equity,12/3/93,21.2838
TEK UN Equity,12/3/93,26.875
1317355D UN Equity,12/3/93,5.5644
PPG UN Equity,12/3/93,8.0677
GIDL US Equity,12/3/93,21.7518
MEL UN Equity,12/3/93,46.5
RTN UN Equity,12/3/93,27.9791
HSH UN Equity,12/3/93,36.875
PGL UN Equity,12/3/93,20.3843
LUB UN Equity,12/3/93,10.8542
SLB UN Equity,12/3/93,30.5
SHOY US Equity,12/3/93,29.75
1958Q US Equity,12/3/93,23.144
SHW UN Equity,12/3/93,44.875
BLS UN Equity,12/3/93,14.25
CNW UN Equity,12/3/93,51.625
3605818Q UN Equity,12/3/93,45.25
YRCW UQ Equity,12/3/93,32.75
1086832D UN Equity,12/3/93,37.875
SVU UN Equity,12/3/93,20.5625
ANDW UQ Equity,12/3/93,20.375
SYY UN Equity,12/3/93,29
CVGYQ US Equity,12/3/93,23.125
0964591D UQ Equity,12/3/93,9.75
JAVA UQ Equity,12/3/93,19.4375
CAL UN Equity,12/3/93,18.625
USHC US Equity,12/3/93,38.75
TXT UN Equity,12/3/93,37.375
SAF UQ Equity,12/3/93,28.625
KRI UN Equity,12/3/93,10.375
TJX UN Equity,12/3/93,77.625
1312089D UN Equity,12/3/93,19.875
HDLM UN Equity,12/3/93,47.5
JCI UN Equity,12/3/93,32.5
929530Q UN Equity,12/3/93,29.5
UNP UN Equity,12/3/93,33.625
CIN UN Equity,12/3/93,26.875
3080867Q UN Equity,12/3/93,26.375
3026360Q UN Equity,12/3/93,26.8347
X UN Equity,12/3/93,110.375
ZETHQ US Equity,12/3/93,6
BSET UQ Equity,12/3/93,11.5
1028411Q UN Equity,12/3/93,27.0625
WY UN Equity,12/3/93,118.125
1270Q US Equity,12/3/93,34.875
987200Q UN Equity,12/3/93,29.625
WHR UN Equity,12/3/93,21.875
DALRQ UN Equity,12/3/93,18.875
WMB UN Equity,12/3/93,22.375
1624Q US Equity,12/3/93,19.25
TOY UN Equity,12/3/93,14.2666
HTMXQ UN Equity,12/3/93,25.75
605555Q UN Equity,12/3/93,23.75
WNDXQ UN Equity,12/3/93,32.5
FWLT UN Equity,12/3/93,36.9375
1291Q US Equity,12/3/93,32.125
WOR US Equity,12/3/93,10.5877
USB US Equity,12/3/93,36.5
FBF UN Equity,12/3/93,24.5
8214761Q UN Equity,12/3/93,8.5346
INCLF UN Equity,12/3/93,22.875
680884Q UN Equity,12/3/93,12.875
544791Q UN Equity,12/3/93,21.125
1051665D UN Equity,12/3/93,20.625
KMRTQ UN Equity,12/3/93,10.133
RAL UN Equity,12/3/93,12.625
329556Q UN Equity,12/3/93,12.75
950967Q UN Equity,12/3/93,32
OAT UN Equity,12/3/93,30.375
LDG UN Equity,12/3/93,4.0078
739306Q UN Equity,12/3/93,45
PLL UN Equity,12/3/93,39.25
KEY UN Equity,12/3/93,17.5625
3253Q UN Equity,12/3/93,10.75
291784Q UN Equity,12/3/93,5.375
FJ UN Equity,12/3/93,16.75
ACKH UN Equity,12/3/93,27.875
2269312Q UN Equity,12/3/93,41.875
MKG UN Equity,#N/A N/A,
236555Q UN Equity,12/3/93,4.7361
IKN UN Equity,12/3/93,21.0625
WLA UN Equity,12/3/93,2.5203
TMC UN Equity,12/3/93,7.8125
300583Q UN Equity,12/3/93,21.875
3891289Q UN Equity,12/3/93,24.6667
2770014Q UN Equity,12/3/93,11.5938
93916Q UN Equity,12/3/93,61.875
183291Q UN Equity,12/3/93,31.8333
3054Q UN Equity,12/3/93,10.2878
BKB UN Equity,12/3/93,33.6254
RYC UN Equity,12/3/93,5.5
3459Q UN Equity,12/3/93,18.25
2691Q UN Equity,12/3/93,49.875
399463Q UN Equity,12/3/93,13.375
611647Q UN Equity,12/3/93,10.2813
RBD UN Equity,12/3/93,20.875
231079Q UN Equity,12/3/93,16.7222
134618Q UN Equity,12/3/93,25.727
2251Q UN Equity,12/3/93,34.25
2223Q UN Equity,12/3/93,41.75
2428Q UN Equity,12/3/93,25.75
370506Q UN Equity,12/3/93,9.9792
2196Q UN Equity,12/3/93,34
0943554D UN Equity,12/3/93,58.875
3619382Q UN Equity,12/3/93,16.8125
WAI UN Equity,#N/A N/A,
GFS/A UA Equity,12/3/93,22
2282655Q UN Equity,12/3/93,62.6
DEC UN Equity,12/3/93,42.5
JH UN Equity,12/3/93,41.25
1558530D UN Equity,12/3/93,18.9375
263179Q UN Equity,#N/A N/A,20.875
ECO UA Equity,12/3/93,26.875
DTE UN Equity,12/3/93,60.375
TXN UN Equity,12/3/93,30.75
TDM UN Equity,12/3/93,7.2084
3147596Q UN Equity,12/3/93,10.3125
0961514D UN Equity,12/3/93,11.5962
1013207D UN Equity,12/3/93,7.75
1618Q UN Equity,#N/A N/A,
0203524D UN Equity,12/3/93,29.75
RSHCQ UN Equity,12/3/93,42.75
1581Q UN Equity,12/3/93,21.5
MEE UN Equity,12/3/93,70.625
1511Q UN Equity,12/3/93,15.04
THY UN Equity,12/3/93,5
MDP UN Equity,12/3/93,6.125
OM UN Equity,12/3/93,16.875
HAS US Equity,12/3/93,48.0449
1513Q UN Equity,12/3/93,28.375
VAT UN Equity,12/3/93,17
2746Q UN Equity,12/3/93,25.75
2784Q UN Equity,12/3/93,50.0453
1327Q UN Equity,12/3/93,32
0440296D UN Equity,12/3/93,28.125
1356Q UN Equity,12/3/93,38.0938
1530Q UN Equity,12/3/93,16.875
1455Q UN Equity,12/3/93,39.875
MU UN Equity,12/3/93,4.8
1297Q UN Equity,12/3/93,11.25
210811Q UN Equity,12/3/93,10.9253
KBH UN Equity,12/3/93,36.125
2576Q UN Equity,12/3/93,120
1456Q UN Equity,12/3/93,39.625
CKL UN Equity,12/3/93,10.8842
CINL UN Equity,12/3/93,12.2813
2650Q UN Equity,12/3/93,19.1875
GOSHA UQ Equity,12/3/93,23.375
SKLNQ UN Equity,12/3/93,17.25
LK UN Equity,12/3/93,12.2222
1377Q UN Equity,12/3/93,8.5103
MAT UN Equity,12/3/93,14.7208
MXS UN Equity,12/3/93,8.4792
NEC UN Equity,12/3/93,21.1875
1237Q UN Equity,12/3/93,23.375
RRD UN Equity,12/3/93,6.2409
8375930Q UN Equity,12/3/93,41.375
ASH UN Equity,12/3/93,22.75
HPC US Equity,12/3/93,5.906
UIS UN Equity,12/3/93,1.125
ADP UN Equity,12/3/93,5.6563
OMX UN Equity,12/3/93,1.7014
CA UN Equity,12/3/93,25.25
CCTYQ UN Equity,12/3/93,1.7346
NAV UN Equity,12/3/93,5.8186
1281683D UN Equity,12/3/93,10.125
AAPL UQ Equity,12/3/93,14.5185
CSCO UQ Equity,12/3/93,11.221
NOVL UQ Equity,12/3/93,28.1833
ORCL UQ Equity,12/3/93,29.9375
COST UQ Equity,12/3/93,4.624
MDR UN Equity,12/3/93,14.9812
CMCSK UQ Equity,12/3/93,7.8056
DPS UN Equity,#N/A N/A,
XRX UN Equity,12/3/93,36.1159
HBI UN Equity,#N/A N/A,
ALB UN Equity,#N/A N/A,
EL UN Equity,#N/A N/A,
