,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
BF/B UN Equity,12/3/93,3.3167
UN UN Equity,12/3/93,10.5933
1005945D US Equity,12/3/93,35.75
162007Q UN Equity,12/3/93,38.375
UEP UN Equity,12/3/93,27.625
GAPTQ UN Equity,12/3/93,25.9063
RDPL UN Equity,12/3/93,36.2422
CEG UN Equity,12/3/93,5.0938
DUK UN Equity,12/3/93,12.0313
PEG UN Equity,12/3/93,19.39
202550Q UN Equity,#N/A N/A,
TXU US Equity,12/3/93,13.281
ABX UN Equity,12/3/93,8.5313
VZ UN Equity,12/3/93,4.7292
NRTLQ UN Equity,12/3/93,5.16
BA UN Equity,12/3/93,35.5
JPM UN Equity,12/3/93,9.25
CVX UN Equity,12/3/93,17.75
KO UN Equity,12/3/93,15.625
GE UN Equity,12/3/93,23.25
IBM UN Equity,12/3/93,16.25
JNJ UN Equity,12/3/93,11
MCD UN Equity,12/3/93,14.875
MRK UN Equity,12/3/93,19
MMM UN Equity,12/3/93,28.5
BAC UN Equity,12/3/93,8.5124
T UN Equity,12/3/93,9.625
TRV UN Equity,12/3/93,41.375
WMT UN Equity,12/3/93,19.4561
TKR UN Equity,12/3/93,27.375
MTLQQ UN Equity,12/3/93,8.0829
C UN Equity,12/3/93,27.5066
AIG UN Equity,12/3/93,35.625
PCH UN Equity,12/3/93,19.188
INTC UQ Equity,12/3/93,10.6875
EKDKQ UN Equity,12/3/93,13.1667
IP UN Equity,12/3/93,21.5938
BGG UN Equity,12/3/93,10.7188
ARB UN Equity,12/3/93,13.5672
1284849D UN Equity,12/3/93,22.7397
AEP UN Equity,12/3/93,15.6563
HES UN Equity,12/3/93,8.3438
CCK UN Equity,12/3/93,3.3991
AVP UN Equity,12/3/93,9.5
BCR UN Equity,12/3/93,13.375
BMY UN Equity,12/3/93,11.188
RAD UN Equity,12/3/93,14.469
9876566D UN Equity,12/3/93,16.0898
CI UN Equity,12/3/93,25.982
MZIAQ UN Equity,12/3/93,5.5313
CL UN Equity,12/3/93,14.25
2731112Q US Equity,12/3/93,21.625
NC UN Equity,12/3/93,22.563
JOSEA US Equity,12/3/93,7.75
ED UN Equity,12/3/93,13.875
DOV UN Equity,12/3/93,32.88
DOW UN Equity,12/3/93,11.4988
ECL UN Equity,12/3/93,43.4523
PKI UN Equity,12/3/93,63.8955
ETR UN Equity,12/3/93,233.3179
FMC UN Equity,12/3/93,38.4881
NEE UN Equity,12/3/93,18.4258
TGNA UN Equity,12/3/93,4.2724
GWW UN Equity,12/3/93,3.9688
HAL UN Equity,12/3/93,49.8
CBS UA Equity,12/3/93,16.1378
CNP UN Equity,12/3/93,72
ITW UN Equity,12/3/93,11.1977
IPG UN Equity,12/3/93,6.6571
IFF UN Equity,12/3/93,9.3125
K UN Equity,12/3/93,20.7436
2200Q US Equity,12/3/93,5.2279
KR UN Equity,12/3/93,16.1183
LLY UN Equity,12/3/93,15.25
LNC UN Equity,12/3/93,39.625
MMC UN Equity,12/3/93,10.0398
MAS UN Equity,12/3/93,39.875
SPGI UN Equity,12/3/93,14.9375
CVS UN Equity,12/3/93,6.1719
WYE UN Equity,12/3/93,19.75
MSI UN Equity,12/3/93,1.7969
ROH UN Equity,12/3/93,25
NWL UN Equity,12/3/93,12.375
3517233Q UN Equity,12/3/93,5.5559
NEM UN Equity,12/3/93,8.719
1255173D UN Equity,12/3/93,33.875
NSC UN Equity,12/3/93,11.625
3393199Q UN Equity,12/3/93,10.1563
WFC UN Equity,12/3/93,14.0982
3022239Q UN Equity,12/3/93,3.3167
NUE UN Equity,12/3/93,8.125
OXY UN Equity,12/3/93,20.2181
OKE UN Equity,12/3/93,20
PCG UN Equity,12/3/93,7.083
PEP UN Equity,12/3/93,181.8771
DJ UN Equity,12/3/93,7.4688
NYT US Equity,12/3/93,22.75
PHM UN Equity,12/3/93,3.3838
BOL UN Equity,12/3/93,9.3567
PBI UN Equity,12/3/93,10.3105
PNC UN Equity,12/3/93,18.375
PX UN Equity,12/3/93,31.375
0376152D US Equity,12/3/93,24.774
RDC UN Equity,12/3/93,7.805
R UN Equity,12/3/93,6.8958
PD UN Equity,12/3/93,26.375
EIX UN Equity,12/3/93,12.125
SNA UN Equity,12/3/93,12.625
SO UN Equity,12/3/93,5.9063
LUV UN Equity,12/3/93,6.7654
STJ US Equity,12/3/93,23.875
0848680D UN Equity,12/3/93,22.125
SWK UN Equity,12/3/93,12.3393
GDW UN Equity,12/3/93,19.5417
0544749D UN Equity,12/3/93,10.792
STI UN Equity,12/3/93,5.6094
VVI UN Equity,12/3/93,18.75
2999130Q UN Equity,12/3/93,9
TMK UN Equity,12/3/93,13.9688
UNH UN Equity,12/3/93,4.727
BCO UN Equity,12/3/93,12.0417
UNM UN Equity,12/3/93,24.9375
DCNAQ UN Equity,12/3/93,6.1877
MRO UN Equity,12/3/93,20.1363
MRNKQ US Equity,12/3/93,18.6875
RBK UN Equity,12/3/93,14.759
VFC UN Equity,12/3/93,6.2222
KRB UN Equity,12/3/93,11.641
GP UN Equity,12/3/93,12.6487
WBA UN Equity,12/3/93,25.1667
SKY UN Equity,12/3/93,20.3473
SPXC UN Equity,12/3/93,45.375
UCL UN Equity,12/3/93,29.063
XRX UN Equity,12/3/93,23
723588Q UN Equity,12/3/93,6.9987
3621240Q UN Equity,12/3/93,9.4483
748957Q UN Equity,12/3/93,22.073
2727195Q UN Equity,12/3/93,4.8506
297504Q UN Equity,12/3/93,12.625
PDG UN Equity,12/3/93,21.3221
UAWGQ UN Equity,12/3/93,18.5345
NMK UN Equity,12/3/93,9.4688
HM UN Equity,12/3/93,10.1769
ENRNQ UN Equity,12/3/93,23.25
677004Q UN Equity,12/3/93,10.0833
AZA UN Equity,12/3/93,36.792
1255177D UN Equity,12/3/93,4.4375
CGP UN Equity,12/3/93,29.6875
253647Q UN Equity,12/3/93,24.9711
PRDCQ UN Equity,12/3/93,35.375
RML UN Equity,12/3/93,2.4219
BHMSQ UN Equity,12/3/93,14.25
68335Q UN Equity,12/3/93,39.6188
UCM UN Equity,12/3/93,8.169
MS UN Equity,12/3/93,24.75
OWENQ UN Equity,12/3/93,22.125
USW UN Equity,12/3/93,15.1981
571300Q UN Equity,12/3/93,31
140402Q UN Equity,12/3/93,3.375
45200Q UN Equity,12/3/93,20.875
EMN UN Equity,#N/A N/A,
RLM UN Equity,12/3/93,15.3256
667517Q UN Equity,12/3/93,19
CNRG UN Equity,12/3/93,8.75
