,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
AEE UN Equity,#N/A N/A,
ITT UN Equity,12/4/98,6.4554
UN UN Equity,12/4/98,28.4667
APD UN Equity,12/4/98,34.0911
RDPL UN Equity,12/4/98,44.3125
ABX UN Equity,12/4/98,19.0625
VZ UN Equity,12/4/98,50.9236
CAT UN Equity,12/4/98,24.375
CVX UN Equity,12/4/98,40.9375
KO UN Equity,12/4/98,34.5313
DD UN Equity,12/4/98,52.3666
XOM UN Equity,12/4/98,35.75
IBM UN Equity,12/4/98,82.1563
MCD UN Equity,12/4/98,35
MRK UN Equity,12/4/98,74.6518
BAC UN Equity,12/4/98,32.2813
PFE UN Equity,12/4/98,37.5417
T UN Equity,12/4/98,50.125
TRV UN Equity,12/4/98,36.063
41018Q US Equity,12/4/98,89.5
TKR UN Equity,12/4/98,13.199
C UN Equity,12/4/98,230.4944
PCH UN Equity,12/4/98,31.6412
HON UN Equity,12/4/98,43.5631
MO UN Equity,12/4/98,12.8605
INTC UQ Equity,12/4/98,29.0781
EKDKQ UN Equity,12/4/98,73.625
IP UN Equity,12/4/98,42.8846
ARB UN Equity,12/4/98,39.5675
ABT UN Equity,12/4/98,22.2651
AMD UN Equity,12/4/98,15.6563
AFL UN Equity,12/4/98,20
1284849D UN Equity,12/4/98,15.369
BEAM UN Equity,12/4/98,24.8187
HES UN Equity,12/4/98,17.7708
APC UN Equity,12/4/98,13.3125
AON UN Equity,12/4/98,37.875
APA UN Equity,12/4/98,9.4426
GRA UN Equity,12/4/98,12.6407
AVY UN Equity,12/4/98,44.4375
AVP UN Equity,12/4/98,18.8125
BHI UN Equity,12/4/98,17.4375
BLL UN Equity,12/4/98,2.6992
CEG UN Equity,12/4/98,31.875
BK UN Equity,12/4/98,38.5573
BCR UN Equity,12/4/98,23.6875
BAX UN Equity,12/4/98,16.4918
BMS UN Equity,12/4/98,18.9375
GAPTQ UN Equity,12/4/98,27.125
BSX UN Equity,12/4/98,13.5938
BMY UN Equity,12/4/98,60.0512
RAD UN Equity,12/4/98,45.5
KSU UN Equity,12/4/98,2.6211
CTL UN Equity,12/4/98,39.25
9876566D UN Equity,12/4/98,36.2188
MZIAQ UN Equity,12/4/98,180.2531
CMS UN Equity,12/4/98,49.8125
CCE UN Equity,12/4/98,39.0625
CL UN Equity,12/4/98,21.3125
CMA UN Equity,12/4/98,68.375
ED UN Equity,12/4/98,52.25
CBE UN Equity,12/4/98,25.0625
CSX UN Equity,12/4/98,6.8958
CMI UN Equity,12/4/98,8.875
DHR UN Equity,12/4/98,9.0003
DOV UN Equity,12/4/98,29.0337
DOW UN Equity,12/4/98,30.6875
DUK UN Equity,12/4/98,53.0534
ETN UN Equity,12/4/98,14.7373
ECL UN Equity,12/4/98,15.7813
EP UN Equity,12/4/98,32
ETR UN Equity,12/4/98,30.4375
