,Average price of S&P 1-Jan,
EFX UN Equity,12/4/98,24.821
FMC UN Equity,12/4/98,7.6506
F UN Equity,12/4/98,54.1577
NEE UN Equity,12/4/98,32.375
FCX UN Equity,12/4/98,6.1563
TGNA UN Equity,12/4/98,33.2637
GD UN Equity,12/4/98,29.969
GPC UN Equity,12/4/98,32
GR UN Equity,12/4/98,31.0025
GT UN Equity,12/4/98,56.9375
GWW UN Equity,12/4/98,44.313
HAL UN Equity,12/4/98,14.8438
HSY UN Equity,12/4/98,33.5
CNP UN Equity,12/4/98,26.9131
HUM UN Equity,12/4/98,19.625
ITW UN Equity,12/4/98,30.9063
IR UN Equity,12/4/98,18.6078
IPG UN Equity,12/4/98,33.4688
IFF UN Equity,12/4/98,42.938
K UN Equity,12/4/98,35
LEG UN Equity,12/4/98,23
LLY UN Equity,12/4/98,86.0625
3277Q UN Equity,12/4/98,110.6875
LNC UN Equity,12/4/98,42.75
0202445Q UN Equity,12/4/98,26.1407
L UN Equity,12/4/98,16.9792
BDK UN Equity,12/4/98,55.875
RX UN Equity,12/4/98,30.4271
MAS UN Equity,12/4/98,24.4991
BNI UN Equity,12/4/98,34
SPGI UN Equity,12/4/98,23.719
CVS UN Equity,12/4/98,25.8125
SGP UN Equity,12/4/98,54.75
WYE UN Equity,12/4/98,52.5
ROH UN Equity,12/4/98,34
NWL UN Equity,12/4/98,44.0625
3517233Q UN Equity,12/4/98,35.25
NEM UN Equity,12/4/98,17.75
1255173D UN Equity,12/4/98,63.5625
MER UN Equity,12/4/98,36.1875
NCC UN Equity,12/4/98,34.75
AW UN Equity,#N/A N/A,
3393199Q UN Equity,12/4/98,31.7813
NOC UN Equity,12/4/98,35.805
WWY UN Equity,12/4/98,35.475
3022239Q UN Equity,12/4/98,9.3386
NUE UN Equity,12/4/98,10.2656
OXY UN Equity,12/4/98,9.2927
3423152Q UN Equity,12/4/98,41.875
OMC UN Equity,12/4/98,27.4688
2968900Q UN Equity,12/4/98,47.6005
OI UN Equity,12/4/98,30
PCG UN Equity,12/4/98,32.0625
PPL UN Equity,12/4/98,13.0201
HET UN Equity,12/4/98,15.125
PEP UN Equity,12/4/98,39.438
EXC UN Equity,12/4/98,20.625
3692470Q UN Equity,12/4/98,44.2049
COP UN Equity,12/4/98,15.8181
PHM UN Equity,12/4/98,6.9219
HCR UN Equity,12/4/98,31.4375
PNW UN Equity,12/4/98,44.625
PBI UN Equity,12/4/98,57.5776
PNC UN Equity,12/4/98,53.4375
1317355D UN Equity,12/4/98,7.5212
PPG UN Equity,12/4/98,29.875
PX UN Equity,12/4/98,17.781
PGR UN Equity,12/4/98,12.25
PEG UN Equity,12/4/98,20.1563
MEL UN Equity,12/4/98,33.5
RTN UN Equity,12/4/98,55.3125
SWY UN Equity,12/4/98,47.7781
HSH UN Equity,12/4/98,57.3007
PD UN Equity,12/4/98,26.9688
EIX UN Equity,12/4/98,28.3125
SLB UN Equity,12/4/98,18.4577
SHW UN Equity,12/4/98,28.313
BLS UN Equity,12/4/98,44.4063
SO UN Equity,12/4/98,18.1188
3605818Q UN Equity,12/4/98,24.4941
0848680D UN Equity,12/4/98,35.7163
SWK UN Equity,12/4/98,30.688
GDW UN Equity,12/4/98,15.3125
1086832D UN Equity,12/4/98,13.9618
STI UN Equity,12/4/98,74.75
GTW UN Equity,12/4/98,25.6563
TER UN Equity,12/4/98,19.7813
TXT UN Equity,12/4/98,39.0938
SAF UQ Equity,12/4/98,43.9375
TMO UN Equity,12/4/98,14.771
2999130Q UN Equity,12/4/98,19.5
TJX UN Equity,12/4/98,6.3438
TMK UN Equity,12/4/98,17.0278
GDT UN Equity,12/4/98,46.125
929530Q UN Equity,12/4/98,16.25
UNP UN Equity,12/4/98,12.1875
CIN UN Equity,12/4/98,35.5
UNH UN Equity,12/4/98,5.844
3080867Q UN Equity,12/4/98,56.6875
UNM UN Equity,12/4/98,53.8125
DCNAQ UN Equity,12/4/98,37.875
MRO UN Equity,12/4/98,8.6696
X UN Equity,12/4/98,23.5
RBK UN Equity,12/4/98,14.9375
VFC UN Equity,12/4/98,12.0781
KRB UN Equity,12/4/98,15.5
GP UN Equity,12/4/98,27.875
VMC UN Equity,12/4/98,43.458
DPHIQ UN Equity,#N/A N/A,
1028411Q UN Equity,12/4/98,43.8125
PVN UN Equity,12/4/98,31.0417
WY UN Equity,12/4/98,19.9516
WHR UN Equity,12/4/98,56.625
WMB UN Equity,12/4/98,20.6145
UCL UN Equity,12/4/98,32.25
XRX UN Equity,12/4/98,144.3263
605555Q UN Equity,12/4/98,42.8125
3029830Q UQ Equity,12/4/98,19.75
2676187Q UQ Equity,12/4/98,18.25
TAP UN Equity,#N/A N/A,
UPC UN Equity,12/4/98,31.625
FBF UN Equity,12/4/98,42.125
QTRN UQ Equity,12/4/98,52
STJ UN Equity,12/4/98,7.7656
2727195Q UN Equity,12/4/98,37.625
297504Q UN Equity,12/4/98,53.9375
COC UN Equity,#N/A N/A,
CNCEQ UN Equity,12/4/98,34.1875
8214761Q UN Equity,12/4/98,23.7567
INCLF UN Equity,12/4/98,11.4375
PDG UN Equity,12/4/98,14.375
UAWGQ UN Equity,12/4/98,53.625
WCOEQ UQ Equity,12/4/98,39.6053
355488Q UQ Equity,12/4/98,39.875
228510Q UN Equity,12/4/98,33.375
544791Q UN Equity,12/4/98,30
HM UN Equity,12/4/98,10.4375
ENRNQ UN Equity,12/4/98,27.375
GPUI UN Equity,12/4/98,44.125
677004Q UN Equity,12/4/98,56.3125
TOS UN Equity,12/4/98,25.75
950967Q UN Equity,12/4/98,36.375
OAT UN Equity,12/4/98,62.125
AZA UN Equity,12/4/98,25.5
3075558Q UN Equity,12/4/98,44.6875
1255177D UN Equity,12/4/98,43.1875
253647Q UN Equity,12/4/98,53.0313
KEY UN Equity,12/4/98,32.3125
PRDCQ UN Equity,12/4/98,22.1875
STT UN Equity,12/4/98,35
NGH UN Equity,12/4/98,19.1748
USB UN Equity,12/4/98,24.6305
RML UN Equity,12/4/98,22.5
304024Q UN Equity,12/4/98,38.875
BHMSQ UN Equity,12/4/98,7.875
WM UN Equity,12/4/98,44.25
291784Q UN Equity,12/4/98,35.5
AFS UN Equity,12/4/98,38.5938
FPC UN Equity,12/4/98,43.9375
AGN UN Equity,12/4/98,56.188
FJ UN Equity,12/4/98,39.25
ACKH UN Equity,12/4/98,68.0625
301710Q UN Equity,12/4/98,39.9375
68335Q UN Equity,12/4/98,57.125
2269312Q UN Equity,12/4/98,41.3125
UCM UN Equity,12/4/98,38.6875
236555Q UN Equity,12/4/98,55.625
OWENQ UN Equity,12/4/98,35.9375
NCE UN Equity,12/4/98,49.5
2953349Q UN Equity,12/4/98,10.0625
USW UN Equity,12/4/98,63.9375
ALL UN Equity,12/4/98,41.9375
571300Q UN Equity,12/4/98,64.8125
WLA UN Equity,12/4/98,78.5625
140402Q UN Equity,12/4/98,39.125
EMN UN Equity,12/4/98,28.875
LMT UN Equity,12/4/98,52.844
COF UN Equity,12/4/98,36.2917
LXK UN Equity,12/4/98,38.9375
HIG UN Equity,12/4/98,54.625
FE UN Equity,12/4/98,31.75
MAR UN Equity,12/4/98,13.7237
SEE UN Equity,12/4/98,22.9375
MCO UN Equity,12/4/98,11.1071
DTE UN Equity,12/4/98,43.5625
0111145D UN Equity,12/4/98,41.3125
0961514D UN Equity,12/4/98,47.75
SLM UN Equity,12/4/98,5.4783
XEL UN Equity,12/4/98,28.3125
0203524D UN Equity,12/4/98,8.375
RSHCQ UN Equity,12/4/98,20.0313
ODP UN Equity,12/4/98,21.9167
NYT UN Equity,12/4/98,32.125
PTV UN Equity,#N/A N/A,
KBH UN Equity,12/4/98,13.75
MBI UN Equity,12/4/98,43.2083
MAT UN Equity,12/4/98,31.75
RRD UN Equity,12/4/98,70.9524
KATE UN Equity,12/4/98,15.4063
HPC US Equity,12/4/98,32.25
MTG UN Equity,12/4/98,41.8125
WAMUQ UN Equity,#N/A N/A,
LEHMQ UN Equity,12/4/98,11.9219
FMCC UN Equity,12/4/98,60.3125
FNMA UN Equity,12/4/98,71.1875
BC UN Equity,12/4/98,21
CCTYQ UN Equity,12/4/98,12.4317
SNV UN Equity,12/4/98,70.7882
TIN UN Equity,12/4/98,15.7671
0910150D US Equity,12/4/98,13.625
TXU US Equity,12/4/98,23.8125
LPX UN Equity,12/4/98,17.1875
CTB UN Equity,12/4/98,19.625
AMGN UQ Equity,12/4/98,19.688
PCAR UQ Equity,12/4/98,8.7901
SIAL UQ Equity,12/4/98,15
CINF UQ Equity,12/4/98,35.6859
FITB UQ Equity,12/4/98,46.75
NTRS UQ Equity,12/4/98,42.9375
TLAB UQ Equity,12/4/98,30.0625
TROW UQ Equity,12/4/98,18.7656
1288652D US Equity,12/4/98,47.3333
DLX UN Equity,12/4/98,29.0828
502466Q US Equity,12/4/98,42.25
TNB UN Equity,12/4/98,43.4375
TUP UN Equity,12/4/98,17.125
MDR UN Equity,12/4/98,4.1723
EHC UN Equity,12/4/98,63.75
AAMRQ UN Equity,12/4/98,29.7947
AA UN Equity,12/4/98,40.347
AXP UN Equity,12/4/98,28.7771
NRTLQ UN Equity,12/4/98,118.125
BA UN Equity,12/4/98,32.938
JPM UN Equity,12/4/98,42.75
DIS UN Equity,12/4/98,30.9579
GE UN Equity,12/4/98,30.0417
HPQ UN Equity,12/4/98,11.2714
HD UN Equity,12/4/98,33.917
JNJ UN Equity,12/4/98,40.875
MMM UN Equity,12/4/98,40.094
PG UN Equity,12/4/98,46
UTX UN Equity,12/4/98,25.438
GBLXQ US Equity,#N/A N/A,
WMT UN Equity,12/4/98,36.5938
MTLQQ UN Equity,12/4/98,58.027
AIG UN Equity,12/4/98,842.1785
MSFT UQ Equity,12/4/98,31.8438
SXCL UQ Equity,12/4/98,131.625
BGG UN Equity,12/4/98,25.5625
BMC UQ Equity,12/4/98,47.1875
AEP UN Equity,12/4/98,47.75
ADI UN Equity,12/4/98,14.0938
ADM UN Equity,12/4/98,15.1172
CCK UN Equity,12/4/98,32.625
AZO UN Equity,12/4/98,31
BDX UN Equity,12/4/98,44.25
BBY UN Equity,12/4/98,12.0139
HRB UN Equity,12/4/98,10.9844
BF/B UN Equity,12/4/98,9.7333
CPB UN Equity,12/4/98,57.75
CCL UN Equity,12/4/98,36.6875
CI UN Equity,12/4/98,26.438
CLX UN Equity,12/4/98,56.906
NC UN Equity,12/4/98,6.5584
CSC UN Equity,12/4/98,34.4593
CAG UN Equity,12/4/98,25.0953
JOSEA US Equity,12/4/98,24.5625
BIG UN Equity,12/4/98,20.6875
WOR UQ Equity,12/4/98,12.0625
GLW UN Equity,12/4/98,13.7083
PBY UN Equity,12/4/98,13.0625
SCI UN Equity,12/4/98,37.125
TGT UN Equity,12/4/98,23.25
DE UN Equity,12/4/98,16.25
FLTWQ UN Equity,12/4/98,33.875
D UN Equity,12/4/98,23.75
FWLT US Equity,12/4/98,170
RNB US Equity,12/4/98,47.1875
PKI UN Equity,12/4/98,14.0313
EMC UN Equity,12/4/98,19.3175
EMR UN Equity,12/4/98,31.5313
FDX UN Equity,12/4/98,33.625
M UN Equity,12/4/98,19.875
BEN UN Equity,12/4/98,13.8958
GPS UN Equity,12/4/98,33.7083
GIS UN Equity,12/4/98,19.4688
HNZ UN Equity,12/4/98,51.973
1436513D UN Equity,12/4/98,9.5
KMB UN Equity,12/4/98,50.7667
KSS UN Equity,12/4/98,23.375
KR UN Equity,12/4/98,14.0156
653707Q UN Equity,12/4/98,67.3406
CAR UN Equity,12/4/98,24.1037
LB UN Equity,12/4/98,12.7839
LOW UN Equity,12/4/98,11.25
1431816D UN Equity,12/4/98,10
MMC UN Equity,12/4/98,29
MDT UN Equity,12/4/98,35.1875
MSI UN Equity,12/4/98,75.8322
0226226D UN Equity,12/4/98,15.8204
THC UN Equity,12/4/98,81
NKE UN Equity,12/4/98,4.4922
NSC UN Equity,12/4/98,30.6875
3286728Q UN Equity,12/4/98,24.1094
WFC UN Equity,12/4/98,18.5625
OKE UN Equity,12/4/98,7.4414
CFC UN Equity,12/4/98,12.2656
2942331Q UN Equity,12/4/98,36.7347
PH UN Equity,12/4/98,21.9583
JCP UN Equity,12/4/98,54.6875
TRB UN Equity,12/4/98,30.6563
DJ UN Equity,12/4/98,47.9375
TEK UN Equity,12/4/98,12.5
BOL UN Equity,12/4/98,54.4375
2641504Q UN Equity,12/4/98,17.6094
3403545Q UN Equity,12/4/98,15.76
RDC UN Equity,12/4/98,9.875
R UN Equity,12/4/98,28
PGL UN Equity,12/4/98,37.9375
SCHW UN Equity,12/4/98,12.4028
SNA UN Equity,12/4/98,33.875
LU UN Equity,12/4/98,36.7866
BBT UN Equity,12/4/98,39.0625
LUV UN Equity,12/4/98,9.8333
3133754Q UN Equity,12/4/98,29.1667
0544749D UN Equity,12/4/98,18.7094
SVU UN Equity,12/4/98,190.7501
ANDW UQ Equity,12/4/98,16.875
SYY UN Equity,12/4/98,13.7188
0964591D UQ Equity,12/4/98,16.3333
JAVA UQ Equity,12/4/98,37.5938
KRI UN Equity,12/4/98,51.9375
1312089D UN Equity,12/4/98,59.8125
JCI UN Equity,12/4/98,24.3287
3026360Q UN Equity,12/4/98,9.9688
WBA UN Equity,12/4/98,27.1875
987200Q UN Equity,12/4/98,39.375
DALRQ UN Equity,12/4/98,54.25
NXTL UQ Equity,12/4/98,11.375
TOY UN Equity,12/4/98,19.5625
723588Q UN Equity,12/4/98,39.25
AES UN Equity,12/4/98,22
WNDXQ UN Equity,12/4/98,41.5625
3621240Q UN Equity,12/4/98,54.5625
945852Q UN Equity,12/4/98,7.9688
JWN UN Equity,#N/A N/A,
748957Q UN Equity,12/4/98,40.4171
TWX UN Equity,12/4/98,43.3533
CAH UN Equity,12/4/98,34.1969
680884Q UN Equity,12/4/98,38.5625
NMK UN Equity,12/4/98,15.9375
1051665D UN Equity,12/4/98,27.8125
KMRTQ UN Equity,12/4/98,14.5625
RAL UN Equity,12/4/98,25.8306
329556Q UN Equity,12/4/98,22.0961
ETS UN Equity,12/4/98,47.0517
LDG UN Equity,12/4/98,36
739306Q UN Equity,12/4/98,42.1022
PLL UN Equity,12/4/98,23.9375
OK UN Equity,12/4/98,39.7959
3346Q UN Equity,12/4/98,36.6875
CGP UN Equity,12/4/98,33.9375
3253Q UN Equity,12/4/98,79.5625
CBS UN Equity,#N/A N/A,
0872237D UN Equity,12/4/98,32
MKG UN Equity,12/4/98,32.375
MS UN Equity,12/4/98,28.5352
COMS UQ Equity,12/4/98,9.0386
IKN UN Equity,12/4/98,9.0625
SGID UN Equity,12/4/98,4.5976
45200Q UN Equity,12/4/98,28.375
UMGI UN Equity,12/4/98,41.125
TMC UN Equity,12/4/98,59.4375
2731112Q UN Equity,12/4/98,52.1875
3301Q UN Equity,12/4/98,14.5
RLM UN Equity,12/4/98,54.6875
667517Q UN Equity,12/4/98,31.25
300583Q UN Equity,12/4/98,66.875
285939Q UN Equity,12/4/98,54.6875
MCK UN Equity,12/4/98,67.625
CNRG UN Equity,12/4/98,53.3125
827663Q UN Equity,12/4/98,30.25
DRI UN Equity,12/4/98,10.1482
1518855D US Equity,12/4/98,189.75
ATI UN Equity,12/4/98,35.8364
ROK UN Equity,12/4/98,16.407
YUM UN Equity,12/4/98,8.8646
SRE UN Equity,12/4/98,25.625
TXN UN Equity,12/4/98,20.7188
MEE UN Equity,12/4/98,10.4423
MDP UN Equity,12/4/98,38.6875
MU UN Equity,12/4/98,25
RIG UN Equity,12/4/98,35.02
ASH UN Equity,12/4/98,15.7809
UIS UN Equity,12/4/98,310
DDS UN Equity,12/4/98,30.4375
ADP UN Equity,12/4/98,30.5104
OMX UN Equity,12/4/98,30.3125
CA UN Equity,12/4/98,43.8125
HAS UN Equity,12/4/98,24.1667
CMVT UQ Equity,12/4/98,11.7504
NAV UN Equity,12/4/98,26.6875
1281683D UN Equity,12/4/98,14.7057
ADBE UQ Equity,12/4/98,5.6406
AAPL UQ Equity,12/4/98,1.1696
ADSK UQ Equity,12/4/98,10.6563
CSCO UQ Equity,12/4/98,19.5625
DELL UQ Equity,12/4/98,33
KLAC UQ Equity,12/4/98,21.5313
MOLX UQ Equity,12/4/98,31
NOVL UQ Equity,12/4/98,17.9375
ORCL UQ Equity,12/4/98,6.0938
COST UQ Equity,12/4/98,30.25
ADCT UQ Equity,12/4/98,49.1094
AMAT UQ Equity,12/4/98,11.0469
BBBY UQ Equity,12/4/98,14.875
HBAN UQ Equity,12/4/98,24.7417
PAYX UQ Equity,12/4/98,22.6111
PTC UQ Equity,12/4/98,40.1563
QCOM UQ Equity,12/4/98,3.3711
SPLS UQ Equity,12/4/98,16
XLNX UQ Equity,12/4/98,15.25
1519128D UQ Equity,12/4/98,29.7093
NTAP UQ Equity,12/4/98,9.375
CTXS UQ Equity,12/4/98,16.2866
CR UN Equity,12/4/98,28.2245
0948669D UN Equity,12/4/98,42.0625
CMCSK UQ Equity,12/4/98,18.125
DPS UN Equity,#N/A N/A,
XRX UN Equity,12/4/98,144.3263
HBI UN Equity,#N/A N/A,
ALB UN Equity,12/4/98,9.0313
EL UN Equity,12/4/98,18.0313
