,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
EIX UN Equity,12/2/05,45.63
DELL UW Equity,12/2/05,30.82
HD UN Equity,12/2/05,41.67
WMT UN Equity,12/2/05,47.97
MTLQQ UN Equity,12/2/05,22.08
1284849D UN Equity,12/2/05,50.2
HRB UN Equity,12/2/05,25.26
BIG UN Equity,12/2/05,12.5
TGT UN Equity,12/2/05,53.86
FDO UN Equity,12/2/05,23.09
GPS UN Equity,12/2/05,17.79
KSS UN Equity,12/2/05,46.96
LB UN Equity,12/2/05,22.66
LOW UN Equity,12/2/05,33.915
1520415D UN Equity,12/2/05,34.33
JCP UN Equity,12/2/05,53.81
0964591D UW Equity,12/2/05,38.28
3403545Q UN Equity,12/2/05,19.15
TIF UN Equity,12/2/05,41.06
TJX UN Equity,12/2/05,11.21
AES UN Equity,12/2/05,15.46
ADSK UW Equity,12/2/05,42.42
JWN UN Equity,12/2/05,36.63
JBL UN Equity,12/2/05,34.33
APOL UW Equity,12/2/05,71.21
CTXS UW Equity,12/2/05,21.9378
FE UN Equity,12/2/05,46.83
VRSN UW Equity,12/2/05,22.52
NVDA UW Equity,12/2/05,12.1967
NOVL UW Equity,12/2/05,8.44
SHLD UW Equity,12/2/05,76.7757
DDS UN Equity,12/2/05,20.98
FMCC UN Equity,12/2/05,62.9
TXU US Equity,12/2/05,52.15
MXIM UW Equity,12/2/05,38.19
AA UN Equity,12/2/05,62.9315
AXP UN Equity,12/2/05,51.61
VZ UN Equity,12/2/05,28.5665
BA UN Equity,12/2/05,69.44
CAT UN Equity,12/2/05,58.81
JPM UN Equity,12/2/05,38.99
CVX UN Equity,12/2/05,59.18
KO UN Equity,12/2/05,21.41
DIS UN Equity,12/2/05,24.5492
DD UN Equity,12/2/05,41.0003
XOM UN Equity,12/2/05,59.07
GE UN Equity,12/2/05,35.5
HPQ UN Equity,12/2/05,13.2706
IBM UN Equity,12/2/05,88.65
JNJ UN Equity,12/2/05,61.21
MCD UN Equity,12/2/05,34.91
MRK UN Equity,12/2/05,29.97
MMM UN Equity,12/2/05,79.4
BAC UN Equity,12/2/05,46.13
PFE UN Equity,12/2/05,21.3
PG UN Equity,12/2/05,57.36
T UN Equity,12/2/05,25.07
TRV UN Equity,12/2/05,46.5
UTX UN Equity,12/2/05,54.99
CSCO UW Equity,12/2/05,17.64
INTC UW Equity,12/2/05,27.43
MSFT UW Equity,12/2/05,28.01
C UN Equity,12/2/05,487.7
AIG UN Equity,12/2/05,1127.3911
HON UN Equity,12/2/05,35.8548
MO UN Equity,12/2/05,16.9706
EKDKQ UN Equity,12/2/05,24.33
IP UN Equity,12/2/05,32.9866
ABT UN Equity,12/2/05,18.4499
AMD UN Equity,12/2/05,27.95
AFL UN Equity,12/2/05,48
APD UN Equity,12/2/05,56.7553
BEAM UN Equity,12/2/05,61.7368
AEP UN Equity,12/2/05,36.78
HES UN Equity,12/2/05,41.8333
APC UN Equity,12/2/05,46.745
ADI UN Equity,12/2/05,39.74
AON UN Equity,12/2/05,36.63
APA UN Equity,12/2/05,68.18
ADM UN Equity,12/2/05,23.9
AZO UN Equity,12/2/05,89.04
AVY UN Equity,12/2/05,59.18
AVP UN Equity,12/2/05,27.57
BHI UN Equity,12/2/05,59.41
BLL UN Equity,12/2/05,10.4225
CEG UN Equity,12/2/05,53.61
BK UN Equity,12/2/05,34.8421
BCR UN Equity,12/2/05,67.34
BAX UN Equity,12/2/05,21.5076
BDX UN Equity,12/2/05,58.68
BMS UN Equity,12/2/05,28.16
BBY UN Equity,12/2/05,48.85
BSX UN Equity,12/2/05,27.33
BMY UN Equity,12/2/05,21.88
BF/B UN Equity,12/2/05,18.4747
CPB UN Equity,12/2/05,30.45
CCL UN Equity,12/2/05,56
CTL UN Equity,12/2/05,33.28
9876566D UN Equity,12/2/05,48.615
CI UN Equity,12/2/05,38.43
CLX UN Equity,12/2/05,54.98
CMS UN Equity,12/2/05,14.04
CCE UN Equity,12/2/05,19.77
CL UN Equity,12/2/05,27.48
CMA UN Equity,12/2/05,58.02
CSC UN Equity,12/2/05,28.4404
CAG UN Equity,12/2/05,16.6524
ED UN Equity,12/2/05,45.81
CBE UN Equity,12/2/05,36.935
GLW UN Equity,12/2/05,20.85
CSX UN Equity,12/2/05,8.1417
CMI UN Equity,12/2/05,22.515
DHR UN Equity,12/2/05,21.521
DE UN Equity,12/2/05,34.435
D UN Equity,12/2/05,37.99
DOV UN Equity,12/2/05,34.1104
DOW UN Equity,12/2/05,44.54
DUK UN Equity,12/2/05,47.2284
ETN UN Equity,12/2/05,32.065
ECL UN Equity,12/2/05,33.84
PKI UN Equity,12/2/05,22.95
EP UN Equity,12/2/05,11.37
EMC UN Equity,12/2/05,14.04
