,Average price of S&P 1-Jan,,,,,,,,,,
S&P 500 List,Start Date,price,,,,,,,,,
UN UN Equity,12/3/93,10.5933,,,,,,,,,
1005945D US Equity,12/3/93,22.25,,,,,,,,,
162007Q UN Equity,12/3/93,35.75,,,,,,,,,
UEP UN Equity,12/3/93,38.375,,,,,,,,,
GAPTQ UN Equity,12/3/93,27.625,,,,,,,,,
RDPL UN Equity,12/3/93,25.9063,,,,,,,,,
DUK UN Equity,12/3/93,36.2422,,,,,,,,,
WBA UN Equity,12/3/93,5.0938,,,,,,,,,
BAC UN Equity,12/3/93,12.0313,,,,,,,,,
BGG UN Equity,12/3/93,19.39,,,,,,,,,
AEP UN Equity,12/3/93,35.875,,,,,,,,,
CLX UN Equity,12/3/93,13.281,,,,,,,,,
3286728Q UN Equity,12/3/93,8.5313,,,,,,,,,
STJ US Equity,12/3/93,4.7292,,,,,,,,,
MRO UN Equity,12/3/93,5.16,,,,,,,,,
BSET UQ Equity,12/3/93,35.5,,,,,,,,,
1270Q US Equity,12/3/93,9.25,,,,,,,,,
SKY UN Equity,12/3/93,17.75,,,,,,,,,
FBF UN Equity,12/3/93,15.625,,,,,,,,,
PDG UN Equity,12/3/93,23.25,,,,,,,,,
68335Q UN Equity,12/3/93,16.25,,,,,,,,,
BKB UN Equity,12/3/93,11,,,,,,,,,
2106Q UN Equity,12/3/93,14.875,,,,,,,,,
3147596Q UN Equity,12/3/93,19,,,,,,,,,
0961514D UN Equity,12/3/93,28.5,,,,,,,,,
BLY UN Equity,12/3/93,8.5124,,,,,,,,,
GOSHA UQ Equity,12/3/93,9.625,,,,,,,,,
1377Q UN Equity,12/3/93,41.375,,,,,,,,,
AA UN Equity,12/3/93,19.4561,,,,,,,,,
ABX UN Equity,12/3/93,27.375,,,,,,,,,
AXP UN Equity,12/3/93,8.0829,,,,,,,,,
VZ UN Equity,12/3/93,27.5066,,,,,,,,,
NRTLQ UN Equity,12/3/93,35.625,,,,,,,,,
BA UN Equity,12/3/93,19.188,,,,,,,,,
CAT UN Equity,12/3/93,10.6875,,,,,,,,,
JPM UN Equity,12/3/93,13.1667,,,,,,,,,
CVX UN Equity,12/3/93,21.5938,,,,,,,,,
KO UN Equity,12/3/93,10.7188,,,,,,,,,
DIS UN Equity,12/3/93,13.5672,,,,,,,,,
DD UN Equity,12/3/93,22.7397,,,,,,,,,
XOM UN Equity,12/3/93,15.6563,,,,,,,,,
GE UN Equity,12/3/93,8.3438,,,,,,,,,
HPQ UN Equity,12/3/93,3.3991,,,,,,,,,
HD UN Equity,12/3/93,9.5,,,,,,,,,
IBM UN Equity,12/3/93,13.375,,,,,,,,,
JNJ UN Equity,12/3/93,11.188,,,,,,,,,
