,Average price of S&P 1-Jan,,,,,,,,,,
MCD UN Equity,12/3/93,14.469,,,,,,,,,
MRK UN Equity,12/3/93,16.0898,,,,,,,,,
MMM UN Equity,12/3/93,25.982,,,,,,,,,
PFE UN Equity,12/3/93,5.5313,,,,,,,,,
PG UN Equity,12/3/93,14.25,,,,,,,,,
T UN Equity,12/3/93,21.625,,,,,,,,,
TRV UN Equity,12/3/93,22.563,,,,,,,,,
UTX UN Equity,12/3/93,7.75,,,,,,,,,
WMT UN Equity,12/3/93,13.875,,,,,,,,,
41018Q US Equity,12/3/93,32.88,,,,,,,,,
TKR UN Equity,12/3/93,11.4988,,,,,,,,,
MTLQQ UN Equity,12/3/93,43.4523,,,,,,,,,
C UN Equity,12/3/93,63.8955,,,,,,,,,
AIG UN Equity,12/3/93,233.3179,,,,,,,,,
PCH UN Equity,12/3/93,38.4881,,,,,,,,,
HON UN Equity,12/3/93,18.4258,,,,,,,,,
MO UN Equity,12/3/93,4.2724,,,,,,,,,
INTC UQ Equity,12/3/93,3.9688,,,,,,,,,
EKDKQ UN Equity,12/3/93,49.8,,,,,,,,,
IP UN Equity,12/3/93,33.0877,,,,,,,,,
3277Q US Equity,12/3/93,72,,,,,,,,,
ARB UN Equity,12/3/93,11.1977,,,,,,,,,
ABT UN Equity,12/3/93,6.6571,,,,,,,,,
AMD UN Equity,12/3/93,9.3125,,,,,,,,,
APD UN Equity,12/3/93,20.7436,,,,,,,,,
1284849D UN Equity,12/3/93,5.2279,,,,,,,,,
BEAM UN Equity,12/3/93,16.1183,,,,,,,,,
HES UN Equity,12/3/93,15.25,,,,,,,,,
304024Q US Equity,12/3/93,39.625,,,,,,,,,
ADM UN Equity,12/3/93,10.0398,,,,,,,,,
CCK UN Equity,12/3/93,39.875,,,,,,,,,
AVY UN Equity,12/3/93,14.9375,,,,,,,,,
AVP UN Equity,12/3/93,6.1719,,,,,,,,,
BHI UN Equity,12/3/93,19.75,,,,,,,,,
BLL UN Equity,12/3/93,1.7969,,,,,,,,,
CEG UN Equity,12/3/93,25,,,,,,,,,
BCR UN Equity,12/3/93,12.375,,,,,,,,,
BAX UN Equity,12/3/93,5.5559,,,,,,,,,
BDX UN Equity,12/3/93,8.719,,,,,,,,,
MKG US Equity,12/3/93,33.875,,,,,,,,,
BMS UN Equity,12/3/93,11.625,,,,,,,,,
HRB UN Equity,12/3/93,10.1563,,,,,,,,,
BMY UN Equity,12/3/93,14.0982,,,,,,,,,
BF/B UN Equity,12/3/93,3.3167,,,,,,,,,
RAD UN Equity,12/3/93,8.125,,,,,,,,,
CPB UN Equity,12/3/93,20.2181,,,,,,,,,
9876566D UN Equity,12/3/93,20,,,,,,,,,
CI UN Equity,12/3/93,7.083,,,,,,,,,
MZIAQ UN Equity,12/3/93,181.8771,,,,,,,,,
CL UN Equity,12/3/93,7.4688,,,,,,,,,
2731112Q US Equity,12/3/93,22.75,,,,,,,,,
NC UN Equity,12/3/93,3.3838,,,,,,,,,
CSC UN Equity,12/3/93,9.3567,,,,,,,,,
CAG UN Equity,12/3/93,10.3105,,,,,,,,,
JOSEA US Equity,12/3/93,18.375,,,,,,,,,
ED UN Equity,12/3/93,31.375,,,,,,,,,
CBE UN Equity,12/3/93,24.774,,,,,,,,,
GLW UN Equity,12/3/93,7.805,,,,,,,,,
CSX UN Equity,12/3/93,6.8958,,,,,,,,,
PBY UN Equity,12/3/93,26.375,,,,,,,,,
CMI UN Equity,12/3/93,12.125,,,,,,,,,
SCI UN Equity,12/3/93,12.625,,,,,,,,,
TGT UN Equity,12/3/93,5.9063,,,,,,,,,
DE UN Equity,12/3/93,12,,,,,,,,,
FLTWQ UN Equity,12/3/93,23.875,,,,,,,,,
D UN Equity,12/3/93,22.125,,,,,,,,,
DOV UN Equity,12/3/93,12.3393,,,,,,,,,
DOW UN Equity,12/3/93,19.5417,,,,,,,,,
ETN UN Equity,12/3/93,10.792,,,,,,,,,
ECL UN Equity,12/3/93,5.6094,,,,,,,,,
PPW US Equity,12/3/93,18.75,,,,,,,,,
PKI UN Equity,12/3/93,9,,,,,,,,,
EMR UN Equity,12/3/93,13.9688,,,,,,,,,
ETR UN Equity,12/3/93,36.375,,,,,,,,,
2288005Q US Equity,12/3/93,12.0417,,,,,,,,,
FDX UN Equity,12/3/93,17.8125,,,,,,,,,
FMC UN Equity,12/3/93,6.1877,,,,,,,,,
F UN Equity,12/3/93,20.1363,,,,,,,,,
NEE UN Equity,12/3/93,18.6875,,,,,,,,,
TGNA UN Equity,12/3/93,14.759,,,,,,,,,
GPS UN Equity,12/3/93,6.2222,,,,,,,,,
GD UN Equity,12/3/93,11.641,,,,,,,,,
GIS UN Equity,12/3/93,12.6487,,,,,,,,,
GPC UN Equity,12/3/93,25.1667,,,,,,,,,
GR UN Equity,12/3/93,20.3473,,,,,,,,,
GT UN Equity,12/3/93,45.375,,,,,,,,,
GWW UN Equity,12/3/93,29.063,,,,,,,,,
HRZIQ US Equity,12/3/93,23,,,,,,,,,
HAL UN Equity,12/3/93,6.9987,,,,,,,,,
HRS UN Equity,12/3/93,9.4483,,,,,,,,,
HNZ UN Equity,12/3/93,22.073,,,,,,,,,
HP UN Equity,12/3/93,4.8506,,,,,,,,,
HSY UN Equity,12/3/93,12.625,,,,,,,,,
TCOMA US Equity,12/3/93,21.3221,,,,,,,,,
CNP UN Equity,12/3/93,18.5345,,,,,,,,,
ITW UN Equity,12/3/93,9.4688,,,,,,,,,
IR UN Equity,12/3/93,10.1769,,,,,,,,,
FL UN Equity,12/3/93,23.25,,,,,,,,,
IPG UN Equity,12/3/93,10.0833,,,,,,,,,
IFF UN Equity,12/3/93,36.792,,,,,,,,,
1436513D UN Equity,12/3/93,4.4375,,,,,,,,,
K UN Equity,12/3/93,29.6875,,,,,,,,,
KMB UN Equity,12/3/93,24.9711,,,,,,,,,
2200Q US Equity,12/3/93,35.375,,,,,,,,,
KR UN Equity,12/3/93,2.4219,,,,,,,,,
LLY UN Equity,12/3/93,14.25,,,,,,,,,
653707Q UN Equity,12/3/93,39.6188,,,,,,,,,
LB UN Equity,12/3/93,8.169,,,,,,,,,
0598884D US Equity,12/3/93,24.75,,,,,,,,,
LNC UN Equity,12/3/93,22.125,,,,,,,,,
0202445Q UN Equity,12/3/93,15.1981,,,,,,,,,
2206Q US Equity,12/3/93,31,,,,,,,,,
LOW UN Equity,12/3/93,3.375,,,,,,,,,
BDK UN Equity,12/3/93,20.875,,,,,,,,,
MMC UN Equity,12/3/93,13.3125,,,,,,,,,
MAS UN Equity,12/3/93,15.3256,,,,,,,,,
BNI UN Equity,12/3/93,19,,,,,,,,,
SPGI UN Equity,12/3/93,8.75,,,,,,,,,
MDT UN Equity,12/3/93,5.1484,,,,,,,,,
CVS UN Equity,12/3/93,8.8663,,,,,,,,,
SGP UN Equity,12/3/93,8.2188,,,,,,,,,
WYE UN Equity,12/3/93,15.875,,,,,,,,,
MSI UN Equity,12/3/93,58.7261,,,,,,,,,
0226226D UN Equity,12/3/93,8.9129,,,,,,,,,
ROH UN Equity,12/3/93,18,,,,,,,,,
THC UN Equity,12/3/93,33.3333,,,,,,,,,
NWL UN Equity,12/3/93,20.125,,,,,,,,,
3517233Q UN Equity,12/3/93,26.875,,,,,,,,,
NEM UN Equity,12/3/93,43.0655,,,,,,,,,
1073675D UQ Equity,12/3/93,12.625,,,,,,,,,
1255173D UN Equity,12/3/93,20.25,,,,,,,,,
MER UN Equity,12/3/93,11.625,,,,,,,,,
NKE UN Equity,12/3/93,1.5,,,,,,,,,
0948669D US Equity,12/3/93,31.75,,,,,,,,,
NSC UN Equity,12/3/93,22.5833,,,,,,,,,
3393199Q UN Equity,12/3/93,12.3708,,,,,,,,,
NOC UN Equity,12/3/93,17.18,,,,,,,,,
WWY UN Equity,12/3/93,17.4,,,,,,,,,
WFC UN Equity,12/3/93,5.75,,,,,,,,,
204923Q US Equity,12/3/93,56.7524,,,,,,,,,
3022239Q UN Equity,12/3/93,7.67,,,,,,,,,
NUE UN Equity,12/3/93,13.5,,,,,,,,,
OXY UN Equity,12/3/93,8.7531,,,,,,,,,
OKE UN Equity,12/3/93,4.4594,,,,,,,,,
PCG UN Equity,12/3/93,34.25,,,,,,,,,
PH UN Equity,12/3/93,10.5926,,,,,,,,,
HET UN Equity,12/3/93,33.5909,,,,,,,,,
JCP UN Equity,12/3/93,55.875,,,,,,,,,
TRB UN Equity,12/3/93,14.7813,,,,,,,,,
PEP UN Equity,12/3/93,18.481,,,,,,,,,
DJ UN Equity,12/3/93,38.875,,,,,,,,,
EXC UN Equity,12/3/93,13.875,,,,,,,,,
NYT US Equity,12/3/93,14.0625,,,,,,,,,
NAE US Equity,12/3/93,7.75,,,,,,,,,
TEK UN Equity,12/3/93,7.2917,,,,,,,,,
PHM UN Equity,12/3/93,4.4844,,,,,,,,,
BOL UN Equity,12/3/93,52.875,,,,,,,,,
PBI UN Equity,12/3/93,20.8597,,,,,,,,,
PNC UN Equity,12/3/93,29.375,,,,,,,,,
PPG UN Equity,12/3/93,17.813,,,,,,,,,
PX UN Equity,12/3/93,8.375,,,,,,,,,
0376152D US Equity,12/3/93,10.25,,,,,,,,,
GIDL US Equity,12/3/93,26,,,,,,,,,
PEG UN Equity,12/3/93,15.75,,,,,,,,,
1618Q US Equity,12/3/93,38.25,,,,,,,,,
MEL UN Equity,12/3/93,9.5625,,,,,,,,,
RTN UN Equity,12/3/93,31.875,,,,,,,,,
RDC UN Equity,12/3/93,8.625,,,,,,,,,
R UN Equity,12/3/93,24.6243,,,,,,,,,
HSH UN Equity,12/3/93,25.467,,,,,,,,,
PD UN Equity,12/3/93,22.8125,,,,,,,,,
PGL UN Equity,12/3/93,29,,,,,,,,,
EIX UN Equity,12/3/93,20.125,,,,,,,,,
LUB UN Equity,12/3/93,21.875,,,,,,,,,
SLB UN Equity,12/3/93,12.7806,,,,,,,,,
SHOY US Equity,12/3/93,21.875,,,,,,,,,
1958Q US Equity,12/3/93,29.375,,,,,,,,,
SHW UN Equity,12/3/93,16.563,,,,,,,,,
BLS UN Equity,12/3/93,14.4063,,,,,,,,,
SNA UN Equity,12/3/93,25.333,,,,,,,,,
SO UN Equity,12/3/93,12.9039,,,,,,,,,
CNW UN Equity,12/3/93,18.8362,,,,,,,,,
3605818Q UN Equity,12/3/93,18.753,,,,,,,,,
0848680D UN Equity,12/3/93,10.9737,,,,,,,,,
YRCW UQ Equity,12/3/93,147322.2295,,,,,,,,,
SWK UN Equity,12/3/93,20.625,,,,,,,,,
GDW UN Equity,12/3/93,6.4583,,,,,,,,,
1086832D UN Equity,12/3/93,12.7918,,,,,,,,,
0544749D UN Equity,12/3/93,22.4754,,,,,,,,,
STI UN Equity,12/3/93,22.125,,,,,,,,,
SVU UN Equity,12/3/93,115.5,,,,,,,,,
VVI UN Equity,12/3/93,9.0935,,,,,,,,,
ANDW UQ Equity,12/3/93,6.6667,,,,,,,,,
SYY UN Equity,12/3/93,7.3438,,,,,,,,,
CVGYQ US Equity,12/3/93,23.25,,,,,,,,,
0964591D UQ Equity,12/3/93,4.8333,,,,,,,,,
JAVA UQ Equity,12/3/93,3.4375,,,,,,,,,
CAL UN Equity,12/3/93,15,,,,,,,,,
TXT UN Equity,12/3/93,13.75,,,,,,,,,
SAF UQ Equity,12/3/93,29.0625,,,,,,,,,
KRI UN Equity,12/3/93,30.375,,,,,,,,,
2999130Q UN Equity,12/3/93,16,,,,,,,,,
TJX UN Equity,12/3/93,1.7813,,,,,,,,,
1312089D UN Equity,12/3/93,24.5,,,,,,,,,
TMK UN Equity,12/3/93,8.4646,,,,,,,,,
HDLM UN Equity,12/3/93,12.625,,,,,,,,,
JCI UN Equity,12/3/93,4.3444,,,,,,,,,
929530Q UN Equity,12/3/93,22.375,,,,,,,,,
UNP UN Equity,12/3/93,10.4876,,,,,,,,,
BCO UN Equity,12/3/93,10.5854,,,,,,,,,
3080867Q UN Equity,12/3/93,16.625,,,,,,,,,
DCNAQ UN Equity,12/3/93,27.3125,,,,,,,,,
MRNKQ US Equity,12/3/93,25.25,,,,,,,,,
3026360Q UN Equity,12/3/93,8.3438,,,,,,,,,
X UN Equity,12/3/93,36.375,,,,,,,,,
RBK UN Equity,12/3/93,30.75,,,,,,,,,
VFC UN Equity,12/3/93,5.5313,,,,,,,,,
KRB UN Equity,12/3/93,2.7654,,,,,,,,,
GP UN Equity,12/3/93,25.1984,,,,,,,,,
ZETHQ US Equity,12/3/93,7.5,,,,,,,,,
1028411Q UN Equity,12/3/93,15.75,,,,,,,,,
WY UN Equity,12/3/93,18.0076,,,,,,,,,
987200Q UN Equity,12/3/93,25.6292,,,,,,,,,
WHR UN Equity,12/3/93,62,,,,,,,,,
DALRQ UN Equity,12/3/93,29.375,,,,,,,,,
WMB UN Equity,12/3/93,6.7465,,,,,,,,,
SPXC UN Equity,12/3/93,2.0303,,,,,,,,,
1624Q US Equity,12/3/93,51.375,,,,,,,,,
UCL UN Equity,12/3/93,26.75,,,,,,,,,
XRX UN Equity,12/3/93,36.1159,,,,,,,,,
TOY UN Equity,12/3/93,40.375,,,,,,,,,
723588Q UN Equity,12/3/93,66.3355,,,,,,,,,
HTMXQ UN Equity,12/3/93,6.875,,,,,,,,,
605555Q UN Equity,12/3/93,28.9905,,,,,,,,,
WNDXQ UN Equity,12/3/93,27.4375,,,,,,,,,
3621240Q UN Equity,12/3/93,28.1743,,,,,,,,,
FWLT UN Equity,12/3/93,347.5,,,,,,,,,
1291Q US Equity,12/3/93,14.75,,,,,,,,,
WOR US Equity,12/3/93,18,,,,,,,,,
USB US Equity,12/3/93,3.6977,,,,,,,,,
TAP US Equity,12/3/93,8.688,,,,,,,,,
JWN US Equity,12/3/93,8.625,,,,,,,,,
GCO UN Equity,12/3/93,5.1993,,,,,,,,,
748957Q UN Equity,12/3/93,13.488,,,,,,,,,
2727195Q UN Equity,12/3/93,11.4583,,,,,,,,,
1199Q US Equity,12/3/93,55.875,,,,,,,,,
AVATQ US Equity,12/3/93,13.4356,,,,,,,,,
297504Q UN Equity,12/3/93,33.125,,,,,,,,,
MCAWA US Equity,12/3/93,51.375,,,,,,,,,
FJCC US Equity,12/3/93,3.1333,,,,,,,,,
8214761Q UN Equity,12/3/93,18.4464,,,,,,,,,
INCLF UN Equity,12/3/93,24,,,,,,,,,
CNA UN Equity,12/3/93,24.9212,,,,,,,,,
NEU UN Equity,12/3/93,53.947,,,,,,,,,
NL UN Equity,12/3/93,2.6331,,,,,,,,,
UAWGQ UN Equity,12/3/93,13.25,,,,,,,,,
680884Q UN Equity,12/3/93,4.9417,,,,,,,,,
NMK UN Equity,12/3/93,20.25,,,,,,,,,
544791Q UN Equity,12/3/93,21.125,,,,,,,,,
1051665D UN Equity,12/3/93,22.25,,,,,,,,,
KMRTQ UN Equity,12/3/93,23,,,,,,,,,
HM UN Equity,12/3/93,20.25,,,,,,,,,
RAL UN Equity,12/3/93,8.806,,,,,,,,,
329556Q UN Equity,12/3/93,14.1149,,,,,,,,,
ENRNQ UN Equity,12/3/93,15.125,,,,,,,,,
677004Q UN Equity,12/3/93,31.5625,,,,,,,,,
950967Q UN Equity,12/3/93,14.6875,,,,,,,,,
OAT UN Equity,12/3/93,37.8125,,,,,,,,,
LDG UN Equity,12/3/93,16.375,,,,,,,,,
739306Q UN Equity,12/3/93,34.2113,,,,,,,,,
AZA UN Equity,12/3/93,13.7588,,,,,,,,,
PLL UN Equity,12/3/93,19,,,,,,,,,
1255177D UN Equity,12/3/93,20.75,,,,,,,,,
CGP UN Equity,12/3/93,13.5625,,,,,,,,,
253647Q UN Equity,12/3/93,22.1875,,,,,,,,,
3253Q UN Equity,12/3/93,61.25,,,,,,,,,
PRDCQ UN Equity,12/3/93,35.875,,,,,,,,,
RML UN Equity,12/3/93,28.25,,,,,,,,,
BHMSQ UN Equity,12/3/93,17.375,,,,,,,,,
291784Q UN Equity,12/3/93,27.5,,,,,,,,,
FJ UN Equity,12/3/93,17.7979,,,,,,,,,
ACKH UN Equity,12/3/93,46.5,,,,,,,,,
2269312Q UN Equity,12/3/93,26.875,,,,,,,,,
UCM UN Equity,12/3/93,28,,,,,,,,,
MS UN Equity,12/3/93,8.0677,,,,,,,,,
236555Q UN Equity,12/3/93,21.7518,,,,,,,,,
OWENQ UN Equity,12/3/93,46.5,,,,,,,,,
USW UN Equity,12/3/93,27.9791,,,,,,,,,
571300Q UN Equity,12/3/93,36.875,,,,,,,,,
IKN UN Equity,12/3/93,20.3843,,,,,,,,,
WLA UN Equity,12/3/93,10.8542,,,,,,,,,
140402Q UN Equity,12/3/93,30.5,,,,,,,,,
45200Q UN Equity,12/3/93,29.75,,,,,,,,,
TMC UN Equity,12/3/93,23.144,,,,,,,,,
RLM UN Equity,12/3/93,44.875,,,,,,,,,
667517Q UN Equity,12/3/93,14.25,,,,,,,,,
300583Q UN Equity,12/3/93,51.625,,,,,,,,,
CNRG UN Equity,12/3/93,45.25,,,,,,,,,
2755Q UN Equity,12/3/93,32.75,,,,,,,,,
3891289Q UN Equity,12/3/93,37.875,,,,,,,,,
2770014Q UN Equity,12/3/93,20.5625,,,,,,,,,
0820143D UN Equity,12/3/93,20.375,,,,,,,,,
93916Q UN Equity,12/3/93,29,,,,,,,,,
363096Q UN Equity,12/3/93,23.125,,,,,,,,,
183291Q UN Equity,12/3/93,9.75,,,,,,,,,
3054Q UN Equity,12/3/93,19.4375,,,,,,,,,
RYC UN Equity,12/3/93,18.625,,,,,,,,,
3459Q UN Equity,12/3/93,25,,,,,,,,,
375573Q UN Equity,12/3/93,37.375,,,,,,,,,
2972Q UN Equity,12/3/93,28.625,,,,,,,,,
2691Q UN Equity,12/3/93,10.375,,,,,,,,,
399463Q UN Equity,12/3/93,77.625,,,,,,,,,
MWI UN Equity,12/3/93,19.875,,,,,,,,,
896661Q UN Equity,12/3/93,47.5,,,,,,,,,
968734Q UN Equity,12/3/93,32.5,,,,,,,,,
611647Q UN Equity,12/3/93,29.5,,,,,,,,,
RBD UN Equity,12/3/93,33.625,,,,,,,,,
ORX UN Equity,12/3/93,17.5,,,,,,,,,
2500Q UN Equity,12/3/93,26.375,,,,,,,,,
231079Q UN Equity,12/3/93,26.8347,,,,,,,,,
134618Q UN Equity,12/3/93,110.375,,,,,,,,,
AS UN Equity,12/3/93,6,,,,,,,,,
1567Q UN Equity,12/3/93,11.5,,,,,,,,,
2251Q UN Equity,12/3/93,27.0625,,,,,,,,,
2223Q UN Equity,12/3/93,118.125,,,,,,,,,
504369Q UN Equity,12/3/93,34.875,,,,,,,,,
2428Q UN Equity,12/3/93,29.625,,,,,,,,,
370506Q UN Equity,12/3/93,21.875,,,,,,,,,
45861Q UN Equity,12/3/93,18.875,,,,,,,,,
2196Q UN Equity,12/3/93,22.375,,,,,,,,,
0943554D UN Equity,12/3/93,19.25,,,,,,,,,
3619382Q UN Equity,12/3/93,14.2666,,,,,,,,,
WMX UN Equity,12/3/93,25.75,,,,,,,,,
GFS/A UA Equity,12/3/93,23.75,,,,,,,,,
2282655Q UN Equity,12/3/93,32.5,,,,,,,,,
2218Q UN Equity,12/3/93,36.9375,,,,,,,,,
3520842Q UN Equity,12/3/93,32.125,,,,,,,,,
RHDCQ UN Equity,12/3/93,10.5877,,,,,,,,,
DEC UN Equity,12/3/93,36.5,,,,,,,,,
PET UN Equity,12/3/93,24.5,,,,,,,,,
SDH UN Equity,12/3/93,8.5346,,,,,,,,,
JH UN Equity,12/3/93,22.875,,,,,,,,,
1558530D UN Equity,12/3/93,12.875,,,,,,,,,
263179Q UN Equity,#N/A N/A,,,,,,,,,,
2638Q UN Equity,12/3/93,20.625,,,,,,,,,
PAS UN Equity,12/3/93,10.133,,,,,,,,,
ECO UA Equity,12/3/93,12.625,,,,,,,,,
1802Q UN Equity,12/3/93,12.75,,,,,,,,,
DTE UN Equity,12/3/93,32,,,,,,,,,
FLMIQ UN Equity,12/3/93,30.375,,,,,,,,,
TXN UN Equity,12/3/93,4.0078,,,,,,,,,
2822069Q UN Equity,12/3/93,45,,,,,,,,,
LLX UN Equity,12/3/93,39.25,,,,,,,,,
SRR UN Equity,12/3/93,19,,,,,,,,,
TDM UN Equity,12/3/93,10.75,,,,,,,,,
1974Q UA Equity,12/3/93,5.375,,,,,,,,,
334702Q UN Equity,12/3/93,16.75,,,,,,,,,
0111145D UN Equity,12/3/93,27.875,,,,,,,,,
210967Q UN Equity,12/3/93,41.875,,,,,,,,,
231330Q UN Equity,12/3/93,18.5,,,,,,,,,
1013207D UN Equity,12/3/93,4.7361,,,,,,,,,
XEL UN Equity,12/3/93,21.0625,,,,,,,,,
ITT UN Equity,12/3/93,2.5203,,,,,,,,,
0203524D UN Equity,12/3/93,7.8125,,,,,,,,,
316419Q UN Equity,12/3/93,21.875,,,,,,,,,
90457Q UN Equity,12/3/93,24.6667,,,,,,,,,
RSHCQ UN Equity,12/3/93,11.5938,,,,,,,,,
1680Q UN Equity,12/3/93,61.875,,,,,,,,,
1581Q UN Equity,12/3/93,31.8333,,,,,,,,,
MEE UN Equity,12/3/93,10.2878,,,,,,,,,
693365Q UN Equity,12/3/93,33.6254,,,,,,,,,
RYAN UQ Equity,12/3/93,5.5,,,,,,,,,
AALEA UN Equity,12/3/93,18.25,,,,,,,,,
1511Q UN Equity,12/3/93,49.875,,,,,,,,,
THY UN Equity,12/3/93,13.375,,,,,,,,,
MDP UN Equity,12/3/93,10.2813,,,,,,,,,
OM UN Equity,12/3/93,20.875,,,,,,,,,
HAS US Equity,12/3/93,16.7222,,,,,,,,,
1463Q UN Equity,12/3/93,25.727,,,,,,,,,
1513Q UN Equity,12/3/93,34.25,,,,,,,,,
VAT UN Equity,12/3/93,41.75,,,,,,,,,
2746Q UN Equity,12/3/93,25.75,,,,,,,,,
2784Q UN Equity,12/3/93,9.9792,,,,,,,,,
1327Q UN Equity,12/3/93,34,,,,,,,,,
0440296D UN Equity,12/3/93,58.875,,,,,,,,,
1356Q UN Equity,12/3/93,16.8125,,,,,,,,,
2987Q UN Equity,12/3/93,27.125,,,,,,,,,
FBO UN Equity,12/3/93,22,,,,,,,,,
1423Q UN Equity,12/3/93,62.6,,,,,,,,,
FFB UN Equity,12/3/93,42.5,,,,,,,,,
279776Q UN Equity,12/3/93,41.25,,,,,,,,,
1530Q UN Equity,12/3/93,18.9375,,,,,,,,,
1455Q UN Equity,12/3/93,20.875,,,,,,,,,
ZRN UN Equity,12/3/93,26.875,,,,,,,,,
1297Q UN Equity,12/3/93,60.375,,,,,,,,,
UPJ UN Equity,12/3/93,30.75,,,,,,,,,
210811Q UN Equity,12/3/93,7.2084,,,,,,,,,
KBH UN Equity,12/3/93,10.3125,,,,,,,,,
2576Q UN Equity,12/3/93,11.5962,,,,,,,,,
1456Q UN Equity,12/3/93,7.75,,,,,,,,,
CKL UN Equity,12/3/93,49,,,,,,,,,
CINL UN Equity,12/3/93,29.75,,,,,,,,,
2650Q UN Equity,12/3/93,42.75,,,,,,,,,
SKLNQ UN Equity,12/3/93,21.5,,,,,,,,,
LK UN Equity,12/3/93,70.625,,,,,,,,,
MAT UN Equity,12/3/93,15.04,,,,,,,,,
MXS UN Equity,12/3/93,5,,,,,,,,,
NEC UN Equity,12/3/93,6.125,,,,,,,,,
1237Q UN Equity,12/3/93,16.875,,,,,,,,,
RRD UN Equity,12/3/93,48.0449,,,,,,,,,
8375930Q UN Equity,12/3/93,28.375,,,,,,,,,
2245Q UN Equity,12/3/93,17,,,,,,,,,
1719Q UN Equity,12/3/93,25.75,,,,,,,,,
1856Q UN Equity,12/3/93,50.0453,,,,,,,,,
54279Q UN Equity,12/3/93,32,,,,,,,,,
2254Q UN Equity,12/3/93,28.125,,,,,,,,,
UALAQ UN Equity,12/3/93,38.0938,,,,,,,,,
1953Q UN Equity,12/3/93,16.875,,,,,,,,,
GQ UN Equity,12/3/93,39.875,,,,,,,,,
3691661Q UN Equity,12/3/93,65.75,,,,,,,,,
KATE UN Equity,12/3/93,11.25,,,,,,,,,
ASH UN Equity,12/3/93,10.9253,,,,,,,,,
HPC US Equity,12/3/93,36.125,,,,,,,,,
UIS UN Equity,12/3/93,120,,,,,,,,,
DDS UN Equity,12/3/93,39.625,,,,,,,,,
ADP UN Equity,12/3/93,10.8842,,,,,,,,,
FMCC UN Equity,12/3/93,12.2813,,,,,,,,,
FNMA UN Equity,12/3/93,19.1875,,,,,,,,,
OMX UN Equity,12/3/93,23.375,,,,,,,,,
BC UN Equity,12/3/93,17.25,,,,,,,,,
CA UN Equity,12/3/93,12.2222,,,,,,,,,
CCTYQ UN Equity,12/3/93,8.5103,,,,,,,,,
TIN UN Equity,12/3/93,14.7208,,,,,,,,,
0910150D US Equity,12/3/93,8.4792,,,,,,,,,
TXU US Equity,12/3/93,21.1875,,,,,,,,,
NAV UN Equity,12/3/93,23.375,,,,,,,,,
1281683D UN Equity,12/3/93,6.2409,,,,,,,,,
LPX UN Equity,12/3/93,41.375,,,,,,,,,
CTB UN Equity,12/3/93,22.75,,,,,,,,,
