,Average price of S&P 1-Jan,
APD UN Equity,12/3/99,29.2375
1284849D UN Equity,12/3/99,22.76
AEP UN Equity,12/3/99,31.1875
HES UN Equity,12/3/99,19.4583
APC UN Equity,12/3/99,14.875
ADI UN Equity,12/3/99,34.8125
APA UN Equity,12/3/99,15.0433
ADM UN Equity,12/3/99,11.2812
AZO UN Equity,12/3/99,27.5
AVY UN Equity,12/3/99,59.5
BHI UN Equity,12/3/99,23.875
CEG UN Equity,12/3/99,30.25
BK UN Equity,12/3/99,43.7911
BCR UN Equity,12/3/99,26.2188
BAX UN Equity,12/3/99,17.5144
BDX UN Equity,12/3/99,26.938
BBY UN Equity,12/3/99,25.1111
HRB UN Equity,12/3/99,11.5313
BSX UN Equity,12/3/99,10.25
CPB UN Equity,12/3/99,45.5625
CCL UN Equity,12/3/99,49.75
CTL UN Equity,12/3/99,47.25
9876566D UN Equity,12/3/99,27.8438
CLX UN Equity,12/3/99,46.813
CMS UN Equity,12/3/99,33.4375
CCE UN Equity,12/3/99,20.25
CMA UN Equity,12/3/99,54.4375
CSC UN Equity,12/3/99,40.4179
CAG UN Equity,12/3/99,18.3351
ED UN Equity,12/3/99,35
BIG UN Equity,12/3/99,17
CBE UN Equity,12/3/99,21.5625
GLW UN Equity,12/3/99,34.6667
CSX UN Equity,12/3/99,6.0521
CMI UN Equity,12/3/99,9.766
TGT UN Equity,12/3/99,33.9688
DE UN Equity,12/3/99,21.5
D UN Equity,12/3/99,22.2813
DOW UN Equity,12/3/99,40.3333
DUK UN Equity,12/3/99,43.8291
ETN UN Equity,12/3/99,16.8117
PKI UN Equity,12/3/99,21.3438
EP UN Equity,12/3/99,37.375
EMC UN Equity,12/3/99,46.7348
EMR UN Equity,12/3/99,28.9063
ETR UN Equity,12/3/99,27.0625
EFX UN Equity,12/3/99,14.188
FDX UN Equity,12/3/99,41.9375
M UN Equity,12/3/99,22.75
F UN Equity,12/3/99,50.255
NEE UN Equity,12/3/99,22.2188
BEN UN Equity,12/3/99,10.6667
FCX UN Equity,12/3/99,8.0313
TGNA UN Equity,12/3/99,38.8344
GD UN Equity,12/3/99,26.031
GIS UN Equity,12/3/99,18.9688
GPC UN Equity,12/3/99,25.875
GR UN Equity,12/3/99,21.1901
GT UN Equity,12/3/99,32.8125
GWW UN Equity,12/3/99,47.75
HAL UN Equity,12/3/99,19.2188
HOG UN Equity,12/3/99,30.2813
HNZ UN Equity,12/3/99,38.2337
HSY UN Equity,12/3/99,26.6563
HOT UN Equity,12/3/99,17.0607
ITW UN Equity,12/3/99,33.6875
IR UN Equity,12/3/99,19.2563
IPG UN Equity,12/3/99,50.875
IFF UN Equity,12/3/99,38.375
1436513D UN Equity,12/3/99,8.7396
K UN Equity,12/3/99,33.5625
KMB UN Equity,12/3/99,63.2522
KSS UN Equity,12/3/99,36.2188
KR UN Equity,12/3/99,10.2813
LEG UN Equity,12/3/99,21.5625
LLY UN Equity,12/3/99,71.875
653707Q UN Equity,12/3/99,90.7605
CAR UN Equity,12/3/99,21.8837
LB UN Equity,12/3/99,20.6563
3277Q UN Equity,12/3/99,136.625
0202445Q UN Equity,12/3/99,30.0093
L UN Equity,12/3/99,10.8125
LOW UN Equity,12/3/99,13.4844
1431816D UN Equity,12/3/99,32.5313
BDK UN Equity,12/3/99,45.625
RX UN Equity,12/3/99,24.3153
MAS UN Equity,12/3/99,21.7525
BNI UN Equity,12/3/99,29.5625
SPGI UN Equity,12/3/99,28.563
MDT UN Equity,12/3/99,39.9375
CVS UN Equity,12/3/99,19.4375
WYE UN Equity,12/3/99,50.5625
MSI UN Equity,12/3/99,151.4354
0226226D UN Equity,12/3/99,10.8626
ROH UN Equity,12/3/99,38.4375
THC UN Equity,12/3/99,56.5
NWL UN Equity,12/3/99,33.5
3517233Q UN Equity,12/3/99,27.25
NEM UN Equity,12/3/99,22.125
MER UN Equity,12/3/99,41.4375
NKE UN Equity,12/3/99,5.7969
NCC UN Equity,12/3/99,25.5625
NSC UN Equity,12/3/99,21.4375
3286728Q UN Equity,12/3/99,45.6563
3393199Q UN Equity,12/3/99,36.7188
NOC UN Equity,12/3/99,26.393
WWY UN Equity,12/3/99,32.65
WFC UN Equity,12/3/99,23.5938
NUE UN Equity,12/3/99,13.4063
OXY UN Equity,12/3/99,10.5517
3423152Q UN Equity,12/3/99,69
OMC UN Equity,12/3/99,45.8125
2968900Q UN Equity,12/3/99,80.4119
OKE UN Equity,12/3/99,6.2513
CFC UN Equity,12/3/99,7.1094
2942331Q UN Equity,12/3/99,41.5625
PH UN Equity,12/3/99,31.4583
PPL UN Equity,12/3/99,10.6423
HET UN Equity,12/3/99,26.125
JCP UN Equity,12/3/99,21
TRB UN Equity,12/3/99,49.9375
PEP UN Equity,12/3/99,37.313
DJ UN Equity,12/3/99,62.5
3692470Q UN Equity,12/3/99,72.0376
COP UN Equity,12/3/99,18.3195
TEK UN Equity,12/3/99,18.8438
PHM UN Equity,12/3/99,5.0781
HCR UN Equity,12/3/99,18.125
PNW UN Equity,12/3/99,33.625
BOL UN Equity,12/3/99,66.8125
PBI UN Equity,12/3/99,46.2329
2641504Q UN Equity,12/3/99,45.9375
PNC UN Equity,12/3/99,55.1875
1317355D UN Equity,12/3/99,11.9965
PPG UN Equity,12/3/99,30.156
PX UN Equity,12/3/99,22.938
KSE UN Equity,12/3/99,25.625
PGR UN Equity,12/3/99,6.5573
3403545Q UN Equity,12/3/99,19.4
MEL UN Equity,12/3/99,37.5
RTN UN Equity,12/3/99,29.3125
RHI UN Equity,12/3/99,13.9375
RDC UN Equity,12/3/99,18.125
1528159D UN Equity,12/3/99,47.75
SWY UN Equity,12/3/99,32.0572
HSH UN Equity,12/3/99,48.2404
PD UN Equity,12/3/99,27.2813
PGL UN Equity,12/3/99,37.6875
EIX UN Equity,12/3/99,27.0625
SCHW UN Equity,12/3/99,26.375
2987536Q UN Equity,12/3/99,21.1944
SHW UN Equity,12/3/99,21.938
BLS UN Equity,12/3/99,46.8125
SO UN Equity,12/3/99,14.5788
LU UN Equity,12/3/99,62.8158
BBT UN Equity,12/3/99,33.3125
LUV UN Equity,12/3/99,11.0417
3605818Q UN Equity,12/3/99,28.375
0848680D UN Equity,12/3/99,63.0422
3133754Q UN Equity,12/3/99,22.8125
SWK UN Equity,12/3/99,31.375
GDW UN Equity,12/3/99,17.0625
1086832D UN Equity,12/3/99,10.2178
0544749D UN Equity,12/3/99,28.1093
STI UN Equity,12/3/99,71.8125
GTW UN Equity,12/3/99,69.1875
SVU UN Equity,12/3/99,133
ANDW UQ Equity,12/3/99,14
SYY UN Equity,12/3/99,19.2813
0964591D UQ Equity,12/3/99,15.2222
JAVA UQ Equity,12/3/99,142
2307532Q UQ Equity,12/3/99,25
MEDI UQ Equity,12/3/99,43.8333
TXT UN Equity,12/3/99,36.1563
SAF UQ Equity,12/3/99,24.0625
TMO UN Equity,12/3/99,13.585
TIF UN Equity,12/3/99,39.8438
TJX UN Equity,12/3/99,4.875
1312089D UN Equity,12/3/99,30.5
GDT UN Equity,12/3/99,49.875
CHIR UQ Equity,12/3/99,34.25
JCI UN Equity,12/3/99,27.0369
929530Q UN Equity,12/3/99,16.4375
CIN UN Equity,12/3/99,25.125
UNH UN Equity,12/3/99,6.758
3080867Q UN Equity,12/3/99,49.0625
UNM UN Equity,12/3/99,32.25
DCNAQ UN Equity,12/3/99,27.9375
MRO UN Equity,12/3/99,7.8539
3026360Q UN Equity,12/3/99,30.75
X UN Equity,12/3/99,29.25
RBK UN Equity,12/3/99,8.375
SEBL UQ Equity,12/3/99,36.5
MERQ UQ Equity,12/3/99,47.1875
GP UN Equity,12/3/99,41.4375
VMC UN Equity,12/3/99,40.75
CPNLQ UN Equity,12/3/99,15.2813
WBA UN Equity,12/3/99,30.5625
DPHIQ UN Equity,12/3/99,15.8125
1028411Q UN Equity,12/3/99,43.9375
PVN UN Equity,12/3/99,41
WY UN Equity,12/3/99,26.6789
WHR UN Equity,12/3/99,61.813
WMB UN Equity,12/3/99,25.2527
NXTL UQ Equity,12/3/99,53.1563
UCL UN Equity,12/3/99,34.9375
XRX UN Equity,12/3/99,68.3348
TOY UN Equity,12/3/99,16.3125
723588Q UN Equity,12/3/99,37.25
AES UN Equity,12/3/99,29.6563
3153670Q UQ Equity,12/3/99,70.75
WNDXQ UN Equity,12/3/99,25.5625
2676187Q UQ Equity,12/3/99,19.5625
605018Q UN Equity,#N/A N/A,
TAP UN Equity,12/3/99,26.25
3621240Q UN Equity,12/3/99,34.5
UPC UN Equity,12/3/99,29.375
945852Q UN Equity,12/3/99,46.625
JWN UN Equity,12/3/99,13.375
FBF UN Equity,12/3/99,38.875
BGEN UQ Equity,12/3/99,76.5
QTRN UQ Equity,12/3/99,22.75
STJ UN Equity,12/3/99,6.6563
SYK UN Equity,12/3/99,15.0781
748957Q UN Equity,12/3/99,41.3571
2727195Q UN Equity,12/3/99,41
TWX UN Equity,12/3/99,154.9834
CAH UN Equity,12/3/99,24.0545
PALM UQ Equity,#N/A N/A,
8214761Q UN Equity,12/3/99,33.986
INCLF UN Equity,12/3/99,19.375
RDPL UN Equity,12/3/99,58.6875
UAWGQ UN Equity,12/3/99,29.875
WCOEQ UQ Equity,12/3/99,51.8594
680884Q UN Equity,12/3/99,26.0625
355488Q UQ Equity,12/3/99,27.9375
228510Q UN Equity,12/3/99,43.1875
NMK UN Equity,12/3/99,15
544791Q UN Equity,12/3/99,37.0625
1051665D UN Equity,12/3/99,30.4375
KMRTQ UN Equity,12/3/99,9.6875
FRX UN Equity,12/3/99,13.2813
HM UN Equity,12/3/99,8.0625
RAL UN Equity,12/3/99,21.8639
329556Q UN Equity,12/3/99,17.1818
ENRNQ UN Equity,12/3/99,37.8125
GPUI UN Equity,12/3/99,31.8125
GBLXQ UN Equity,#N/A N/A,
950967Q UN Equity,12/3/99,37.0938
ETS UN Equity,12/3/99,119.9487
OAT UN Equity,12/3/99,65.875
LDG UN Equity,12/3/99,25.625
739306Q UN Equity,12/3/99,33.875
AZA UN Equity,12/3/99,21.25
89236Q UN Equity,12/3/99,19.75
PLL UN Equity,12/3/99,24.25
OK UN Equity,12/3/99,38.9881
3075558Q UN Equity,12/3/99,32.5625
3346Q UN Equity,12/3/99,35.125
1255177D UN Equity,12/3/99,60.9375
CGP UN Equity,12/3/99,35.5
253647Q UN Equity,12/3/99,62.9375
STT UN Equity,12/3/99,37.25
USB UN Equity,12/3/99,25.144
CBS UN Equity,12/3/99,38.823
AGN UN Equity,12/3/99,37.438
MS UN Equity,12/3/99,53.2052
ALL UN Equity,12/3/99,27.25
EMN UN Equity,12/3/99,21.0625
MCK UN Equity,12/3/99,22.5
LMT UN Equity,12/3/99,20
DRI UN Equity,12/3/99,10.7078
HIG UN Equity,12/3/99,45.9375
1518855D US Equity,12/3/99,253
ATI UN Equity,12/3/99,24.6875
ROK UN Equity,12/3/99,20.375
YUM UN Equity,12/3/99,7.1905
SEE UN Equity,12/3/99,23.6875
AET UN Equity,#N/A N/A,
SRE UN Equity,12/3/99,18.25
A UN Equity,12/3/99,30.2776
DTE UN Equity,12/3/99,33.4375
TXN UN Equity,12/3/99,50.75
FLR UN Equity,#N/A N/A,
SLM UN Equity,12/3/99,5.9324
JNS UN Equity,#N/A N/A,
XEL UN Equity,12/3/99,20.5625
0203524D UN Equity,12/3/99,24.4375
RSHCQ UN Equity,12/3/99,76.875
0772031D UN Equity,#N/A N/A,
AYE UN Equity,12/3/99,29
MDP UN Equity,12/3/99,38.75
HAS US Equity,12/3/99,20.8125
ODP UN Equity,12/3/99,10.625
NYT UN Equity,12/3/99,41.4375
KG UN Equity,#N/A N/A,
PTV UN Equity,12/3/99,10.3125
MU UN Equity,12/3/99,34.125
KBH UN Equity,12/3/99,11
MBI UN Equity,12/3/99,34.4167
DYNIQ UN Equity,12/3/99,55.625
CVG UN Equity,12/3/99,28.8125
MAT UN Equity,12/3/99,14.25
RIG UN Equity,12/3/99,39.3082
KATE UN Equity,12/3/99,19.2813
ASH UN Equity,12/3/99,10.9455
HPC US Equity,12/3/99,24
UIS UN Equity,12/3/99,317.5
MTG UN Equity,12/3/99,58.5625
DDS UN Equity,12/3/99,18.5625
ADP UN Equity,12/3/99,40.385
WAMUQ UN Equity,12/3/99,19.375
LEHMQ UN Equity,12/3/99,20.1875
CA UN Equity,12/3/99,68.1875
CCTYQ UN Equity,12/3/99,31.5382
1541931D UQ Equity,12/3/99,29.2813
SNV UN Equity,12/3/99,64.8573
TIN UN Equity,12/3/99,17.6944
3414924Q US Equity,#N/A N/A,
0910150D US Equity,12/3/99,10.25
TXU US Equity,12/3/99,18.3125
NCR UN Equity,12/3/99,7.8442
4621824Q UN Equity,12/3/99,19.6875
CMVT UQ Equity,12/3/99,36.7313
NAV UN Equity,12/3/99,39.5
1281683D UN Equity,12/3/99,15.71
CTB UN Equity,12/3/99,14.9375
ADBE UQ Equity,12/3/99,16.6719
AMGN UQ Equity,12/3/99,46.25
AAPL UQ Equity,12/3/99,4.1071
ADSK UQ Equity,12/3/99,8.4844
CSCO UQ Equity,12/3/99,47.7813
KLAC UQ Equity,12/3/99,48.7813
MOLX UQ Equity,12/3/99,40.85
NOVL UQ Equity,12/3/99,21
ORCL UQ Equity,12/3/99,19.6719
PCAR UQ Equity,12/3/99,8.358
COST UQ Equity,12/3/99,49.344
SIAL UQ Equity,12/3/99,14.7188
ADCT UQ Equity,12/3/99,115.2813
AMAT UQ Equity,12/3/99,27.5625
BBBY UQ Equity,12/3/99,16.8438
CINF UQ Equity,12/3/99,29.2517
FITB UQ Equity,12/3/99,47.8333
HBAN UQ Equity,12/3/99,25.7386
MXIM UQ Equity,12/3/99,46.1563
1280712D UQ Equity,12/3/99,29.125
PAYX UQ Equity,12/3/99,28.875
PTC UQ Equity,12/3/99,72.3438
QCOM UQ Equity,12/3/99,48.0547
SBUX UQ Equity,12/3/99,3.4766
SPLS UQ Equity,12/3/99,15.3333
TLAB UQ Equity,12/3/99,65.0625
XLNX UQ Equity,12/3/99,44.125
1519128D UQ Equity,12/3/99,33.9706
INTU UQ Equity,12/3/99,30
SANM UQ Equity,12/3/99,159.6562
VIAV UQ Equity,12/3/99,285.6189
QLGC UQ Equity,12/3/99,29.0469
NTAP UQ Equity,12/3/99,34.1875
CTXS UQ Equity,12/3/99,39.9887
BRCM UQ Equity,12/3/99,69.25
1288652D US Equity,12/3/99,45.0833
VSTNQ UN Equity,#N/A N/A,
NBR UA Equity,12/3/99,13.5938
PWER UQ Equity,12/3/99,7.625
CR UN Equity,12/3/99,18.0423
WOR UN Equity,#N/A N/A,
DVN UA Equity,12/3/99,17.5
0948669D UN Equity,12/3/99,23.4375
TUP UN Equity,12/3/99,17.5625
MDR UN Equity,12/3/99,1.4087
EHC UN Equity,12/3/99,26.25
AAMRQ UN Equity,12/3/99,27.5308
CMCSK UQ Equity,12/3/99,31
VTSS UQ Equity,12/3/99,993.75
DPS UN Equity,#N/A N/A,
XRX UN Equity,12/3/99,68.3348
HBI UN Equity,#N/A N/A,
ALB UN Equity,12/3/99,9.4375
EL UN Equity,12/3/99,21.1563
