,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
KRB UN Equity,12/3/99,17.1667
AA UN Equity,12/3/99,79.7841
DD UN Equity,12/3/99,57.7695
SAPE UQ Equity,12/3/99,41.8438
HD UN Equity,12/3/99,56.167
IBM UN Equity,12/3/99,112
MRK UN Equity,12/3/99,73.2321
BAC UN Equity,12/3/99,28.7188
PFE UN Equity,12/3/99,35.8125
BVSN UQ Equity,12/3/99,8203.1258
PCH UN Equity,12/3/99,34.8571
INTC UQ Equity,12/3/99,39.3438
BEAM UN Equity,12/3/99,24.2732
AON UN Equity,12/3/99,35.75
AVP UN Equity,12/3/99,18.125
BLL UN Equity,12/3/99,2.4492
BMS UN Equity,12/3/99,16.2813
BMY UN Equity,12/3/99,69.4797
BF/B UN Equity,12/3/99,8.475
CI UN Equity,12/3/99,27.625
CL UN Equity,12/3/99,29.0313
DHR UN Equity,12/3/99,9.6279
DOV UN Equity,12/3/99,38.8844
ECL UN Equity,12/3/99,17.625
EOG UN Equity,12/3/99,4.3438
FMC UN Equity,12/3/99,6.5913
GPS UN Equity,12/3/99,42.0625
CNP UN Equity,12/3/99,19.9056
HUM UN Equity,12/3/99,6.938
LNC UN Equity,12/3/99,41.75
MMC UN Equity,12/3/99,40.5
SGP UN Equity,12/3/99,49.5625
1255173D UN Equity,12/3/99,38.375
NI UN Equity,12/3/99,7.4171
AW UN Equity,12/3/99,8.125
3022239Q UN Equity,12/3/99,10.2754
PCG UN Equity,12/3/99,22.125
EXC UN Equity,12/3/99,16.6563
PEG UN Equity,12/3/99,17.3438
R UN Equity,12/3/99,22
SLB UN Equity,12/3/99,26.8476
SNA UN Equity,12/3/99,30.813
TER UN Equity,12/3/99,50.0625
KRI UN Equity,12/3/99,55
2999130Q UN Equity,12/3/99,17.375
TMK UN Equity,12/3/99,14.1667
UNP UN Equity,12/3/99,11.6875
VFC UN Equity,12/3/99,7.6094
987200Q UN Equity,12/3/99,33.5
DALRQ UN Equity,12/3/99,51.0625
605555Q UN Equity,12/3/99,35
3029830Q UQ Equity,12/3/99,20.6875
297504Q UN Equity,12/3/99,52.1875
COC UN Equity,12/3/99,26.5625
CNCEQ UN Equity,12/3/99,21
PDG UN Equity,12/3/99,10.6875
677004Q UN Equity,12/3/99,60.1875
TOS UN Equity,12/3/99,28.5625
KEY UN Equity,12/3/99,25.875
WM UN Equity,12/3/99,15.5
COF UN Equity,12/3/99,50.75
LXK UN Equity,12/3/99,78.3125
FE UN Equity,12/3/99,23.875
AEE UN Equity,12/3/99,34.5
MAR UN Equity,12/3/99,15.6177
MCO UN Equity,12/3/99,10.1893
MET UN Equity,#N/A N/A,
0111145D UN Equity,12/3/99,34.5625
0961514D UN Equity,12/3/99,30.5625
ITT UN Equity,12/3/99,5.9063
RRD UN Equity,12/3/99,38.3143
FMCC UN Equity,12/3/99,48.875
FNMA UN Equity,12/3/99,67.5
OMX UN Equity,12/3/99,36
BC UN Equity,12/3/99,21.5
ABKFQ UN Equity,12/3/99,37.9167
LPX UN Equity,12/3/99,13.625
DELL UQ Equity,12/3/99,45.3125
LLTC UQ Equity,12/3/99,40.625
NTRS UQ Equity,12/3/99,49.9375
TROW UQ Equity,12/3/99,18.8438
DLX UN Equity,12/3/99,22.4367
502466Q US Equity,12/3/99,30.1563
TNB UN Equity,12/3/99,42.75
ABX UN Equity,12/3/99,17.4375
AXP UN Equity,12/3/99,45.8828
VZ UN Equity,12/3/99,59.1588
NRTLQ UN Equity,12/3/99,400.9375
BA UN Equity,12/3/99,40.375
CAT UN Equity,12/3/99,24.0625
JPM UN Equity,12/3/99,54.6667
UN UN Equity,12/3/99,18.4167
CVX UN Equity,12/3/99,45.4688
KO UN Equity,12/3/99,34.0938
1040983D UQ Equity,12/3/99,151.6469
DIS UN Equity,12/3/99,27.5044
XOM UN Equity,12/3/99,41.3125
GE UN Equity,12/3/99,45.4167
HPQ UN Equity,12/3/99,18.9665
JNJ UN Equity,12/3/99,48.313
MCD UN Equity,12/3/99,45.875
MMM UN Equity,12/3/99,49.656
PG UN Equity,12/3/99,56.875
T UN Equity,12/3/99,53.5
TRV UN Equity,12/3/99,31.75
UTX UN Equity,12/3/99,30.719
WMT UN Equity,12/3/99,59.0625
41018Q US Equity,12/3/99,78.81
TKR UN Equity,12/3/99,13.2437
MTLQQ UN Equity,12/3/99,75.8125
C UN Equity,12/3/99,395.8806
AIG UN Equity,12/3/99,1161.6255
HON UN Equity,12/3/99,62.3928
MO UN Equity,12/3/99,6.0758
MSFT UQ Equity,12/3/99,48.0625
EKDKQ UN Equity,12/3/99,60.25
IP UN Equity,12/3/99,52.3734
SXCL UQ Equity,12/3/99,436.3125
BGG UN Equity,12/3/99,26.375
ARB UN Equity,12/3/99,25.4014
ABT UN Equity,12/3/99,16.7547
AMD UN Equity,12/3/99,15.5938
BMC UQ Equity,12/3/99,73.25
AFL UN Equity,12/3/99,25.0313
