,Average price of S&P 1-Jan,,,,,,,,,,
S&P 500 List,Start Date,price,,,,,,,,,
DOW UN Equity,12/2/91,16.625,,,,,,,,,
DUK UN Equity,12/2/91,28.055,,,,,,,,,
ETN UN Equity,12/2/91,6.3451,,,,,,,,,
ECL UN Equity,12/2/91,3.7969,,,,,,,,,
PPW US Equity,12/2/91,24.25,,,,,,,,,
PKI UN Equity,12/2/91,11.3125,,,,,,,,,
EMR UN Equity,12/2/91,11.875,,,,,,,,,
ETR UN Equity,12/2/91,28.75,,,,,,,,,
FDX UN Equity,12/2/91,8.9375,,,,,,,,,
FMC UN Equity,12/2/91,6.3559,,,,,,,,,
F UN Equity,12/2/91,7.7754,,,,,,,,,
NEE UN Equity,12/2/91,17.4375,,,,,,,,,
TGNA UN Equity,12/2/91,9.7006,,,,,,,,,
GPS UN Equity,12/2/91,8.0556,,,,,,,,,
GD UN Equity,12/2/91,6.109,,,,,,,,,
GIS UN Equity,12/2/91,13.6256,,,,,,,,,
GPC UN Equity,12/2/91,19.5,,,,,,,,,
GR UN Equity,12/2/91,18.6015,,,,,,,,,
GT UN Equity,12/2/91,24.5,,,,,,,,,
GWW UN Equity,12/2/91,21.188,,,,,,,,,
HRZIQ US Equity,12/2/91,18.25,,,,,,,,,
HAL UN Equity,12/2/91,7.1774,,,,,,,,,
HRS UN Equity,12/2/91,4.9648,,,,,,,,,
HNZ UN Equity,12/2/91,22.7488,,,,,,,,,
HP UN Equity,12/2/91,3.8439,,,,,,,,,
TCOMA US Equity,12/2/91,9.841,,,,,,,,,
CNP UN Equity,12/2/91,16.9603,,,,,,,,,
HUM UN Equity,12/2/91,8.951,,,,,,,,,
ITW UN Equity,12/2/91,7.75,,,,,,,,,
FL UN Equity,12/2/91,25.375,,,,,,,,,
IFF UN Equity,12/2/91,30.375,,,,,,,,,
1436513D UN Equity,12/2/91,2.5938,,,,,,,,,
K UN Equity,12/2/91,27.4688,,,,,,,,,
KMB UN Equity,12/2/91,21.5552,,,,,,,,,
2200Q US Equity,12/2/91,10.5,,,,,,,,,
KR UN Equity,12/2/91,2.2031,,,,,,,,,
LLY UN Equity,12/2/91,18.625,,,,,,,,,
653707Q UN Equity,12/2/91,26.3519,,,,,,,,,
LB UN Equity,12/2/91,12.2824,,,,,,,,,
0598884D US Equity,12/2/91,14.0625,,,,,,,,,
LNC UN Equity,12/2/91,13.0938,,,,,,,,,
0202445Q UN Equity,12/2/91,15.9165,,,,,,,,,
2206Q US Equity,12/2/91,2.25,,,,,,,,,
LOW UN Equity,12/2/91,0.8672,,,,,,,,,
BDK UN Equity,12/2/91,15.5,,,,,,,,,
MMC UN Equity,12/2/91,12.5,,,,,,,,,
MAS UN Equity,12/2/91,8.7889,,,,,,,,,
BNI UN Equity,12/2/91,12.7083,,,,,,,,,
SPGI UN Equity,12/2/91,6.563,,,,,,,,,
MDT UN Equity,12/2/91,4.9063,,,,,,,,,
CVS UN Equity,12/2/91,9.0825,,,,,,,,,
