,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
EIX UN Equity,12/5/08,31.41
1284849D UN Equity,12/5/08,38.54
FE UN Equity,12/5/08,54.59
HD UN Equity,12/5/08,24.4
WMT UN Equity,12/5/08,58.21
IP UN Equity,12/5/08,10.9035
COG UN Equity,12/5/08,5.5725
TGT UN Equity,12/5/08,34.96
M UN Equity,12/5/08,8.61
NEE UN Equity,12/5/08,46.35
GPS UN Equity,12/5/08,14.01
IFF UN Equity,12/5/08,29.65
KSS UN Equity,12/5/08,35.62
LB UN Equity,12/5/08,9.34
LOW UN Equity,12/5/08,22.34
ES UN Equity,12/5/08,22.65
PPL UN Equity,12/5/08,28.1629
PCL UN Equity,12/5/08,34.11
SJM UN Equity,12/5/08,42.06
SVU UN Equity,12/5/08,79.1
1500785D UN Equity,12/5/08,11.36
TIF UN Equity,12/5/08,23.7
TJX UN Equity,12/5/08,10.04
ADSK UW Equity,12/5/08,16.04
DELL UW Equity,12/5/08,10.71
JWN UN Equity,12/5/08,12.8
FLS UN Equity,12/5/08,14.3767
EMN UN Equity,12/5/08,14.41
DO UN Equity,12/5/08,60.43
LXK UN Equity,12/5/08,25.61
ANF UN Equity,12/5/08,19.27
AEE UN Equity,12/5/08,33.7
NVDA UW Equity,12/5/08,7.36
JNPR UN Equity,#N/A N/A,
DTE UN Equity,12/5/08,34.14
CRM UN Equity,12/5/08,7.79
FTR UN Equity,12/5/08,122.7
0111145D UN Equity,12/5/08,36.63
XEL UN Equity,12/5/08,18.18
ZBH UN Equity,12/5/08,37.54
SHLD UW Equity,12/5/08,29.9346
MJN UN Equity,#N/A N/A,
AA UN Equity,12/5/08,18.2524
AXP UN Equity,12/5/08,21.78
VZ UN Equity,12/5/08,31.0124
BA UN Equity,12/5/08,39.53
CAT UN Equity,12/5/08,38.26
JPM UN Equity,12/5/08,33.35
CVX UN Equity,12/5/08,74.42
KO UN Equity,12/5/08,22.99
DIS UN Equity,12/5/08,22.77
DD UN Equity,12/5/08,22.9131
XOM UN Equity,12/5/08,76.6
GE UN Equity,12/5/08,17.85
HPQ UN Equity,12/5/08,15.2228
IBM UN Equity,12/5/08,80.59
JNJ UN Equity,12/5/08,58.23
MCD UN Equity,12/5/08,62.72
MRK UN Equity,12/5/08,26.49
MMM UN Equity,12/5/08,59.85
BAC UN Equity,12/5/08,15.24
PFE UN Equity,12/5/08,16.55
PG UN Equity,12/5/08,62.63
T UN Equity,12/5/08,28.15
TRV UN Equity,12/5/08,43.41
UTX UN Equity,12/5/08,49.01
CSCO UW Equity,12/5/08,15.94
INTC UW Equity,12/5/08,13.29
MSFT UW Equity,12/5/08,19.87
MDLZ UN Equity,12/5/08,18.0909
C UN Equity,12/5/08,77.1
AIG UN Equity,12/5/08,32.5032
HON UN Equity,12/5/08,26.3889
MO UN Equity,12/5/08,15
EKDKQ UN Equity,12/5/08,7.25
ABT UN Equity,12/5/08,25.2395
AMD UN Equity,12/5/08,2.13
AFL UN Equity,12/5/08,44.36
APD UN Equity,12/5/08,44.0157
ARG UN Equity,12/5/08,34.33
BEAM UN Equity,12/5/08,30.3968
AEP UN Equity,12/5/08,29.91
HES UN Equity,12/5/08,38.49
APC UN Equity,12/5/08,33.95
ADI UN Equity,12/5/08,16.66
