,Average price of S&P 1-Jan,
AON UN Equity,12/5/08,43.9
APA UN Equity,12/5/08,62.61
ADM UN Equity,12/5/08,25.83
ADP UW Equity,12/5/08,32.9765
AZO UN Equity,12/5/08,121.48
AVY UN Equity,12/5/08,27.41
AVP UN Equity,12/5/08,22
BHI UN Equity,12/5/08,27.17
BLL UN Equity,12/5/08,8.735
CEG UN Equity,12/5/08,27.58
BK UN Equity,12/5/08,30.12
BCR UN Equity,12/5/08,84.2
BAX UN Equity,12/5/08,29.0371
BDX UN Equity,12/5/08,65.25
BMS UN Equity,12/5/08,26.1
BBY UN Equity,12/5/08,23.05
HRB UN Equity,12/5/08,20.18
BSX UN Equity,12/5/08,7.61
BMY UN Equity,12/5/08,21.23
BF/B UN Equity,12/5/08,16.0333
CPB UN Equity,12/5/08,30.1
CCL UN Equity,12/5/08,21.48
CTL UN Equity,12/5/08,26.1
9876566D UN Equity,12/5/08,51.85
CI UN Equity,12/5/08,14.14
CLF UN Equity,12/5/08,19.8
CLX UN Equity,12/5/08,56.5
CMS UN Equity,12/5/08,9.84
CCE UN Equity,12/5/08,10.18
CL UN Equity,12/5/08,31.505
CMA UN Equity,12/5/08,21.72
CA UW Equity,12/5/08,16.06
CSC UN Equity,12/5/08,16.5577
CAG UN Equity,12/5/08,11.0731
ED UN Equity,12/5/08,38.97
BIG UN Equity,12/5/08,16
GLW UN Equity,12/5/08,8.54
CSX UN Equity,12/5/08,11.3833
CMI UN Equity,12/5/08,23.19
DHR UN Equity,12/5/08,19.073
DE UN Equity,12/5/08,31.99
D UN Equity,12/5/08,35.23
RRD UW Equity,#N/A N/A,
DOV UN Equity,12/5/08,22.5716
DOW UN Equity,12/5/08,19
DUK UN Equity,12/5/08,44.82
ETN UN Equity,12/5/08,21.345
ECL UN Equity,12/5/08,36.93
PKI UN Equity,12/5/08,16.2
EP UN Equity,12/5/08,6.21
EMC UN Equity,12/5/08,10.81
EMR UN Equity,12/5/08,31.29
EOG UN Equity,12/5/08,33.97
ETR UN Equity,12/5/08,83.11
EFX UN Equity,12/5/08,23.38
EQT UN Equity,12/5/08,28.44
XL UN Equity,12/5/08,6.05
FDO UN Equity,12/5/08,25.09
FDX UN Equity,12/5/08,73.71
FMC UN Equity,12/5/08,19.61
F UN Equity,12/5/08,2.72
BEN UN Equity,12/5/08,20.6033
FCX UN Equity,12/5/08,8.4
TGNA UN Equity,12/5/08,4.5692
GD UN Equity,12/5/08,51.5
GIS UN Equity,12/5/08,31.935
GPC UN Equity,12/5/08,38.44
GR UN Equity,12/5/08,33.46
GT UN Equity,12/5/08,6.07
GWW UN Equity,12/5/08,69.31
HAL UN Equity,12/5/08,14.31
HOG UN Equity,12/5/08,16.6
HAR UN Equity,12/5/08,15.2
HRS UN Equity,12/5/08,31.1682
HCP UN Equity,12/5/08,19.7822
HNZ UN Equity,12/5/08,36.49
HSY UN Equity,12/5/08,34.63
HRL UN Equity,12/5/08,6.775
HOT UN Equity,12/5/08,14.8555
CNP UN Equity,12/5/08,12.8
HUM UN Equity,12/5/08,29.59
ITW UN Equity,12/5/08,32.39
IPG UN Equity,12/5/08,3.7
9876544D UN Equity,12/5/08,10.86
JEC UN Equity,12/5/08,42.43
1436513D UN Equity,12/5/08,17.29
K UN Equity,12/5/08,42.73
KMB UN Equity,12/5/08,52.6658
KIM UN Equity,12/5/08,16.28
KR UN Equity,12/5/08,13.71
LM UN Equity,12/5/08,18.15
LEG UN Equity,12/5/08,14.94
LEN UN Equity,12/5/08,9.0437
LUK UN Equity,12/5/08,18.0467
LLY UN Equity,12/5/08,34.94
0202445Q UN Equity,12/5/08,47.51
LNC UN Equity,12/5/08,17.36
XTO UN Equity,12/5/08,32.06
L UN Equity,12/5/08,25.98
1524867D UN Equity,12/5/08,9.39
BDK UN Equity,12/5/08,44.37
1431816D UN Equity,12/5/08,3.16
RX UN Equity,12/5/08,13.57
HST UN Equity,12/5/08,7.403
PBG UN Equity,12/5/08,18.11
MMC UN Equity,12/5/08,24.63
BNI UN Equity,12/5/08,74.68
MAS UN Equity,12/5/08,8.9471
8277831Q UN Equity,12/5/08,40.2
MAT UW Equity,#N/A N/A,
JAVA UW Equity,12/5/08,3.49
SPGI UN Equity,12/5/08,24.23
MDT UN Equity,12/5/08,31.67
CVS UN Equity,12/5/08,27.88
MU UW Equity,#N/A N/A,
MSI UN Equity,12/5/08,17.8564
MUR UN Equity,12/5/08,33.6564
MYL UW Equity,#N/A N/A,
LH UN Equity,12/5/08,63.78
THC UN Equity,12/5/08,5.68
NWL UN Equity,12/5/08,13.03
NEM UN Equity,12/5/08,29.58
FOXA UW Equity,#N/A N/A,
NKE UN Equity,12/5/08,13.335
NI UN Equity,12/5/08,4.3933
NBL UN Equity,12/5/08,20.71
NSC UN Equity,12/5/08,46.14
NOC UN Equity,12/5/08,36.605
WFC UN Equity,12/5/08,29.94
NUE UN Equity,12/5/08,36.45
OXY UN Equity,12/5/08,44.3076
OMC UN Equity,12/5/08,26.41
OI UN Equity,12/5/08,18.36
PCG UN Equity,12/5/08,36.05
PH UN Equity,12/5/08,38.17
JCP UN Equity,12/5/08,20.58
PEP UN Equity,12/5/08,53.37
EXC UN Equity,12/5/08,53.03
COP UN Equity,12/5/08,36.416
PHM UN Equity,12/5/08,11.86
PNW UN Equity,12/5/08,30.07
PBI UN Equity,12/5/08,23.52
PNC UN Equity,12/5/08,52.48
PPG UN Equity,12/5/08,21.75
PX UN Equity,12/5/08,55.81
PCP UN Equity,12/5/08,51.13
PGR UN Equity,12/5/08,14.76
PEG UN Equity,12/5/08,28.54
RTN UN Equity,12/5/08,49.55
RHI UN Equity,12/5/08,19.99
RDC UN Equity,12/5/08,13.42
R UN Equity,12/5/08,35.32
SWY UN Equity,12/5/08,21.2148
HSH UN Equity,12/5/08,21.278
SCG UN Equity,12/5/08,34.21
SLB UN Equity,12/5/08,39.08
SHW UN Equity,12/5/08,58.73
SNA UN Equity,12/5/08,36
SO UN Equity,12/5/08,36.89
BBT UN Equity,12/5/08,29.17
LUV UN Equity,12/5/08,8.83
SWN UN Equity,12/5/08,26.13
0848680D UN Equity,12/5/08,2.6
SWK UN Equity,12/5/08,32.35
PSA UN Equity,12/5/08,69.51
1086832D UN Equity,12/5/08,29.8849
STI UN Equity,12/5/08,32.15
SYY UN Equity,12/5/08,22.31
TER UN Equity,12/5/08,3.67
ANDV UN Equity,12/5/08,8.18
TXT UN Equity,12/5/08,14.12
TMO UN Equity,12/5/08,33.97
TMK UN Equity,12/5/08,17.3289
TSS UN Equity,12/5/08,13.5
UNP UN Equity,12/5/08,23.745
UNH UN Equity,12/5/08,21.41
UNM UN Equity,12/5/08,17.3
MRO UN Equity,12/5/08,13.5435
X UN Equity,12/5/08,28.76
VAR UN Equity,12/5/08,34.846
VTR UN Equity,12/5/08,20.7644
VFC UN Equity,12/5/08,13.685
VNO UN Equity,12/5/08,39.6335
VMC UN Equity,12/5/08,66.75
WBA UN Equity,12/5/08,25.94
GHC UN Equity,12/5/08,243.084
WDC UN Equity,12/5/08,12.02
WY UN Equity,12/5/08,14.4839
WHR UN Equity,12/5/08,43.2
WMB UN Equity,12/5/08,10.6318
TEG UN Equity,12/5/08,42.08
WEC UN Equity,12/5/08,20.94
XRX UN Equity,12/5/08,18.4158
ADBE UW Equity,12/5/08,21.66
AES UN Equity,12/5/08,6.4
AMGN UW Equity,12/5/08,57.4
AAPL UW Equity,12/5/08,13.4286
BMC UW Equity,#N/A N/A,
CTAS UW Equity,12/5/08,24.87
CMCSA UW Equity,12/5/08,8.08
TAP UN Equity,12/5/08,41.05
KLAC UW Equity,12/5/08,19.22
MKC UN Equity,12/5/08,29.73
MOLX UW Equity,12/5/08,12.87
ORCL UW Equity,12/5/08,16.32
PCAR UW Equity,12/5/08,27.8
COST UW Equity,12/5/08,55.58
SIAL UW Equity,12/5/08,39.02
STJ UN Equity,12/5/08,31.03
SYK UN Equity,12/5/08,38.9
TSN UN Equity,12/5/08,7.35
1541931D UW Equity,12/5/08,13.95
AMAT UW Equity,12/5/08,10
TWX UN Equity,12/5/08,18.8206
BBBY UW Equity,12/5/08,24.59
CAH UN Equity,12/5/08,22.5107
CELG UW Equity,12/5/08,26.99
CINF UW Equity,12/5/08,28.95
CVH UN Equity,12/5/08,11.7
DHI UN Equity,12/5/08,8.17
ATGE UN Equity,12/5/08,58.37
EA UW Equity,12/5/08,19.98
ESRX UW Equity,12/5/08,29.29
EXPD UW Equity,12/5/08,33.03
FAST UW Equity,12/5/08,17.745
MTB UN Equity,12/5/08,67.88
FISV UW Equity,12/5/08,16.595
FITB UW Equity,12/5/08,8.26
FRX UN Equity,12/5/08,23.77
FHN UN Equity,12/5/08,9.2554
GILD UW Equity,12/5/08,23.695
HBAN UW Equity,12/5/08,7.94
HCN UN Equity,12/5/08,37.1
BIIB UW Equity,12/5/08,40.759
LLTC UW Equity,12/5/08,19.81
RRC UN Equity,12/5/08,31.2
NBR UN Equity,12/5/08,10.95
NTRS UW Equity,12/5/08,50.58
1280712D UW Equity,12/5/08,12.15
PAYX UW Equity,12/5/08,26.51
PBCT UW Equity,12/5/08,18.37
PDCO UW Equity,12/5/08,17.75
PLL UN Equity,12/5/08,26.4
QCOM UW Equity,12/5/08,31.9
ROP UN Equity,12/5/08,43.27
ROST UW Equity,12/5/08,7.3325
AN UN Equity,12/5/08,9.51
SBUX UW Equity,12/5/08,4.56
KEY UN Equity,12/5/08,8.39
SPLS UW Equity,12/5/08,18.46
STT UN Equity,12/5/08,40.28
USB UN Equity,12/5/08,28.91
SYMC UW Equity,12/5/08,12.04
TROW UW Equity,12/5/08,34.81
WM UN Equity,12/5/08,29.7
CBS UN Equity,12/5/08,7.39
AGN UN Equity,12/5/08,23.6
WFM UW Equity,12/5/08,5.3
STZ UN Equity,12/5/08,13.54
XLNX UW Equity,12/5/08,15.74
XRAY UW Equity,12/5/08,24.73
ZION UW Equity,12/5/08,30.02
DNR UN Equity,12/5/08,8.02
IVZ UN Equity,12/5/08,12.4
INTU UW Equity,12/5/08,23.35
MS UN Equity,12/5/08,15.72
MCHP UW Equity,12/5/08,18.18
CHK UN Equity,12/5/08,10.7073
JBL UN Equity,12/5/08,6.34
ORLY UW Equity,12/5/08,29.32
ALL UN Equity,12/5/08,27.03
FLIR UW Equity,12/5/08,28.72
EQR UN Equity,12/5/08,33.64
VIAV UW Equity,12/5/08,1.6488
SPG UN Equity,12/5/08,46.875
AVB UN Equity,12/5/08,64.435
PRU UN Equity,12/5/08,28.52
UPS UN Equity,12/5/08,57.83
AIV UN Equity,12/5/08,10.0391
APOL UW Equity,12/5/08,75.87
MCK UN Equity,12/5/08,33.59
DF UN Equity,12/5/08,13.3838
LMT UN Equity,12/5/08,80.19
ABC UN Equity,12/5/08,15.375
CAM UN Equity,12/5/08,18.09
COF UN Equity,12/5/08,32.72
WAT UN Equity,12/5/08,40.46
DRI UN Equity,12/5/08,18.3562
SNDK UW Equity,12/5/08,9.23
NTAP UW Equity,12/5/08,12.87
CTXS UW Equity,12/5/08,20.0028
DVA UN Equity,12/5/08,23.75
FII UN Equity,12/5/08,21.37
HIG UN Equity,12/5/08,14.59
IRM UN Equity,12/5/08,16.7609
EL UN Equity,12/5/08,14.055
LO UN Equity,12/5/08,20.5033
1518855D US Equity,12/5/08,11.66
PFG UN Equity,12/5/08,19.2
TIE UN Equity,12/5/08,7.56
ATI UN Equity,12/5/08,21.55
SRCL UW Equity,12/5/08,53.23
ETFC UW Equity,12/5/08,12.7
NOV UN Equity,12/5/08,18.7994
DGX UN Equity,12/5/08,47.3
ROK UN Equity,12/5/08,28.61
AMT UN Equity,12/5/08,29.62
AMZN UW Equity,12/5/08,48.26
RL UN Equity,12/5/08,48.56
BXP UN Equity,12/5/08,55.67
APH UN Equity,12/5/08,10.465
PXD UN Equity,12/5/08,15.96
VLO UN Equity,12/5/08,15.4925
LLL UN Equity,12/5/08,65.995
WU UN Equity,12/5/08,12.65
CHRW UW Equity,12/5/08,48.39
YUM UN Equity,12/5/08,20.8526
VRSN UW Equity,12/5/08,20.34
PWR UN Equity,12/5/08,17.26
BRCM UW Equity,12/5/08,14.94
MAR UN Equity,12/5/08,14.7878
SEE UN Equity,12/5/08,15
CTSH UW Equity,12/5/08,8.895
ISRG UW Equity,12/5/08,45.82
CNX UN Equity,12/5/08,20.1764
AET UN Equity,12/5/08,21.26
BTUUQ UN Equity,12/5/08,276.6
RSG UN Equity,12/5/08,22.6
EBAY UW Equity,12/5/08,5.8755
GS UN Equity,12/5/08,70.72
SRE UN Equity,12/5/08,43.26
MCO UN Equity,12/5/08,22.13
1255459D UW Equity,12/5/08,22.23
PCLN UW Equity,12/5/08,60.46
AKAM UW Equity,12/5/08,13.03
RAI UN Equity,12/5/08,10.3925
DVN UN Equity,12/5/08,61.26
GOOGL UW Equity,12/5/08,142.133
RHT UN Equity,12/5/08,12.18
HCBK UW Equity,12/5/08,15.64
A UN Equity,12/5/08,12.3424
ANTM UN Equity,12/5/08,36
CME UW Equity,12/5/08,38.914
NYX UN Equity,12/5/08,21.39
NDAQ UW Equity,12/5/08,23.35
PM UN Equity,12/5/08,42.36
TXN UN Equity,12/5/08,14.56
TWC UN Equity,12/5/08,62.4
1519128D UW Equity,12/5/08,5.685
TLAB UW Equity,12/5/08,4.09
AKS UN Equity,12/5/08,7.15
WIN UW Equity,#N/A N/A,
SUNEQ UN Equity,12/5/08,15.29
MET UN Equity,12/5/08,27.4113
MWW UN Equity,12/5/08,11.39
MON UN Equity,12/5/08,74.92
TPR UN Equity,12/5/08,19.69
FLR UN Equity,12/5/08,45.04
0961514D UN Equity,12/5/08,39.86
SLM UN Equity,12/5/08,2.7153
DNB UN Equity,12/5/08,75.59
VIAB UN Equity,12/5/08,14.87
AMP UN Equity,12/5/08,21.31
JNS UN Equity,12/5/08,8.04
ITT UN Equity,12/5/08,14.0291
COL UN Equity,12/5/08,33.1
CEPH UW Equity,12/5/08,76.59
FTI UN Equity,12/5/08,12.03
0203524D UN Equity,12/5/08,10.26
MI UN Equity,12/5/08,13.68
CBG UN Equity,12/5/08,4.11
RSHCQ UN Equity,12/5/08,11.15
MA UN Equity,12/5/08,14.012
8394653Q UN Equity,12/5/08,4.88
GME UN Equity,12/5/08,21.27
MEE UN Equity,12/5/08,11.75
NOVL UW Equity,12/5/08,4.05
ICE UN Equity,12/5/08,14.324
GENZ UW Equity,12/5/08,65.53
FIS UN Equity,12/5/08,17.05
0772031D UN Equity,12/5/08,3.03
MFE UN Equity,12/5/08,28.1
MWV UN Equity,12/5/08,9.601
AYE UN Equity,12/5/08,32.71
POM UN Equity,12/5/08,17.11
QLGC UW Equity,12/5/08,11.02
MHS UN Equity,12/5/08,39.95
MDP UN Equity,12/5/08,16.63
WYNN UW Equity,12/5/08,40.61
HAS US Equity,12/5/08,27.84
1448062D UW Equity,12/5/08,22.01
ODP UN Equity,12/5/08,2.25
NYT UN Equity,12/5/08,7.64
HSP UN Equity,12/5/08,27.53
KG UN Equity,12/5/08,9.66
AIZ UN Equity,12/5/08,22.54
PTV UN Equity,12/5/08,23.3
SII UN Equity,12/5/08,19.78
GNW UN Equity,12/5/08,1.58
TMUS UN Equity,12/5/08,30.78
STR UN Equity,12/5/08,8.7786
RF UN Equity,12/5/08,9.56
TDC UN Equity,12/5/08,13.64
EXPE UW Equity,12/5/08,7.43
SCHW UW Equity,12/5/08,18.37
CF UN Equity,12/5/08,9.41
LDOS UN Equity,12/5/08,49.9063
WYN UN Equity,12/5/08,4.57
1539941D UN Equity,12/5/08,15
FSLR UW Equity,12/5/08,128.54
DFS UN Equity,12/5/08,10.88
DPS UN Equity,12/5/08,14.47
SNI UN Equity,12/5/08,23.88
V UN Equity,12/5/08,13.295
CFN UN Equity,#N/A N/A,
DPS UN Equity,12/5/08,14.47
XRX UN Equity,12/5/08,18.4158
HBI UN Equity,12/5/08,3.2675
ALB UN Equity,12/5/08,18.41
EL UN Equity,12/5/08,14.055
