,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
EIX UN Equity,12/1/00,22.125
ABX UN Equity,12/1/00,15.3125
AXP UN Equity,12/1/00,47.4876
VZ UN Equity,12/1/00,50.2514
BA UN Equity,12/1/00,65.813
JPM UN Equity,12/1/00,37.3125
CVX UN Equity,12/1/00,41.3125
DD UN Equity,12/1/00,40.6702
XOM UN Equity,12/1/00,44.4063
HD UN Equity,12/1/00,38.938
IBM UN Equity,12/1/00,95.625
JNJ UN Equity,12/1/00,48.875
MCD UN Equity,12/1/00,30.938
MRK UN Equity,12/1/00,85.7727
MMM UN Equity,12/1/00,49.813
BAC UN Equity,12/1/00,19.875
PFE UN Equity,12/1/00,43.5
TRV UN Equity,12/1/00,50.688
WMT UN Equity,12/1/00,51.1875
MTLQQ UN Equity,12/1/00,50.3125
C UN Equity,12/1/00,455.1754
AIG UN Equity,12/1/00,1632.4887
HON UN Equity,12/1/00,49.6533
MO UN Equity,12/1/00,8.7087
INTC UQ Equity,12/1/00,34.125
IP UN Equity,12/1/00,35.7371
AMD UN Equity,12/1/00,15.4375
AFL UN Equity,12/1/00,34.875
BEAM UN Equity,12/1/00,21.4095
AEP UN Equity,12/1/00,45.5
HES UN Equity,12/1/00,20.6042
APC UN Equity,12/1/00,31.265
AON UN Equity,12/1/00,30.563
APA UN Equity,12/1/00,23.8636
AVP UN Equity,12/1/00,20.7813
BHI UN Equity,12/1/00,33.375
CEG UN Equity,12/1/00,40.4375
BK UN Equity,12/1/00,56.7098
BCR UN Equity,12/1/00,24.2188
BAX UN Equity,12/1/00,23.1733
BMS UN Equity,12/1/00,15
BSX UN Equity,12/1/00,6.5313
BMY UN Equity,12/1/00,64.4829
CPB UN Equity,12/1/00,32.8125
CTL UN Equity,12/1/00,35.125
9876566D UN Equity,12/1/00,42.0625
CI UN Equity,12/1/00,42.637
CMS UN Equity,12/1/00,27.6875
CCE UN Equity,12/1/00,21.375
CL UN Equity,12/1/00,29.845
CMA UN Equity,12/1/00,50.6875
ED UN Equity,12/1/00,37.3125
TGT UN Equity,12/1/00,31.4375
DOW UN Equity,12/1/00,32.6875
ETN UN Equity,12/1/00,14.8187
ECL UN Equity,12/1/00,21.625
EP UN Equity,12/1/00,63.5
EMC UN Equity,12/1/00,76.5363
EOG UN Equity,12/1/00,11.1094
ETR UN Equity,12/1/00,40.75
EFX UN Equity,12/1/00,19.504
XL UN Equity,12/1/00,80.25
F UN Equity,12/1/00,24.1875
NEE UN Equity,12/1/00,32.875
FCX UN Equity,12/1/00,4.1875
TGNA UN Equity,12/1/00,27.7891
GD UN Equity,12/1/00,36.781
GT UN Equity,12/1/00,17.46
GWW UN Equity,12/1/00,37.375
HAL UN Equity,12/1/00,16.9375
HOG UN Equity,12/1/00,45.9375
HSY UN Equity,12/1/00,31.5
HOT UN Equity,12/1/00,24.3056
CNP UN Equity,12/1/00,32.8035
HUM UN Equity,12/1/00,12.813
ITW UN Equity,12/1/00,28.0313
IR UN Equity,12/1/00,16.7121
IPG UN Equity,12/1/00,40.625
IFF UN Equity,12/1/00,19.875
K UN Equity,12/1/00,24.8125
KMB UN Equity,12/1/00,66.727
KSS UN Equity,12/1/00,54.4375
LEG UN Equity,12/1/00,16.4375
LNC UN Equity,12/1/00,46.6875
0202445Q UN Equity,12/1/00,40.2887
L UN Equity,12/1/00,15.75
LOW UN Equity,12/1/00,9.7188
1431816D UN Equity,12/1/00,17.8125
RX UN Equity,12/1/00,27.375
MMC UN Equity,12/1/00,58.625
MAS UN Equity,12/1/00,17.6327
MDT UN Equity,12/1/00,53.9375
CVS UN Equity,12/1/00,27.6875
SGP UN Equity,12/1/00,53.625
WYE UN Equity,12/1/00,58.875
MSI UN Equity,12/1/00,68.0428
ROH UN Equity,12/1/00,30.5625
1255173D UN Equity,12/1/00,25
AW UN Equity,12/1/00,13
3393199Q UN Equity,12/1/00,47.125
WFC UN Equity,12/1/00,23.6875
3022239Q UN Equity,12/1/00,11.827
NUE UN Equity,12/1/00,9.3281
OXY UN Equity,12/1/00,10.8215
OMC UN Equity,12/1/00,40.0313
2968900Q UN Equity,12/1/00,48.9776
HET UN Equity,12/1/00,28.4375
JCP UN Equity,12/1/00,9.8125
TRB UN Equity,12/1/00,37.125
PEP UN Equity,12/1/00,42.375
EXC UN Equity,12/1/00,32.25
COP UN Equity,12/1/00,21.8452
TEK UN Equity,12/1/00,24.125
HCR UN Equity,12/1/00,16.625
PNW UN Equity,12/1/00,47
BOL UN Equity,12/1/00,41.0625
PBI UN Equity,12/1/00,28.3009
2641504Q UN Equity,12/1/00,29
PX UN Equity,12/1/00,18.375
KSE UN Equity,12/1/00,38.4375
RTN UN Equity,12/1/00,29.8125
RHI UN Equity,12/1/00,30
RDC UN Equity,12/1/00,20.3125
R UN Equity,12/1/00,17.375
SWY UN Equity,12/1/00,52.4217
EOP UN Equity,12/1/00,30.125
SCHW UN Equity,12/1/00,27.3125
2987536Q UN Equity,12/1/00,27.0417
SHW UN Equity,12/1/00,22.188
SNA UN Equity,12/1/00,26.125
SO UN Equity,12/1/00,18.8801
3605818Q UN Equity,12/1/00,41.0625
3133754Q UN Equity,12/1/00,15
GDW UN Equity,12/1/00,29
0544749D UN Equity,12/1/00,30.5798
2307532Q UQ Equity,12/1/00,12.625
TXT UN Equity,12/1/00,24.5
TMO UN Equity,12/1/00,25.769
KRI UN Equity,12/1/00,51.9375
2999130Q UN Equity,12/1/00,20.8125
TMK UN Equity,12/1/00,16.8889
GDT UN Equity,12/1/00,54
UNP UN Equity,12/1/00,11.5
UNH UN Equity,12/1/00,14.5
3080867Q UN Equity,12/1/00,29.1875
UNM UN Equity,12/1/00,27.4375
MRO UN Equity,12/1/00,8.1953
RBK UN Equity,12/1/00,21.8125
SEBL UQ Equity,12/1/00,74.375
MERQ UQ Equity,12/1/00,80.125
VFC UN Equity,12/1/00,7.3594
KRB UN Equity,12/1/00,23.9167
GP UN Equity,12/1/00,26.4375
VMC UN Equity,12/1/00,43.5
1028411Q UN Equity,12/1/00,33.6875
PVN UN Equity,12/1/00,46
DALRQ UN Equity,12/1/00,48.25
NXTL UQ Equity,12/1/00,29.125
UCL UN Equity,12/1/00,34.8125
XRX UN Equity,12/1/00,16.4662
723588Q UN Equity,12/1/00,35.3125
AES UN Equity,12/1/00,51.6875
3153670Q UQ Equity,12/1/00,108.9375
605555Q UN Equity,12/1/00,32.68
3029830Q UQ Equity,12/1/00,35.25
605018Q UN Equity,12/1/00,22.1655
TAP UN Equity,12/1/00,37.719
JHF UN Equity,12/1/00,32.3125
JWN UN Equity,12/1/00,8
BGEN UQ Equity,12/1/00,53.1875
QTRN UQ Equity,12/1/00,17
STJ UN Equity,12/1/00,14.7813
SYK UN Equity,12/1/00,26.1875
2727195Q UN Equity,12/1/00,49.5625
TWX UN Equity,12/1/00,82.1498
CNCEQ UN Equity,12/1/00,7.4375
RDPL UN Equity,12/1/00,59.5
IMNX UQ Equity,12/1/00,37.625
PLL UN Equity,12/1/00,20.5625
KEY UN Equity,12/1/00,25.0625
WM UN Equity,12/1/00,24.5
CBS UN Equity,12/1/00,39.0075
AGN UN Equity,12/1/00,45.563
ALL UN Equity,12/1/00,39.25
EQR UN Equity,12/1/00,25.1563
EMN UN Equity,12/1/00,22.1875
COF UN Equity,12/1/00,56.875
LXK UN Equity,12/1/00,44.875
HIG UN Equity,12/1/00,73.25
ATI UN Equity,12/1/00,20.0625
YUM UN Equity,12/1/00,6.1569
FE UN Equity,12/1/00,29.875
AEE UN Equity,12/1/00,44.5625
MAR UN Equity,12/1/00,19.5221
SEE UN Equity,12/1/00,16.6563
SRE UN Equity,12/1/00,24.313
MCO UN Equity,12/1/00,13.0938
DTE UN Equity,12/1/00,38
MET UN Equity,12/1/00,26.567
FTR UN Equity,12/1/00,210.9375
FLR UN Equity,12/1/00,13.5313
0961514D UN Equity,12/1/00,43.1875
SLM UN Equity,12/1/00,6.8926
JNS UN Equity,12/1/00,35.3125
ITT UN Equity,12/1/00,5.5643
ZBH UN Equity,#N/A N/A,
RSHCQ UN Equity,12/1/00,47
0772031D UN Equity,12/1/00,37.4375
AYE UN Equity,12/1/00,41.8125
HAS US Equity,12/1/00,11.6875
ODP UN Equity,12/1/00,6.5625
KG UN Equity,12/1/00,36.75
PTV UN Equity,12/1/00,11.875
KBH UN Equity,12/1/00,15.9063
MBI UN Equity,12/1/00,46
CVG UN Equity,12/1/00,47.0625
MAT UN Equity,12/1/00,12.625
JNY UN Equity,12/1/00,35
RIG UN Equity,12/1/00,57.2649
HPC US Equity,12/1/00,19.4375
MTG UN Equity,12/1/00,63.0625
FNMA UN Equity,12/1/00,78.5
OMX UN Equity,12/1/00,30
BC UN Equity,12/1/00,17.0625
ABKFQ UN Equity,12/1/00,51.7917
1541931D UQ Equity,12/1/00,26
SNV UN Equity,12/1/00,68.1097
0910150D US Equity,12/1/00,9.375
TXU US Equity,12/1/00,20.0313
NCR UN Equity,12/1/00,11.4313
LPX UN Equity,12/1/00,7.5
CTB UN Equity,12/1/00,9.5
CSCO UQ Equity,12/1/00,48.5
GENZ UQ Equity,12/1/00,42.9063
SIAL UQ Equity,12/1/00,18.0938
CINF UQ Equity,12/1/00,33.9569
NTRS UQ Equity,12/1/00,84.5
1280712D UQ Equity,12/1/00,26.125
PMCS UQ Equity,12/1/00,96.0625
SPLS UQ Equity,12/1/00,8.2083
TLAB UQ Equity,12/1/00,59.5
ZION UQ Equity,12/1/00,55.625
CTXS UQ Equity,12/1/00,20.4547
MWW UQ Equity,12/1/00,55.7487
BRCM UQ Equity,12/1/00,69.8333
NVDA UQ Equity,12/1/00,7.4167
1288652D US Equity,12/1/00,46.125
VSTNQ UN Equity,12/1/00,15.5
NBR UA Equity,12/1/00,22.31
PWER UQ Equity,12/1/00,50.125
CR UN Equity,12/1/00,25.1875
DLX UN Equity,12/1/00,18.7389
TNB UN Equity,12/1/00,14.625
TUP UN Equity,12/1/00,18.5
MDR UN Equity,12/1/00,1.6023
EHC UN Equity,12/1/00,66.25
CMCSK UQ Equity,12/1/00,25.375
AA UN Equity,12/1/00,64.9471
NRTLQ UN Equity,12/1/00,377.5
CAT UN Equity,12/1/00,20.3438
UN UN Equity,12/1/00,20.6042
KO UN Equity,12/1/00,31.0938
1040983D UQ Equity,12/1/00,52.3289
DIS UN Equity,12/1/00,29.6011
