,Average price of S&P 1-Jan,
SAPE UQ Equity,12/1/00,17.1875
GE UN Equity,12/1/00,51
HPQ UN Equity,12/1/00,14.6133
PG UN Equity,12/1/00,36.9688
T UN Equity,12/1/00,52.1875
UTX UN Equity,12/1/00,35.25
MSFT UQ Equity,12/1/00,28.3125
EKDKQ UN Equity,12/1/00,40.9375
ABT UN Equity,12/1/00,23.6636
APD UN Equity,12/1/00,32.531
1284849D UN Equity,12/1/00,42.7502
ADI UN Equity,12/1/00,52.375
ADM UN Equity,12/1/00,12.1429
AZO UN Equity,12/1/00,25.875
AVY UN Equity,12/1/00,56.4375
BLL UN Equity,12/1/00,2.4375
BDX UN Equity,12/1/00,33.875
BBY UN Equity,12/1/00,12.2222
HRB UN Equity,12/1/00,9.0469
BF/B UN Equity,12/1/00,8.7583
CCL UN Equity,12/1/00,22.9375
CLX UN Equity,12/1/00,43.688
CSC UN Equity,12/1/00,40.7769
CAG UN Equity,12/1/00,19.7455
BIG UN Equity,12/1/00,8.9375
CBE UN Equity,12/1/00,20.4375
GLW UN Equity,12/1/00,60.9375
CSX UN Equity,12/1/00,4.25
CMI UN Equity,12/1/00,9.188
DHR UN Equity,12/1/00,12.3635
DE UN Equity,12/1/00,20.9688
D UN Equity,12/1/00,29.625
DOV UN Equity,12/1/00,33.6998
DUK UN Equity,12/1/00,76.196
PKI UN Equity,12/1/00,49.4375
EMR UN Equity,12/1/00,37.2188
FDO UN Equity,12/1/00,20.625
FDX UN Equity,12/1/00,47.48
M UN Equity,12/1/00,15.5938
FMC UN Equity,12/1/00,9.1723
BEN UN Equity,12/1/00,12.19
GPS UN Equity,12/1/00,24.75
GIS UN Equity,12/1/00,20.375
GPC UN Equity,12/1/00,19.5
GR UN Equity,12/1/00,35.1562
HNZ UN Equity,12/1/00,40.8239
9876544D UN Equity,12/1/00,11.3438
1436513D UN Equity,12/1/00,9.1354
KR UN Equity,12/1/00,13.0625
LLY UN Equity,12/1/00,90.0625
653707Q UN Equity,12/1/00,31.0497
CAR UN Equity,12/1/00,11.7347
LB UN Equity,12/1/00,18.875
BDK UN Equity,12/1/00,36.8125
PBG UN Equity,12/1/00,19.2188
BNI UN Equity,12/1/00,25.25
SPGI UN Equity,12/1/00,26.813
0226226D UN Equity,12/1/00,16.0432
THC UN Equity,12/1/00,110
NWL UN Equity,12/1/00,19.5
3517233Q UN Equity,12/1/00,23.375
NEM UN Equity,12/1/00,16.25
MER UN Equity,12/1/00,58.4375
NKE UN Equity,12/1/00,5.4609
NCC UN Equity,12/1/00,24.75
NI UN Equity,12/1/00,10.2906
NSC UN Equity,12/1/00,14.3125
3286728Q UN Equity,12/1/00,85.875
NOC UN Equity,12/1/00,36.514
WWY UN Equity,12/1/00,36.225
3423152Q UN Equity,12/1/00,55.375
CFC UN Equity,12/1/00,9.1875
PCG UN Equity,12/1/00,26.9375
2942331Q UN Equity,12/1/00,46.6875
PH UN Equity,12/1/00,25.7917
PPL UN Equity,12/1/00,19.5157
DJ UN Equity,12/1/00,58.25
3692470Q UN Equity,12/1/00,50.7538
PHM UN Equity,12/1/00,9.9219
PNC UN Equity,12/1/00,65.375
1317355D UN Equity,12/1/00,14.2767
PPG UN Equity,12/1/00,21.531
PGR UN Equity,12/1/00,7.9635
3403545Q UN Equity,12/1/00,15
PEG UN Equity,12/1/00,21.125
MEL UN Equity,12/1/00,46.9375
1528159D UN Equity,12/1/00,37.5
1293405D UN Equity,12/1/00,35.75
HSH UN Equity,12/1/00,47.3833
PD UN Equity,12/1/00,25.625
PGL UN Equity,12/1/00,41.75
SLB UN Equity,12/1/00,33.375
BLS UN Equity,12/1/00,40.5625
LU UN Equity,12/1/00,12.7524
BBT UN Equity,12/1/00,33.6875
LUV UN Equity,12/1/00,20.5833
0848680D UN Equity,12/1/00,20.8062
SWK UN Equity,12/1/00,26.75
1086832D UN Equity,12/1/00,11.5698
STI UN Equity,12/1/00,50.3125
GTW UN Equity,12/1/00,19.12
SVU UN Equity,12/1/00,125.125
ANDW UQ Equity,12/1/00,18.9375
SYY UN Equity,12/1/00,27
0964591D UQ Equity,12/1/00,24.4583
1500785D UN Equity,12/1/00,29.8125
JAVA UQ Equity,12/1/00,153.875
TER UN Equity,12/1/00,31.5
MEDI UQ Equity,12/1/00,51.75
SAF UQ Equity,12/1/00,27.75
TIF UN Equity,12/1/00,34.125
TJX UN Equity,12/1/00,6.5625
1312089D UN Equity,12/1/00,24.6875
CHIR UQ Equity,12/1/00,41.9375
JCI UN Equity,12/1/00,39.2238
929530Q UN Equity,12/1/00,21
CIN UN Equity,12/1/00,32.4375
DCNAQ UN Equity,12/1/00,17.25
3026360Q UN Equity,12/1/00,43.625
X UN Equity,12/1/00,16
CPNLQ UN Equity,12/1/00,36.0625
WBA UN Equity,12/1/00,43.25
DPHIQ UN Equity,12/1/00,13.8125
WY UN Equity,12/1/00,18.596
987200Q UN Equity,12/1/00,28.4375
WHR UN Equity,12/1/00,40
WMB UN Equity,12/1/00,26.1897
TOY UN Equity,12/1/00,18.375
WNDXQ UN Equity,12/1/00,21.5625
2676187Q UQ Equity,12/1/00,17.2188
AWE UN Equity,12/1/00,17.25
3621240Q UN Equity,12/1/00,36.125
UPC UN Equity,12/1/00,22.8333
945852Q UN Equity,12/1/00,23.25
FBF UN Equity,12/1/00,36
MIRKQ UN Equity,12/1/00,24.8125
748957Q UN Equity,12/1/00,54.0462
297504Q UN Equity,12/1/00,32.75
519239Q UQ Equity,12/1/00,20.1563
COC UN Equity,12/1/00,24.9375
CAH UN Equity,12/1/00,47.6303
PALM UQ Equity,12/1/00,274.8467
8214761Q UN Equity,12/1/00,27.949
INCLF UN Equity,12/1/00,14.75
PDG UN Equity,12/1/00,9.4375
UAWGQ UN Equity,12/1/00,38.75
WCOEQ UQ Equity,12/1/00,15.3776
680884Q UN Equity,12/1/00,22.8
355488Q UQ Equity,12/1/00,24.1875
228510Q UN Equity,12/1/00,49.375
NMK UN Equity,12/1/00,16.5
544791Q UN Equity,12/1/00,27.8125
1051665D UN Equity,12/1/00,28.875
KMRTQ UN Equity,12/1/00,5.625
FRX UN Equity,12/1/00,33.7969
NE UN Equity,12/1/00,13.4598
STT UN Equity,12/1/00,64.045
USB UN Equity,12/1/00,19.1662
MS UN Equity,12/1/00,51.7784
JBL UN Equity,12/1/00,35.875
MCK UN Equity,12/1/00,33.5
LMT UN Equity,12/1/00,31.4
ABC UN Equity,12/1/00,11.8563
DRI UN Equity,12/1/00,15.8565
1518855D US Equity,12/1/00,38.9375
ROK UN Equity,12/1/00,16.261
AET UN Equity,#N/A N/A,
A UN Equity,12/1/00,35.7098
TXN UN Equity,12/1/00,37.8125
0111145D UN Equity,12/1/00,38.6875
XEL UN Equity,12/1/00,26.9375
COL UN Equity,#N/A N/A,
0203524D UN Equity,12/1/00,9
MDP UN Equity,12/1/00,30.5
NYT UN Equity,12/1/00,35.6875
MU UN Equity,12/1/00,30.9375
DYNIQ UN Equity,12/1/00,221.25
BMC UN Equity,#N/A N/A,
RRD UN Equity,12/1/00,37.3007
KATE UN Equity,12/1/00,20.1563
ASH UN Equity,12/1/00,12.8828
UIS UN Equity,12/1/00,125.625
DDS UN Equity,12/1/00,11.125
ADP UN Equity,12/1/00,51.1707
WAMUQ UN Equity,12/1/00,30.2917
LEHMQ UN Equity,12/1/00,25.5625
FMCC UN Equity,12/1/00,59.75
CA UN Equity,12/1/00,27
CCTYQ UN Equity,12/1/00,8.1766
TIN UN Equity,12/1/00,14.317
3414924Q US Equity,12/1/00,11.3125
4621824Q UN Equity,12/1/00,45
HMA UN Equity,12/1/00,20.875
CMVT UQ Equity,12/1/00,50.631
NAV UN Equity,12/1/00,32.5
1281683D UN Equity,12/1/00,21.1618
ADBE UQ Equity,12/1/00,33.6563
AMGN UQ Equity,12/1/00,64.813
AAPL UQ Equity,12/1/00,1.2188
ADSK UQ Equity,12/1/00,6.75
CTAS UQ Equity,12/1/00,49.875
DELL UQ Equity,12/1/00,18.4375
KLAC UQ Equity,12/1/00,27.75
MOLX UQ Equity,12/1/00,42.4375
NOVL UQ Equity,12/1/00,5.6563
ORCL UQ Equity,12/1/00,26.4375
PCAR UQ Equity,12/1/00,9.679
COST UQ Equity,12/1/00,32.625
ADCT UQ Equity,12/1/00,148.75
AMAT UQ Equity,12/1/00,19.2813
BBBY UQ Equity,12/1/00,20.375
FISV UQ Equity,12/1/00,18.4167
FITB UQ Equity,12/1/00,52.375
HBAN UQ Equity,12/1/00,15.25
LLTC UQ Equity,12/1/00,46.0625
MXIM UQ Equity,12/1/00,52.125
PAYX UQ Equity,12/1/00,52.5625
PTC UQ Equity,12/1/00,27.6563
QCOM UQ Equity,12/1/00,41.5
SBUX UQ Equity,12/1/00,5.5313
TROW UQ Equity,12/1/00,19.125
XLNX UQ Equity,12/1/00,40
1519128D UQ Equity,12/1/00,6.9022
INTU UQ Equity,12/1/00,23.031
SANM UQ Equity,12/1/00,243.375
VIAV UQ Equity,12/1/00,255.5575
QLGC UQ Equity,12/1/00,41.375
NTAP UQ Equity,12/1/00,53.9375
CIEN UQ Equity,12/1/00,538.5627
AMCC UQ Equity,12/1/00,211
WOR UN Equity,12/1/00,9
502466Q US Equity,12/1/00,52.2813
DVN UA Equity,12/1/00,25.125
0948669D UN Equity,12/1/00,9.0625
AAMRQ UN Equity,12/1/00,33.8125
VTSS UQ Equity,12/1/00,983.75
DPS UN Equity,#N/A N/A,
XRX UN Equity,12/1/00,16.4662
HBI UN Equity,#N/A N/A,
ALB UN Equity,12/1/00,11.5
EL UN Equity,12/1/00,22.2188
