,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
RDPL UN Equity,12/2/96,42.125
UN UN Equity,12/2/96,15.8433
PEG UN Equity,12/2/96,14.1875
ABX UN Equity,12/2/96,29.125
DIS UN Equity,12/2/96,24.2976
CEG UN Equity,12/2/96,27.625
BMS UN Equity,12/2/96,17.625
BF/B UN Equity,12/2/96,6.0833
DUK UN Equity,12/2/96,40.6087
TEN UN Equity,#N/A N/A,
L UN Equity,12/2/96,15.3333
EXC UN Equity,12/2/96,12.5625
CIN UN Equity,12/2/96,33.5
KRB UN Equity,12/2/96,8.0494
NMK UN Equity,12/2/96,8.75
45200Q UN Equity,12/2/96,26.625
MWI UN Equity,12/2/96,21.125
162007Q UN Equity,12/2/96,51.5
DTE UN Equity,12/2/96,32.125
FMCC UN Equity,12/2/96,28.6563
FNMA UN Equity,12/2/96,40.25
CR UN Equity,12/2/96,19.6897
AA UN Equity,12/2/96,35.6929
AXP UN Equity,12/2/96,15.1362
VZ UN Equity,12/2/96,27.7867
NRTLQ UN Equity,12/2/96,82.3438
BA UN Equity,12/2/96,48.75
CAT UN Equity,12/2/96,19.75
JPM UN Equity,12/2/96,31.0417
CVX UN Equity,12/2/96,33.5
KO UN Equity,12/2/96,25.4375
DD UN Equity,12/2/96,45.6575
XOM UN Equity,12/2/96,23.7188
GE UN Equity,12/2/96,17.2083
HPQ UN Equity,12/2/96,9.8984
HD UN Equity,12/2/96,11.75
IBM UN Equity,12/2/96,40.8125
JNJ UN Equity,12/2/96,26.438
MCD UN Equity,12/2/96,23.063
MRK UN Equity,12/2/96,38.9231
MMM UN Equity,12/2/96,41.563
BAC UN Equity,12/2/96,25.6875
PFE UN Equity,12/2/96,14.6667
PG UN Equity,12/2/96,27.1563
T UN Equity,12/2/96,26.5625
TRV UN Equity,12/2/96,29.375
UTX UN Equity,12/2/96,17.5
WMT UN Equity,12/2/96,12.75
41018Q US Equity,12/2/96,59.63
TKR UN Equity,12/2/96,16.4651
MTLQQ UN Equity,12/2/96,45.7237
C UN Equity,12/2/96,137.9672
AIG UN Equity,12/2/96,455.7146
PCH UN Equity,12/2/96,37.0357
HON UN Equity,12/2/96,35.6087
MO UN Equity,12/2/96,7.9661
INTC UQ Equity,12/2/96,15.8906
MSFT UQ Equity,12/2/96,9.8594
EKDKQ UN Equity,12/2/96,81.5
IP UN Equity,12/2/96,41.7755
BGG UN Equity,12/2/96,20.5625
ARB UN Equity,12/2/96,28.6329
ABT UN Equity,12/2/96,12.3633
AMD UN Equity,12/2/96,12.75
APD UN Equity,12/2/96,32.3577
1284849D UN Equity,12/2/96,7.6933
BEAM UN Equity,12/2/96,22.0901
AEP UN Equity,12/2/96,40.625
HES UN Equity,12/2/96,20
APC UN Equity,12/2/96,16.6563
AON UN Equity,12/2/96,27.333
APA UN Equity,12/2/96,15.7468
ADM UN Equity,12/2/96,16.7479
CCK UN Equity,12/2/96,52.75
AZO UN Equity,12/2/96,24.375
AVY UN Equity,12/2/96,35.5
AVP UN Equity,12/2/96,13.9063
BHI UN Equity,12/2/96,37.25
BLL UN Equity,12/2/96,1.5078
BK UN Equity,12/2/96,18.3512
BCR UN Equity,12/2/96,13.875
BAX UN Equity,12/2/96,10.843
BDX UN Equity,12/2/96,21.188
HRB UN Equity,12/2/96,7.375
GAPTQ UN Equity,12/2/96,31.875
BSX UN Equity,12/2/96,14.5938
BMY UN Equity,12/2/96,27.542
RAD UN Equity,12/2/96,19.75
CPB UN Equity,12/2/96,39.3594
9876566D UN Equity,12/2/96,27
CI UN Equity,12/2/96,15.556
MZIAQ UN Equity,12/2/96,178.6292
CLX UN Equity,12/2/96,25.531
CL UN Equity,12/2/96,11.3438
CMA UN Equity,12/2/96,38.6667
NC UN Equity,12/2/96,3.4748
CSC UN Equity,12/2/96,22.1473
CAG UN Equity,12/2/96,20.7182
JOSEA US Equity,12/2/96,20.875
ED UN Equity,12/2/96,28.75
CBE UN Equity,12/2/96,20.625
WOR UQ Equity,12/2/96,20.125
GLW UN Equity,12/2/96,11.515
CSX UN Equity,12/2/96,7.8125
PBY UN Equity,12/2/96,36.625
CMI UN Equity,12/2/96,11.313
SCI UN Equity,12/2/96,29.625
TGT UN Equity,12/2/96,9.9063
DE UN Equity,12/2/96,22
FLTWQ UN Equity,12/2/96,29.375
D UN Equity,12/2/96,19
FWLT US Equity,12/2/96,358.75
DOV UN Equity,12/2/96,22.0345
RNB US Equity,12/2/96,43.8125
DOW UN Equity,12/2/96,28
ETN UN Equity,12/2/96,15.1034
ECL UN Equity,12/2/96,9.7188
PPW US Equity,12/2/96,20.875
PKI UN Equity,12/2/96,9.0625
EMC UN Equity,12/2/96,3.9582
EMR UN Equity,12/2/96,24.3438
ETR UN Equity,12/2/96,27.25
EFX UN Equity,12/2/96,17.128
FDX UN Equity,12/2/96,22.0625
FTLAQ US Equity,12/2/96,35.375
M UN Equity,12/2/96,17.875
FMC UN Equity,12/2/96,10.2905
F UN Equity,12/2/96,20.8939
NEE UN Equity,12/2/96,22.9375
FCX UN Equity,12/2/96,15.5625
TGNA UN Equity,12/2/96,19.7854
GPS UN Equity,12/2/96,9.8889
GD UN Equity,12/2/96,18.25
GIS UN Equity,12/2/96,16.0938
GPC UN Equity,12/2/96,31.1667
GR UN Equity,12/2/96,42.8617
GT UN Equity,12/2/96,49.5
JWN UQ Equity,12/2/96,10.8438
GWW UN Equity,12/2/96,39.563
HRZIQ US Equity,12/2/96,44.125
HAL UN Equity,12/2/96,15.4063
HRS UN Equity,12/2/96,14.1091
CBS UA Equity,12/2/96,13.8785
HNZ UN Equity,12/2/96,33.6727
HP UN Equity,12/2/96,9.7013
HSY UN Equity,12/2/96,24.875
TAP UQ Equity,12/2/96,9.875
CNP UN Equity,12/2/96,17.7728
HUM UN Equity,12/2/96,19
ITW UN Equity,12/2/96,21.5625
IR UN Equity,12/2/96,12.3387
FL UN Equity,12/2/96,23.875
IPG UN Equity,12/2/96,16.4583
IFF UN Equity,12/2/96,45.25
WAMUQ UQ Equity,12/2/96,19.0556
1436513D UN Equity,12/2/96,6.4063
K UN Equity,12/2/96,33.875
KMB UN Equity,12/2/96,45.9963
2200Q US Equity,12/2/96,108.5
KR UN Equity,12/2/96,5.6875
LLY UN Equity,12/2/96,37.3125
653707Q UN Equity,12/2/96,39.4972
CAR UN Equity,12/2/96,32.6669
LB UN Equity,12/2/96,8.4586
3277Q UN Equity,12/2/96,93.25
LNC UN Equity,12/2/96,26.625
0202445Q UN Equity,12/2/96,35.9227
LOW UN Equity,12/2/96,5.0781
1431816D UN Equity,12/2/96,16.3125
BDK UN Equity,12/2/96,37.75
MMC UN Equity,12/2/96,18.8958
