,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
3517233Q UN Equity,12/3/01,35.89
NEM UN Equity,12/3/01,20.19
1255173D UN Equity,12/3/01,30.74
MER UN Equity,12/3/01,49.12
NKE UN Equity,12/3/01,6.6113
NCC UN Equity,12/3/01,27.95
NI UN Equity,12/3/01,8.2836
AW UN Equity,12/3/01,11.36
NSC UN Equity,12/3/01,18.93
3286728Q UN Equity,12/3/01,30.98
3393199Q UN Equity,12/3/01,42.8
NOC UN Equity,12/3/01,43.136
WWY UN Equity,12/3/01,40.36
WFC UN Equity,12/3/01,21.225
3022239Q UN Equity,12/3/01,13.3633
NUE UN Equity,12/3/01,11.9775
OXY UN Equity,12/3/01,12.168
3423152Q UN Equity,12/3/01,68.65
OMC UN Equity,12/3/01,41.99
2968900Q UN Equity,12/3/01,44.2308
CFC UN Equity,12/3/01,10.4975
TT UN Equity,12/3/01,14.8727
PCG UN Equity,12/3/01,18.39
2942331Q UN Equity,12/3/01,56.99
PH UN Equity,12/3/01,27.08
PPL UN Equity,12/3/01,16.5312
HET UN Equity,12/3/01,31.92
JCP UN Equity,12/3/01,24.7
TRB UN Equity,12/3/01,36.01
PEP UN Equity,12/3/01,48.78
DJ UN Equity,12/3/01,50.57
EXC UN Equity,12/3/01,22.2
3692470Q UN Equity,12/3/01,53.1932
COP UN Equity,12/3/01,21.4098
TEK UN Equity,12/3/01,22.17
PHM UN Equity,12/3/01,9.7925
HCR UN Equity,12/3/01,23.01
PNW UN Equity,12/3/01,41.61
BOL UN Equity,12/3/01,34.05
PBI UN Equity,12/3/01,41.22
PCL UN Equity,12/3/01,27.85
2641504Q UN Equity,12/3/01,14.25
PNC UN Equity,12/3/01,56.65
1317355D UN Equity,12/3/01,20.0766
PPG UN Equity,12/3/01,26.52
PX UN Equity,12/3/01,26.055
KSE UN Equity,12/3/01,32.96
PGR UN Equity,12/3/01,12.2592
3403545Q UN Equity,12/3/01,13.34
PEG UN Equity,12/3/01,20.38
MEL UN Equity,12/3/01,36.71
RTN UN Equity,12/3/01,33.2
RHI UN Equity,12/3/01,25.54
RDC UN Equity,12/3/01,16.56
1528159D UN Equity,12/3/01,34.08
R UN Equity,12/3/01,21.05
1293405D UN Equity,12/3/01,35.5
SWY UN Equity,12/3/01,40.0755
HSH UN Equity,12/3/01,43.5877
PD UN Equity,12/3/01,17.25
PGL UN Equity,12/3/01,38.08
SLB UN Equity,12/3/01,24.715
EOP UN Equity,12/3/01,29.31
SCHW UN Equity,12/3/01,13.86
SHW UN Equity,12/3/01,28
BLS UN Equity,12/3/01,38.79
SNA UN Equity,12/3/01,30.95
NFB UN Equity,12/3/01,19.8267
SO UN Equity,12/3/01,22.81
LU UN Equity,12/3/01,5.9667
BBT UN Equity,12/3/01,33.85
LUV UN Equity,12/3/01,18.5
3605818Q UN Equity,12/3/01,38.79
0848680D UN Equity,12/3/01,19.6837
3133754Q UN Equity,12/3/01,18.17
SWK UN Equity,12/3/01,41.57
GDW UN Equity,12/3/01,25.31
1086832D UN Equity,12/3/01,15.2129
0544749D UN Equity,12/3/01,25.428
STI UN Equity,12/3/01,62.63
GTW UN Equity,12/3/01,9.56
SVU UN Equity,12/3/01,156.8
ANDW UQ Equity,12/3/01,21.05
SYY UN Equity,12/3/01,24.72
0964591D UQ Equity,12/3/01,28.24
1500785D UN Equity,12/3/01,26.34
JAVA UQ Equity,12/3/01,54
TER UN Equity,12/3/01,27.45
2307532Q UQ Equity,12/3/01,13.71
MEDI UQ Equity,12/3/01,38.83
TXT UN Equity,12/3/01,19.6
SAF UQ Equity,12/3/01,32.09
TMO UN Equity,12/3/01,21.49
KRI UN Equity,12/3/01,60.55
TIF UN Equity,12/3/01,28.26
2999130Q UN Equity,12/3/01,27.69
TJX UN Equity,12/3/01,8.9875
1312089D UN Equity,12/3/01,33.54
TMK UN Equity,12/3/01,17.4222
GDT UN Equity,12/3/01,48.72
CHIR UQ Equity,12/3/01,42.26
JCI UN Equity,12/3/01,41.8508
929530Q UN Equity,12/3/01,17.94
UNP UN Equity,12/3/01,13.55
CIN UN Equity,12/3/01,29.7
UNH UN Equity,12/3/01,17.833
3080867Q UN Equity,12/3/01,29.08
UNM UN Equity,12/3/01,25.28
DCNAQ UN Equity,12/3/01,13.53
MRO UN Equity,12/3/01,8.3987
3026360Q UN Equity,12/3/01,26.32
X UN Equity,12/3/01,16.16
RBK UN Equity,12/3/01,23.02
SEBL UQ Equity,12/3/01,21.2
MERQ UQ Equity,12/3/01,29.94
VFC UN Equity,12/3/01,9.3875
GP UN Equity,12/3/01,32.05
VMC UN Equity,12/3/01,46.18
CPNLQ UN Equity,12/3/01,18.5
DPHIQ UN Equity,12/3/01,13.19
1028411Q UN Equity,12/3/01,33.05
PVN UN Equity,12/3/01,2.91
WY UN Equity,12/3/01,21.4577
987200Q UN Equity,12/3/01,34.53
WHR UN Equity,12/3/01,65.54
DALRQ UN Equity,12/3/01,28.07
WMB UN Equity,12/3/01,21.6066
NXTL UQ Equity,12/3/01,10.96
764144Q UN Equity,12/3/01,27.6
UCL UN Equity,12/3/01,34.01
XRX UN Equity,12/3/01,22.1569
TOY UN Equity,12/3/01,20.9
723588Q UN Equity,12/3/01,23.99
AES UN Equity,12/3/01,16.07
3153670Q UQ Equity,12/3/01,36.91
605555Q UN Equity,12/3/01,44.35
3029830Q UQ Equity,12/3/01,34.91
WNDXQ UN Equity,12/3/01,13.96
2676187Q UQ Equity,12/3/01,24.34
AWE UN Equity,12/3/01,14.03
605018Q UN Equity,12/3/01,25.8762
TAP UN Equity,12/3/01,28.18
3621240Q UN Equity,12/3/01,36.8
UPC UN Equity,12/3/01,28.7
355488Q UN Equity,#N/A N/A,
JHF UN Equity,12/3/01,39.49
945852Q UN Equity,12/3/01,25.44
JWN UN Equity,12/3/01,9.305
TAP/B UN Equity,#N/A N/A,
FBF UN Equity,12/3/01,36.33
519239Q UN Equity,#N/A N/A,
BGEN UQ Equity,12/3/01,57.35
QTRN UQ Equity,12/3/01,16.56
STJ UN Equity,12/3/01,18.6325
MIRKQ UN Equity,12/3/01,23.5
SYK UN Equity,12/3/01,27.365
748957Q UN Equity,12/3/01,41.5075
2727195Q UN Equity,12/3/01,56.29
RATL UQ Equity,12/3/01,17.95
TWX UN Equity,12/3/01,66.4561
CAH UN Equity,12/3/01,49.2005
FRX UN Equity,12/3/01,35.115
FHN UN Equity,12/3/01,29.9572
NE UN Equity,12/3/01,13.0088
PLL UN Equity,12/3/01,23.03
KEY UN Equity,12/3/01,22.79
STT UN Equity,12/3/01,50.9
USB UN Equity,12/3/01,18.5376
WM UN Equity,12/3/01,29.21
CBS UN Equity,12/3/01,31.538
AGN UN Equity,12/3/01,29.97
MS UN Equity,12/3/01,43.4399
CB UN Equity,12/3/01,38.45
JBL UN Equity,12/3/01,25.63
ALL UN Equity,12/3/01,33.95
EQR UN Equity,12/3/01,28.69
SPG UN Equity,12/3/01,26.145
EMN UN Equity,12/3/01,18.75
PRU UN Equity,#N/A N/A,
UPS UN Equity,12/3/01,55.9
MCK UN Equity,12/3/01,37.26
LMT UN Equity,12/3/01,46.99
ABC UN Equity,12/3/01,14.8704
COF UN Equity,12/3/01,48.55
WAT UN Equity,12/3/01,36
DRI UN Equity,12/3/01,18.5293
LXK UN Equity,12/3/01,52.2
HIG UN Equity,12/3/01,58.43
1518855D US Equity,12/3/01,15.83
PFG UN Equity,12/3/01,22.95
ATI UN Equity,12/3/01,15.22
DGX UN Equity,12/3/01,30.59
ROK UN Equity,12/3/01,16.82
YUM UN Equity,12/3/01,8.6251
FE UN Equity,12/3/01,34.06
AEE UN Equity,12/3/01,41.06
MAR UN Equity,12/3/01,17.6736
SEE UN Equity,12/3/01,22.8
AET UN Equity,12/3/01,7.705
GS UN Equity,12/3/01,86.01
SRE UN Equity,12/3/01,23.24
MCO UN Equity,12/3/01,17.28
RAI UN Equity,12/3/01,7.1863
A UN Equity,12/3/01,18.5354
ANTM UN Equity,12/3/01,25.65
DTE UN Equity,12/3/01,41.39
TXN UN Equity,12/3/01,30.98
MET UN Equity,12/3/01,24.0339
MON UN Equity,12/3/01,17.01
FTR UN Equity,12/3/01,147.45
FLR UN Equity,12/3/01,19.05
0111145D UN Equity,12/3/01,39.2
0961514D UN Equity,12/3/01,41.19
SLM UN Equity,12/3/01,10.1551
JNS UN Equity,12/3/01,23.54
COL UN Equity,12/3/01,17.35
ITT UN Equity,12/3/01,8.1187
ZBH UN Equity,12/3/01,32.2
0203524D UN Equity,12/3/01,14.7
MI UN Equity,12/3/01,23.9285
RSHCQ UN Equity,12/3/01,28.4
0772031D UN Equity,12/3/01,11.88
MWV UN Equity,#N/A N/A,
MDP UN Equity,12/3/01,34.08
HAS US Equity,12/3/01,16.46
ODP UN Equity,12/3/01,16.12
NYT UN Equity,12/3/01,45.35
PTV UN Equity,12/3/01,17.28
MU UN Equity,12/3/01,28.56
