,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
EIX UN Equity,12/5/03,21.02
FNMA UN Equity,12/5/03,70.65
IPG UN Equity,12/5/03,14.51
HD UN Equity,12/5/03,34.72
TRV UN Equity,12/5/03,38.18
MTLQQ UN Equity,12/5/03,46.05
AIG UN Equity,12/5/03,982.2996
EKDKQ UN Equity,12/5/03,23.7
AON UN Equity,12/5/03,22.55
APA UN Equity,12/5/03,37.875
CTL UN Equity,12/5/03,31.82
9876566D UN Equity,12/5/03,33.025
BIG UN Equity,12/5/03,13.49
TGT UN Equity,12/5/03,39.19
EFX UN Equity,12/5/03,24
M UN Equity,12/5/03,23.555
0202445Q UN Equity,12/5/03,43.52
LOW UN Equity,12/5/03,27.935
1431816D UN Equity,12/5/03,8.75
RX UN Equity,12/5/03,23.7
MAS UN Equity,12/5/03,24.6089
NWL UN Equity,12/5/03,23.02
NEM UN Equity,12/5/03,49.59
3022239Q UN Equity,12/5/03,18.6
OMC UN Equity,12/5/03,41.73
CFC UN Equity,12/5/03,26.925
PNC UN Equity,12/5/03,52.86
RDC UN Equity,12/5/03,22.5
SWY UN Equity,12/5/03,17.867
EOP UN Equity,12/5/03,27.77
FSH UN Equity,12/5/03,39.08
3133754Q UN Equity,12/5/03,23.75
TER UN Equity,12/5/03,23.7
TMO UN Equity,12/5/03,23.56
TIF UN Equity,12/5/03,42.6
TJX UN Equity,12/5/03,10.705
1312089D UN Equity,12/5/03,20.31
TMK UN Equity,12/5/03,19.6711
MERQ UQ Equity,12/5/03,46.71
KRB UN Equity,12/5/03,25.03
CPNLQ UN Equity,12/5/03,4.4
PVN UN Equity,12/5/03,11.36
987200Q UN Equity,12/5/03,28.43
764144Q UN Equity,12/5/03,27.08
TOY UN Equity,12/5/03,10.87
AES UN Equity,12/5/03,8.13
3153670Q UQ Equity,12/5/03,36.1
FHN UN Equity,12/5/03,36.4968
PLL UN Equity,12/5/03,25.53
AGN UN Equity,12/5/03,47.37
CB UN Equity,12/5/03,38.71
EQR UN Equity,12/5/03,29.24
SPG UN Equity,12/5/03,42.808
EMN UN Equity,12/5/03,18.48
WAT UN Equity,12/5/03,32.08
SEE UN Equity,12/5/03,26.58
DTE UN Equity,12/5/03,37.47
FTR UN Equity,12/5/03,159
0961514D UN Equity,12/5/03,44.3
SLM UN Equity,12/5/03,13.541
JNS UN Equity,12/5/03,14.38
RSHCQ UN Equity,12/5/03,28.74
8394653Q UN Equity,12/5/03,31.09
HSP UN Equity,#N/A N/A,
KG UN Equity,12/5/03,13.43
PTV UN Equity,12/5/03,22.1
MBI UN Equity,12/5/03,59.71
KATE UN Equity,12/5/03,34.82
HPC US Equity,12/5/03,11.03
MTG UN Equity,12/5/03,55.78
ABKFQ UN Equity,12/5/03,70.68
TXU US Equity,12/5/03,11.255
CMVT UQ Equity,12/5/03,9.2823
ADSK UQ Equity,12/5/03,11.745
GENZ UQ Equity,12/5/03,45.97
GILD UQ Equity,12/5/03,7.1988
BIIB UQ Equity,12/5/03,35.251
1280712D UQ Equity,12/5/03,40.8
TLAB UQ Equity,12/5/03,7.79
NVDA UQ Equity,12/5/03,6.8
1288652D US Equity,12/5/03,48.64
VSTNQ UN Equity,12/5/03,8.73
AA UN Equity,12/5/03,78.3396
AXP UN Equity,12/5/03,39.8283
VZ UN Equity,12/5/03,29.9379
BA UN Equity,12/5/03,38
CAT UN Equity,12/5/03,38.25
JPM UN Equity,12/5/03,34.96
CVX UN Equity,12/5/03,39
KO UN Equity,12/5/03,23.445
DIS UN Equity,12/5/03,21.3819
DD UN Equity,12/5/03,41.2378
XOM UN Equity,12/5/03,36.78
GE UN Equity,12/5/03,29.1
HPQ UN Equity,12/5/03,10.0381
IBM UN Equity,12/5/03,90.64
JNJ UN Equity,12/5/03,49.16
MCD UN Equity,12/5/03,25.99
MRK UN Equity,12/5/03,43.07
MMM UN Equity,12/5/03,80.74
BAC UN Equity,12/5/03,37.555
PFE UN Equity,12/5/03,34.2
PG UN Equity,12/5/03,48.255
T UN Equity,12/5/03,24.39
UTX UN Equity,12/5/03,43.865
WMT UN Equity,12/5/03,53.48
C UN Equity,12/5/03,465.8
HON UN Equity,12/5/03,29.7497
MO UN Equity,12/5/03,11.9016
INTC UQ Equity,12/5/03,32.04
MSFT UQ Equity,12/5/03,25.96
IP UN Equity,12/5/03,38.7834
ABT UN Equity,12/5/03,20.1214
AMD UN Equity,12/5/03,16.07
AFL UN Equity,12/5/03,35.47
APD UN Equity,12/5/03,46.3177
1284849D UN Equity,12/5/03,38.04
BEAM UN Equity,12/5/03,50.3137
AEP UN Equity,12/5/03,28.41
HES UN Equity,12/5/03,15.6633
APC UN Equity,12/5/03,23.905
ADI UN Equity,12/5/03,47.16
ADM UN Equity,12/5/03,14.6
AZO UN Equity,12/5/03,91.63
AVY UN Equity,12/5/03,55.16
AVP UN Equity,12/5/03,34.035
BHI UN Equity,12/5/03,30.14
BLL UN Equity,12/5/03,7.2563
CEG UN Equity,12/5/03,38.17
BK UN Equity,12/5/03,33.1779
BCR UN Equity,12/5/03,38.64
BAX UN Equity,12/5/03,15.3199
BDX UN Equity,12/5/03,39.92
BMS UN Equity,12/5/03,23.665
BBY UN Equity,12/5/03,36.06
HRB UN Equity,12/5/03,26.335
BSX UN Equity,12/5/03,35.41
BMY UN Equity,12/5/03,26.25
BF/B UN Equity,12/5/03,12.2853
CPB UN Equity,12/5/03,25.82
CCL UN Equity,12/5/03,35.25
CI UN Equity,12/5/03,18.493
CLX UN Equity,12/5/03,48.03
CMS UN Equity,12/5/03,7.76
CCE UN Equity,12/5/03,21.08
CL UN Equity,12/5/03,26.93
CMA UN Equity,12/5/03,53.46
CSC UN Equity,12/5/03,23.7655
CAG UN Equity,12/5/03,19.7494
ED UN Equity,12/5/03,41.05
CBE UN Equity,12/5/03,27.285
GLW UN Equity,12/5/03,10.53
CSX UN Equity,12/5/03,5.6917
CMI UN Equity,12/5/03,11.433
DHR UN Equity,12/5/03,15.884
DE UN Equity,12/5/03,31.005
D UN Equity,12/5/03,30.4
DOV UN Equity,12/5/03,31.3315
DOW UN Equity,12/5/03,38.65
DUK UN Equity,12/5/03,31.8757
ETN UN Equity,12/5/03,26.63
ECL UN Equity,12/5/03,27.22
PKI UN Equity,12/5/03,16.05
EP UN Equity,12/5/03,6.57
EMC UN Equity,12/5/03,13.11
EMR UN Equity,12/5/03,31.445
EOG UN Equity,12/5/03,11.13
ETR UN Equity,12/5/03,54.73
XL UN Equity,12/5/03,73.93
