,Average price of S&P 1-Jan,
FDO UN Equity,12/5/03,33.45
FDX UN Equity,12/5/03,72.53
F UN Equity,12/5/03,12.97
NEE UN Equity,12/5/03,32.28
BEN UN Equity,12/5/03,15.7667
FCX UN Equity,12/5/03,22.63
TGNA UN Equity,12/5/03,44.8929
GPS UN Equity,12/5/03,20.95
GD UN Equity,12/5/03,41.795
GIS UN Equity,12/5/03,22.95
GPC UN Equity,12/5/03,32.15
GR UN Equity,12/5/03,27.4
GT UN Equity,12/5/03,7.2
GWW UN Equity,12/5/03,46.5
HAL UN Equity,12/5/03,12.2
HOG UN Equity,12/5/03,45.85
HNZ UN Equity,12/5/03,36.45
HSY UN Equity,12/5/03,38.86
HOT UN Equity,12/5/03,25.4199
CNP UN Equity,12/5/03,9.52
HUM UN Equity,12/5/03,22.31
ITW UN Equity,12/5/03,40.65
IR UN Equity,12/5/03,25.3146
IFF UN Equity,12/5/03,33.46
9876544D UN Equity,12/5/03,34.1
1436513D UN Equity,12/5/03,18.1917
K UN Equity,12/5/03,36.12
KMB UN Equity,12/5/03,53.4287
KSS UN Equity,12/5/03,47.35
KR UN Equity,12/5/03,8.85
LEG UN Equity,12/5/03,20.45
LLY UN Equity,12/5/03,68.8
653707Q UN Equity,12/5/03,20.15
CAR UN Equity,12/5/03,27.2245
LB UN Equity,12/5/03,17.62
LNC UN Equity,12/5/03,40.5
L UN Equity,12/5/03,14.44
XTO UN Equity,12/5/03,12.622
1524867D UN Equity,12/5/03,17.5
BDK UN Equity,12/5/03,47.09
MMC UN Equity,12/5/03,44.21
PBG UN Equity,12/5/03,23.35
BNI UN Equity,12/5/03,30.4
8277831Q UN Equity,12/5/03,50.5
SPGI UN Equity,12/5/03,33.825
MDT UN Equity,12/5/03,46.55
CVS UN Equity,12/5/03,17.52
SGP UN Equity,12/5/03,16.97
WYE UN Equity,12/5/03,39.75
MSI UN Equity,12/5/03,48.9358
0226226D UN Equity,12/5/03,49.9086
CITGQ UN Equity,12/5/03,34.2
LH UN Equity,12/5/03,36.16
ROH UN Equity,12/5/03,41.1
THC UN Equity,12/5/03,60.12
SOV UN Equity,12/5/03,20.9429
3517233Q UN Equity,12/5/03,34.74
1255173D UN Equity,12/5/03,45.05
MER UN Equity,12/5/03,55.8
NKE UN Equity,12/5/03,8.1925
NCC UN Equity,12/5/03,34.03
NI UN Equity,12/5/03,8.1657
AW UN Equity,12/5/03,12.3
NSC UN Equity,12/5/03,22.5
3286728Q UN Equity,12/5/03,20.22
3393199Q UN Equity,12/5/03,52.61
NOC UN Equity,12/5/03,42.211
WWY UN Equity,12/5/03,44.8
WFC UN Equity,12/5/03,28.4
NUE UN Equity,12/5/03,12.84
OXY UN Equity,12/5/03,18.6477
3423152Q UN Equity,12/5/03,23.2
2968900Q UN Equity,12/5/03,40.9257
TT UN Equity,12/5/03,23.5715
PCG UN Equity,12/5/03,25.41
2942331Q UN Equity,12/5/03,72.86
PH UN Equity,12/5/03,38.2533
PPL UN Equity,12/5/03,18.6747
HET UN Equity,12/5/03,47.15
JCP UN Equity,12/5/03,24.35
TRB UN Equity,12/5/03,48.39
PEP UN Equity,12/5/03,48.5
DJ UN Equity,12/5/03,47.57
EXC UN Equity,12/5/03,31.7
3692470Q UN Equity,12/5/03,36.7965
COP UN Equity,12/5/03,22.8124
TEK UN Equity,12/5/03,26.93
PHM UN Equity,12/5/03,23.4675
HCR UN Equity,12/5/03,35
PNW UN Equity,12/5/03,38.94
BOL UN Equity,12/5/03,51.55
PBI UN Equity,12/5/03,39.43
0574018D UN Equity,12/5/03,27.62
PCL UN Equity,12/5/03,27.07
2641504Q UN Equity,12/5/03,5.91
1317355D UN Equity,12/5/03,20.9642
PPG UN Equity,12/5/03,30.14
PX UN Equity,12/5/03,36.4
KSE UN Equity,12/5/03,34.93
PGR UN Equity,12/5/03,19.68
3403545Q UN Equity,12/5/03,19
PEG UN Equity,12/5/03,20.61
MEL UN Equity,12/5/03,30.41
RTN UN Equity,12/5/03,28.3
RHI UN Equity,12/5/03,21
1528159D UN Equity,12/5/03,19.88
R UN Equity,12/5/03,30.82
1293405D UN Equity,12/5/03,36.54
CMX UN Equity,12/5/03,26.99
HSH UN Equity,12/5/03,41.472
PD UN Equity,12/5/03,32.235
PGL UN Equity,12/5/03,40.35
SLB UN Equity,12/5/03,24.62
SCHW UN Equity,12/5/03,11.17
2987536Q UN Equity,12/5/03,15.9
SHW UN Equity,12/5/03,33.85
BLS UN Equity,12/5/03,27.36
FSL/B UN Equity,#N/A N/A,
SNA UN Equity,12/5/03,30.37
NFB UN Equity,12/5/03,25.8867
SO UN Equity,12/5/03,29.77
LU UN Equity,12/5/03,3.05
BBT UN Equity,12/5/03,38.33
LUV UN Equity,12/5/03,15.59
3605818Q UN Equity,12/5/03,42.25
0848680D UN Equity,12/5/03,13.833
SWK UN Equity,12/5/03,33.42
GDW UN Equity,12/5/03,49.645
1086832D UN Equity,12/5/03,20.4668
0544749D UN Equity,12/5/03,21.292
STI UN Equity,12/5/03,70.11
GTW UN Equity,12/5/03,4.28
SVU UN Equity,12/5/03,179.8301
ANDW UQ Equity,12/5/03,10.98
SYY UN Equity,12/5/03,35.98
0964591D UQ Equity,12/5/03,35.92
1500785D UN Equity,12/5/03,12.99
JAVA UQ Equity,12/5/03,17.52
2307532Q UQ Equity,12/5/03,22.14
8206908Q UQ Equity,12/5/03,38.81
MEDI UQ Equity,12/5/03,27.04
TXT UN Equity,12/5/03,25.575
SAF UQ Equity,12/5/03,37.08
KRI UN Equity,12/5/03,73.95
2999130Q UN Equity,12/5/03,29.7
GDT UN Equity,12/5/03,56.64
CHIR UQ Equity,12/5/03,54.62
JCI UN Equity,12/5/03,17.2242
929530Q UN Equity,12/5/03,27.05
UNP UN Equity,12/5/03,16.36
CIN UN Equity,12/5/03,37.05
UNH UN Equity,12/5/03,26.68
3080867Q UN Equity,12/5/03,26.34
UNM UN Equity,12/5/03,15
DCNAQ UN Equity,12/5/03,16.3
MRO UN Equity,12/5/03,9.1727
3026360Q UN Equity,12/5/03,27.09
X UN Equity,12/5/03,26.13
RBK UN Equity,12/5/03,38.59
SEBL UQ Equity,12/5/03,12.76
VFC UN Equity,12/5/03,10.0775
GP UN Equity,12/5/03,28.29
VMC UN Equity,12/5/03,45.8
WBA UN Equity,12/5/03,35.95
DPHIQ UN Equity,12/5/03,9.11
1028411Q UN Equity,12/5/03,34.75
WY UN Equity,12/5/03,23.9215
WHR UN Equity,12/5/03,66.85
DALRQ UN Equity,12/5/03,11.58
WMB UN Equity,12/5/03,7.9371
NXTL UQ Equity,12/5/03,25.32
UCL UN Equity,12/5/03,33.89
XRX UN Equity,12/5/03,31.9576
723588Q UN Equity,12/5/03,24.82
605555Q UN Equity,12/5/03,48.96
TAP UN Equity,12/5/03,27.22
MKC UN Equity,12/5/03,29.3
JWN UN Equity,12/5/03,16.85
STJ UN Equity,12/5/03,30.95
SYK UN Equity,12/5/03,40.97
TWX UN Equity,12/5/03,32.476
CAH UN Equity,12/5/03,45.1291
MTB UN Equity,12/5/03,94.27
FRX UN Equity,12/5/03,55.65
NE UN Equity,12/5/03,15.7652
AN UN Equity,12/5/03,17.32
KEY UN Equity,12/5/03,28.29
STT UN Equity,12/5/03,50.48
USB UN Equity,12/5/03,27.4711
WM UN Equity,12/5/03,28.8
CBS UN Equity,12/5/03,28.4174
MS UN Equity,12/5/03,45.9552
JBL UN Equity,12/5/03,27.8
ALL UN Equity,12/5/03,40.71
PRU UN Equity,12/5/03,40.32
UPS UN Equity,12/5/03,73.22
AIV UN Equity,12/5/03,24.1802
MCK UN Equity,12/5/03,30.35
LMT UN Equity,12/5/03,47.42
ABC UN Equity,12/5/03,15.768
COF UN Equity,12/5/03,59.16
DRI UN Equity,12/5/03,17.9533
LXK UN Equity,12/5/03,76.31
FII UN Equity,12/5/03,28.17
HIG UN Equity,12/5/03,57.05
1518855D US Equity,12/5/03,42.85
PFG UN Equity,12/5/03,33.77
ATI UN Equity,12/5/03,8.75
DGX UN Equity,12/5/03,35.825
ROK UN Equity,12/5/03,34.58
VLO UN Equity,12/5/03,10.2857
LLL UN Equity,12/5/03,45.0773
YUM UN Equity,12/5/03,12.1916
FE UN Equity,12/5/03,35.28
AEE UN Equity,12/5/03,44.83
MAR UN Equity,12/5/03,21.3006
AET UN Equity,12/5/03,16.065
GS UN Equity,12/5/03,98.03
SRE UN Equity,12/5/03,29.1
MCO UN Equity,12/5/03,28.81
RAI UN Equity,12/5/03,6.9563
DVN UN Equity,#N/A N/A,
A UN Equity,12/5/03,18.1379
ANTM UN Equity,12/5/03,36.35
TXN UN Equity,12/5/03,28.36
MET UN Equity,12/5/03,29.0243
MON UN Equity,12/5/03,13.725
TPR UN Equity,12/5/03,18.35
FLR UN Equity,12/5/03,18.89
0111145D UN Equity,12/5/03,33.81
XEL UN Equity,12/5/03,16.9
COL UN Equity,12/5/03,26.84
ITT UN Equity,12/5/03,11.2869
0203524D UN Equity,12/5/03,20.57
ZBH UN Equity,12/5/03,65.78
MI UN Equity,12/5/03,29.7461
0772031D UN Equity,12/5/03,3.56
MWV UN Equity,12/5/03,24.43
AYE UN Equity,12/5/03,10.68
MHS UN Equity,12/5/03,18.33
MDP UN Equity,12/5/03,48
HAS US Equity,12/5/03,20.88
ODP UN Equity,12/5/03,15.86
NYT UN Equity,12/5/03,45.88
RF UN Equity,12/5/03,29.4508
MU UN Equity,12/5/03,12.12
KBH UN Equity,12/5/03,33.915
DYNIQ UN Equity,12/5/03,19.9
CVG UN Equity,12/5/03,15.11
BMC UN Equity,12/5/03,16.42
MAT UN Equity,12/5/03,19.46
RRD UN Equity,12/5/03,45.0041
JNY UN Equity,12/5/03,33.25
MYL UN Equity,12/5/03,25.45
FOXA UN Equity,12/5/03,12.2823
RIG UN Equity,12/5/03,31.0892
ASH UN Equity,12/5/03,16.4577
UIS UN Equity,12/5/03,163.6
DDS UN Equity,12/5/03,15.46
ADP UN Equity,12/5/03,30.6217
WAMUQ UN Equity,12/5/03,43.42
LEHMQ UN Equity,12/5/03,35.795
FMCC UN Equity,12/5/03,55.35
OMX UN Equity,12/5/03,30.2
BC UN Equity,12/5/03,29.85
CA UN Equity,12/5/03,23.34
CCTYQ UN Equity,12/5/03,12.1
1541931D UQ Equity,12/5/03,23.43
SNV UN Equity,12/5/03,86.1396
TIN UN Equity,12/5/03,17.4095
3414924Q US Equity,12/5/03,12.73
0910150D US Equity,12/5/03,16.34
NCR UN Equity,12/5/03,8.2639
4621824Q UN Equity,12/5/03,55.24
HMA UN Equity,12/5/03,26.01
ETFC UN Equity,12/5/03,108.5
NAV UN Equity,12/5/03,41.83
1281683D UN Equity,12/5/03,35.5232
LPX UN Equity,12/5/03,18.03
CTB UN Equity,12/5/03,20.19
ADBE UQ Equity,12/5/03,19.45
AMGN UQ Equity,12/5/03,58.15
AAPL UQ Equity,12/5/03,1.4893
CTAS UQ Equity,12/5/03,46.08
CSCO UQ Equity,12/5/03,23.71
CMCSA UQ Equity,12/5/03,10.5333
DELL UQ Equity,12/5/03,34.45
KLAC UQ Equity,12/5/03,55.62
MOLX UQ Equity,12/5/03,31.76
NOVL UQ Equity,12/5/03,9.2
ORCL UQ Equity,12/5/03,12.72
PCAR UQ Equity,12/5/03,23.4726
COST UQ Equity,12/5/03,35.8
SIAL UQ Equity,12/5/03,27.25
ADCT UQ Equity,12/5/03,18.55
AMAT UQ Equity,12/5/03,22.3
BBBY UQ Equity,12/5/03,42.06
CINF UQ Equity,12/5/03,37.3605
EA UQ Equity,12/5/03,42.28
ESRX UQ Equity,12/5/03,7.94
FISV UQ Equity,12/5/03,19.185
FITB UQ Equity,12/5/03,57.69
HBAN UQ Equity,12/5/03,21.63
LLTC UQ Equity,12/5/03,40.25
MXIM UQ Equity,12/5/03,49.72
NTRS UQ Equity,12/5/03,44.89
PAYX UQ Equity,12/5/03,38.34
PTC UQ Equity,12/5/03,8.9
QCOM UQ Equity,12/5/03,24.795
SBUX UQ Equity,12/5/03,7.9475
PMCS UQ Equity,12/5/03,18.51
SPLS UQ Equity,12/5/03,17.0933
SYMC UQ Equity,12/5/03,16.21
TROW UQ Equity,12/5/03,21.185
XLNX UQ Equity,12/5/03,35.64
ZION UQ Equity,12/5/03,61.21
1519128D UQ Equity,12/5/03,5.3873
INTU UQ Equity,12/5/03,25.075
SANM UQ Equity,12/5/03,68.7
VIAV UQ Equity,12/5/03,15.1458
QLGC UQ Equity,12/5/03,26.31
APOL UQ Equity,12/5/03,66.49
NTAP UQ Equity,12/5/03,21.6
CTXS UQ Equity,12/5/03,17.5661
MWW UQ Equity,12/5/03,19.89
CIEN UQ Equity,12/5/03,48.37
BRCM UQ Equity,12/5/03,22.9267
EBAY UQ Equity,12/5/03,11.7635
AMCC UQ Equity,12/5/03,24.36
NBR UA Equity,12/5/03,19.3
PWER UQ Equity,12/5/03,9.11
DPS UN Equity,#N/A N/A,
XRX UN Equity,12/5/03,31.9576
HBI UN Equity,#N/A N/A,
ALB UN Equity,12/5/03,13.98
EL UN Equity,12/5/03,19.47
