,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
EIX UN Equity,12/3/04,31.28
BOL UN Equity,12/3/04,61.91
FE UN Equity,12/3/04,39.2
FMCC UN Equity,12/3/04,69.74
FNMA UN Equity,12/3/04,71.68
CMVT UQ Equity,12/3/04,11.8574
NAV UN Equity,12/3/04,41.15
HD UN Equity,12/3/04,41.79
WMT UN Equity,12/3/04,52.93
MTLQQ UN Equity,12/3/04,38.57
AIG UN Equity,12/3/04,1097.9036
AVY UN Equity,12/3/04,60.45
BMS UN Equity,12/3/04,28.36
HRB UN Equity,12/3/04,24.165
BIG UN Equity,12/3/04,11.79
DHR UN Equity,12/3/04,21.9341
TGT UN Equity,12/3/04,51.7
PKI UN Equity,12/3/04,21.92
FCX UN Equity,12/3/04,18.695
GPS UN Equity,12/3/04,21.48
CNP UN Equity,12/3/04,11.28
IPG UN Equity,12/3/04,12.54
KSS UN Equity,12/3/04,47.65
LB UN Equity,12/3/04,24.08
0202445Q UN Equity,12/3/04,50.21
XTO UN Equity,12/3/04,19.3253
LOW UN Equity,12/3/04,28.735
1431816D UN Equity,12/3/04,5.39
MUR UN Equity,12/3/04,34.5151
CITGQ UN Equity,12/3/04,43.4
ROH UN Equity,12/3/04,44.43
3517233Q UN Equity,12/3/04,45.27
NEM UN Equity,12/3/04,46.38
JCP UN Equity,12/3/04,38.74
TRB UN Equity,12/3/04,43.05
PNC UN Equity,12/3/04,55.87
3403545Q UN Equity,12/3/04,20.29
PEG UN Equity,12/3/04,21.66
RDC UN Equity,12/3/04,24.57
1293405D UN Equity,12/3/04,29.06
FSL/B UN Equity,12/3/04,18.4
NFB UN Equity,12/3/04,28.44
PSA UN Equity,12/3/04,55.33
2307532Q UQ Equity,12/3/04,20.79
TXT UN Equity,12/3/04,36.87
TMO UN Equity,12/3/04,30.6
TIF UN Equity,12/3/04,31.11
TJX UN Equity,12/3/04,12.145
UNP UN Equity,12/3/04,15.9525
JWN UN Equity,12/3/04,21.74
STJ UN Equity,12/3/04,40.64
FHN UN Equity,12/3/04,36.78
CB UN Equity,12/3/04,41.04
