,Average price of S&P 1-Jan,
SEE UN Equity,12/3/04,26.285
FLR UN Equity,12/3/04,26.085
SLM UN Equity,12/3/04,18.5465
ZBH UN Equity,12/3/04,82.72
RSHCQ UN Equity,12/3/04,31.49
8394653Q UN Equity,12/3/04,41.57
HSP UN Equity,12/3/04,32.54
PTV UN Equity,12/3/04,25.68
MYL UN Equity,12/3/04,18.35
DDS UN Equity,12/3/04,26.2
SSP UN Equity,12/3/04,9.6573
4621824Q UN Equity,12/3/04,68.55
ADSK UQ Equity,12/3/04,33.405
DELL UQ Equity,12/3/04,41.65
PCAR UQ Equity,12/3/04,34.9511
FISV UQ Equity,12/3/04,19.415
1280712D UQ Equity,12/3/04,29.4
INTU UQ Equity,12/3/04,21.44
SHLD UQ Equity,12/3/04,66.7526
AA UN Equity,12/3/04,73.5918
AXP UN Equity,12/3/04,49.2383
VZ UN Equity,12/3/04,37.6644
BA UN Equity,12/3/04,55.26
CAT UN Equity,12/3/04,45.46
JPM UN Equity,12/3/04,38.06
CVX UN Equity,12/3/04,52.59
KO UN Equity,12/3/04,20.355
DIS UN Equity,12/3/04,27.0061
DD UN Equity,12/3/04,43.4417
XOM UN Equity,12/3/04,50.27
GE UN Equity,12/3/04,35.83
HPQ UN Equity,12/3/04,9.5296
IBM UN Equity,12/3/04,97.08
JNJ UN Equity,12/3/04,61.91
MCD UN Equity,12/3/04,31.28
MRK UN Equity,12/3/04,28.68
MMM UN Equity,12/3/04,81.08
BAC UN Equity,12/3/04,46.32
PFE UN Equity,12/3/04,27.89
PG UN Equity,12/3/04,55.39
T UN Equity,12/3/04,25.81
TRV UN Equity,12/3/04,37.23
UTX UN Equity,12/3/04,49.215
C UN Equity,12/3/04,456.5
HON UN Equity,12/3/04,35.4769
MO UN Equity,12/3/04,13.4941
INTC UQ Equity,12/3/04,23.93
MSFT UQ Equity,12/3/04,27.22
EKDKQ UN Equity,12/3/04,32.75
IP UN Equity,12/3/04,39.9467
ABT UN Equity,12/3/04,20.7801
AMD UN Equity,12/3/04,23.22
AFL UN Equity,12/3/04,39.43
APD UN Equity,12/3/04,53.7692
1284849D UN Equity,12/3/04,39.025
BEAM UN Equity,12/3/04,56.7648
AEP UN Equity,12/3/04,34.05
HES UN Equity,12/3/04,28.1167
APC UN Equity,12/3/04,33.63
ADI UN Equity,12/3/04,38.66
AON UN Equity,12/3/04,22.26
APA UN Equity,12/3/04,50.71
ADM UN Equity,12/3/04,21.85
AZO UN Equity,12/3/04,86.14
AVP UN Equity,12/3/04,39.58
BHI UN Equity,12/3/04,41.94
BLL UN Equity,12/3/04,10.915
CEG UN Equity,12/3/04,43.11
BK UN Equity,12/3/04,35.0859
BCR UN Equity,12/3/04,59.5
BAX UN Equity,12/3/04,17.3951
BDX UN Equity,12/3/04,56.17
BBY UN Equity,12/3/04,37.8933
BSX UN Equity,12/3/04,34.54
BMY UN Equity,12/3/04,23.93
BF/B UN Equity,12/3/04,12.848
CPB UN Equity,12/3/04,29.32
CCL UN Equity,12/3/04,54.62
CTL UN Equity,12/3/04,34.09
9876566D UN Equity,12/3/04,38.1
CI UN Equity,12/3/04,24.95
CLX UN Equity,12/3/04,57.21
CMS UN Equity,12/3/04,10.24
CCE UN Equity,12/3/04,21.29
CL UN Equity,12/3/04,23.45
CMA UN Equity,12/3/04,62.2
CSC UN Equity,12/3/04,32.1965
CAG UN Equity,12/3/04,21.4225
ED UN Equity,12/3/04,43.59
CBE UN Equity,12/3/04,33.275
GLW UN Equity,12/3/04,11.89
CSX UN Equity,12/3/04,6.3967
CMI UN Equity,12/3/04,19.97
DE UN Equity,12/3/04,35.49
D UN Equity,12/3/04,32.265
DOV UN Equity,12/3/04,34.4422
DOW UN Equity,12/3/04,49.76
DUK UN Equity,12/3/04,43.3684
ETN UN Equity,12/3/04,34.28
ECL UN Equity,12/3/04,35.17
EP UN Equity,12/3/04,10.1
EMC UN Equity,12/3/04,14.39
EMR UN Equity,12/3/04,34.03
EOG UN Equity,12/3/04,18.04
ETR UN Equity,12/3/04,64.95
EFX UN Equity,12/3/04,27.95
XL UN Equity,12/3/04,77.14
FDO UN Equity,12/3/04,29.01
FDX UN Equity,12/3/04,96.7
M UN Equity,12/3/04,27.545
F UN Equity,12/3/04,14.31
NEE UN Equity,12/3/04,35.505
BEN UN Equity,12/3/04,22.1667
TGNA UN Equity,12/3/04,41.8246
GD UN Equity,12/3/04,54.915
GIS UN Equity,12/3/04,23.285
GPC UN Equity,12/3/04,43.99
GR UN Equity,12/3/04,31.79
GT UN Equity,12/3/04,13.08
GWW UN Equity,12/3/04,61.75
HAL UN Equity,12/3/04,19.37
HOG UN Equity,12/3/04,59.19
HNZ UN Equity,12/3/04,38.1
HSY UN Equity,12/3/04,54.62
HOT UN Equity,12/3/04,40.1005
HUM UN Equity,12/3/04,26.42
ITW UN Equity,12/3/04,47.515
IR UN Equity,12/3/04,30.5188
IFF UN Equity,12/3/04,41.15
9876544D UN Equity,12/3/04,34.75
1436513D UN Equity,12/3/04,20.6333
K UN Equity,12/3/04,44.48
KMB UN Equity,12/3/04,61.3205
KR UN Equity,12/3/04,7.96
LEG UN Equity,12/3/04,30.51
LEN UN Equity,12/3/04,45.9072
LLY UN Equity,12/3/04,54.5
CAR UN Equity,12/3/04,28.9245
LNC UN Equity,12/3/04,47.49
L UN Equity,12/3/04,23.3967
1524867D UN Equity,12/3/04,24.005
BDK UN Equity,12/3/04,85.1
RX UN Equity,12/3/04,22.95
MMC UN Equity,12/3/04,29.12
PBG UN Equity,12/3/04,28.05
MAS UN Equity,12/3/04,31.3588
BNI UN Equity,12/3/04,46.4
8277831Q UN Equity,12/3/04,59.11
SPGI UN Equity,12/3/04,43.73
MDT UN Equity,12/3/04,48.75
CVS UN Equity,12/3/04,22.88
SGP UN Equity,12/3/04,18.79
WYE UN Equity,12/3/04,41.56
MSI UN Equity,12/3/04,73.1047
0226226D UN Equity,12/3/04,53.07
LH UN Equity,12/3/04,48
THC UN Equity,12/3/04,46.8
SOV UN Equity,12/3/04,21.1429
NWL UN Equity,12/3/04,23.05
1255173D UN Equity,12/3/04,52.39
MER UN Equity,12/3/04,57.28
NKE UN Equity,12/3/04,10.84
NCC UN Equity,12/3/04,37.17
NI UN Equity,12/3/04,8.5547
AW UN Equity,12/3/04,9.15
NSC UN Equity,12/3/04,35.86
3286728Q UN Equity,12/3/04,20.69
3393199Q UN Equity,12/3/04,50.79
NOC UN Equity,12/3/04,52.145
WWY UN Equity,12/3/04,55.28
WFC UN Equity,12/3/04,31.2
3022239Q UN Equity,12/3/04,17.3822
NUE UN Equity,12/3/04,25.92
OXY UN Equity,12/3/04,27.2186
3423152Q UN Equity,12/3/04,22.49
OMC UN Equity,12/3/04,40.795
2968900Q UN Equity,12/3/04,31.7576
CFC UN Equity,12/3/04,34.09
TT UN Equity,12/3/04,29.1869
PCG UN Equity,12/3/04,32.29
2942331Q UN Equity,12/3/04,102.34
PH UN Equity,12/3/04,50.7133
PPL UN Equity,12/3/04,23.9361
HET UN Equity,12/3/04,62.56
PEP UN Equity,12/3/04,51.09
DJ UN Equity,12/3/04,41.88
EXC UN Equity,12/3/04,42.05
3692470Q UN Equity,12/3/04,47.7659
COP UN Equity,12/3/04,32.9704
TEK UN Equity,12/3/04,31.48
PHM UN Equity,12/3/04,27.925
HCR UN Equity,12/3/04,34.64
PNW UN Equity,12/3/04,43.72
PBI UN Equity,12/3/04,44.83
0574018D UN Equity,12/3/04,37.83
PCL UN Equity,12/3/04,38.16
2641504Q UN Equity,12/3/04,6.5
1317355D UN Equity,12/3/04,22.8591
PPG UN Equity,12/3/04,33.805
PX UN Equity,12/3/04,45.97
KSE UN Equity,12/3/04,38.61
PGR UN Equity,12/3/04,23.3975
MEL UN Equity,12/3/04,30.06
RTN UN Equity,12/3/04,41.18
RHI UN Equity,12/3/04,27.32
1528159D UN Equity,12/3/04,23.2
R UN Equity,12/3/04,53.82
SWY UN Equity,12/3/04,16.954
CMX UN Equity,12/3/04,36.59
HSH UN Equity,12/3/04,46.6634
PD UN Equity,12/3/04,47.25
PGL UN Equity,12/3/04,44.25
SLB UN Equity,12/3/04,31.735
EOP UN Equity,12/3/04,28.96
2987536Q UN Equity,12/3/04,15.7
SHW UN Equity,12/3/04,44.56
BLS UN Equity,12/3/04,28.32
SNA UN Equity,12/3/04,32.53
SO UN Equity,12/3/04,32.61
LU UN Equity,12/3/04,3.87
BBT UN Equity,12/3/04,42.54
LUV UN Equity,12/3/04,16.12
3605818Q UN Equity,12/3/04,40.1
FSH UN Equity,12/3/04,58.63
0848680D UN Equity,12/3/04,20.9808
3133754Q UN Equity,12/3/04,26.13
SWK UN Equity,12/3/04,46.95
GDW UN Equity,12/3/04,60.145
1086832D UN Equity,12/3/04,33.1172
0544749D UN Equity,12/3/04,28.6095
STI UN Equity,12/3/04,71.63
GTW UN Equity,12/3/04,6.68
SVU UN Equity,12/3/04,227.5701
ANDW UQ Equity,12/3/04,15.33
SYY UN Equity,12/3/04,35.79
0964591D UQ Equity,12/3/04,48.87
1500785D UN Equity,12/3/04,14.95
JAVA UQ Equity,12/3/04,20.88
TER UN Equity,12/3/04,18.58
8206908Q UQ Equity,12/3/04,46.64
MEDI UQ Equity,12/3/04,26.32
SAF UQ Equity,12/3/04,48.9
KRI UN Equity,12/3/04,66.77
2999130Q UN Equity,12/3/04,30.38
1312089D UN Equity,12/3/04,23.66
TMK UN Equity,12/3/04,24.9156
GDT UN Equity,12/3/04,69.15
CHIR UQ Equity,12/3/04,31.94
JCI UN Equity,12/3/04,24.901
929530Q UN Equity,12/3/04,43.5
CIN UN Equity,12/3/04,41.47
UNH UN Equity,12/3/04,41.155
3080867Q UN Equity,12/3/04,20.28
UNM UN Equity,12/3/04,15.52
DCNAQ UN Equity,12/3/04,17.04
MRO UN Equity,12/3/04,11.3854
3026360Q UN Equity,12/3/04,30.2
X UN Equity,12/3/04,51.03
RBK UN Equity,12/3/04,39.83
SEBL UQ Equity,12/3/04,10.38
MERQ UQ Equity,12/3/04,45.86
VFC UN Equity,12/3/04,13.54
KRB UN Equity,12/3/04,26.57
VNO UN Equity,12/3/04,52.1308
VMC UN Equity,12/3/04,52.44
WBA UN Equity,12/3/04,38.98
WY UN Equity,12/3/04,27.4985
WHR UN Equity,12/3/04,63.92
WMB UN Equity,12/3/04,13.0081
XRX UN Equity,12/3/04,41.4948
AES UN Equity,12/3/04,12.42
TAP UN Equity,12/3/04,37.625
MKC UN Equity,12/3/04,36.98
SYK UN Equity,12/3/04,45.29
TSN UN Equity,12/3/04,17.03
TWX UN Equity,12/3/04,35.7216
CAH UN Equity,12/3/04,38.1569
CVH UN Equity,12/3/04,33.0333
DHI UN Equity,12/3/04,27.2625
MTB UN Equity,12/3/04,105.92
FRX UN Equity,12/3/04,40.07
NBR UN Equity,#N/A N/A,
NE UN Equity,12/3/04,20.2471
PLL UN Equity,12/3/04,29.11
AN UN Equity,12/3/04,18.64
KEY UN Equity,12/3/04,33.53
STT UN Equity,12/3/04,44.97
USB UN Equity,12/3/04,29.67
WM UN Equity,12/3/04,29.9
CBS UN Equity,12/3/04,26.7575
AGN UN Equity,12/3/04,29.43
STZ UN Equity,12/3/04,23.055
MS UN Equity,12/3/04,44.0542
JBL UN Equity,12/3/04,25.85
ALL UN Equity,12/3/04,51.35
EQR UN Equity,12/3/04,34.78
SPG UN Equity,12/3/04,57.236
EMN UN Equity,12/3/04,27.01
PRU UN Equity,12/3/04,51.64
UPS UN Equity,12/3/04,85.63
AIV UN Equity,12/3/04,26.5264
MCK UN Equity,12/3/04,30.32
LMT UN Equity,12/3/04,61.62
ABC UN Equity,12/3/04,14.5138
COF UN Equity,12/3/04,79.24
WAT UN Equity,12/3/04,47.4
DRI UN Equity,12/3/04,24.5436
LXK UN Equity,12/3/04,87.3
FII UN Equity,12/3/04,29.8
HIG UN Equity,12/3/04,65.55
1518855D US Equity,12/3/04,39.02
PFG UN Equity,12/3/04,38.8
ATI UN Equity,12/3/04,21.55
NOV UN Equity,12/3/04,15.3477
DGX UN Equity,12/3/04,47.335
ROK UN Equity,12/3/04,46.33
VLO UN Equity,12/3/04,19.8635
LLL UN Equity,12/3/04,71.5673
YUM UN Equity,12/3/04,16.7468
AEE UN Equity,12/3/04,48.66
MAR UN Equity,12/3/04,27.1747
AET UN Equity,12/3/04,29.683
GS UN Equity,12/3/04,106.47
SRE UN Equity,12/3/04,36.3
MCO UN Equity,12/3/04,41.525
RAI UN Equity,12/3/04,9.7813
DVN UN Equity,12/3/04,39.55
A UN Equity,12/3/04,16.312
ANTM UN Equity,12/3/04,53.235
DTE UN Equity,12/3/04,43.46
TXN UN Equity,12/3/04,25.1
MET UN Equity,12/3/04,36.0731
MON UN Equity,12/3/04,23.58
TPR UN Equity,12/3/04,26.23
FTR UN Equity,12/3/04,218.1
0111145D UN Equity,12/3/04,36.18
0961514D UN Equity,12/3/04,43.38
AMP UN Equity,#N/A N/A,
XEL UN Equity,12/3/04,17.85
JNS UN Equity,12/3/04,16.65
COL UN Equity,12/3/04,40.52
ITT UN Equity,12/3/04,13.981
0203524D UN Equity,12/3/04,16.2
MI UN Equity,12/3/04,33.3207
0772031D UN Equity,12/3/04,4.3
MWV UN Equity,12/3/04,30.3795
AYE UN Equity,12/3/04,19.23
MHS UN Equity,12/3/04,19.11
MDP UN Equity,12/3/04,52.32
HAS US Equity,12/3/04,19.06
ODP UN Equity,12/3/04,16.73
NYT UN Equity,12/3/04,39.69
KG UN Equity,12/3/04,12.5
GNW UN Equity,12/3/04,26.4
RF UN Equity,12/3/04,35.49
MU UN Equity,12/3/04,11.54
KBH UN Equity,12/3/04,46.075
MBI UN Equity,12/3/04,61.55
DYNIQ UN Equity,12/3/04,27.2
CVG UN Equity,12/3/04,14.72
BMC UN Equity,12/3/04,18.74
MAT UN Equity,12/3/04,18.65
RRD UN Equity,12/3/04,55.951
JNY UN Equity,12/3/04,35.58
WFT UN Equity,12/3/04,12.88
FOXA UN Equity,12/3/04,15.6729
RIG UN Equity,12/3/04,55.0172
KATE UN Equity,12/3/04,41.52
ASH UN Equity,12/3/04,23.3756
HPC US Equity,12/3/04,14.87
UIS UN Equity,12/3/04,116.2
MTG UN Equity,12/3/04,67.2
ADP UN Equity,12/3/04,36.2401
WAMUQ UN Equity,12/3/04,40.75
LEHMQ UN Equity,12/3/04,42.5
OMX UN Equity,12/3/04,30.98
BC UN Equity,12/3/04,49.3
ABKFQ UN Equity,12/3/04,81.61
CA UN Equity,12/3/04,31.51
CCTYQ UN Equity,12/3/04,16.21
1541931D UQ Equity,12/3/04,23.24
SNV UN Equity,12/3/04,83.752
TIN UN Equity,12/3/04,17.5622
3414924Q US Equity,12/3/04,16.04
0910150D US Equity,12/3/04,21.23
TXU US Equity,12/3/04,30.225
NCR UN Equity,12/3/04,15.6895
HMA UN Equity,12/3/04,22.55
ETFC UN Equity,12/3/04,144.7
1281683D UN Equity,12/3/04,40.691
LPX UN Equity,12/3/04,27.25
CTB UN Equity,12/3/04,21.1
SCHW UQ Equity,#N/A N/A,
ADBE UQ Equity,12/3/04,31.48
AMGN UQ Equity,12/3/04,62.06
AAPL UQ Equity,12/3/04,4.4771
CTAS UQ Equity,12/3/04,45.87
CSCO UQ Equity,12/3/04,19.49
CMCSA UQ Equity,12/3/04,9.84
GENZ UQ Equity,12/3/04,55.74
KLAC UQ Equity,12/3/04,48.94
MOLX UQ Equity,12/3/04,28.57
NOVL UQ Equity,12/3/04,6.38
ORCL UQ Equity,12/3/04,13.06
COST UQ Equity,12/3/04,47.92
SIAL UQ Equity,12/3/04,29.675
ADCT UQ Equity,12/3/04,18.48
AMAT UQ Equity,12/3/04,17.87
BBBY UQ Equity,12/3/04,39.89
CINF UQ Equity,12/3/04,42.2095
EA UQ Equity,12/3/04,52.86
ESRX UQ Equity,12/3/04,9.2775
FITB UQ Equity,12/3/04,47.97
GILD UQ Equity,12/3/04,8.87
HBAN UQ Equity,12/3/04,24.17
BIIB UQ Equity,12/3/04,56.703
LLTC UQ Equity,12/3/04,39.81
MXIM UQ Equity,12/3/04,42.53
NTRS UQ Equity,12/3/04,47.94
PAYX UQ Equity,12/3/04,33.27
PDCO UQ Equity,12/3/04,42.23
PTC UQ Equity,12/3/04,14.65
QCOM UQ Equity,12/3/04,43.5
SBUX UQ Equity,12/3/04,14.6455
PMCS UQ Equity,12/3/04,11.64
SPLS UQ Equity,12/3/04,21.8733
SYMC UQ Equity,12/3/04,33.48
TLAB UQ Equity,12/3/04,8.66
TROW UQ Equity,12/3/04,30.19
XLNX UQ Equity,12/3/04,32
ZION UQ Equity,12/3/04,67.55
1519128D UQ Equity,12/3/04,5.733
SANM UQ Equity,12/3/04,53.7
VIAV UQ Equity,12/3/04,14.4181
QLGC UQ Equity,12/3/04,18.105
APOL UQ Equity,12/3/04,83.1
NTAP UQ Equity,12/3/04,32.21
CTXS UQ Equity,12/3/04,19.5887
MWW UQ Equity,12/3/04,28
CIEN UQ Equity,12/3/04,17.08
AMZN UQ Equity,12/3/04,40.09
BRCM UQ Equity,12/3/04,22.2333
NVDA UQ Equity,12/3/04,6.91
EBAY UQ Equity,12/3/04,24.4972
AMCC UQ Equity,12/3/04,15.48
1288652D US Equity,12/3/04,50.96
VSTNQ UN Equity,12/3/04,8.28
DPS UN Equity,#N/A N/A,
XRX UN Equity,12/3/04,41.4948
HBI UN Equity,#N/A N/A,
ALB UN Equity,12/3/04,19.825
EL UN Equity,12/3/04,22.555
