,Average price of S&P 1-Jan,,,,,,,,,,
MWI UN Equity,12/4/92,15.125,,,,,,,,,
896661Q UN Equity,12/4/92,46.75,,,,,,,,,
968734Q UN Equity,12/4/92,21.25,,,,,,,,,
611647Q UN Equity,12/4/92,28.4375,,,,,,,,,
RBD UN Equity,12/4/92,32.75,,,,,,,,,
ORX UN Equity,12/4/92,20.125,,,,,,,,,
2500Q UN Equity,12/4/92,23.9375,,,,,,,,,
231079Q UN Equity,12/4/92,24.2732,,,,,,,,,
134618Q UN Equity,12/4/92,112.75,,,,,,,,,
AS UN Equity,12/4/92,6.125,,,,,,,,,
1567Q UN Equity,12/4/92,18.75,,,,,,,,,
2223Q UN Equity,12/4/92,74.5,,,,,,,,,
504369Q UN Equity,12/4/92,28.875,,,,,,,,,
2428Q UN Equity,12/4/92,29.875,,,,,,,,,
370506Q UN Equity,12/4/92,67.5,,,,,,,,,
45861Q UN Equity,12/4/92,17,,,,,,,,,
2196Q UN Equity,12/4/92,23.8125,,,,,,,,,
0943554D UN Equity,12/4/92,17.625,,,,,,,,,
3619382Q UN Equity,12/4/92,14.7396,,,,,,,,,
WMX UN Equity,12/4/92,40.625,,,,,,,,,
GFS/A UA Equity,12/4/92,21.375,,,,,,,,,
2282655Q UN Equity,12/4/92,21.375,,,,,,,,,
2218Q UN Equity,12/4/92,31.125,,,,,,,,,
3520842Q UN Equity,12/4/92,21.625,,,,,,,,,
RHDCQ UN Equity,12/4/92,9.6271,,,,,,,,,
DEC UN Equity,12/4/92,33.25,,,,,,,,,
PET UN Equity,12/4/92,19.375,,,,,,,,,
JH UN Equity,12/4/92,25.75,,,,,,,,,
2106Q UN Equity,12/4/92,32.125,,,,,,,,,
1558530D UN Equity,12/4/92,13.375,,,,,,,,,
2638Q UN Equity,12/4/92,20.625,,,,,,,,,
UEP UN Equity,12/4/92,35.25,,,,,,,,,
PAS UN Equity,12/4/92,9.3475,,,,,,,,,
ECO UA Equity,12/4/92,4.6875,,,,,,,,,
1802Q UN Equity,12/4/92,12,,,,,,,,,
DTE UN Equity,12/4/92,32.75,,,,,,,,,
FLMIQ UN Equity,12/4/92,31.5,,,,,,,,,
TXN UN Equity,12/4/92,3.0938,,,,,,,,,
2822069Q UN Equity,12/4/92,37.5,,,,,,,,,
LLX UN Equity,12/4/92,33.25,,,,,,,,,
SRR UN Equity,12/4/92,20.875,,,,,,,,,
TDM UN Equity,12/4/92,14.625,,,,,,,,,
1974Q UA Equity,12/4/92,7.25,,,,,,,,,
334702Q UN Equity,12/4/92,14.125,,,,,,,,,
0111145D UN Equity,12/4/92,24.3125,,,,,,,,,
3147596Q UN Equity,12/4/92,7.7708,,,,,,,,,
210967Q UN Equity,12/4/92,41.5625,,,,,,,,,
231330Q UN Equity,12/4/92,15.125,,,,,,,,,
1013207D UN Equity,12/4/92,4.3242,,,,,,,,,
XEL UN Equity,12/4/92,21.5,,,,,,,,,
ITT UN Equity,12/4/92,2.0526,,,,,,,,,
0203524D UN Equity,12/4/92,6.5625,,,,,,,,,
316419Q UN Equity,12/4/92,16.625,,,,,,,,,
90457Q UN Equity,12/4/92,23,,,,,,,,,
RSHCQ UN Equity,12/4/92,7.6875,,,,,,,,,
1680Q UN Equity,12/4/92,44.875,,,,,,,,,
1581Q UN Equity,12/4/92,21.1667,,,,,,,,,
MEE UN Equity,12/4/92,10.2878,,,,,,,,,
693365Q UN Equity,12/4/92,25.2009,,,,,,,,,
RYAN UQ Equity,12/4/92,7.5,,,,,,,,,
AALEA UN Equity,12/4/92,26.75,,,,,,,,,
BLY UN Equity,12/4/92,6.3268,,,,,,,,,
1511Q UN Equity,12/4/92,35.125,,,,,,,,,
THY UN Equity,12/4/92,10.75,,,,,,,,,
MDP UN Equity,12/4/92,6.2813,,,,,,,,,
OM UN Equity,12/4/92,22.75,,,,,,,,,
HAS US Equity,12/4/92,15.7222,,,,,,,,,
1463Q UN Equity,12/4/92,25.3907,,,,,,,,,
1513Q UN Equity,12/4/92,26.375,,,,,,,,,
VAT UN Equity,12/4/92,24.25,,,,,,,,,
2746Q UN Equity,12/4/92,18.375,,,,,,,,,
2784Q UN Equity,12/4/92,4.9099,,,,,,,,,
1327Q UN Equity,12/4/92,26.75,,,,,,,,,
0440296D UN Equity,12/4/92,45.25,,,,,,,,,
2987Q UN Equity,12/4/92,23.75,,,,,,,,,
FBO UN Equity,12/4/92,26.25,,,,,,,,,
1423Q UN Equity,12/4/92,46.3,,,,,,,,,
FFB UN Equity,12/4/92,41.125,,,,,,,,,
279776Q UN Equity,12/4/92,33.875,,,,,,,,,
1530Q UN Equity,12/4/92,18.6875,,,,,,,,,
1455Q UN Equity,12/4/92,18.125,,,,,,,,,
ZRN UN Equity,12/4/92,37.25,,,,,,,,,
1297Q UN Equity,12/4/92,37.95,,,,,,,,,
UPJ UN Equity,12/4/92,31.875,,,,,,,,,
KBH UN Equity,12/4/92,8.3125,,,,,,,,,
2576Q UN Equity,12/4/92,7.4547,,,,,,,,,
1456Q UN Equity,12/4/92,4.5,,,,,,,,,
CKL UN Equity,12/4/92,20.625,,,,,,,,,
CINL UN Equity,12/4/92,27.125,,,,,,,,,
2650Q UN Equity,12/4/92,37.5,,,,,,,,,
SKLNQ UN Equity,12/4/92,49,,,,,,,,,
LK UN Equity,12/4/92,51.875,,,,,,,,,
1377Q UN Equity,12/4/92,33.0625,,,,,,,,,
MAT UN Equity,12/4/92,13.248,,,,,,,,,
MXS UN Equity,12/4/92,6.375,,,,,,,,,
NEC UN Equity,12/4/92,5.75,,,,,,,,,
1237Q UN Equity,12/4/92,18.125,,,,,,,,,
RRD UN Equity,12/4/92,51.6939,,,,,,,,,
8375930Q UN Equity,12/4/92,23.5,,,,,,,,,
2245Q UN Equity,12/4/92,27.625,,,,,,,,,
1719Q UN Equity,12/4/92,18.5,,,,,,,,,
1856Q UN Equity,12/4/92,56.5416,,,,,,,,,
54279Q UN Equity,12/4/92,17.125,,,,,,,,,
2254Q UN Equity,12/4/92,34.625,,,,,,,,,
UALAQ UN Equity,12/4/92,30.5938,,,,,,,,,
1953Q UN Equity,12/4/92,23.75,,,,,,,,,
GQ UN Equity,12/4/92,24,,,,,,,,,
3691661Q UN Equity,12/4/92,42.25,,,,,,,,,
2340361Q UN Equity,12/4/92,25.125,,,,,,,,,
1671Q UN Equity,12/4/92,43.5,,,,,,,,,
JWPI UN Equity,12/4/92,3.5,,,,,,,,,
1539547D UN Equity,12/4/92,15.5,,,,,,,,,
IK UN Equity,12/4/92,3.75,,,,,,,,,
KATE UN Equity,12/4/92,20.5,,,,,,,,,
ASH UN Equity,12/4/92,8.0523,,,,,,,,,
HPC US Equity,12/4/92,19.7917,,,,,,,,,
UIS UN Equity,12/4/92,102.5,,,,,,,,,
DDS UN Equity,12/4/92,49.375,,,,,,,,,
ADP UN Equity,12/4/92,10.3179,,,,,,,,,
FMCC UN Equity,12/4/92,11.4375,,,,,,,,,
OMX UN Equity,12/4/92,19.625,,,,,,,,,
BC UN Equity,12/4/92,16.25,,,,,,,,,
CA UN Equity,12/4/92,5.6296,,,,,,,,,
CCTYQ UN Equity,12/4/92,7.8845,,,,,,,,,
TIN UN Equity,12/4/92,15.3449,,,,,,,,,
0910150D US Equity,12/4/92,7.125,,,,,,,,,
TXU US Equity,12/4/92,20.5625,,,,,,,,,
NAV UN Equity,12/4/92,20,,,,,,,,,
1281683D UN Equity,12/4/92,6.9583,,,,,,,,,
LPX UN Equity,12/4/92,29.125,,,,,,,,,
CTB UN Equity,12/4/92,33.125,,,,,,,,,
AMGN UQ Equity,12/4/92,9.234,,,,,,,,,
AAPL UQ Equity,12/4/92,2.0313,,,,,,,,,
ADSK UQ Equity,12/4/92,6.2813,,,,,,,,,
CMCSA UQ Equity,12/4/92,2.0139,,,,,,,,,
NOVL UQ Equity,12/4/92,31.5,,,,,,,,,
ORCL UQ Equity,12/4/92,0.5648,,,,,,,,,
1288652D US Equity,12/4/92,12.6296,,,,,,,,,
CR UN Equity,12/4/92,9.6331,,,,,,,,,
DLX UN Equity,12/4/92,36.8781,,,,,,,,,
