,Average price of S&P 1-Jan,,,,,,,,,,
S&P 500 List,Start Date,price,,,,,,,,,
UN UN Equity,12/4/92,9.66,,,,,,,,,
1005945D US Equity,12/4/92,21.875,,,,,,,,,
162007Q UN Equity,12/4/92,34.75,,,,,,,,,
RDPL UN Equity,12/4/92,20.6563,,,,,,,,,
DUK UN Equity,12/4/92,31.0024,,,,,,,,,
WBA UN Equity,12/4/92,5.3594,,,,,,,,,
BGG UN Equity,12/4/92,11.843,,,,,,,,,
AEP UN Equity,12/4/92,31.25,,,,,,,,,
SKY UN Equity,12/4/92,18.5,,,,,,,,,
68335Q UN Equity,12/4/92,13.5833,,,,,,,,,
GOSHA UQ Equity,12/4/92,11.75,,,,,,,,,
BF/B UN Equity,12/4/92,3.8167,,,,,,,,,
NL UN Equity,12/4/92,2.5673,,,,,,,,,
210811Q UN Equity,12/4/92,5.598,,,,,,,,,
FNMA UN Equity,12/4/92,18.4063,,,,,,,,,
PCAR UQ Equity,12/4/92,5.0027,,,,,,,,,
AA UN Equity,12/4/92,19.6311,,,,,,,,,
AXP UN Equity,12/4/92,6.0063,,,,,,,,,
VZ UN Equity,12/4/92,21.2322,,,,,,,,,
NRTLQ UN Equity,12/4/92,52.5,,,,,,,,,
BA UN Equity,12/4/92,17.25,,,,,,,,,
CAT UN Equity,12/4/92,6.6406,,,,,,,,,
JPM UN Equity,12/4/92,12.4583,,,,,,,,,
CVX UN Equity,12/4/92,16.9688,,,,,,,,,
KO UN Equity,12/4/92,9.875,,,,,,,,,
DIS UN Equity,12/4/92,13.4027,,,,,,,,,
DD UN Equity,12/4/92,23.5115,,,,,,,,,
XOM UN Equity,12/4/92,14.9688,,,,,,,,,
GE UN Equity,12/4/92,6.8854,,,,,,,,,
HPQ UN Equity,12/4/92,2.8234,,,,,,,,,
HD UN Equity,12/4/92,10.604,,,,,,,,,
IBM UN Equity,12/4/92,16.75,,,,,,,,,
JNJ UN Equity,12/4/92,12.813,,,,,,,,,
MCD UN Equity,12/4/92,12.219,,,,,,,,,
MRK UN Equity,12/4/92,21.6502,,,,,,,,,
MMM UN Equity,12/4/92,24.358,,,,,,,,,
BAC UN Equity,12/4/92,12.6875,,,,,,,,,
PFE UN Equity,12/4/92,6.375,,,,,,,,,
PG UN Equity,12/4/92,13.3125,,,,,,,,,
T UN Equity,12/4/92,17.5,,,,,,,,,
TRV UN Equity,12/4/92,18.75,,,,,,,,,
UTX UN Equity,12/4/92,5.641,,,,,,,,,
TKR UN Equity,12/4/92,9.7538,,,,,,,,,
MTLQQ UN Equity,12/4/92,26.7627,,,,,,,,,
C UN Equity,12/4/92,37.2563,,,,,,,,,
AIG UN Equity,12/4/92,205.1874,,,,,,,,,
PCH UN Equity,12/4/92,38.9031,,,,,,,,,
HON UN Equity,12/4/92,14.3864,,,,,,,,,
MO UN Equity,12/4/92,6.3169,,,,,,,,,
739306Q US Equity,12/4/92,27.0089,,,,,,,,,
INTC UQ Equity,12/4/92,2.4609,,,,,,,,,
EKDKQ UN Equity,12/4/92,33.1,,,,,,,,,
IP UN Equity,12/4/92,31.3624,,,,,,,,,
3277Q US Equity,12/4/92,60.75,,,,,,,,,
ARB UN Equity,12/4/92,9.6195,,,,,,,,,
ABT UN Equity,12/4/92,6.9369,,,,,,,,,
AMD UN Equity,12/4/92,8.375,,,,,,,,,
APD UN Equity,12/4/92,22.1881,,,,,,,,,
1284849D UN Equity,12/4/92,5.9407,,,,,,,,,
BEAM UN Equity,12/4/92,19.597,,,,,,,,,
HES UN Equity,12/4/92,14.5833,,,,,,,,,
304024Q US Equity,12/4/92,35.375,,,,,,,,,
ADM UN Equity,12/4/92,11.7104,,,,,,,,,
CCK UN Equity,12/4/92,37.625,,,,,,,,,
AVY UN Equity,12/4/92,14.125,,,,,,,,,
AVP UN Equity,12/4/92,7.1094,,,,,,,,,
BHI UN Equity,12/4/92,18.875,,,,,,,,,
BLL UN Equity,12/4/92,2.0781,,,,,,,,,
CEG UN Equity,12/4/92,22.375,,,,,,,,,
BCR UN Equity,12/4/92,17.5,,,,,,,,,
BAX UN Equity,12/4/92,8.2131,,,,,,,,,
BDX UN Equity,12/4/92,10.438,,,,,,,,,
MKG US Equity,12/4/92,38.25,,,,,,,,,
BMS UN Equity,12/4/92,11.625,,,,,,,,,
HRB UN Equity,12/4/92,9.6875,,,,,,,,,
GAPTQ UN Equity,12/4/92,27.5,,,,,,,,,
BMY UN Equity,12/4/92,16.2992,,,,,,,,,
RAD UN Equity,12/4/92,11.6875,,,,,,,,,
CPB UN Equity,12/4/92,21.4144,,,,,,,,,
9876566D UN Equity,12/4/92,21.5,,,,,,,,,
CI UN Equity,12/4/92,6.528,,,,,,,,,
MZIAQ UN Equity,12/4/92,137.4904,,,,,,,,,
CLX UN Equity,12/4/92,11.469,,,,,,,,,
CL UN Equity,12/4/92,7.4219,,,,,,,,,
2731112Q US Equity,12/4/92,22,,,,,,,,,
NC UN Equity,12/4/92,3.5475,,,,,,,,,
CSC UN Equity,12/4/92,7.3585,,,,,,,,,
CAG UN Equity,12/4/92,12.6449,,,,,,,,,
JOSEA US Equity,12/4/92,30.5,,,,,,,,,
ED UN Equity,12/4/92,31.25,,,,,,,,,
CBE UN Equity,12/4/92,24.6501,,,,,,,,,
GLW UN Equity,12/4/92,10.955,,,,,,,,,
CSX UN Equity,12/4/92,5.625,,,,,,,,,
PBY UN Equity,12/4/92,24.25,,,,,,,,,
CMI UN Equity,12/4/92,9.5,,,,,,,,,
SCI UN Equity,12/4/92,9,,,,,,,,,
TGT UN Equity,12/4/92,6.2708,,,,,,,,,
DE UN Equity,12/4/92,6.4167,,,,,,,,,
FLTWQ UN Equity,12/4/92,22.75,,,,,,,,,
D UN Equity,12/4/92,19.5625,,,,,,,,,
DOV UN Equity,12/4/92,9.2286,,,,,,,,,
DOW UN Equity,12/4/92,18.375,,,,,,,,,
ETN UN Equity,12/4/92,8.1076,,,,,,,,,
ECL UN Equity,12/4/92,4.5156,,,,,,,,,
PPW US Equity,12/4/92,19.5,,,,,,,,,
PKI UN Equity,12/4/92,9.125,,,,,,,,,
EMR UN Equity,12/4/92,13.25,,,,,,,,,
ETR UN Equity,12/4/92,31.75,,,,,,,,,
FDX UN Equity,12/4/92,13.4375,,,,,,,,,
FMC UN Equity,12/4/92,6.3895,,,,,,,,,
F UN Equity,12/4/92,13.7166,,,,,,,,,
NEE UN Equity,12/4/92,17.4375,,,,,,,,,
TGNA UN Equity,12/4/92,13.1262,,,,,,,,,
GPS UN Equity,12/4/92,5.0185,,,,,,,,,
GD UN Equity,12/4/92,12.031,,,,,,,,,
GIS UN Equity,12/4/92,14.037,,,,,,,,,
GR UN Equity,12/4/92,22.5746,,,,,,,,,
GT UN Equity,12/4/92,35.9375,,,,,,,,,
GWW UN Equity,12/4/92,29,,,,,,,,,
HRZIQ US Equity,12/4/92,17.625,,,,,,,,,
HAL UN Equity,12/4/92,6.9987,,,,,,,,,
HRS UN Equity,12/4/92,6.9912,,,,,,,,,
HNZ UN Equity,12/4/92,25.902,,,,,,,,,
HP UN Equity,12/4/92,4.1642,,,,,,,,,
HSY UN Equity,12/4/92,11.5313,,,,,,,,,
TCOMA US Equity,12/4/92,14.2435,,,,,,,,,
CNP UN Equity,12/4/92,18.0267,,,,,,,,,
HUM UN Equity,12/4/92,7.17,,,,,,,,,
ITW UN Equity,12/4/92,7.9844,,,,,,,,,
IR UN Equity,12/4/92,8.248,,,,,,,,,
FL UN Equity,12/4/92,33,,,,,,,,,
IPG UN Equity,12/4/92,11.3333,,,,,,,,,
IFF UN Equity,12/4/92,36.917,,,,,,,,,
1436513D UN Equity,12/4/92,3.5729,,,,,,,,,
K UN Equity,12/4/92,34.5625,,,,,,,,,
KMB UN Equity,12/4/92,27.7391,,,,,,,,,
2200Q US Equity,12/4/92,19.125,,,,,,,,,
KR UN Equity,12/4/92,1.9375,,,,,,,,,
LLY UN Equity,12/4/92,15.9375,,,,,,,,,
653707Q UN Equity,12/4/92,34.3484,,,,,,,,,
LB UN Equity,12/4/92,12.63,,,,,,,,,
0598884D US Equity,12/4/92,19.1875,,,,,,,,,
0202445Q UN Equity,12/4/92,15.6955,,,,,,,,,
2206Q US Equity,12/4/92,9.9375,,,,,,,,,
LOW UN Equity,12/4/92,1.4063,,,,,,,,,
BDK UN Equity,12/4/92,20,,,,,,,,,
MMC UN Equity,12/4/92,15.3542,,,,,,,,,
MAS UN Equity,12/4/92,12.689,,,,,,,,,
BNI UN Equity,12/4/92,13.5417,,,,,,,,,
SPGI UN Equity,12/4/92,7.531,,,,,,,,,
MDT UN Equity,12/4/92,6.0156,,,,,,,,,
CVS UN Equity,12/4/92,11.1639,,,,,,,,,
SGP UN Equity,12/4/92,8.3438,,,,,,,,,
WYE UN Equity,12/4/92,18.0625,,,,,,,,,
0226226D UN Equity,12/4/92,6.9911,,,,,,,,,
ROH UN Equity,12/4/92,18.5,,,,,,,,,
THC UN Equity,12/4/92,34.3333,,,,,,,,,
NWL UN Equity,12/4/92,20.5625,,,,,,,,,
3517233Q UN Equity,12/4/92,34,,,,,,,,,
NEM UN Equity,12/4/92,31.2475,,,,,,,,,
1073675D UQ Equity,12/4/92,18.0625,,,,,,,,,
1255173D UN Equity,12/4/92,20.0625,,,,,,,,,
263179Q US Equity,12/4/92,27.1875,,,,,,,,,
MER UN Equity,12/4/92,7.625,,,,,,,,,
NKE UN Equity,12/4/92,2.6484,,,,,,,,,
0948669D US Equity,12/4/92,25.25,,,,,,,,,
NSC UN Equity,12/4/92,20.5417,,,,,,,,,
3393199Q UN Equity,12/4/92,14.4275,,,,,,,,,
NOC UN Equity,12/4/92,14.118,,,,,,,,,
WWY UN Equity,12/4/92,15.2,,,,,,,,,
WFC UN Equity,12/4/92,5.4063,,,,,,,,,
204923Q US Equity,12/4/92,62.9397,,,,,,,,,
3022239Q UN Equity,12/4/92,6.2648,,,,,,,,,
NUE UN Equity,12/4/92,8.6875,,,,,,,,,
OXY UN Equity,12/4/92,8.4534,,,,,,,,,
OKE UN Equity,12/4/92,3.9122,,,,,,,,,
PCG UN Equity,12/4/92,31.625,,,,,,,,,
PH UN Equity,12/4/92,8.1852,,,,,,,,,
HET UN Equity,12/4/92,11.1672,,,,,,,,,
JCP UN Equity,12/4/92,38.5625,,,,,,,,,
TRB UN Equity,12/4/92,12.5938,,,,,,,,,
PEP UN Equity,12/4/92,19.348,,,,,,,,,
DJ UN Equity,12/4/92,29.5,,,,,,,,,
EXC UN Equity,12/4/92,12.75,,,,,,,,,
NYT US Equity,12/4/92,13.6875,,,,,,,,,
NAE US Equity,12/4/92,8.25,,,,,,,,,
TEK UN Equity,12/4/92,6.5417,,,,,,,,,
PHM UN Equity,12/4/92,3.8594,,,,,,,,,
BOL UN Equity,12/4/92,57.625,,,,,,,,,
PBI UN Equity,12/4/92,19.2739,,,,,,,,,
PNC UN Equity,12/4/92,28,,,,,,,,,
PPG UN Equity,12/4/92,16.094,,,,,,,,,
PX UN Equity,12/4/92,8.375,,,,,,,,,
0376152D US Equity,12/4/92,13.25,,,,,,,,,
GIDL US Equity,12/4/92,23.5,,,,,,,,,
PEG UN Equity,12/4/92,14.375,,,,,,,,,
1618Q US Equity,12/4/92,35.1875,,,,,,,,,
RTN UN Equity,12/4/92,23.75,,,,,,,,,
RDC UN Equity,12/4/92,7.625,,,,,,,,,
R UN Equity,12/4/92,23.7715,,,,,,,,,
HSH UN Equity,12/4/92,29.8747,,,,,,,,,
PD UN Equity,12/4/92,23.8125,,,,,,,,,
PGL UN Equity,12/4/92,30.375,,,,,,,,,
EIX UN Equity,12/4/92,21.75,,,,,,,,,
LUB UN Equity,12/4/92,20.25,,,,,,,,,
SLB UN Equity,12/4/92,13.4797,,,,,,,,,
SHOY US Equity,12/4/92,24,,,,,,,,,
1958Q US Equity,12/4/92,27,,,,,,,,,
SHW UN Equity,12/4/92,16,,,,,,,,,
BLS UN Equity,12/4/92,12.2188,,,,,,,,,
SNA UN Equity,12/4/92,20.333,,,,,,,,,
SO UN Equity,12/4/92,10.9245,,,,,,,,,
CNW UN Equity,12/4/92,15.1531,,,,,,,,,
STJ US Equity,12/4/92,6.75,,,,,,,,,
0848680D UN Equity,12/4/92,8.1781,,,,,,,,,
YRCW UQ Equity,12/4/92,186176.4439,,,,,,,,,
SWK UN Equity,12/4/92,19.938,,,,,,,,,
GDW UN Equity,12/4/92,6.7917,,,,,,,,,
1086832D UN Equity,12/4/92,10.8678,,,,,,,,,
0544749D UN Equity,12/4/92,20.6678,,,,,,,,,
STI UN Equity,12/4/92,20.3125,,,,,,,,,
SVU UN Equity,12/4/92,119.875,,,,,,,,,
VVI UN Equity,12/4/92,9.5068,,,,,,,,,
ANDW UQ Equity,12/4/92,4.1975,,,,,,,,,
SYY UN Equity,12/4/92,6.5938,,,,,,,,,
CVGYQ US Equity,12/4/92,21.5,,,,,,,,,
0964591D UQ Equity,12/4/92,7.8889,,,,,,,,,
JAVA UQ Equity,12/4/92,4.25,,,,,,,,,
CAL UN Equity,12/4/92,12.5556,,,,,,,,,
TXT UN Equity,12/4/92,10.8125,,,,,,,,,
SAF UQ Equity,12/4/92,28.375,,,,,,,,,
KRI UN Equity,12/4/92,29.75,,,,,,,,,
2999130Q UN Equity,12/4/92,15.9444,,,,,,,,,
TJX UN Equity,12/4/92,1.7813,,,,,,,,,
1312089D UN Equity,12/4/92,25.0625,,,,,,,,,
TMK UN Equity,12/4/92,9.8794,,,,,,,,,
HDLM UN Equity,12/4/92,13.75,,,,,,,,,
JCI UN Equity,12/4/92,3.7238,,,,,,,,,
UNP UN Equity,12/4/92,9.9821,,,,,,,,,
3080867Q UN Equity,12/4/92,15.5,,,,,,,,,
DCNAQ UN Equity,12/4/92,22.3125,,,,,,,,,
MRO UN Equity,12/4/92,4.8944,,,,,,,,,
MRNKQ US Equity,12/4/92,21.25,,,,,,,,,
3026360Q UN Equity,12/4/92,6.375,,,,,,,,,
X UN Equity,12/4/92,30.75,,,,,,,,,
RBK UN Equity,12/4/92,32.875,,,,,,,,,
GP UN Equity,12/4/92,20.2644,,,,,,,,,
ZETHQ US Equity,12/4/92,6.625,,,,,,,,,
BSET UQ Equity,12/4/92,30.6,,,,,,,,,
1028411Q UN Equity,12/4/92,14.8125,,,,,,,,,
WY UN Equity,12/4/92,15.0916,,,,,,,,,
1270Q US Equity,12/4/92,13.75,,,,,,,,,
987200Q UN Equity,12/4/92,21.2572,,,,,,,,,
WHR UN Equity,12/4/92,44.125,,,,,,,,,
DALRQ UN Equity,12/4/92,26.8125,,,,,,,,,
WMB UN Equity,12/4/92,4.8257,,,,,,,,,
SPXC UN Equity,12/4/92,2.4238,,,,,,,,,
1624Q US Equity,12/4/92,22.125,,,,,,,,,
UCL UN Equity,12/4/92,22.75,,,,,,,,,
XRX UN Equity,12/4/92,34.2497,,,,,,,,,
TOY UN Equity,12/4/92,39.5,,,,,,,,,
723588Q UN Equity,12/4/92,60.6806,,,,,,,,,
605555Q UN Equity,12/4/92,17.5658,,,,,,,,,
WNDXQ UN Equity,12/4/92,37.375,,,,,,,,,
3621240Q UN Equity,12/4/92,29.3764,,,,,,,,,
FWLT UN Equity,12/4/92,306.25,,,,,,,,,
1291Q US Equity,12/4/92,12.875,,,,,,,,,
WOR US Equity,12/4/92,14.8333,,,,,,,,,
USB US Equity,12/4/92,3.8072,,,,,,,,,
TAP US Equity,12/4/92,10.625,,,,,,,,,
JWN US Equity,12/4/92,9.5625,,,,,,,,,
GCO UN Equity,12/4/92,8.2511,,,,,,,,,
748957Q UN Equity,12/4/92,10.3158,,,,,,,,,
2727195Q UN Equity,12/4/92,9.3125,,,,,,,,,
1199Q US Equity,12/4/92,43.25,,,,,,,,,
AVATQ US Equity,12/4/92,12.9514,,,,,,,,,
297504Q UN Equity,12/4/92,27.625,,,,,,,,,
8214761Q UN Equity,12/4/92,15.5397,,,,,,,,,
INCLF UN Equity,12/4/92,21.5,,,,,,,,,
CNA UN Equity,12/4/92,30.2963,,,,,,,,,
PDG UN Equity,12/4/92,10.875,,,,,,,,,
NEU UN Equity,12/4/92,60.788,,,,,,,,,
UAWGQ UN Equity,12/4/92,13,,,,,,,,,
1166Q US Equity,12/4/92,16.625,,,,,,,,,
680884Q UN Equity,12/4/92,2.8333,,,,,,,,,
HST US Equity,12/4/92,2.9935,,,,,,,,,
NMK UN Equity,12/4/92,18.875,,,,,,,,,
544791Q UN Equity,12/4/92,20.625,,,,,,,,,
2603Q US Equity,12/4/92,39.5,,,,,,,,,
1051665D UN Equity,12/4/92,23.0833,,,,,,,,,
KMRTQ UN Equity,12/4/92,26.25,,,,,,,,,
HM UN Equity,12/4/92,10.625,,,,,,,,,
BCO US Equity,12/4/92,4.5777,,,,,,,,,
RAL UN Equity,12/4/92,10.0447,,,,,,,,,
WLB US Equity,12/4/92,11.375,,,,,,,,,
329556Q UN Equity,12/4/92,14.9278,,,,,,,,,
ENRNQ UN Equity,12/4/92,11.5,,,,,,,,,
677004Q UN Equity,12/4/92,29.8125,,,,,,,,,
950967Q UN Equity,12/4/92,13.125,,,,,,,,,
OAT UN Equity,12/4/92,34.75,,,,,,,,,
LDG UN Equity,12/4/92,17.1875,,,,,,,,,
AZA UN Equity,12/4/92,20.7299,,,,,,,,,
PLL UN Equity,12/4/92,19.875,,,,,,,,,
1255177D UN Equity,12/4/92,16.125,,,,,,,,,
CGP UN Equity,12/4/92,11.875,,,,,,,,,
253647Q UN Equity,12/4/92,13.6875,,,,,,,,,
3253Q UN Equity,12/4/92,47.75,,,,,,,,,
PRDCQ UN Equity,12/4/92,32.375,,,,,,,,,
RML UN Equity,12/4/92,31.5,,,,,,,,,
BHMSQ UN Equity,12/4/92,14.5,,,,,,,,,
291784Q UN Equity,12/4/92,26.75,,,,,,,,,
FJ UN Equity,12/4/92,17.6808,,,,,,,,,
ACKH UN Equity,12/4/92,28.25,,,,,,,,,
2269312Q UN Equity,12/4/92,28.25,,,,,,,,,
UCM UN Equity,12/4/92,25.5,,,,,,,,,
236555Q UN Equity,12/4/92,22.0426,,,,,,,,,
OWENQ UN Equity,12/4/92,33.5,,,,,,,,,
USW UN Equity,12/4/92,22.8446,,,,,,,,,
571300Q UN Equity,12/4/92,33.625,,,,,,,,,
IKN UN Equity,12/4/92,14.9351,,,,,,,,,
WLA UN Equity,12/4/92,11.5208,,,,,,,,,
140402Q UN Equity,12/4/92,28,,,,,,,,,
45200Q UN Equity,12/4/92,27.75,,,,,,,,,
TMC UN Equity,12/4/92,21.5779,,,,,,,,,
RLM UN Equity,12/4/92,54.25,,,,,,,,,
667517Q UN Equity,12/4/92,13.125,,,,,,,,,
300583Q UN Equity,12/4/92,54.1875,,,,,,,,,
CNRG UN Equity,12/4/92,45.125,,,,,,,,,
2755Q UN Equity,12/4/92,33.5625,,,,,,,,,
3891289Q UN Equity,12/4/92,30.125,,,,,,,,,
2770014Q UN Equity,12/4/92,16.4375,,,,,,,,,
0820143D UN Equity,12/4/92,24,,,,,,,,,
93916Q UN Equity,12/4/92,20.6875,,,,,,,,,
363096Q UN Equity,12/4/92,29.5,,,,,,,,,
183291Q UN Equity,12/4/92,12,,,,,,,,,
3054Q UN Equity,12/4/92,16.9063,,,,,,,,,
BKB UN Equity,12/4/92,12.5,,,,,,,,,
RYC UN Equity,12/4/92,22.3125,,,,,,,,,
3459Q UN Equity,12/4/92,26.25,,,,,,,,,
375573Q UN Equity,12/4/92,35,,,,,,,,,
2972Q UN Equity,12/4/92,23.875,,,,,,,,,
2691Q UN Equity,12/4/92,11.2188,,,,,,,,,
399463Q UN Equity,12/4/92,64.875,,,,,,,,,
