,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
AEE UN Equity,#N/A N/A,
RDPL UN Equity,12/5/97,53.9375
NMK UN Equity,12/5/97,10.125
NGH UN Equity,12/5/97,24.9023
AA UN Equity,12/5/97,39.0872
ABX UN Equity,12/5/97,16.125
AXP UN Equity,12/5/97,25.4033
VZ UN Equity,12/5/97,40.2795
NRTLQ UN Equity,12/5/97,119.8438
BA UN Equity,12/5/97,52.313
CAT UN Equity,12/5/97,25.875
JPM UN Equity,12/5/97,39.0625
UN UN Equity,12/5/97,22.68
CVX UN Equity,12/5/97,39.625
KO UN Equity,12/5/97,33.0625
DIS UN Equity,12/5/97,30.9168
DD UN Equity,12/5/97,61.2131
XOM UN Equity,12/5/97,32
GE UN Equity,12/5/97,24.4792
HPQ UN Equity,12/5/97,11.98
HD UN Equity,12/5/97,19.917
IBM UN Equity,12/5/97,56.2188
JNJ UN Equity,12/5/97,32.594
MCD UN Equity,12/5/97,23.781
MRK UN Equity,12/5/97,49.5116
MMM UN Equity,12/5/97,48.281
BAC UN Equity,12/5/97,30.5
PFE UN Equity,12/5/97,25.1667
PG UN Equity,12/5/97,40.375
T UN Equity,12/5/97,35.8125
TRV UN Equity,12/5/97,41.875
UTX UN Equity,12/5/97,19.625
WMT UN Equity,12/5/97,20.4688
41018Q US Equity,12/5/97,81.13
TKR UN Equity,12/5/97,25.682
MTLQQ UN Equity,12/5/97,49.9702
C UN Equity,12/5/97,260.4325
AIG UN Equity,12/5/97,640.3833
PCH UN Equity,12/5/97,39.318
HON UN Equity,12/5/97,39.3373
MO UN Equity,12/5/97,10.5025
INTC UQ Equity,12/5/97,19.3906
MSFT UQ Equity,12/5/97,17.8906
EKDKQ UN Equity,12/5/97,58.875
IP UN Equity,12/5/97,44.425
BGG UN Equity,12/5/97,25.7188
ARB UN Equity,12/5/97,27.0923
ABT UN Equity,12/5/97,15.2163
AMD UN Equity,12/5/97,10.5625
BMC UQ Equity,12/5/97,35.3125
APD UN Equity,12/5/97,36.0268
1284849D UN Equity,12/5/97,8.1091
BEAM UN Equity,12/5/97,25.7278
AEP UN Equity,12/5/97,49.375
HES UN Equity,12/5/97,18.2083
APC UN Equity,12/5/97,16.1406
AON UN Equity,12/5/97,36.625
APA UN Equity,12/5/97,16.2338
ADM UN Equity,12/5/97,17.5853
CCK UN Equity,12/5/97,49.5625
GRA UN Equity,#N/A N/A,
AZO UN Equity,12/5/97,30.75
AVY UN Equity,12/5/97,43
AVP UN Equity,12/5/97,15.3125
BHI UN Equity,12/5/97,44.5
BLL UN Equity,12/5/97,2.3477
CEG UN Equity,12/5/97,30.8125
BK UN Equity,12/5/97,29.9449
BCR UN Equity,12/5/97,15.1563
BAX UN Equity,12/5/97,13.8459
BDX UN Equity,12/5/97,25.875
BMS UN Equity,12/5/97,21.875
