,Average price of S&P 1-Jan,
HRB UN Equity,12/5/97,11.0469
GAPTQ UN Equity,12/5/97,29.875
BSX UN Equity,12/5/97,11.5781
BMY UN Equity,12/5/97,45.6853
BF/B UN Equity,12/5/97,7.1333
RAD UN Equity,12/5/97,34.0625
CPB UN Equity,12/5/97,54.4332
CCL UN Equity,12/5/97,26.6563
9876566D UN Equity,12/5/97,38
CI UN Equity,12/5/97,19.667
MZIAQ UN Equity,12/5/97,241.9614
CLX UN Equity,12/5/97,39.406
CCE UN Equity,12/5/97,34.0625
CL UN Equity,12/5/97,18.0156
CMA UN Equity,12/5/97,58.5
NC UN Equity,12/5/97,8.2958
CSC UN Equity,12/5/97,24.4266
CAG UN Equity,12/5/97,28.9374
JOSEA US Equity,12/5/97,23.875
ED UN Equity,12/5/97,37.4375
BIG UN Equity,12/5/97,49.375
CBE UN Equity,12/5/97,25.8125
WOR UQ Equity,12/5/97,17.875
GLW UN Equity,12/5/97,14.25
CSX UN Equity,12/5/97,8.9583
PBY UN Equity,12/5/97,25
CMI UN Equity,12/5/97,16.547
DHR UN Equity,12/5/97,5.7377
SCI UN Equity,12/5/97,36.4375
TGT UN Equity,12/5/97,18.125
DE UN Equity,12/5/97,29.0313
FLTWQ UN Equity,12/5/97,40.125
D UN Equity,12/5/97,19.375
FWLT US Equity,12/5/97,304.375
DOV UN Equity,12/5/97,28.7485
RNB US Equity,12/5/97,57.6875
DOW UN Equity,12/5/97,33.5833
DUK UN Equity,12/5/97,44.9753
ETN UN Equity,12/5/97,20.6757
ECL UN Equity,12/5/97,13.3281
PPW US Equity,12/5/97,23.9375
PKI UN Equity,12/5/97,9.6875
EMC UN Equity,12/5/97,7.2135
TEN UN Equity,12/5/97,23.4082
EMR UN Equity,12/5/97,28.3438
ETR UN Equity,12/5/97,26.25
EFX UN Equity,12/5/97,20.201
FDX UN Equity,12/5/97,33.5313
FTLAQ US Equity,12/5/97,23.5
M UN Equity,12/5/97,23.9375
FMC UN Equity,12/5/97,9.7524
F UN Equity,12/5/97,29.5465
NEE UN Equity,12/5/97,27.6875
BEN UN Equity,12/5/97,16.4167
FCX UN Equity,12/5/97,10
TGNA UN Equity,12/5/97,31.1507
GPS UN Equity,12/5/97,16.8704
GD UN Equity,12/5/97,21.734
GIS UN Equity,12/5/97,19.0469
GPC UN Equity,12/5/97,32.5
GR UN Equity,12/5/97,42.6209
GT UN Equity,12/5/97,66.25
JWN UQ Equity,12/5/97,15.6875
GWW UN Equity,12/5/97,48.563
HRZIQ US Equity,12/5/97,37.875
HAL UN Equity,12/5/97,28.2188
HRS UN Equity,12/5/97,18.7699
CBS UA Equity,12/5/97,12.6567
HNZ UN Equity,12/5/97,50.1148
HP UN Equity,12/5/97,13.7053
HSY UN Equity,12/5/97,30.6563
TAP UQ Equity,12/5/97,18.094
CNP UN Equity,12/5/97,19.0931
HUM UN Equity,12/5/97,23.438
ITW UN Equity,12/5/97,28.0313
IR UN Equity,12/5/97,16.7869
FL UN Equity,12/5/97,21.5625
IPG UN Equity,12/5/97,23.375
IFF UN Equity,12/5/97,50.75
1436513D UN Equity,12/5/97,7.6875
K UN Equity,12/5/97,48.625
KMB UN Equity,12/5/97,47.8809
KSS UN Equity,12/5/97,18.3594
KR UN Equity,12/5/97,9.0625
LLY UN Equity,12/5/97,63.875
653707Q UN Equity,12/5/97,60.9714
CAR UN Equity,12/5/97,40.3579
LB UN Equity,12/5/97,11.4713
3277Q UN Equity,12/5/97,125.4375
LNC UN Equity,12/5/97,37.75
0202445Q UN Equity,12/5/97,33.7121
L UN Equity,12/5/97,18.125
LOW UN Equity,12/5/97,5.9141
1431816D UN Equity,12/5/97,11.3438
BDK UN Equity,12/5/97,37.9375
RX UN Equity,#N/A N/A,
MMC UN Equity,12/5/97,26.1667
MAS UN Equity,12/5/97,21.5603
BNI UN Equity,12/5/97,31.3958
SPGI UN Equity,12/5/97,17.234
MDT UN Equity,12/5/97,26
CVS UN Equity,12/5/97,16.2188
SGP UN Equity,12/5/97,30.9688
WYE UN Equity,12/5/97,36.5
MSI UN Equity,12/5/97,76.1377
0226226D UN Equity,12/5/97,13.9543
ROH UN Equity,12/5/97,31.125
THC UN Equity,12/5/97,91
NWL UN Equity,12/5/97,41.3125
3517233Q UN Equity,12/5/97,32.875
NEM UN Equity,12/5/97,28.5
1255173D UN Equity,12/5/97,51
MER UN Equity,12/5/97,38.0313
NKE UN Equity,12/5/97,5.9453
NCC UN Equity,12/5/97,31.25
NSC UN Equity,12/5/97,31.3125
3286728Q UN Equity,12/5/97,17.5
3393199Q UN Equity,12/5/97,21.4375
NOC UN Equity,12/5/97,50.547
WWY UN Equity,12/5/97,32.25
WFC UN Equity,12/5/97,18.5
3022239Q UN Equity,12/5/97,10.9195
NUE UN Equity,12/5/97,12.5781
OXY UN Equity,12/5/97,14.5386
3423152Q UN Equity,12/5/97,41.25
OMC UN Equity,12/5/97,18.3281
2968900Q UN Equity,12/5/97,34.9669
OKE UN Equity,12/5/97,8.5357
CFC UN Equity,12/5/97,10.6719
OI UN Equity,12/5/97,34.75
PCG UN Equity,12/5/97,28.3125
2942331Q UN Equity,12/5/97,42.6304
PH UN Equity,12/5/97,32.2083
PPL UN Equity,12/5/97,10.7873
HET UN Equity,12/5/97,19.9375
JCP UN Equity,12/5/97,64.875
TRB UN Equity,12/5/97,29.4375
PEP UN Equity,12/5/97,37.313
DJ UN Equity,12/5/97,54
EXC UN Equity,12/5/97,12.3438
3692470Q UN Equity,12/5/97,32.6932
COP UN Equity,12/5/97,19.2724
TEK UN Equity,12/5/97,20.9063
PHM UN Equity,12/5/97,5.0469
HCR UN Equity,12/5/97,39.9375
BOL UN Equity,12/5/97,40.125
PBI UN Equity,12/5/97,41.8719
PNC UN Equity,12/5/97,58.125
1317355D UN Equity,12/5/97,7.7254
PPG UN Equity,12/5/97,29.094
PX UN Equity,12/5/97,23.094
PGR UN Equity,12/5/97,9.0104
3403545Q UN Equity,12/5/97,15.2064
PEG UN Equity,12/5/97,14.75
MEL UN Equity,12/5/97,29.3125
RTN UN Equity,12/5/97,55.3125
RDC UN Equity,12/5/97,35.875
R UN Equity,12/5/97,34.6875
SWY UN Equity,12/5/97,27.4696
HSH UN Equity,12/5/97,51.6074
PD UN Equity,12/5/97,33.25
PGL UN Equity,12/5/97,36.5625
EIX UN Equity,12/5/97,27.25
SLB UN Equity,12/5/97,38.5934
SCHW UN Equity,12/5/97,9.3472
SHW UN Equity,12/5/97,29.625
BLS UN Equity,12/5/97,27.4063
SNA UN Equity,12/5/97,45
SO UN Equity,12/5/97,14.2362
LU UN Equity,12/5/97,15.5599
BBT UN Equity,12/5/97,31.625
LUV UN Equity,12/5/97,7.1481
3605818Q UN Equity,12/5/97,29.083
0848680D UN Equity,12/5/97,23.0299
SWK UN Equity,12/5/97,45.688
GDW UN Equity,12/5/97,15.7917
1086832D UN Equity,12/5/97,17.3417
0544749D UN Equity,12/5/97,32.267
STI UN Equity,12/5/97,73.9375
GTW UN Equity,12/5/97,14.5938
SVU UN Equity,12/5/97,139.5625
ANDW UQ Equity,12/5/97,24.5625
SYY UN Equity,12/5/97,11.1406
0964591D UQ Equity,12/5/97,11.1111
JAVA UQ Equity,12/5/97,20.7813
TXT UN Equity,12/5/97,31.6875
SAF UQ Equity,12/5/97,50
TMO UN Equity,12/5/97,32.346
KRI UN Equity,12/5/97,52.0625
2999130Q UN Equity,12/5/97,18.5625
TJX UN Equity,12/5/97,4.7578
1312089D UN Equity,12/5/97,47.875
TMK UN Equity,12/5/97,15.8981
GDT UN Equity,12/5/97,32.4688
JCI UN Equity,12/5/97,14.4212
929530Q UN Equity,12/5/97,22.5625
UNP UN Equity,12/5/97,15.8281
CIN UN Equity,12/5/97,35.125
UNH UN Equity,12/5/97,6.492
3080867Q UN Equity,12/5/97,34.25
UNM UN Equity,12/5/97,50.75
DCNAQ UN Equity,12/5/97,47.625
MRO UN Equity,12/5/97,10.7564
3026360Q UN Equity,12/5/97,9.9375
X UN Equity,12/5/97,31.75
RBK UN Equity,12/5/97,34.125
VFC UN Equity,12/5/97,11.5938
KRB UN Equity,12/5/97,12.8889
GP UN Equity,12/5/97,29.031
WBA UN Equity,12/5/97,16.5938
1028411Q UN Equity,12/5/97,48.8438
PVN UN Equity,12/5/97,15.0833
WY UN Equity,12/5/97,20.0028
987200Q UN Equity,12/5/97,36.875
WHR UN Equity,12/5/97,56.063
DALRQ UN Equity,12/5/97,58.9063
WMB UN Equity,12/5/97,19.654
NXTL UQ Equity,12/5/97,12.125
UCL UN Equity,12/5/97,40
XRX UN Equity,12/5/97,103.4078
TOY UN Equity,12/5/97,33.25
723588Q UN Equity,12/5/97,39.04
AES UN Equity,12/5/97,21.5938
605555Q UN Equity,12/5/97,47.375
3029830Q UQ Equity,12/5/97,36.5625
WNDXQ UN Equity,12/5/97,41.625
3621240Q UN Equity,12/5/97,50.4545
UPC UN Equity,12/5/97,43.5833
945852Q UN Equity,#N/A N/A,
FBF UN Equity,12/5/97,35.9063
STJ UN Equity,12/5/97,7.5938
748957Q UN Equity,12/5/97,41.592
2727195Q UN Equity,12/5/97,42.8542
297504Q UN Equity,12/5/97,55.4375
CAH UN Equity,12/5/97,24.4534
CNCEQ UN Equity,12/5/97,45.5
8214761Q UN Equity,12/5/97,25.4336
INCLF UN Equity,12/5/97,19
PDG UN Equity,12/5/97,11.1875
UAWGQ UN Equity,12/5/97,61
WCOEQ UQ Equity,12/5/97,21.7048
680884Q UN Equity,12/5/97,32.4063
355488Q UQ Equity,12/5/97,42.5
228510Q UN Equity,12/5/97,33.375
544791Q UN Equity,12/5/97,29
1051665D UN Equity,12/5/97,31.6875
KMRTQ UN Equity,12/5/97,12.75
HM UN Equity,12/5/97,10
RAL UN Equity,12/5/97,23.5317
329556Q UN Equity,12/5/97,28.119
ENRNQ UN Equity,12/5/97,19.6875
GPUI UN Equity,12/5/97,39.4375
677004Q UN Equity,12/5/97,55.5
950967Q UN Equity,12/5/97,27.4375
ETS UN Equity,12/5/97,80.518
OAT UN Equity,12/5/97,52.4375
LDG UN Equity,12/5/97,30.875
739306Q UN Equity,12/5/97,46.2329
AZA UN Equity,12/5/97,14.125
PLL UN Equity,12/5/97,22.0625
3075558Q UN Equity,12/5/97,51.6875
3346Q UN Equity,12/5/97,37.5208
1255177D UN Equity,12/5/97,47.1875
CGP UN Equity,12/5/97,30.0625
253647Q UN Equity,12/5/97,28.8125
KEY UN Equity,12/5/97,36.4375
3253Q UN Equity,12/5/97,79.875
PRDCQ UN Equity,12/5/97,45.25
STT UN Equity,12/5/97,30.5938
RML UN Equity,12/5/97,29.75
304024Q UN Equity,12/5/97,51
BHMSQ UN Equity,12/5/97,9.4375
WM UN Equity,12/5/97,35.5
291784Q UN Equity,12/5/97,32.125
AFS UN Equity,12/5/97,32.5
FJ UN Equity,12/5/97,38.625
0872237D UN Equity,12/5/97,22.25
ACKH UN Equity,12/5/97,72.5625
68335Q UN Equity,12/5/97,49.7083
2269312Q UN Equity,12/5/97,40.375
UCM UN Equity,12/5/97,29.4375
MKG UN Equity,12/5/97,37.9375
MS UN Equity,12/5/97,24.2549
236555Q UN Equity,12/5/97,48.6508
OWENQ UN Equity,12/5/97,36.9375
NCE UN Equity,12/5/97,44.9375
COMS UQ Equity,12/5/97,7.6592
2953349Q UN Equity,12/5/97,24.6875
USW UN Equity,12/5/97,45.0625
ALL UN Equity,12/5/97,46.2188
571300Q UN Equity,12/5/97,48.75
IKN UN Equity,12/5/97,31.875
SGID UN Equity,12/5/97,5.3084
WLA UN Equity,12/5/97,39.25
140402Q UN Equity,12/5/97,50.75
45200Q UN Equity,12/5/97,24.5625
UMGI UN Equity,12/5/97,27.125
TMC UN Equity,12/5/97,60
EMN UN Equity,12/5/97,29.875
2731112Q UN Equity,12/5/97,62.125
3301Q UN Equity,12/5/97,24.375
RLM UN Equity,12/5/97,61.0625
667517Q UN Equity,12/5/97,29.875
300583Q UN Equity,12/5/97,79.125
285939Q UN Equity,12/5/97,36.1875
CNRG UN Equity,12/5/97,59.9375
827663Q UN Equity,12/5/97,14.4375
LMT UN Equity,12/5/97,48.031
LDWIF UN Equity,12/5/97,13.4375
2755Q UN Equity,12/5/97,70.3125
3891289Q UN Equity,12/5/97,74
COF UN Equity,12/5/97,16.125
2770014Q UN Equity,12/5/97,28.1875
222435Q UN Equity,12/5/97,62.75
0820143D UN Equity,12/5/97,24.875
DRI UN Equity,12/5/97,7.0515
93916Q UN Equity,12/5/97,43.8125
363096Q UN Equity,12/5/97,17.25
183291Q UN Equity,12/5/97,18.0625
3054Q UN Equity,12/5/97,38.6563
2288005Q UN Equity,12/5/97,34.9583
BKB UN Equity,12/5/97,48.125
3546Q UN Equity,12/5/97,23.4375
390297Q UN Equity,12/5/97,58
HIG UN Equity,12/5/97,43.875
RYC UN Equity,12/5/97,46.9375
BMG UN Equity,12/5/97,4.625
3459Q UN Equity,12/5/97,36.1875
375573Q UN Equity,12/5/97,38.9375
2972Q UN Equity,12/5/97,56.9063
PVT UN Equity,12/5/97,35.5
2745Q UN Equity,12/5/97,41.5
ATI UN Equity,12/5/97,48.1736
841273Q UQ Equity,12/5/97,28.9375
2691Q UN Equity,12/5/97,20.875
3179Q UN Equity,12/5/97,34.875
399463Q UN Equity,12/5/97,128.75
MWI UN Equity,12/5/97,15.8125
548227Q UN Equity,12/5/97,36.125
ROK UN Equity,12/5/97,16.346
896661Q UN Equity,12/5/97,57.1875
968734Q UN Equity,12/5/97,51.6875
611647Q UN Equity,12/5/97,45.5
RBD UN Equity,12/5/97,24.5
TCOMA UQ Equity,12/5/97,24.0625
ORX UN Equity,12/5/97,26.8125
244630Q UQ Equity,12/5/97,23.3125
2500Q UN Equity,12/5/97,44.9063
2284Q UN Equity,12/5/97,44.75
231079Q UN Equity,12/5/97,32.659
YUM UN Equity,12/5/97,6.2243
FE UN Equity,12/5/97,27.4375
MAR UN Equity,#N/A N/A,
SEE UN Equity,#N/A N/A,
SRE UN Equity,#N/A N/A,
MCO UN Equity,#N/A N/A,
DTE UN Equity,12/5/97,32
TXN UN Equity,12/5/97,11.5625
0111145D UN Equity,12/5/97,40.375
0961514D UN Equity,12/5/97,37.4375
SLM UN Equity,12/5/97,4.7212
XEL UN Equity,12/5/97,27.1563
ITT UN Equity,12/5/97,5.2327
0203524D UN Equity,12/5/97,14.7188
RSHCQ UN Equity,12/5/97,22.25
MEE UN Equity,12/5/97,8.8049
MDP UN Equity,12/5/97,36.3125
NYT UN Equity,12/5/97,30.875
MU UN Equity,12/5/97,12.875
KBH UN Equity,12/5/97,11
MBI UN Equity,12/5/97,43.9167
MAT UN Equity,12/5/97,40
RRD UN Equity,12/5/97,57.6742
KATE UN Equity,12/5/97,25.6875
ASH UN Equity,12/5/97,15.2751
HPC US Equity,12/5/97,50.3125
UIS UN Equity,12/5/97,144.375
MTG UN Equity,12/5/97,59.9375
DDS UN Equity,12/5/97,35.9375
ADP UN Equity,12/5/97,22.3841
WAMUQ UN Equity,#N/A N/A,
LEHMQ UN Equity,12/5/97,13.1406
FMCC UN Equity,12/5/97,42.8125
FNMA UN Equity,12/5/97,56.4375
OMX UN Equity,12/5/97,31.1875
BC UN Equity,12/5/97,29.9375
CA UN Equity,12/5/97,56.875
CCTYQ UN Equity,12/5/97,10.8465
SNV UN Equity,12/5/97,66.9618
TIN UN Equity,12/5/97,16.0608
HAS UN Equity,12/5/97,19.8333
0910150D US Equity,12/5/97,20.8333
TXU US Equity,12/5/97,19.9375
NAV UN Equity,12/5/97,26.1875
1281683D UN Equity,12/5/97,17.8979
LPX UN Equity,12/5/97,20.25
CTB UN Equity,12/5/97,23.8125
ADBE UQ Equity,12/5/97,5.125
AMGN UQ Equity,12/5/97,13.094
AAPL UQ Equity,12/5/97,0.5647
ADSK UQ Equity,12/5/97,10
CSCO UQ Equity,12/5/97,9.9306
DELL UQ Equity,12/5/97,11.7188
KLAC UQ Equity,12/5/97,20.2188
NOVL UQ Equity,12/5/97,8.625
ORCL UQ Equity,12/5/97,5.1979
PCAR UQ Equity,12/5/97,10.9877
COST UQ Equity,12/5/97,21.344
SIAL UQ Equity,12/5/97,18.6875
AMAT UQ Equity,12/5/97,8.75
CINF UQ Equity,12/5/97,32.3507
FITB UQ Equity,12/5/97,34.6111
HBAN UQ Equity,12/5/97,28.6439
NTRS UQ Equity,12/5/97,35
PAYX UQ Equity,12/5/97,12.5185
PTC UQ Equity,12/5/97,60.625
SPLS UQ Equity,12/5/97,8.8519
TLAB UQ Equity,12/5/97,28
1288652D US Equity,12/5/97,33.3889
CR UN Equity,12/5/97,27.7085
DLX UN Equity,12/5/97,29.4825
TNB UN Equity,12/5/97,47.5
0948669D UN Equity,#N/A N/A,
TUP UN Equity,12/5/97,25.25
MDR UN Equity,12/5/97,5.7961
EHC UN Equity,12/5/97,134.6875
AAMRQ UN Equity,12/5/97,28.6208
CMCSK UQ Equity,12/5/97,9.2708
DPS UN Equity,#N/A N/A,
XRX UN Equity,12/5/97,103.4078
HBI UN Equity,#N/A N/A,
ALB UN Equity,12/5/97,12.6563
EL UN Equity,12/5/97,13.4531
